<doc id="wr_1756-01-31" attrs="word" year="1756" month="01" day="31" corpus="2">
<head id="h2_d9e2606">
Belem	w1_d9e2610
bey	w3_d9e2613
Lisabon	w5_d9e2616
15.	w7_d9e2619
Decem	w9_d9e2622
ber	w1_d9e2627
1755.	w3_d9e2630
</head>
<head id="h2_d9e2636">
Aus	w1_d9e2640
Portugal.	w3_d9e2643
</head>
<p id="p4_d9e2646">
Eit	w1_d9e2650
dem	w3_d9e2653
11.	w5_d9e2656
dieses	w7_d9e2659
hat	w9_d9e2662
man	w11_d9e2665
keine	w13_d9e2669
neue	w1_d9e2674
Erschütterungen	w3_d9e2677
verspühret,	w5_d9e2680
man	w7_d9e2683
wird	w1_d9e2688
deshalb	w3_d9e2691
den	w5_d9e2694
Anfang	w7_d9e2697
machen,	w9_d9e2700
den	w1_d9e2706
hiesigen	w3_d9e2709
Pallast	w5_d9e2712
wieder	w7_d9e2715
herzustellen,	w9_d9e2718
da	w11_d9e2721
mit	w1_d9e2726
er	w3_d9e2729
wohnbar	w5_d9e2732
werde.	w7_d9e2735
Da	w9_d9e2738
die	w11_d9e2741
beträchtliche	w13_d9e2745
Summen,	w1_d9e2750
welche	w3_d9e2753
man	w5_d9e2756
noch	w7_d9e2759
in	w9_d9e2762
der	w11_d9e2765
Münze	w13_d9e2769
gefunden,	w1_d9e2774
den	w3_d9e2777
König	w5_d9e2780
in	w7_d9e2783
den	w9_d9e2786
Stand	w11_d9e2789
setzen,	w13_d9e2793
das	w1_d9e2799
anfänglich	w3_d9e2802
von	w5_d9e2805
Spanien	w7_d9e2808
so	w9_d9e2811
grosmü	w11_d9e2814
tig	w1_d9e2819
übersandte	w3_d9e2822
Geld	w5_d9e2825
zu	w7_d9e2828
entbehren,	w9_d9e2831
so	w11_d9e2834
ist	w13_d9e2838
sol	w15_d9e2841
ches	w1_d9e2846
dem	w3_d9e2849
Spanischen	w5_d9e2852
Tresorier	w7_d9e2855
mit	w9_d9e2858
der	w11_d9e2861
zärt	w13_d9e2865
lichsten	w1_d9e2870
Dankbarkeit	w3_d9e2873
wiederum	w5_d9e2876
behändiget	w7_d9e2879
worden.	w1_d9e2885
Kürzlich	w3_d9e2888
wartete	w5_d9e2891
der	w7_d9e2894
Engländi	w9_d9e2897
sche	w1_d9e2902
Consul,	w3_d9e2905
mit	w5_d9e2908
denen	w7_d9e2911
vornehmsten	w9_d9e2914
Kauflen	w11_d9e2917
ten	w1_d9e2922
seiner	w3_d9e2925
Nation,	w5_d9e2928
dem	w7_d9e2931
König	w9_d9e2934
auf,	w11_d9e2937
und	w13_d9e2941
nach	w1_d9e2946
dem	w3_d9e2949
bezeigten	w5_d9e2952
Beyleide	w7_d9e2955
über	w9_d9e2958
die	w11_d9e2961
bis	w13_d9e2965
herige	w1_d9e2971
schwere	w3_d9e2974
Unglücks=fälle,	w5_d9e2977
baten	w7_d9e2980
sich	w9_d9e2983
selbige	w1_d9e2988
für	w3_d9e2991
ihre	w5_d9e2994
Handlung	w7_d9e2997
des	w9_d9e3000
Königs	w11_d9e3003
sey	w13_d9e3007
neren	w1_d9e3012
Schutz	w3_d9e3015
und	w5_d9e3018
Beystand	w7_d9e3021
aus,	w9_d9e3024
worauf	w11_d9e3027
dersitze	w1_d9e3032
folgende	w3_d9e3035
kurze,	w5_d9e3038
doch	w7_d9e3041
nachdrükliche	w9_d9e3044
Antwort	w1_d9e3050
ertheilete:	w3_d9e3053
Die	w5_d9e3056
Zeugnisse,	w7_d9e3059
welche	w9_d9e3062
mir	w1_d9e3067
der	w3_d9e3070
Engländische	w5_d9e3073
Consful	w7_d9e3076
und	w9_d9e3079
die	w11_d9e3082
Groß	w13_d9e3086
brittannische	w1_d9e3091
Kaufleute	w3_d9e3094
von	w5_d9e3097
dem	w7_d9e3100
Antheile	w9_d9e3103
ge	w11_d9e3106
ben,	w1_d9e3111
den	w3_d9e3114
sie	w5_d9e3117
an	w7_d9e3120
dem	w9_d9e3123
Unglück	w11_d9e3126
meiner	w13_d9e3130
Staa	w15_d9e3133
ten	w1_d9e3139
nehmen,	w3_d9e3142
rührete	w5_d9e3145
mich	w7_d9e3148
ungemein.	w9_d9e3151
Jch	w11_d9e3154
versichere	w1_d9e3159
sie	w3_d9e3162
meines	w5_d9e3165
Schutzes,	w7_d9e3168
und	w9_d9e3171
meiner	w11_d9e3174
Begierde,	w1_d9e3179
sie	w3_d9e3182
in	w5_d9e3185
allen	w7_d9e3188
zu	w9_d9e3191
begünstigen,	w11_d9e3194
was	w13_d9e3198
nur	w1_d9e3203
von	w3_d9e3206
mir	w5_d9e3209
abhangen	w7_d9e3212
wird,	w9_d9e3215
in	w11_d9e3218
Hofnung,	w13_d9e3222
daß	w1_d9e3228
die	w3_d9e3231
Göttliche	w5_d9e3234
Huld	w7_d9e3237
und	w9_d9e3240
Gnad,	w11_d9e3243
in	w13_d9e3247
welche	w15_d9e3250
ich	w1_d9e3255
mein	w3_d9e3258
einziges	w5_d9e3261
