<doc id="wr_1756-08-07" attrs="word" year="1756" month="08" day="07" corpus="2">
<head id="h2_d63e2595">
Williamsburg	w1_d63e2599
7.	w3_d63e2602
Julii.	w5_d63e2605
</head>
<head id="h2_d63e2611">
Aus	w1_d63e2615
America.	w3_d63e2618
</head>
<p id="p4_d63e2621">
oJne	w1_d63e2625
gute	w3_d63e2628
Anzahl	w5_d63e2631
der	w7_d63e2634
vornehmsten	w9_d63e2637
Ein	w11_d63e2640
wohner	w1_d63e2645
dieser	w3_d63e2648
Colone	w5_d63e2651
haben	w7_d63e2654
sich	w9_d63e2657
asso	w11_d63e2660
ciirt,	w1_d63e2665
um	w3_d63e2668
auf	w5_d63e2671
ihre	w7_d63e2674
Kosten	w9_d63e2677
zur	w11_d63e2680
Defen	w13_d63e2684
sien	w1_d63e2690
des	w3_d63e2693
Vatterlands	w5_d63e2696
unter	w7_d63e2699
dem	w9_d63e2702
Commande	w11_d63e2705
des	w1_d63e2710
Herrn	w3_d63e2713
Peyton	w5_d63e2716
Randolph	w7_d63e2719
zu	w9_d63e2722
marschiren.	w11_d63e2725
so	w1_d63e2730
eben	w3_d63e2733
langt	w5_d63e2736
ein	w7_d63e2739
Expresser	w9_d63e2742
von	w11_d63e2745
Winchester,	w13_d63e2749
von	w1_d63e2754
wannen	w3_d63e2757
er	w5_d63e2760
den	w7_d63e2763
4.	w9_d63e2766
dieses	w11_d63e2769
abgegangen,	w13_d63e2773
an.	w15_d63e2776
Er	w1_d63e2782
bringet	w3_d63e2785
uns	w5_d63e2788
die	w7_d63e2791
Nachricht,	w9_d63e2794
daß	w11_d63e2797
da	w13_d63e2801
die	w15_d63e2804
Gemeinschaft	w1_d63e2809
zwischen	w3_d63e2812
selbiger	w5_d63e2815
Stadt	w7_d63e2818
und	w9_d63e2821
dem	w1_d63e2826
Fort	w3_d63e2829
Cumberland	w5_d63e2832
wieder	w7_d63e2835
offen,	w9_d63e2838
der	w11_d63e2841
Obrist	w1_d63e2846
Washington,	w3_d63e2849
nachdem	w5_d63e2852
er	w7_d63e2855
mit	w9_d63e2858
200.	w11_d63e2861
Mann	w1_d63e2867
von	w3_d63e2870
der	w5_d63e2873
Militz	w7_d63e2876
von	w9_d63e2879
Fairfax	w11_d63e2882
verstär	w13_d63e2886
let	w1_d63e2891
worden,	w3_d63e2894
nach	w5_d63e2897
ermeldtem	w7_d63e2900
Fort	w9_d63e2903
abmar	w11_d63e2906
schieret	w1_d63e2911
seye.	w3_d63e2914
Dieser	w5_d63e2917
Courier	w7_d63e2920
hat	w9_d63e2923
Unterwegs	w11_d63e2926
100.	w1_d63e2931
Mann	w3_d63e2934
von	w5_d63e2937
der	w7_d63e2940
Militz	w9_d63e2943
von	w11_d63e2946
Prince	w13_d63e2950
william,	w1_d63e2956
200.	w3_d63e2959
von	w5_d63e2962
Carolina	w7_d63e2965
unterm	w9_d63e2968
Com	w11_d63e2971
mando	w1_d63e2976
des	w3_d63e2979
Obristen	w5_d63e2982
Baylor,	w7_d63e2985
und	w9_d63e2988
200.	w11_d63e2991
von	w13_d63e2995
Spo	w1_d63e3000
sylvanie,	w3_d63e3003
die	w5_d63e3006
der	w7_d63e3009
Obrist	w9_d63e3012
Spottwood	w11_d63e3015
commandirt	w1_d63e3020
habe,	w3_d63e3023
angetroffen,	w5_d63e3026
so	w7_d63e3029
in	w9_d63e3032
vollem	w11_d63e3035
Marsch	w1_d63e3041
nach	w3_d63e3044
Winchester	w5_d63e3047
begriffen	w7_d63e3050
gewesen.	w9_d63e3053
Man	w1_d63e3058
vernimmt,	w3_d63e3061
daß	w5_d63e3064
nach	w7_d63e3067
der	w9_d63e3070
Niederlage	w11_d63e3073
des	w1_d63e3078
Kapitain	w3_d63e3081
Mercers,	w5_d63e3084
der	w7_d63e3087
Kapitain	w9_d63e3090
Sa	w11_d63e3093
vage	w1_d63e3098
sich	w3_d63e3101
revangirt;	w5_d63e3104
er	w7_d63e3107
habe	w9_d63e3110
die	w11_d63e3113
Jndianer	w13_d63e3117
eingeholet,	w1_d63e3123
von	w3_d63e3126
ihnen	w5_d63e3129
einen	w7_d63e3132
Mann	w9_d63e3135
getödet	w11_d63e3138
und	w1_d63e3143
6.	w3_d63e3146
Pferde,	w5_d63e3149
so	w7_d63e3152
Beute	w9_d63e3155
getragen,	w11_d63e3158
wegge	w13_d63e3162
nommen,	w1_d63e3167
es	w3_d63e3170
habe	w5_d63e3173
aber	w7_d63e3176
bey	w9_d63e3179
dieser	w11_d63e3182
