<doc id="wr_1756-08-11" attrs="word" year="1756" month="08" day="11" corpus="2">
<head id="h2_d64e2523">
Boston	w1_d64e2527
in	w3_d64e2530
Neu=england,	w5_d64e2533
vom	w7_d64e2536
31.	w9_d64e2539
May	w1_d64e2544
</head>
<head id="h2_d64e2550">
Aus	w1_d64e2554
America.	w3_d64e2557
</head>
<p id="p4_d64e2560">
Mit	w1_d64e2564
dem	w3_d64e2567
letzten	w5_d64e2570
von	w7_d64e2573
Hallifax	w9_d64e2576
angekom	w11_d64e2579
menen	w1_d64e2584
Schiffe	w3_d64e2587
vernimmt	w5_d64e2590
man:	w7_d64e2593
daß	w9_d64e2596
die	w11_d64e2599
Jn	w13_d64e2603
dianer,	w1_d64e2608
unsere	w3_d64e2611
Feinde,	w5_d64e2614
uus	w7_d64e2617
ganz	w9_d64e2620
kürzlich	w11_d64e2623
nahe	w13_d64e2627
bey	w1_d64e2633
Lüneburg	w3_d64e2636
8.	w5_d64e2639
Personen	w7_d64e2642
getödtet,	w9_d64e2645
und	w11_d64e2648
daß	w13_d64e2652
noch	w1_d64e2657
zwey	w3_d64e2660
andere	w5_d64e2663
fehlen,	w7_d64e2666
deren	w9_d64e2669
Schicksaal	w11_d64e2672
man	w1_d64e2677
nicht	w3_d64e2680
weiß;	w5_d64e2683
auch	w7_d64e2686
hat	w9_d64e2689
man	w11_d64e2692
einen	w13_d64e2696
Ser	w15_d64e2699
gegnien	w1_d64e2704
und	w3_d64e2707
10	w5_d64e2710
Soldaten	w7_d64e2713
umringet	w9_d64e2716
und	w11_d64e2719
er	w13_d64e2723
mordet,	w1_d64e2729
die	w3_d64e2732
von	w5_d64e2735
Chignetto	w7_d64e2738
zum	w9_d64e2741
Holz	w11_d64e2744
fällen	w13_d64e2748
ausgegangen.	w1_d64e2753
Die	w3_d64e2756
Feinde	w5_d64e2759
haben	w7_d64e2762
uns	w9_d64e2765
von	w11_d64e2768
den	w1_d64e2773
nämlichen	w3_d64e2776
Posten	w5_d64e2779
noch	w7_d64e2782
4.	w9_d64e2785
entführet,	w11_d64e2788
von	w13_d64e2792
denen	w1_d64e2797
man	w3_d64e2800
nur	w5_d64e2803
einen	w7_d64e2806
wieder	w9_d64e2809
gefunden,	w11_d64e2812
der	w13_d64e2816
von	w1_d64e2822
Kopf	w3_d64e2825
bis	w5_d64e2828
auf	w7_d64e2831
die	w9_d64e2834
Füsse	w11_d64e2837
