<doc id="wr_1756-08-14" attrs="word" year="1756" month="08" day="14" corpus="2">
<head id="h2_d65e2587">
Extract=schreiben	w1_d65e2591
aus	w3_d65e2594
Lissabon	w5_d65e2597
vom	w1_d65e2602
7.	w3_d65e2605
Junii.	w5_d65e2608
</head>
<p id="p4_d65e2611">
DEn	w1_d65e2615
5ten	w3_d65e2618
dieses	w5_d65e2621
ist	w7_d65e2624
alhier	w9_d65e2627
ein	w11_d65e2630
grosser	w13_d65e2634
Brand	w1_d65e2639
in	w3_d65e2642
den	w5_d65e2645
Magazinen	w7_d65e2648
und	w9_d65e2651
Häu	w11_d65e2654
sern,	w1_d65e2659
so	w3_d65e2662
man	w5_d65e2665
alda	w7_d65e2668
errichtet	w9_d65e2671
hat,	w11_d65e2674
ent	w13_d65e2678
standen,	w1_d65e2684
wodurch	w3_d65e2687
eine	w5_d65e2690
Menge	w7_d65e2693
Kaufmanns	w9_d65e2696
waaren	w1_d65e2701
verzehret	w3_d65e2704
worden,	w5_d65e2707
und	w7_d65e2710
die	w9_d65e2713
Engländen	w11_d65e2716
dabey	w1_d65e2721
vielen	w3_d65e2724
Verlust	w5_d65e2727
erlitten	w7_d65e2730
haben.	w9_d65e2733
Die	w11_d65e2736
letzthin	w1_d65e2741
aus	w3_d65e2744
England	w5_d65e2747
hieher	w7_d65e2750
abgegangene	w9_d65e2753
Kauffardey=schiffe	w1_d65e2759
seynd	w3_d65e2762
glücklich	w5_d65e2765
alhier,	w7_d65e2768
un	w9_d65e2771
ter	w1_d65e2776
Begleitung	w3_d65e2779
einiger	w5_d65e2782
Kriegs=schiffe,	w7_d65e2785
an	w9_d65e2788
gelangt;	w1_d65e2793
Es	w3_d65e2796
regieret	w5_d65e2799
auch	w7_d65e2802
alhier	w9_d65e2805
eine	w11_d65e2808
Art	w13_d65e2812
einer	w1_d65e2817
leidigen	w3_d65e2820
Seuche,	w5_d65e2823
welche	w7_d65e2826
sehr	w9_d65e2829
viele	w11_d65e2832
Men	w13_d65e2836
schen	w1_d65e2842
hinwegraffet.	w3_d65e2845
Aus	w5_d65e2848
der	w7_d65e2851
Stadt	w9_d65e2854
Elvas,	w11_d65e2857
in	w1_d65e2862
der	w3_d65e2865
Portugisischen	w5_d65e2868
Provinz	w7_d65e2871
Alentejo	w9_d65e2874
wird	w11_d65e2877
bemerket,	w1_d65e2882
daß	w3_d65e2885
diese	w5_d65e2888
Stadt	w7_d65e2891
und	w9_d65e2894
ihre	w11_d65e2897
Gegen	w13_d65e2901
den,	w1_d65e2906
so	w3_d65e2909
das	w5_d65e2912
gemeine	w7_d65e2915
Unheil	w9_d65e2918
mit	w11_d65e2921
dem	w13_d65e2925
Uber	w15_d65e2928
rest	w1_d65e2934
dieses	w3_d65e2937
Königreichs	w5_d65e2940
getheilet,	w7_d65e2943
annoch	w9_d65e2946
ein	w11_d65e2949
besonderes	w1_d65e2954
Ubel	w3_d65e2957
empfunden.	w5_d65e2960
Der	w7_d65e2963
Himmel	w9_d65e2966
hatte	w1_d65e2971
sich	w3_d65e2974
verwichenen	w5_d65e2977
Monats	w7_d65e2980
plötzlich	w9_d65e2983
mit	w11_d65e2986
einer	w1_d65e2991
so	w3_d65e2994
dicken	w5_d65e2997
Wolke	w7_d65e3000
bedecket,	w9_d65e3003
daß	w11_d65e3006
das	w13_d65e3010
Sonnen	w1_d65e3016
Licht	w3_d65e3019
fast	w5_d65e3022
gänzlich	w7_d65e3025
verfinsterte,	w9_d65e3028
bald	w11_d65e3031
darauf	w1_d65e3036
war	w3_d65e3039
diese	w5_d65e3042
Wolcke	w7_d65e3045
bis	w9_d65e3048
zur	w11_d65e3051
Erde	w13_d65e3055
hin	w15_d65e3058
abgestiegen,	w1_d65e3063
wobey	w3_d65e3066
man	w5_d65e3069
wahrgenommen,	w7_d65e3072
daß	w1_d65e3077
es	w3_d65e3080
nichts	w5_d65e3083
anderst	w7_d65e3086
wäre,	w9_d65e3089
als	w11_d65e3092
eine	w13_d65e3096
uner	w15_d65e3099
messene	w1_d65e3105
Menge	w3_d65e3108
Heuschrecken,	w5_d65e3111
welche	w7_d65e3114
sich	w9_d65e3117
in	w11_d65e3120
einem	w1_d65e3125
Augenblick	w3_d65e3128
in	w5_d65e3131
das	w7_d65e3134
ganze	w9_d65e3137
Feld	w11_d65e3140
ausge	w13_d65e3144
gebreitet,	w1_d65e3149
selbige	w3_d65e3152
waren	w5_d65e3155
an	w7_d65e3158
vielen	w9_d65e3161
Orten	w11_d65e3164
bis	w13_d65e3168
zwey	w1_d65e3173
Hände	w3_d65e3176
hoch	w5_d65e3179
gelegen.	w7_d65e3182
Die	w9_d65e3185
Bauern	w11_d65e3188
ha	w13_d65e3192
ben	w1_d65e3198
vergeblich	w3_d65e3201
zu	w5_d65e3204
allen	w7_d65e3207
möglichen	w9_d65e3210
Mitteln	w11_d65e3213
gegriffen,	w1_d65e3218
um	w3_d65e3221
dieses	w5_d65e3224
Ungezieffer	w7_d65e3227
zu	w9_d65e3230
vertilgen	w11_d65e3233
es	w1_d65e3238
wäre	w3_d65e3241
aber	w5_d65e3244
des	w7_d65e3247
anderen	w9_d65e3250
Tages	w11_d65e3253
eine	w13_d65e3257
noch	w15_d65e3260
grössere	w1_d65e3265
Menge	w3_d65e3268
zum	w5_d65e3271
Vorschein	w7_d65e3274
gekommet	w9_d65e3277
</p>
<head id="h2_d65e3363">
Aus	w1_d65e3367
Portugal.	w3_d65e3370
</head>
<p id="p4_d65e3373">
als	w1_d65e3377
man	w3_d65e3380
vorigen	w5_d65e3383
Tags	w7_d65e3386
vernichtiget	w9_d65e3389
zu	w11_d65e3392
haben	w13_d65e3396
vermeinte.	w1_d65e3401
Die	w3_d65e3404
Felder	w5_d65e3407
seynd	w7_d65e3410
eher	w9_d65e3413
nicht	w11_d65e3416
be	w13_d65e3420
freyet	w1_d65e3425
worden,	w3_d65e3428
als	w5_d65e3431
bis	w7_d65e3434
sie	w9_d65e3437
ganz	w11_d65e3440
und	w13_d65e3444
gar	w15_d65e3447
ab	w17_d65e3450
gefressen	w1_d65e3456
waren.	w3_d65e3459
Ein	w5_d65e3462
Theil	w7_d65e3465
dieser	w9_d65e3468
Thiere	w11_d65e3471
ist	w1_d65e3476
hinweg	w3_d65e3479
geflogen,	w5_d65e3482
sich	w7_d65e3485
in	w9_d65e3488
den	w11_d65e3491
Fluß	w13_d65e3495
Gua	w15_d65e3498
diane	w1_d65e3503
und	w3_d65e3506
in	w5_d65e3509
andere	w7_d65e3512
Flüsse	w9_d65e3515
zu	w11_d65e3518
stürzen.	w13_d65e3522
Ein	w15_d65e3525
anderer	w1_d65e3530
Theil	w3_d65e3533
ist	w5_d65e3536
gekommen,	w7_d65e3539
sich	w9_d65e3542
über	w11_d65e3545
die	w1_d65e3551
Stadt	w3_d65e3554
Elvas	w5_d65e3557
zu	w7_d65e3560
ergiessen,	w9_d65e3563
und	w11_d65e3566
ob	w13_d65e3570
sie	w15_d65e3573
schon	w1_d65e3578
alda	w3_d65e3581
keinen	w5_d65e3584
so	w7_d65e3587
grossen	w9_d65e3590
Schaden,	w11_d65e3593
wie	w13_d65e3597
auf	w1_d65e3602
dem	w3_d65e3605
Felde,	w5_d65e3608
empfinden	w7_d65e3611
lassen,	w9_d65e3614
haben	w11_d65e3617
sie	w13_d65e3621
dennoch	w1_d65e3626
vieles	w3_d65e3629
Ungemach	w5_d65e3632
angerichtet	w7_d65e3635
und	w9_d65e3638
verursachet.	w1_d65e3644
</p>
<head id="h2_d65e3650">
Aus	w1_d65e3654
Groß=brittannien.	w3_d65e3657
Londen	w1_d65e3662
23.	w3_d65e3665
Julii.	w5_d65e3668
</head>
<p id="p4_d65e3671">
Man	w1_d65e3675
hat	w3_d65e3678
Nachricht	w5_d65e3681
erhalten,	w7_d65e3684
daß	w9_d65e3687
der	w11_d65e3690
Herr	w1_d65e3695
Howe,	w3_d65e3698
welcher	w5_d65e3701
eine	w7_d65e3704
kleine	w9_d65e3707
Flotte	w11_d65e3710
com	w13_d65e3714
mandiret,	w1_d65e3719
um	w3_d65e3722
die	w5_d65e3725
Jnsuln	w7_d65e3728
Jersey	w9_d65e3731
und	w11_d65e3734
Guern	w13_d65e3738
sey	w1_d65e3744
damit	w3_d65e3747
zu	w5_d65e3750
bedecken,	w7_d65e3753
sich	w9_d65e3756
habe	w11_d65e3759
der	w13_d65e3763
kleinen	w15_d65e3766
Jnsul	w1_d65e3771
Chausey,	w3_d65e3774
nicht	w5_d65e3777
weit	w7_d65e3780
von	w9_d65e3783
Grandville,	w11_d65e3786
bemächtiget.	w1_d65e3791
Diese	w3_d65e3794
Jnsul	w5_d65e3797
gehörte	w7_d65e3800
denen	w9_d65e3803
Franzosen,	w1_d65e3808
und	w3_d65e3811
als	w5_d65e3814
unsere	w7_d65e3817
Leute	w9_d65e3820
bey	w11_d65e3823
der	w13_d65e3827
selben	w1_d65e3833
angelanget,	w3_d65e3836
hat	w5_d65e3839
der	w7_d65e3842
Commandant	w9_d65e3845
in	w11_d65e3848
dem	w1_d65e3853
Fort	w3_d65e3856
mit	w5_d65e3859
seiner	w7_d65e3862
in	w9_d65e3865
100.	w11_d65e3868
Mann	w13_d65e3872
beste	w15_d65e3875
henden	w1_d65e3880
Besatzung	w3_d65e3883
sich	w5_d65e3886
ergeben,	w7_d65e3889
worauf	w9_d65e3892
man	w11_d65e3895
dieselbe	w1_d65e3900
zu	w3_d65e3903
Kriegs=gefangene	w5_d65e3906
gemacht	w7_d65e3909
hat.	w9_d65e3912
Man	w1_d65e3918
hat	w3_d65e3921
sodann	w5_d65e3924
die	w7_d65e3927
Engländische	w9_d65e3930
Stan	w11_d65e3933
darte	w1_d65e3938
aufgepflantzet,	w3_d65e3941
und	w5_d65e3944
300	w7_d65e3947
Mann	w9_d65e3950
zur	w11_d65e3953
Besatzung	w1_d65e3958
auf	w3_d65e3961
dieser	w5_d65e3964
Jnsul	w7_d65e3967
zurück	w9_d65e3970
gelassen.	w11_d65e3973
Es	w1_d65e3978
ligen	w3_d65e3981
im	w5_d65e3984
Gesicht	w7_d65e3987
dieser	w9_d65e3990
Jnsul	w11_d65e3993
längst	w13_d65e3997
denen	w15_d65e4000
Cüsten	w1_d65e4006
noch	w3_d65e4009
drey	w5_d65e4012
andere	w7_d65e4015
Französische	w9_d65e4018
Forts	w11_d65e4021
Das	w1_d65e4026
Lager,	w3_d65e4029
welches	w5_d65e4032
bey	w7_d65e4035
Byfleet	w9_d65e4038
stehet,	w11_d65e4041
wird	w13_d65e4045
sich	w1_d65e4050
daselbst	w3_d65e4053
nicht	w5_d65e4056
lange	w7_d65e4059
aufhalten,	w9_d65e4062
sondern	w11_d65e4065
den	w1_d65e4070
Marsch	w3_d65e4073
nach	w5_d65e4076
denen	w7_d65e4079
Südlichen	w9_d65e4082
Cüsten	w11_d65e4085
des	w13_d65e4089
Königreichs	w1_d65e4095
nehmen,	w3_d65e4098
um	w5_d65e4101
in	w7_d65e4104
der	w9_d65e4107
Nähe	w11_d65e4110
und	w13_d65e4114
bey	w1_d65e4119
der	w3_d65e4122
Hand	w5_d65e4125
zu	w7_d65e4128
seyn,	w9_d65e4131
dieselbige	w11_d65e4134
einschiffen	w13_d65e4138
</p>
<p id="p8_d65e4143">
zu	w1_d65e4147
können,	w3_d65e4150
zu	w5_d65e4153
welcher	w7_d65e4156
Unternehmung	w9_d65e4159
man	w11_d65e4162
vierzehen	w1_d65e4167
Kriegs=schiffe	w3_d65e4170
mit	w5_d65e4173
allem	w7_d65e4176
Nöthigen	w9_d65e4179
versehen,	w1_d65e4184
und	w3_d65e4187
hierzu	w5_d65e4190
bereit	w7_d65e4193
ligen.	w9_d65e4196
Das	w11_d65e4199
La	w13_d65e4203
ger,	w1_d65e4209
so	w3_d65e4212
man	w5_d65e4215
bey	w7_d65e4218
Blandfort,	w9_d65e4221
in	w11_d65e4224
dem	w13_d65e4228
Her	w15_d65e4231
zogthum	w1_d65e4236
Dorset,	w3_d65e4239
aufrichtet,	w5_d65e4242
wird	w7_d65e4245
der	w9_d65e4248
Ritter	w1_d65e4253
Mordauns,	w3_d65e4256
der	w5_d65e4259
Herzog	w7_d65e4262
von	w9_d65e4265
Bed	w11_d65e4268
ford,	w1_d65e4273
und	w3_d65e4276
der	w5_d65e4279
Graf	w7_d65e4282
von	w9_d65e4285
Hume	w11_d65e4288
comman	w13_d65e4292
diren.	w1_d65e4298
Dieses	w3_d65e4301
Lager	w5_d65e4304
wird	w7_d65e4307
aus	w9_d65e4310
6.	w11_d65e4313
Regimen	w13_d65e4317
tern	w1_d65e4322
zu	w3_d65e4325
Fuß,	w5_d65e4328
und	w7_d65e4331
aus	w9_d65e4334
zwey	w11_d65e4337
Dragonerre	w13_d65e4341
gimenter	w1_d65e4346
bestehen.	w3_d65e4349
Der	w5_d65e4352
Admiral	w7_d65e4355
Boscawen	w9_d65e4358
hat	w1_d65e4363
sich	w3_d65e4366
11.	w5_d65e4369
Französischer	w7_d65e4372
Schiffen,	w9_d65e4375
die	w11_d65e4378
mit	w13_d65e4382
Wein	w1_d65e4388
und	w3_d65e4391
anderer	w5_d65e4394
Provision	w7_d65e4397
beladen	w9_d65e4400
gewesen,	w11_d65e4403
und	w1_d65e4408
aus	w3_d65e4411
Rochefort	w5_d65e4414
nach	w7_d65e4417
Brest	w9_d65e4420
seglen	w11_d65e4423
wollen,	w13_d65e4427
bemächtiget,	w1_d65e4432
nachdem	w3_d65e4435
man	w5_d65e4438
alles	w7_d65e4441
von	w9_d65e4444
diesen	w11_d65e4447
eroberten	w1_d65e4452
Schiffen	w3_d65e4455
auf	w5_d65e4458
unsere	w7_d65e4461
Schiffe	w9_d65e4464
ge	w11_d65e4467
bracht,	w1_d65e4473
hat	w3_d65e4476
man	w5_d65e4479
dieselbe	w7_d65e4482
in	w9_d65e4485
den	w11_d65e4488
Grund	w13_d65e4492
ge	w15_d65e4495
boret.	w1_d65e4500
Der	w3_d65e4503
Werth	w5_d65e4506
der	w7_d65e4509
Ladung	w9_d65e4512
dieser	w11_d65e4515
Schiffe	w13_d65e4519
wird	w1_d65e4524
auf	w3_d65e4527
3000	w5_d65e4530
Pfund	w7_d65e4533
Sterling	w9_d65e4536
geschätzet	w11_d65e4539
Die	w1_d65e4544
Flotte	w3_d65e4547
unter	w5_d65e4550
dem	w7_d65e4553
Admiral	w9_d65e4556
Boscawen	w11_d65e4559
ist	w1_d65e4565
wiederum	w3_d65e4568
mit	w5_d65e4571
zwey	w7_d65e4574
Kriegs=schiffen	w9_d65e4577
ver	w11_d65e4580
stärket	w1_d65e4585
worden.	w3_d65e4588
Die	w5_d65e4591
Briefe	w7_d65e4594
aus	w9_d65e4597
America	w11_d65e4600
melden	w1_d65e4605
noch	w3_d65e4608
immer	w5_d65e4611
von	w7_d65e4614
Morden	w9_d65e4617
und	w11_d65e4620
Rauben	w13_d65e4624
der	w1_d65e4629
feindlichen	w3_d65e4632
Jndianer	w5_d65e4635
in	w7_d65e4638
denen	w9_d65e4641
Englän	w11_d65e4644
dischen	w1_d65e4650
Colonien.	w3_d65e4653
Man	w5_d65e4656
rechnet,	w7_d65e4659
daß	w9_d65e4662
seit	w11_d65e4665
der	w1_d65e4670
Niederlage	w3_d65e4673
des	w5_d65e4676
Generals	w7_d65e4679
Braddock	w9_d65e4682
bis	w11_d65e4685
6000.	w1_d65e4690
Menschen	w3_d65e4693
alda	w5_d65e4696
gantz	w7_d65e4699
unbarmherzig	w9_d65e4702
mas	w11_d65e4705
sacriret	w1_d65e4710
seynd.	w3_d65e4713
Diesen	w5_d65e4716
Drangsalen	w7_d65e4719
abzu	w9_d65e4722
helfen,	w1_d65e4728
haben	w3_d65e4731
unsere	w5_d65e4734
dortige	w7_d65e4737
Provinzen	w9_d65e4740
sich	w11_d65e4743
vereiniget,	w1_d65e4748
und	w3_d65e4751
wollen	w5_d65e4754
denen	w7_d65e4757
feindlichen	w9_d65e4760
Grausamkeiten	w1_d65e4765
Einhalt	w3_d65e4768
thun.	w5_d65e4771
Wann	w7_d65e4774
die	w9_d65e4777
Succurse	w1_d65e4782
von	w3_d65e4785
hier	w5_d65e4788
alda	w7_d65e4791
angelanget,	w9_d65e4794
und	w11_d65e4797
sich	w13_d65e4801
mit	w1_d65e4807
denen	w3_d65e4810
daselbst	w5_d65e4813
errichteten	w7_d65e4816
verschiedenen	w9_d65e4819
Corps	w1_d65e4824
vereiniget	w3_d65e4827
haben	w5_d65e4830
dürften,	w7_d65e4833
so	w9_d65e4836
wird	w11_d65e4839
dorten	w1_d65e4844
eine	w3_d65e4847
Armee	w5_d65e4850
