<doc id="wr_1756-10-02" attrs="word" year="1756" month="10" day="02" corpus="2">
<head id="h2_d79e3406">
Neu=Yorck	w1_d79e3410
8.	w3_d79e3413
Julii.	w5_d79e3416
</head>
<p id="p4_d79e3419">
A	w1_d79e3423
sich	w3_d79e3426
eine	w5_d79e3429
auf	w7_d79e3432
dem	w9_d79e3435
See	w11_d79e3438
Ontario	w13_d79e3442
er	w15_d79e3445
bauete	w1_d79e3450
Engländische	w3_d79e3453
Chalouppe,	w5_d79e3456
nebst	w7_d79e3459
C/	w1_d79e3464
6.	w3_d79e3467
mit	w5_d79e3470
Kriegs	w7_d79e3473
und	w9_d79e3476
Mundbedürf	w11_d79e3479
nüssenbeladenen	w1_d79e3485
Fahr=zeugen	w3_d79e3488
zu	w5_d79e3491
weit	w7_d79e3494
an	w9_d79e3497
das	w11_d79e3500
Fort	w1_d79e3505
Frontignac	w3_d79e3508
gewagt,	w5_d79e3511
haben	w7_d79e3514
die	w9_d79e3517
Fran	w11_d79e3520
zosen	w1_d79e3525
und	w3_d79e3528
Jndianer	w5_d79e3531
selbige	w7_d79e3534
angegriffen,	w9_d79e3537
und	w11_d79e3540
sich	w1_d79e3545
deroselben	w3_d79e3548
nach	w5_d79e3551
einem	w7_d79e3554
harten	w9_d79e3557
Gefecht	w11_d79e3560
be	w13_d79e3564
mächtiget.	w1_d79e3570
</p>
<head id="h2_d79e3576">
Aus	w1_d79e3580
Carolina	w3_d79e3583
15.	w5_d79e3586
Julii.	w7_d79e3589
</head>
<p id="p4_d79e3592">
Die	w1_d79e3596
Engländische	w3_d79e3599
Trupen	w5_d79e3602
seynd	w7_d79e3605
ziemlich	w9_d79e3608
nahe	w1_d79e3613
an	w3_d79e3616
das	w5_d79e3619
Fort	w7_d79e3622
la	w9_d79e3625
Couronne	w11_d79e3628
oder	w13_d79e3632
Crown	w15_d79e3635
point	w1_d79e3640
gerückt;	w3_d79e3643
den	w5_d79e3646
förmlichen	w7_d79e3649
Angrif	w9_d79e3652
dieses	w11_d79e3655
Forts	w1_d79e3661
müssen	w3_d79e3664
sie	w5_d79e3667
aber	w7_d79e3670
verschieben,	w9_d79e3673
bis	w11_d79e3676
die	w13_d79e3680
Verstärckung	w1_d79e3685
angekommen	w3_d79e3688
ist,	w5_d79e3691
welche	w7_d79e3694
sie	w9_d79e3697
aus	w11_d79e3700
denen	w1_d79e3705
nächsten	w3_d79e3708
Provinzen	w5_d79e3711
erwarten.	w7_d79e3714
</p>
<head id="h2_d79e3720">
Charleston,	w1_d79e3724
der	w3_d79e3727
Haupt=stadt	w5_d79e3730
in	w7_d79e3733
Süd=carolina	w1_d79e3738
16.	w3_d79e3741
Julii.	w5_d79e3744
</head>
<p id="p4_d79e3747">
Die	w1_d79e3751
Kammer	w3_d79e3754
der	w5_d79e3757
Gemeinen	w7_d79e3760
hat	w9_d79e3763
in	w11_d79e3766
einer	w13_d79e3770
den	w1_d79e3775
6ten	w3_d79e3778
dieses	w5_d79e3781
unserm	w7_d79e3784
Gouverneur	w9_d79e3787
über	w11_d79e3790
reichten	w1_d79e3795
Addresse	w3_d79e3798
ein	w5_d79e3801
Zeugnis	w7_d79e3804
von	w9_d79e3807
der	w11_d79e3810
Auf	w13_d79e3814
nohm	w1_d79e3820
unserer	w3_d79e3823
Handlung	w5_d79e3826
abgeleget,	w7_d79e3829
welche	w9_d79e3832
wie	w1_d79e3837
sie	w3_d79e3840
saget,	w5_d79e3843
zur	w7_d79e3846
höchsten	w9_d79e3849
Vollkommenheit	w11_d79e3852
gekommen;	w1_d79e3857
würklich	w3_d79e3860
hat	w5_d79e3863
man	w7_d79e3866
seit	w9_d79e3869
dem	w11_d79e3872
1sten	w13_d79e3876
November	w1_d79e3881
aus	w3_d79e3884
dieser	w5_d79e3887
Stadt	w7_d79e3890
mehr	w9_d79e3893
als	w11_d79e3896
60000.	w13_d79e3900
Fässer	w1_d79e3906
Reis,	w3_d79e3909
400	w5_d79e3912
tausend	w7_d79e3915
Pfund	w9_d79e3918
Jndigo	w11_d79e3921
rc.	w13_d79e3925
gebracht,	w1_d79e3930
und	w3_d79e3933
wir	w5_d79e3936
haben	w7_d79e3939
in	w9_d79e3942
dieser	w11_d79e3945
Zeit	w13_d79e3949
156	w15_d79e3952
Schwarze	w1_d79e3957
mehr	w3_d79e3960
als	w5_d79e3963
sonst	w7_d79e3966
bekommen.	w9_d79e3969
</p>
<head id="h2_d79e3975">
Madrid	w1_d79e3979
3.	w3_d79e3982
Sept.	w5_d79e3985
</head>
<p id="p4_d79e3988">
Durch	w1_d79e3992
ein	w3_d79e3995
aus	w5_d79e3998
Buenos	w7_d79e4001
Ayres	w9_d79e4004
eingeloffenes	w11_d79e4007
Schif	w1_d79e4012
hat	w3_d79e4015
unser	w5_d79e4018
Ministerium	w7_d79e4021
die	w9_d79e4024
erfreuliche	w11_d79e4027
Nachricht	w1_d79e4032
aus	w3_d79e4035
Paragnai	w5_d79e4038
erhalten,	w7_d79e4041
daß	w9_d79e4044
die	w11_d79e4047
Trupen	w1_d79e4053
des	w3_d79e4056
Königs	w5_d79e4059
einen	w7_d79e4062
considerahlen	w9_d79e4065
Sieg	w11_d79e4068
über	w1_d79e4073
die	w3_d79e4076
Jndianer,	w5_d79e4079
und	w7_d79e4082
ihre	w9_d79e4085
Anhänger	w11_d79e4088
von	w13_d79e4092
</p>
<p id="p10_d79e4126">
Paraguai	w1_d79e4130
erfochten,	w3_d79e4133
als	w5_d79e4136
welche	w7_d79e4139
letztere	w9_d79e4142
sich	w11_d79e4145
unterstanden	w1_d79e4150
