<doc id="wr_1756-10-09" attrs="word" year="1756" month="10" day="09" corpus="2">
<head id="h2_d81e3769">
Carpenteras	w1_d81e3773
11.	w3_d81e3776
Sept.	w5_d81e3779
</head>
<p id="p4_d81e3782">
Die	w1_d81e3786
Stösse	w3_d81e3789
des	w5_d81e3792
Erd=bebens,	w7_d81e3795
welche	w9_d81e3798
man	w11_d81e3801
seit	w1_d81e3806
der	w3_d81e3809
Zeit,	w5_d81e3812
da	w7_d81e3815
die	w9_d81e3818
Stadt	w11_d81e3821
Lisabon	w13_d81e3825
durch	w15_d81e3828
selbige	w1_d81e3833
fast	w3_d81e3836
gänzlich	w5_d81e3839
umgestürtzt	w7_d81e3842
ward,	w9_d81e3845
an	w11_d81e3848
verschiedenen	w1_d81e3854
andern	w3_d81e3857
Europäischen	w5_d81e3860
Oertern	w7_d81e3863
empfunden	w1_d81e3868
hat,	w3_d81e3871
lassen	w5_d81e3874
sich	w7_d81e3877
nun	w9_d81e3880
auch	w11_d81e3883
in	w13_d81e3887
der	w15_d81e3890
</p>
<p id="p6_d81e3893">
Grafschaft	w1_d81e3897
Venaißin	w3_d81e3900
spühren.	w5_d81e3903
Den	w7_d81e3906
28sten	w9_d81e3909
vorigen	w1_d81e3914
Monats,	w3_d81e3917
frühe	w5_d81e3920
gegen	w7_d81e3923
halb	w9_d81e3926
6.	w11_d81e3929
Uhr,	w13_d81e3933
fühlte	w1_d81e3938
man	w3_d81e3941
alhier	w5_d81e3944
einen	w7_d81e3947
Stoß,	w9_d81e3950
der	w11_d81e3953
7.	w13_d81e3957
Se	w15_d81e3960
cunden	w1_d81e3966
daurete,	w3_d81e3969
und	w5_d81e3972
während	w7_d81e3975
welchem	w9_d81e3978
es	w11_d81e3981
schien,	w1_d81e3986
als	w3_d81e3989
ob	w5_d81e3992
alle	w7_d81e3995
Häuser	w9_d81e3998
einfallen	w11_d81e4001
würden.	w13_d81e4005
Diejenigen	w1_d81e4010
Einwohner,	w3_d81e4013
die	w5_d81e4016
noch	w7_d81e4019
schlieffen,	w9_d81e4022
kunten	w1_d81e4027
sich	w3_d81e4030
kaum	w5_d81e4033
in	w7_d81e4036
ihren	w9_d81e4039
Behten	w11_d81e4042
erhalten,	w13_d81e4046
weil	w1_d81e4052
die	w3_d81e4055
Bewegung	w5_d81e4058
gar	w7_d81e4061
zu	w9_d81e4064
heftig	w11_d81e4067
war.	w13_d81e4071
Durch	w1_d81e4076
solche	w3_d81e4079
Bewegung,	w5_d81e4082
durch	w7_d81e4085
das	w9_d81e4088
Klingen	w11_d81e4091
der	w1_d81e4096
Fenster=scheiben,	w3_d81e4099
durch	w5_d81e4102
das	w7_d81e4105
Rasseln	w9_d81e4108
der	w11_d81e4111
Dächer,	w1_d81e4116
und	w3_d81e4119
durch	w5_d81e4122
das	w7_d81e4125
unterirrdische	w9_d81e4128
Ge	w11_d81e4131
töse,	w1_d81e4137
welches	w3_d81e4140
gemeldeter	w5_d81e4143
Stoß	w7_d81e4146
verursachte	w9_d81e4149
gerieht	w1_d81e4154
jederman	w3_d81e4157
dergestalt	w5_d81e4160
in	w7_d81e4163
Forcht	w9_d81e4166
und	w11_d81e4169
Schrecken,	w1_d81e4174
daß	w3_d81e4177
die	w5_d81e4180
Menschen	w7_d81e4183
in	w9_d81e4186
blossen	w11_d81e4189
Hem	w13_d81e4193
den	w1_d81e4198
aus	w3_d81e4201
denen	w5_d81e4204
Häusern	w7_d81e4207
lieffen,	w9_d81e4210
um	w11_d81e4213
das	w13_d81e4217
freye	w15_d81e4220
Feld	w1_d81e4226
zu	w3_d81e4229
erreichen.	w5_d81e4232
Zwey	w7_d81e4235
Minuten	w9_d81e4238
nach	w11_d81e4241
dem	w13_d81e4245
ersten	w1_d81e4250
Stosse	w3_d81e4253
erfolgte	w5_d81e4256
ein	w7_d81e4259
neuer	w9_d81e4262
Stoß;	w11_d81e4265
der	w13_d81e4269
aber	w1_d81e4274
mir	w3_d81e4277
eine	w5_d81e4280
Secunde	w7_d81e4283
lang	w9_d81e4286
währte.	w11_d81e4289
Gegen	w13_d81e4293
3.	w1_d81e4298
Viertel	w3_d81e4301
auf	w5_d81e4304
8.	w7_d81e4307
Uhr	w9_d81e4310
kam	w11_d81e4313
der	w13_d81e4317
dritte,	w15_d81e4320
dessen	w17_d81e4323
Dauer	w1_d81e4329
sich	w3_d81e4332
auf	w5_d81e4335
drey	w7_d81e4338
Secunden	w9_d81e4341
erstreckte;	w11_d81e4344
doch	w13_d81e4348
war	w1_d81e4353
er	w3_d81e4356
nicht	w5_d81e4359
so	w7_d81e4362
hart,	w9_d81e4365
als	w11_d81e4368
der	w13_d81e4372
erstere,	w15_d81e4375
un	w17_d81e4378
geachtet	w1_d81e4383
man	w3_d81e4386
ihn	w5_d81e4389
sehr	w7_d81e4392
wol	w9_d81e4395
empfinden	w11_d81e4398
kunte.	w13_d81e4402
Diese	w1_d81e4407
Stösse	w3_d81e4410
liessen	w5_d81e4413
sich	w7_d81e4416
nicht	w9_d81e4419
nur	w11_d81e4422
in	w13_d81e4426
einem	w15_d81e4429
grossen	w1_d81e4435
zu	w3_d81e4438
hiesiger	w5_d81e4441
Stadt	w7_d81e4444
gehörigen	w9_d81e4447
Strich	w11_d81e4450
Landes,	w1_d81e4455
sondern	w3_d81e4458
auch	w5_d81e4461
zu	w7_d81e4464
Pernes,	w9_d81e4467
in	w11_d81e4470
dem	w13_d81e4474
