<doc id="wr_1756-11-20" attrs="word" year="1756" month="11" day="20" corpus="2">
<head id="h2_d93e3076">
Lenden	w1_d93e3080
1.	w3_d93e3083
Nov.	w5_d93e3086
</head>
<p id="p4_d93e3089">
Je	w1_d93e3093
verlautet,	w3_d93e3096
seynd	w5_d93e3099
die	w7_d93e3102
Befehle	w9_d93e3105
er	w11_d93e3108
gangen,	w1_d93e3113
in	w3_d93e3116
Jrrland	w5_d93e3119
unverzüglich	w7_d93e3122
24.	w1_d93e3129
Compagnien	w3_d93e3132
See=völker	w5_d93e3135
auf	w7_d93e3138
zurichten,	w1_d93e3144
welche	w3_d93e3147
nacher	w5_d93e3150
America	w7_d93e3153
abge	w9_d93e3156
schicket	w1_d93e3161
werden	w3_d93e3164
sollen.	w5_d93e3167
Der	w7_d93e3170
Patron	w9_d93e3173
eines	w11_d93e3176
neulich	w1_d93e3181
von	w3_d93e3184
Barbados	w5_d93e3187
angelangten	w7_d93e3190
Fahrzeug	w9_d93e3193
hat	w1_d93e3198
berichtet,	w3_d93e3201
daß	w5_d93e3204
die	w7_d93e3207
Franzosen	w9_d93e3210
mit	w11_d93e3213
allem	w13_d93e3217
Eifer	w1_d93e3223
beschäftiget	w3_d93e3226
seyen,	w5_d93e3229
die	w7_d93e3232
neutrale	w9_d93e3235
Jn	w11_d93e3238
suln	w1_d93e3243
St.	w3_d93e3246
Lulia,	w5_d93e3249
und	w7_d93e3252
St.	w9_d93e3255
Vincent	w11_d93e3258
zu	w13_d93e3262
befe	w15_d93e3265
stigen,	w1_d93e3270
und	w3_d93e3273
man	w5_d93e3276
nicht	w7_d93e3279
zweifle,	w9_d93e3282
sie	w11_d93e3285
werden	w13_d93e3289
auch	w1_d93e3294
bald	w3_d93e3297
ein	w5_d93e3300
gleiches	w7_d93e3303
zu	w9_d93e3306
Tabago	w11_d93e3309
thun.	w13_d93e3313
</p>
<head id="h2_d93e3319">
Paris	w1_d93e3323
5.	w3_d93e3326
November.	w5_d93e3329
</head>
<p id="p4_d93e3332">
Se.	w1_d93e3336
Majestät	w3_d93e3339
der	w5_d93e3342
König	w7_d93e3345
haben	w9_d93e3348
den	w11_d93e3351
Herrn	w13_d93e3355
von	w1_d93e3360
Biron,	w3_d93e3363
den	w5_d93e3366
Grafen	w7_d93e3369
von	w9_d93e3372
Etrees,	w11_d93e3375
den	w13_d93e3379
Herrn	w1_d93e3384
von	w3_d93e3387
Luxemburg,	w5_d93e3390
und	w7_d93e3393
den	w9_d93e3396
Milord	w11_d93e3399
Clar	w13_d93e3403
zu	w1_d93e3409
Marschällen	w3_d93e3412
von	w5_d93e3415
Frankreich	w7_d93e3418
ernannt;	w9_d93e3421
die	w1_d93e3426
Herren	w3_d93e3429
des	w5_d93e3432
Chatelet	w7_d93e3435
haben	w9_d93e3438
gestern	w11_d93e3441
über	w13_d93e3445
das	w1_d93e3450
letztere	w3_d93e3453
Mandement	w5_d93e3456
des	w7_d93e3459
Herrn	w9_d93e3462
Erzbi	w11_d93e3465
schofs,	w1_d93e3470
welches	w3_d93e3473
auf	w5_d93e3476
seinen	w7_d93e3479
Befehl	w9_d93e3482
in	w11_d93e3485
Druck	w13_d93e3489
befördert,	w1_d93e3495
und	w3_d93e3498
bekannt	w5_d93e3501
gemacht	w7_d93e3504
worden,	w9_d93e3507
ein	w1_d93e3512
Urtheil	w3_d93e3515
gefället,	w5_d93e3518
welches	w7_d93e3521
viel	w9_d93e3524
Aufsehens	w11_d93e3527
machet;	w1_d93e3532
es	w3_d93e3535
wird	w5_d93e3538
dadurch	w7_d93e3541
gedachtes	w9_d93e3544
Man	w11_d93e3547
dement	w1_d93e3552
unterdrucket,	w3_d93e3555
und	w5_d93e3558
dem	w7_d93e3561
Herrn	w9_d93e3564
Erz	w11_d93e3567
bischof	w1_d93e3573
verbotten,	w3_d93e3576
ins	w5_d93e3579
künftige	w7_d93e3582
mehr	w9_d93e3585
etwas	w11_d93e3588
über	w1_d93e3593
dergleichen	w3_d93e3596
Materien	w5_d93e3599
zu	w7_d93e3602
schreiben,	w9_d93e3605
oder	w11_d93e3608
bekannt	w1_d93e3613
zu	w3_d93e3616
machen,	w5_d93e3619
bey	w7_d93e3622
Straf,	w9_d93e3625
als	w11_d93e3628
Uber	w13_d93e3632
trettere	w1_d93e3637
der	w3_d93e3640
Königl.	w5_d93e3643
Declaration	w7_d93e3646
angesehen	w9_d93e3649
zu	w11_d93e3652
werden;	w1_d93e3658
ferners	w3_d93e3661
wird	w5_d93e3664
dadurch	w7_d93e3667
befohlen	w9_d93e3670
daß	w1_d93e3675
wider	w3_d93e3678
diejenige,	w5_d93e3681
welche	w7_d93e3684
mehrbemeldtes	w9_d93e3687
Mandement	w1_d93e3692
ausgebreitet,	w3_d93e3695
oder	w5_d93e3698
sonsten	w7_d93e3701
zu	w9_d93e3704
dessen	w1_d93e3709
Bekanntmachung	w3_d93e3712
behülflich	w5_d93e3715
gewesen,	w7_d93e3718
rechtlich	w1_d93e3724
verfahren	w3_d93e3727
werden	w5_d93e3730
solle.	w7_d93e3733
</p>
<head id="h2_d93e3739">
Neapel	w1_d93e3743
5.	w3_d93e3746
October.	w5_d93e3749
</head>
<p id="p4_d93e3752">
An	w1_d93e3756
4.	w3_d93e3759
Königl.	w5_d93e3762
Regimenter	w7_d93e3765
ist	w9_d93e3768
Befehl	w11_d93e3771
er	w13_d93e3775
</p>
<p id="p10_d93e3804">
gangen,	w1_d93e3808
sich	w3_d93e3811
nach	w5_d93e3814
Manfredonia	w7_d93e3817
zu	w9_d93e3820
ziehen,	w11_d93e3823
und	w1_d93e3828
benöhtigten	w3_d93e3831
Falls	w5_d93e3834
von	w7_d93e3837
dar	w9_d93e3840
weiter	w11_d93e3843
nach	w13_d93e3847
Triest	w1_d93e3852
zu	w3_d93e3855
Schiffe	w5_d93e3858
zu	w7_d93e3861
begeben.	w9_d93e3864
Unsere	w11_d93e3867
Lebe	w13_d93e3871
quen	w1_d93e3877
seynd	w3_d93e3880
anhero	w5_d93e3883
zurück	w7_d93e3886
gekommen,	w9_d93e3889
nachdem	w11_d93e3892
sie	w1_d93e3897
eine	w3_d93e3900
gute	w5_d93e3903
Zeit	w7_d93e3906
in	w9_d93e3909
denen	w11_d93e3912
Gewässern	w13_d93e3916
nach	w15_d93e3919
der	w1_d93e3924
Levante	w3_d93e3927
gekreutzet	w5_d93e3930
haben.	w7_d93e3933
Bey	w9_d93e3936
Hofe	w11_d93e3939
werden	w1_d93e3944
öftere	w3_d93e3947
Berahtschlagungen	w5_d93e3950
mit	w7_d93e3953
Zu	w9_d93e3956
ziehung	w1_d93e3962
des	w3_d93e3965
Französischen	w5_d93e3968
Gesandtens,	w7_d93e3971
und	w9_d93e3974
des	w1_d93e3979
Spanischen	w3_d93e3982
Ministers	w5_d93e3985
gepflogen.	w7_d93e3988
Der	w9_d93e3991
Vesuvins	w1_d93e3996
hält	w3_d93e3999
sich	w5_d93e4002
anjetzo	w7_d93e4005
ganz	w9_d93e4008
ruhig	w11_d93e4011
</p>
<head id="h2_d93e4017">
Rom	w1_d93e4021
9.	w3_d93e4024
October.	w5_d93e4027
</head>
<p id="p4_d93e4030">
Heute	w1_d93e4034
vor	w3_d93e4037
8.	w5_d93e4040
Tagen	w7_d93e4043
reisete	w9_d93e4046
der	w11_d93e4049
Cardinal	w13_d93e4053
Millo	w1_d93e4058
nach	w3_d93e4061
Ancona	w5_d93e4064
ab.	w7_d93e4067
Er	w9_d93e4070
hat	w11_d93e4073
von	w13_d93e4077
Sr.	w15_d93e4080
Heiligkeit	w1_d93e4085
den	w3_d93e4088
Auftrag	w5_d93e4091
empfangen,	w7_d93e4094
den	w9_d93e4097
grossen	w1_d93e4103
Bau	w3_d93e4106
an	w5_d93e4109
dem	w7_d93e4112
dasigen	w9_d93e4115
Hafen	w11_d93e4118
in	w13_d93e4122
Au	w15_d93e4125
genschein	w1_d93e4130
zu	w3_d93e4133
nehmen,	w5_d93e4136
wozu	w7_d93e4139
ausser	w9_d93e4142
denen	w11_d93e4145
be	w13_d93e4149
reits	w1_d93e4154
darauf	w3_d93e4157
gewendeten	w5_d93e4160
ansehnlichen	w7_d93e4163
Sum	w9_d93e4166
men	w1_d93e4171
noch	w3_d93e4174
mehrere,	w5_d93e4177
die	w7_d93e4180
man	w9_d93e4183
zum	w11_d93e4186
Theil	w13_d93e4190
von	w15_d93e4193
dem	w1_d93e4199
Lötterie=pachte	w3_d93e4202
nehmen	w5_d93e4205
wird,	w7_d93e4208
bestimmt	w9_d93e4211
seyn	w1_d93e4216
sollen.,	w3_d93e4219
damit	w5_d93e4222
das	w7_d93e4225
Werk	w9_d93e4228
desto	w11_d93e4231
mehr	w13_d93e4235
gefördert,	w1_d93e4240
und	w3_d93e4243
je	w5_d93e4246
eher	w7_d93e4249
je	w9_d93e4252
lieber	w11_d93e4255
zu	w13_d93e4259
Stande	w15_d93e4262
gebracht	w1_d93e4267
werden	w3_d93e4270
könne.	w5_d93e4273
Am	w7_d93e4276
Dienstag	w9_d93e4279
hat	w11_d93e4282
das	w1_d93e4288
Gesundheits=tribunal	w3_d93e4291
ein	w5_d93e4294
Edict	w7_d93e4297
publi	w9_d93e4300
ciren	w1_d93e4305
lassen,	w3_d93e4308
daß	w5_d93e4311
alle	w7_d93e4314
aus	w9_d93e4317
Morca	w11_d93e4320
und	w13_d93e4324
an	w15_d93e4327
dern	w1_d93e4332
wegen	w3_d93e4335
der	w5_d93e4338
Pest	w7_d93e4341
verdächtigen	w9_d93e4344
Orten	w11_d93e4347
nach	w13_d93e4351
denen	w1_d93e4356
Häfen	w3_d93e4359
des	w5_d93e4362
Kirchen=staats	w7_d93e4365
kommende	w9_d93e4368
Fahrzeuge	w1_d93e4374
eine	w3_d93e4377
völlige	w5_d93e4380
Quarantaine	w7_d93e4383
von	w9_d93e4386
40.	w11_d93e4389
Tagen	w1_d93e4394
halten	w3_d93e4397
sollen.	w5_d93e4400
</p>
<head id="h2_d93e4407">
Genua	w1_d93e4411
16.	w3_d93e4414
October.	w5_d93e4417
</head>
<p id="p4_d93e4420">
Die	w1_d93e4424
12.	w3_d93e4427
dieses	w5_d93e4430
langte	w7_d93e4433
ein	w9_d93e4436
Schwedisches	w11_d93e4439
Schif	w1_d93e4444
in	w3_d93e4447
15.	w5_d93e4450
Tagen	w7_d93e4453
von	w9_d93e4456
Maltha	w11_d93e4459
hier	w13_d93e4463
an,	w15_d93e4466
mit	w1_d93e4471
welchem	w3_d93e4474
3.	w5_d93e4477
von	w7_d93e4480
denen	w9_d93e4483
Genuesern,	w11_d93e4486
die	w13_d93e4490
sich	w1_d93e4496
letzt=gemeldeter	w3_d93e4499
mallen	w5_d93e4502
von	w7_d93e4505
Tunis	w9_d93e4508
geflüch	w11_d93e4511
tet,	w1_d93e4516
hieher	w3_d93e4519
gekommen	w5_d93e4522
seynd.	w7_d93e4525
Der	w9_d93e4528
Capitan	w11_d93e4531
dieses	w1_d93e4536
Schifs	w3_d93e4539
hat	w5_d93e4542
rapportirt,	w7_d93e4545
wasmassen	w9_d93e4548
</p>
<p id="p10_d93e4561">
man	w1_d93e4565
zu	w3_d93e4568
Maltha	w5_d93e4571
die	w7_d93e4574
Nachricht	w9_d93e4577
erhalten,	w11_d93e4580
daß	w13_d93e4584
die	w1_d93e4589
Algierer	w3_d93e4592
dem	w5_d93e4595
gefangenen	w7_d93e4598
alten	w9_d93e4601
Bassa	w11_d93e4604
mit	w13_d93e4608
einer	w1_d93e4613
Sichel	w3_d93e4616
den	w5_d93e4619
Kopf	w7_d93e4622
abgeschnitten,	w9_d93e4625
daß	w11_d93e4628
die	w1_d93e4634
Malthesische	w3_d93e4637
Escadre,	w5_d93e4640
nach	w7_d93e4643
der	w9_d93e4646
Einnahin	w11_d93e4649
Tunis,	w1_d93e4654
die	w3_d93e4657
Seile	w5_d93e4660
von	w7_d93e4663
6.	w9_d93e4666
Tunesischen	w11_d93e4669
Raub	w13_d93e4673
schiffen	w1_d93e4678
entzwey	w3_d93e4681
gehauen,	w5_d93e4684
und	w7_d93e4687
selbe	w9_d93e4690
mit	w11_d93e4693
sich	w13_d93e4697
geführet,	w1_d93e4702
sohin	w3_d93e4705
aber,	w5_d93e4708
nachdem	w7_d93e4711
sie	w9_d93e4714
die	w11_d93e4717
Malthesi	w13_d93e4721
sche	w1_d93e4727
Sclaven	w3_d93e4730
davon	w5_d93e4733
an	w7_d93e4736
ihr	w9_d93e4739
Boord	w11_d93e4742
genommen,	w13_d93e4746
dieselbe	w1_d93e4751
im	w3_d93e4754
Meer	w5_d93e4757
wieder	w7_d93e4760
verlassen	w9_d93e4763
habe.	w11_d93e4766
</p>
<head id="h2_d93e4772">
Marseille	w1_d93e4776
19	w3_d93e4779
October.	w5_d93e4782
</head>
