<doc id="wr_1757-01-12" attrs="word" year="1757" month="01" day="12" corpus="2">
<head id="h2_d108e2817">
Malta	w1_d108e2821
23.	w3_d108e2824
Nov.	w5_d108e2827
1756.	w7_d108e2830
</head>
<p id="p4_d108e2833">
Orgestern	w1_d108e2837
Abends	w3_d108e2840
sahe	w5_d108e2843
man	w7_d108e2846
5.	w9_d108e2849
Fran	w11_d108e2852
zösische	w1_d108e2857
Kaper	w3_d108e2860
mit	w5_d108e2863
3.	w7_d108e2866
eroberten	w9_d108e2869
Eng	w11_d108e2872
ländischen	w1_d108e2877
Kauffarthey=schiffen	w3_d108e2880
auf	w5_d108e2883
der	w1_d108e2889
Höhe	w3_d108e2892
dieses	w5_d108e2895
Hafens	w7_d108e2898
vorbey	w9_d108e2901
segelen.	w11_d108e2904
Das	w13_d108e2908
Französische	w1_d108e2913
Kauffarthey=schif,	w3_d108e2916
der	w5_d108e2919
Heil.	w7_d108e2922
Antonius,	w1_d108e2927
mit	w3_d108e2930
16.	w5_d108e2933
Canonen	w7_d108e2936
montirt,	w9_d108e2939
hat	w11_d108e2942
die	w1_d108e2947
jährliche	w3_d108e2950
Geld=summen	w5_d108e2953
von	w7_d108e2956
wegen	w9_d108e2959
des	w11_d108e2962
Allerchristlichsten	w1_d108e2968
Königs	w3_d108e2971
mit	w5_d108e2974
6.	w7_d108e2977
neuen	w9_d108e2980
Rit	w11_d108e2983
tern	w1_d108e2988
anhero	w3_d108e2991
überbracht.	w5_d108e2994
Den	w7_d108e2997
20.	w9_d108e3000
dieses,	w11_d108e3003
des	w1_d108e3008
Morgens	w3_d108e3011
ungefehr	w5_d108e3014
um	w7_d108e3017
9.	w9_d108e3020
Uhr,	w11_d108e3023
haben	w13_d108e3027
wir	w1_d108e3032
hier	w3_d108e3035
ein	w5_d108e3038
Erd	w7_d108e3041
und	w9_d108e3044
See=beben	w11_d108e3047
gehabt,	w13_d108e3051
so	w1_d108e3057
aber	w3_d108e3060
GOtt	w5_d108e3063
sey	w7_d108e3066
Dank,	w9_d108e3069
nicht	w11_d108e3072
den	w13_d108e3076
gering	w15_d108e3079
sten	w1_d108e3084
Schaden	w3_d108e3087
gethan	w5_d108e3090
hat.	w7_d108e3093
</p>
<head id="h2_d108e3099">
Lisabon	w1_d108e3103
3.	w3_d108e3106
Dec.	w5_d108e3109
1756.	w7_d108e3112
</head>
<p id="p4_d108e3115">
Man	w1_d108e3119
rechnet,	w3_d108e3122
daß	w5_d108e3125
die	w7_d108e3128
Expedition	w9_d108e3131
von	w11_d108e3134
la	w13_d108e3138
Nuova	w1_d108e3143
Colonia,	w3_d108e3146
so	w5_d108e3149
noch	w7_d108e3152
nicht	w9_d108e3155
geendiget	w11_d108e3158
ist,	w13_d108e3162
uns	w1_d108e3167
schon	w3_d108e3170
bey	w5_d108e3173
6.	w7_d108e3176
Millionen,	w9_d108e3179
so	w11_d108e3182
wok	w13_d108e3186
auf	w15_d108e3189
der	w17_d108e3192
Ost	w1_d108e3198
als	w3_d108e3201
Süder=seite,	w5_d108e3204
gekostet	w7_d108e3207
habe.	w9_d108e3210
</p>
<head id="h2_d108e3216">
Londen	w1_d108e3220
21.	w3_d108e3223
Dec.	w5_d108e3226
1756.	w7_d108e3229
</head>
<p id="p4_d108e3232">
Am	w1_d108e3236
Freytag	w3_d108e3239
paßirten	w5_d108e3242
die	w7_d108e3245
Lords	w9_d108e3248
die	w11_d108e3251
Bill,	w13_d108e3255
wodurch	w1_d108e3260
die	w3_d108e3263
Ausfuhr	w5_d108e3266
der	w7_d108e3269
Früchten	w9_d108e3272
verbotten	w11_d108e3275
wird,	w1_d108e3280
ingleichem	w3_d108e3283
auch	w5_d108e3286
die,	w7_d108e3289
so	w9_d108e3292
die	w11_d108e3295
Repar	w13_d108e3299
</p>
<p id="p6_d108e3302">
tirung	w1_d108e3306
deren	w3_d108e3309
fremben	w5_d108e3312
Trupen,	w7_d108e3315
welche	w9_d108e3318
in	w11_d108e3321
die	w13_d108e3325
sem	w1_d108e3330
Königreich	w3_d108e3333
in	w5_d108e3336
Königl.	w7_d108e3339
Diensten	w9_d108e3342
seynd,	w11_d108e3345
betrift.	w1_d108e3350
Dem	w3_d108e3353
Unter=haus	w5_d108e3356
wurden	w7_d108e3359
verschie	w9_d108e3362
dene	w1_d108e3368
Uberschläge	w3_d108e3371
von	w5_d108e3374
denen	w7_d108e3377
Kosten	w9_d108e3380
der	w11_d108e3383
Han	w13_d108e3387
noverischen,	w1_d108e3392
und	w3_d108e3395
Heßischen	w5_d108e3398
Trupen,	w7_d108e3401
so	w9_d108e3404
noch	w11_d108e3407
im	w1_d108e3412
diesem	w3_d108e3415
Königreich	w5_d108e3418
seynd,	w7_d108e3421
auf	w9_d108e3424
62.	w11_d108e3427
Tage,	w13_d108e3431
vom	w1_d108e3436
25.	w3_d108e3439
jetzigen	w5_d108e3442
Monats	w7_d108e3445
bis	w9_d108e3448
den	w11_d108e3451
24.	w13_d108e3455
Febr.	w15_d108e3458
künftigen	w1_d108e3464
1757sten	w3_d108e3467
Jahrs	w5_d108e3470
gerechnet,	w7_d108e3473
über	w9_d108e3476
reichet.	w1_d108e3481
Am	w3_d108e3484
Samstag	w5_d108e3487
machte	w7_d108e3490
der	w9_d108e3493
Lord	w11_d108e3496
San	w13_d108e3500
dys,	w1_d108e3505
Orator	w3_d108e3508
des	w5_d108e3511
Ober=hauses,	w7_d108e3514
diesem	w9_d108e3517
Haus	w1_d108e3522
bekannt,	w3_d108e3525
daß	w5_d108e3528
Se.	w7_d108e3531
Majestät,	w9_d108e3534
der	w11_d108e3537
Kö	w13_d108e3541
nig,	w1_d108e3547
eine	w3_d108e3550
Commißion	w5_d108e3553
etablirt	w7_d108e3556
hätten,	w9_d108e3559
so	w11_d108e3562
das	w1_d108e3567
grosse	w3_d108e3570
Siegel	w5_d108e3573
paßirt	w7_d108e3576
seye,	w9_d108e3579
wodurch	w11_d108e3582
Se.	w13_d108e3586
Königl.	w1_d108e3591
Hoheit,	w3_d108e3594
der	w5_d108e3597
Herzog	w7_d108e3600
von	w9_d108e3603
Cumberland,	w11_d108e3606
und	w1_d108e3611
einige	w3_d108e3614
andere	w5_d108e3617
Herren	w7_d108e3620
authorisirt	w9_d108e3623
werden,	w11_d108e3626
den	w1_d108e3632
Königl.	w3_d108e3635
Consens	w5_d108e3638
über	w7_d108e3641
die	w9_d108e3644
Billen,	w11_d108e3647
so	w13_d108e3651
in	w15_d108e3654
beyden	w1_d108e3659
Häusern	w3_d108e3662
paßiren,	w5_d108e3665
zu	w7_d108e3668
geben.	w9_d108e3671
Nach	w11_d108e3674
dem	w1_d108e3679
die	w3_d108e3682
vom	w5_d108e3685
Unter=haus	w7_d108e3688
waren	w9_d108e3691
beruffen	w11_d108e3694
worden,	w1_d108e3699
wurde	w3_d108e3702
die	w5_d108e3705
Commißion	w7_d108e3708
gelesen,	w9_d108e3711
wor	w11_d108e3714
nach	w1_d108e3720
man	w3_d108e3723
die	w5_d108e3726
Königl.	w7_d108e3729
Einwilligung	w9_d108e3732
zu	w11_d108e3735
denen	w13_d108e3739
Bills	w1_d108e3744
wegen	w3_d108e3747
des	w5_d108e3750
Verbotts	w7_d108e3753
der	w9_d108e3756
Ausfuhr	w11_d108e3759
der	w13_d108e3763
Früchten,	w1_d108e3768
und	w3_d108e3771
zu	w5_d108e3774
der	w7_d108e3777
wegen	w9_d108e3780
Verschaffung	w11_d108e3783
der	w1_d108e3788
Logimenten	w3_d108e3791
für	w5_d108e3794
die	w7_d108e3797
in	w9_d108e3800
diesem	w11_d108e3803
Königreich	w13_d108e3807
befindliche	w1_d108e3813
fremde	w3_d108e3816
Trupen	w5_d108e3819
gabe.	w7_d108e3822
</p>
<head id="h4_d108e3838">
Toulon	w1_d108e3842
15.	w3_d108e3845
Dec.	w5_d108e3848
1756.	w7_d108e3851
</head>
<p id="p6_d108e3854">
Die	w1_d108e3858
Commercien=kammer	w3_d108e3861
lässet	w5_d108e3864
über	w7_d108e3867
den	w9_d108e3870
schon	w1_d108e3875
gemelden	w3_d108e3878
Kaper,	w5_d108e3881
noch	w7_d108e3884
3.	w9_d108e3887
Königl.	w11_d108e3890
Bar	w13_d108e3894
quen	w1_d108e3899
armiren,	w3_d108e3902
von	w5_d108e3905
denen	w7_d108e3908
man	w9_d108e3911
glaubet,	w11_d108e3914
daß	w13_d108e3918
sie	w1_d108e3924
gegen	w3_d108e3927
die	w5_d108e3930
Algierer,	w7_d108e3933
und	w9_d108e3936
Saletiner,	w11_d108e3939
welche	w13_d108e3943
das	w1_d108e3948
Commercium	w3_d108e3951
stöhren,	w5_d108e3954
und	w7_d108e3957
wann	w9_d108e3960
sie	w11_d108e3963
von	w13_d108e3967
unsern	w1_d108e3972
Fahr=zeugen	w3_d108e3975
einige	w5_d108e3978
in	w7_d108e3981
die	w9_d108e3984
Hände	w11_d108e3987
be	w13_d108e3991
kommen,	w1_d108e3996
mit	w3_d108e3999
denen	w5_d108e4002
Equippages	w7_d108e4005
grausam	w9_d108e4008
umgehen,	w1_d108e4014
kreutzen	w3_d108e4017
werden.	w5_d108e4020
Man	w7_d108e4023
glaubt	w9_d108e4026
/	w11_d108e4029
daß	w1_d108e4034
die	w3_d108e4037
5.	w5_d108e4040
Schiffe,	w7_d108e4043
welche	w9_d108e4046
Escadre	w11_d108e4049
des	w13_d108e4053
Herrn	w1_d108e4058
de	w3_d108e4061
la	w5_d108e4064
Clue	w7_d108e4067
ausmachen,	w9_d108e4070
gleichfalls	w11_d108e4073
wider	w1_d108e4078
selbe	w3_d108e4081
gewiedmet	w5_d108e4084
seyen.	w7_d108e4087
Es	w9_d108e4090
kommen	w11_d108e4093
noch	w1_d108e4099
täglich	w3_d108e4102
fremde	w5_d108e4105
Schif=zimmer=leute	w7_d108e4108
hier	w9_d108e4111
an,	w1_d108e4116
um	w3_d108e4119
in	w5_d108e4122
unserm	w7_d108e4125
Zeug=haus	w9_d108e4128
zu	w11_d108e4131
arbeiten.	w13_d108e4135
Den	w1_d108e4140
1sten	w3_d108e4143
dieses	w5_d108e4146
langten	w7_d108e4149
300.	w9_d108e4152
hier	w11_d108e4155
an,	w13_d108e4159
so	w15_d108e4162
Genueser,	w1_d108e4167
oder	w3_d108e4170
Neapolitaner	w5_d108e4173
seynd.	w7_d108e4176
Man	w9_d108e4179
schmeichelt	w1_d108e4185
sich,	w3_d108e4188
daß	w5_d108e4191
wir	w7_d108e4194
künftiges	w9_d108e4197
Früh	w11_d108e4200
jahr	w1_d108e4205
eine	w3_d108e4208
so	w5_d108e4211
ansehnliche	w7_d108e4214
Escadre	w9_d108e4217
in	w11_d108e4220
See	w13_d108e4224
brin	w15_d108e4227
gen	w1_d108e4232
werden,	w3_d108e4235
die	w5_d108e4238
im	w7_d108e4241
Stand	w9_d108e4244
seye,	w11_d108e4247
auf	w13_d108e4251
dem	w15_d108e4254
Mittelländischen	w1_d108e4259
Meer	w3_d108e4262
Gesätze	w5_d108e4265
vorzuschrei	w7_d108e4268
ben.	w1_d108e4274
</p>
<head id="h2_d108e4281">
Paris	w1_d108e4285
20.	w3_d108e4288
Dec.	w5_d108e4291
1756.	w7_d108e4294
</head>
<p id="p4_d108e4297">
Dieser	w1_d108e4301
Tagen	w3_d108e4304
ergienge	w5_d108e4307
nach	w7_d108e4310
gehaltenem	w9_d108e4313
Lit.	w1_d108e4318
de	w3_d108e4321
Justice,	w5_d108e4324
das	w7_d108e4327
Gerücht,	w9_d108e4330
daß	w11_d108e4333
ein	w13_d108e4337
ge	w15_d108e4340
wisser	w1_d108e4345
vornehmer	w3_d108e4348
Herr,	w5_d108e4351
wegen	w7_d108e4354
einiger	w9_d108e4357
allzu	w11_d108e4360
hart	w1_d108e4366
ausgestossener	w3_d108e4369
Reden	w5_d108e4372
gegen	w7_d108e4375
den	w9_d108e4378
Herrn	w11_d108e4381
Reichs=canzler,	w1_d108e4386
in	w3_d108e4389
die	w5_d108e4392
Königl.	w7_d108e4395
Ungnade	w9_d108e4398
ge	w11_d108e4401
fallen,	w1_d108e4406
und	w3_d108e4409
darauf	w5_d108e4412
verwiesen	w7_d108e4415
worden	w9_d108e4418
seye,	w11_d108e4421
allein	w1_d108e4426
es	w3_d108e4429
befindet	w5_d108e4432
sich	w7_d108e4435
dieses	w9_d108e4438
Gerücht	w11_d108e4441
von	w13_d108e4445
der	w15_d108e4448
Verweisung	w1_d108e4454
ohne	w3_d108e4457
Grund	w5_d108e4460
Da	w7_d108e4463
abgewichenen	w9_d108e4466
Freytag	w1_d108e4471
die	w3_d108e4474
nach	w5_d108e4477
Hof	w7_d108e4480
beruffene	w9_d108e4483
Conseillers,	w11_d108e4486
und	w1_d108e4491
Präsidenten	w3_d108e4494
a	w5_d108e4497
Mortiers	w7_d108e4500
sich	w9_d108e4503
alda	w11_d108e4506
ein	w13_d108e4510
fanden,	w1_d108e4515
wurden	w3_d108e4518
selbige	w5_d108e4521
von	w7_d108e4524
Sr.	w9_d108e4527
Königl.	w11_d108e4530
Majestät	w1_d108e4536
sehr	w3_d108e4539
gnädig	w5_d108e4542
empfangen,	w7_d108e4545
indeme	w9_d108e4548
der	w1_d108e4553
König	w3_d108e4556
sich	w5_d108e4559
dahin	w7_d108e4562
vernehmen	w9_d108e4565
lassen,	w11_d108e4568
daß	w13_d108e4572
Dero	w1_d108e4577
Gesinnung	w3_d108e4580
dahin	w5_d108e4583
gienge,	w7_d108e4586
die	w9_d108e4589
gemachte	w11_d108e4592
Verordnung,	w1_d108e4597
betreffend	w3_d108e4600
die	w5_d108e4603
Abstellung	w7_d108e4606
deren	w9_d108e4609
zweyen	w1_d108e4615
Cammern,	w3_d108e4618
abzuändern:	w5_d108e4621
Derowegen	w7_d108e4624
Höchst=dieselben	w1_d108e4629
ihnen	w3_d108e4632
erlaubeten,	w5_d108e4635
sich	w7_d108e4638
be	w9_d108e4641
sonders	w1_d108e4646
zu	w3_d108e4649
versammlen;	w5_d108e4652
und	w7_d108e4655
darüber	w9_d108e4658
ihre	w11_d108e4661
Anmerkungen	w1_d108e4666
zu	w3_d108e4669
machen,	w5_d108e4672
und	w7_d108e4675
sodann	w9_d108e4678
die	w11_d108e4681
selbige	w1_d108e4687
wieder	w3_d108e4690
geziemend	w5_d108e4693
vorzutragen,	w7_d108e4696
da	w9_d108e4699
sie	w11_d108e4702
ein	w1_d108e4707
gnädiges	w3_d108e4710
Gehör	w5_d108e4713
finden	w7_d108e4716
würden.	w9_d108e4719
Diese	w11_d108e4722
Antwort	w1_d108e4727
hat	w3_d108e4730
die	w5_d108e4733
bestürzte	w7_d108e4736
Gemüter	w9_d108e4739
nicht	w11_d108e4742
wenig	w1_d108e4747
besänftiget.	w3_d108e4750
</p>
<p id="p6_d108e4753">
Der	w1_d108e4757
König	w3_d108e4760
hat	w5_d108e4763
allen	w7_d108e4766
hier	w9_d108e4769
anwesenden	w11_d108e4772
Bi	w13_d108e4776
schöffen	w1_d108e4781
Befehl	w3_d108e4784
gegeben,	w5_d108e4787
sich	w7_d108e4790
fördersamst	w9_d108e4793
nach	w11_d108e4796
ihren	w1_d108e4801
Diöcesen	w3_d108e4804
zu	w5_d108e4807
begeben,	w7_d108e4810
und	w9_d108e4813
alda	w11_d108e4816
dere	w13_d108e4820
Ordres	w1_d108e4826
zu	w3_d108e4829
erwarten.	w5_d108e4832
Das	w7_d108e4835
Armament	w9_d108e4838
der	w11_d108e4841
Jndianischen	w1_d108e4846
Compagnie	w3_d108e4849
zu	w5_d108e4852
Orient	w7_d108e4855
ist	w9_d108e4858
geen	w11_d108e4861
</p>
<p id="p8_d108e4864">
diget.	w1_d108e4868
Der	w3_d108e4871
Graf	w5_d108e4874
von	w7_d108e4877
Broglio,	w9_d108e4880
unser	w11_d108e4883
Am	w13_d108e4887
bassadeur	w1_d108e4892
zu	w3_d108e4895
Dresden,	w5_d108e4898
ist	w7_d108e4901
hier	w9_d108e4904
eingetroffen,	w11_d108e4907
um	w1_d108e4912
einige	w3_d108e4915
Zeit	w5_d108e4918
hier	w7_d108e4921
zu	w9_d108e4924
bleiben.	w11_d108e4927
</p>
<head id="h2_d108e4933">
Paris	w1_d108e4937
24.	w3_d108e4940
Dec.	w5_d108e4943
1756.	w7_d108e4946
</head>
<p id="p4_d108e4949">
Ein	w1_d108e4953
von	w3_d108e4956
Quebec	w5_d108e4959
zu	w7_d108e4962
Brest	w9_d108e4965
angelangtes	w11_d108e4968
Fahr	w13_d108e4972
zeug	w1_d108e4977
hat	w3_d108e4980
sehr	w5_d108e4983
angenehme	w7_d108e4986
Zeitungen	w9_d108e4989
aus	w11_d108e4992
Ca	w13_d108e4996
nada	w1_d108e5001
mitgebracht.	w3_d108e5004
Seither	w5_d108e5007
Oswego	w7_d108e5010
wäre	w9_d108e5013
erobert	w1_d108e5019
worden,	w3_d108e5022
hätte	w5_d108e5025
der	w7_d108e5028
Marquis	w9_d108e5031
von	w11_d108e5034
Moncalm	w1_d108e5039
sehr	w3_d108e5042
ansehnliche	w5_d108e5045
Vortheile	w7_d108e5048
erhalten.	w9_d108e5051
Die	w1_d108e5056
Canadier,	w3_d108e5059
und	w5_d108e5062
Wilden	w7_d108e5065
hätten	w9_d108e5068
sich	w11_d108e5071
der	w13_d108e5075
Provinzen	w1_d108e5080
Pensylvanien,	w3_d108e5083
Maryland,	w5_d108e5086
und	w7_d108e5089
Nu=yorck	w1_d108e5095
bemächtiget,	w3_d108e5098
und	w5_d108e5101
überall	w7_d108e5104
Gefan	w9_d108e5107
gene	w1_d108e5112
gemacht.	w3_d108e5115
Die	w5_d108e5118
Escadre	w7_d108e5121
des	w9_d108e5124
Herrn	w11_d108e5127
Per	w13_d108e5131
riers	w1_d108e5136
von	w3_d108e5139
Salvert	w5_d108e5142
ist	w7_d108e5145
am	w9_d108e5148
14	w11_d108e5151
dieses	w13_d108e5155
von	w15_d108e5158
St.	w17_d108e5161
Domingue	w1_d108e5166
zu	w3_d108e5169
Brest	w5_d108e5172
zurück	w7_d108e5175
gekommen:	w9_d108e5178
Er	w11_d108e5181
hat	w1_d108e5187
während	w3_d108e5190
seinem	w5_d108e5193
Kreutz=zug	w7_d108e5196
6.	w9_d108e5199
Officiers	w11_d108e5202
von	w1_d108e5207
seiner	w3_d108e5210
Escadre	w5_d108e5213
verloren.	w7_d108e5216
Sie	w9_d108e5219
hat	w11_d108e5222
in	w13_d108e5226
6.	w15_d108e5229
Schiffen,	w1_d108e5234
und	w3_d108e5237
Fregatten	w5_d108e5240
bestanden.	w7_d108e5243
Die	w9_d108e5246
Fregatte	w1_d108e5251
l'Abenakise,	w3_d108e5254
so	w5_d108e5257
zu	w7_d108e5260
Quebec	w9_d108e5263
erbauet	w11_d108e5266
worden,	w1_d108e5272
ist	w3_d108e5275
einige	w5_d108e5278
Stunden	w7_d108e5281
vor	w9_d108e5284
der	w11_d108e5287
Escadre	w13_d108e5291
zu	w1_d108e5296
Brest	w3_d108e5299
angekommen,	w5_d108e5302
und	w7_d108e5305
hat	w9_d108e5308
150.	w11_d108e5311
Sol	w13_d108e5315
daten	w1_d108e5320
der	w3_d108e5323
Garnison	w5_d108e5326
des	w7_d108e5329
Forts	w9_d108e5332
Oswego,	w11_d108e5335
samt	w1_d108e5340
ihren	w3_d108e5343
Officiers	w5_d108e5346
mitgebracht.	w7_d108e5349
Man	w9_d108e5352
mel	w11_d108e5355
det	w1_d108e5361
von	w3_d108e5364
Brest,	w5_d108e5367
daß	w7_d108e5370
die	w9_d108e5373
alda	w11_d108e5376
ausgerüstete	w13_d108e5380
Escadren	w1_d108e5385
nur	w3_d108e5388
auf	w5_d108e5391
Ordres	w7_d108e5394
warteten,	w9_d108e5397
um	w11_d108e5400
unter	w13_d108e5404
Segel	w1_d108e5409
zu	w3_d108e5412
gehen.	w5_d108e5415
</p>
<head id="h2_d108e5421">
Rom	w1_d108e5425
20.	w3_d108e5428
Dec.	w5_d108e5431
1756.	w7_d108e5434
</head>
<p id="p4_d108e5437">
Se.	w1_d108e5441
Päpstl.	w3_d108e5444
Heiligkeit	w5_d108e5447
seynd	w7_d108e5450
von	w9_d108e5453
Jhrer	w11_d108e5456
Unpäßlichkeit	w1_d108e5461
dermassen	w3_d108e5464
wieder	w5_d108e5467
hergestellt,	w7_d108e5470
daß	w1_d108e5475
man	w3_d108e5478
bereits	w5_d108e5481
in	w7_d108e5484
der	w9_d108e5487
Vatican=kirche	w11_d108e5490
das	w13_d108e5494
Te	w1_d108e5500
Deum	w3_d108e5503
abgesungen	w5_d108e5506
hat:	w7_d108e5509
wie	w9_d108e5512
dann	w11_d108e5515
Diesel	w13_d108e5519
ben	w1_d108e5524
auch	w3_d108e5527
bereits	w5_d108e5530
offentliche	w7_d108e5533
Audienz	w9_d108e5536
ertheilet.	w11_d108e5539
Einem	w1_d108e5544
armen	w3_d108e5547
Mann	w5_d108e5550
aus	w7_d108e5553
dem	w9_d108e5556
Gebürge,	w11_d108e5559
der	w13_d108e5563
viele	w1_d108e5568
Jahre,	w3_d108e5571
und	w5_d108e5574
eine	w7_d108e5577
starke	w9_d108e5580
Famille	w11_d108e5583
hat,	w13_d108e5587
ist	w1_d108e5593
man	w3_d108e5596
nächst	w5_d108e5599
GOtt	w7_d108e5602
die	w9_d108e5605
Erhaltung	w11_d108e5608
Sr.	w13_d108e5612
Heiligkeit	w1_d108e5617
schuldig,	w3_d108e5620
als	w5_d108e5623
welcher	w7_d108e5626
durch	w9_d108e5629
ein	w11_d108e5632
simples	w1_d108e5637
Mittel	w3_d108e5640
mehr	w5_d108e5643
zuwege	w7_d108e5646
gebracht,	w9_d108e5649
als	w11_d108e5652
alle	w1_d108e5657
Aerzte.	w3_d108e5660
Die	w5_d108e5663
Krankheit	w7_d108e5666
hatte	w9_d108e5669
würklich	w11_d108e5672
schon	w1_d108e5678
so	w3_d108e5681
überhand	w5_d108e5684
genommen,	w7_d108e5687
daß	w9_d108e5690
man	w11_d108e5693
alle	w13_d108e5697
Hofnung	w1_d108e5702
verloren	w3_d108e5705
gab,	w5_d108e5708
