<doc id="wr_1757-01-15" attrs="word" year="1757" month="01" day="15" corpus="2">
<head id="h2_d109e3306">
Corsica	w1_d109e3310
1.	w3_d109e3313
Dec.	w5_d109e3316
1756.	w7_d109e3319
</head>
<p id="p4_d109e3322">
DEn	w1_d109e3326
28.	w3_d109e3329
vorigen	w5_d109e3332
Monats	w7_d109e3335
ist	w9_d109e3338
der	w11_d109e3341
Mar	w13_d109e3345
7quis	w1_d109e3350
von	w3_d109e3353
Castries,	w5_d109e3356
Commandant	w7_d109e3359
der	w9_d109e3362
Französischen	w1_d109e3367
Trupen,	w3_d109e3370
wieder	w5_d109e3373
von	w7_d109e3376
Bastia	w1_d109e3382
abgereiset,	w3_d109e3385
um	w5_d109e3388
seine	w7_d109e3391
Tour	w9_d109e3394
auf	w11_d109e3397
dieser	w13_d109e3401
Jnsul	w1_d109e3406
fortzusetzen.	w3_d109e3409
Dieser	w5_d109e3412
Tagen	w7_d109e3415
erhub	w9_d109e3418
sich	w11_d109e3421
der	w1_d109e3426
Abt	w3_d109e3429
von	w5_d109e3432
Expilly	w7_d109e3435
von	w9_d109e3438
Biguglia,	w11_d109e3441
wo	w13_d109e3445
die	w15_d109e3448
Mißvergnügte	w1_d109e3453
ein	w3_d109e3456
Detaschement	w5_d109e3459
von	w7_d109e3462
200.	w9_d109e3465
Mann	w1_d109e3471
haben,	w3_d109e3474
nach	w5_d109e3477
Bastia,	w7_d109e3480
wo	w9_d109e3483
er	w11_d109e3486
in	w13_d109e3490
dem	w15_d109e3493
Gouvernement	w1_d109e3498
mit	w3_d109e3501
dem	w5_d109e3504
Generalcommissa	w7_d109e3507
rio,	w1_d109e3512
Marquis	w3_d109e3515
Doria,	w5_d109e3518
eine	w7_d109e3521
Particuliercon	w9_d109e3524
ferenz	w1_d109e3529
gehabt	w3_d109e3532
hat,	w5_d109e3535
nach	w7_d109e3538
welcher	w9_d109e3541
er	w11_d109e3544
wieder	w13_d109e3548
von	w1_d109e3554
dannen	w3_d109e3557
ab	w5_d109e3560
und	w7_d109e3563
nach	w9_d109e3566
San	w11_d109e3569
Fiorenzo	w13_d109e3573
ge	w15_d109e3576
gangen	w1_d109e3581
ist.	w3_d109e3584
</p>
<head id="h2_d109e3590">
Ostende	w1_d109e3594
21.	w3_d109e3597
Nov	w5_d109e3600
1756.	w7_d109e3603
</head>
<p id="p4_d109e3606">
Am	w1_d109e3610
Samstag	w3_d109e3613
ist	w5_d109e3616
durch	w7_d109e3619
ein	w9_d109e3622
Paquet=boot,	w11_d109e3625
so	w1_d109e3630
aus	w3_d109e3633
Douvres	w5_d109e3636
alhier	w7_d109e3639
angelanget,	w9_d109e3642
die	w11_d109e3645
Nach	w13_d109e3649
richt	w1_d109e3654
eingeloffen,	w3_d109e3657
daß	w5_d109e3660
zwey	w7_d109e3663
gewisse	w9_d109e3666
Perso	w11_d109e3669
nen,	w1_d109e3675
welche	w3_d109e3678
auf	w5_d109e3681
der	w7_d109e3684
Flotte	w9_d109e3687
des	w11_d109e3690
Admirals	w13_d109e3694
Byng	w1_d109e3699
gedienet,	w3_d109e3702
unvermutet,	w5_d109e3705
unsichtbar	w7_d109e3708
worden,	w1_d109e3713
und	w3_d109e3716
man	w5_d109e3719
mutmasset,	w7_d109e3722
daß	w9_d109e3725
sie	w11_d109e3728
sich	w13_d109e3732
aus	w1_d109e3737
England	w3_d109e3740
geflüchtet.	w5_d109e3743
</p>
<p id="p6_d109e3746">
Herte	w1_d109e3750
hat	w3_d109e3753
der	w5_d109e3756
Admiral	w7_d109e3759
Byng	w9_d109e3762
unter	w11_d109e3765
Es	w13_d109e3769
</p>
<head id="h2_d109e3775">
Londen	w1_d109e3779
21.	w3_d109e3782
Dec.	w5_d109e3785
1756.	w7_d109e3788
</head>
<p id="p4_d109e3791">
corte	w1_d109e3795
eines	w3_d109e3798
Detaschements	w5_d109e3801
Gardes	w7_d109e3804
zu	w9_d109e3807
Pferd	w11_d109e3810
von	w1_d109e3815
Greenwich	w3_d109e3818
nach	w5_d109e3821
Portsmouth	w7_d109e3824
abgehen	w9_d109e3827
fol	w11_d109e3830
len,	w1_d109e3835
um	w3_d109e3838
alda	w5_d109e3841
examinirt	w7_d109e3844
zu	w9_d109e3847
werden.	w11_d109e3850
Die	w13_d109e3854
Officiers	w1_d109e3860
der	w3_d109e3863
Land=trupen,	w5_d109e3866
welche	w7_d109e3869
sich	w9_d109e3872
auf	w11_d109e3875
der	w13_d109e3879
Escadre	w1_d109e3884
besagten	w3_d109e3887
Admirals	w5_d109e3890
befunden,	w7_d109e3893
haben	w9_d109e3896
von	w1_d109e3901
König	w3_d109e3904
einen	w5_d109e3907
starken	w7_d109e3910
Verweiß	w9_d109e3913
bekommen,	w11_d109e3916
daß,	w1_d109e3921
da	w3_d109e3924
sie	w5_d109e3927
dem	w7_d109e3930
den	w9_d109e3933
21.	w11_d109e3936
May	w13_d109e3940
auf	w15_d109e3943
dieser	w17_d109e3946
er	w19_d109e3949
wehnten	w1_d109e3955
Escadre	w3_d109e3958
gehaltenen	w5_d109e3961
Kriegs=rahte	w7_d109e3964
beygewohnet,	w1_d109e3969
sie	w3_d109e3972
sich	w5_d109e3975
für	w7_d109e3978
die	w9_d109e3981
Retirade	w11_d109e3984
erklä	w13_d109e3988
ret	w1_d109e3993
hätten.	w3_d109e3996
Dieser	w5_d109e3999
Tagen	w7_d109e4002
hat	w9_d109e4005
die	w11_d109e4008
Regierung	w13_d109e4012
Transport=schiffe	w1_d109e4017
mieten	w3_d109e4020
lassen,	w5_d109e4023
welche	w7_d109e4026
wol	w9_d109e4029
8000.	w1_d109e4035
Mann	w3_d109e4038
transportiren	w5_d109e4041
können,	w7_d109e4044
man	w9_d109e4047
weiß	w11_d109e4050
aber	w1_d109e4055
noch	w3_d109e4058
nicht,	w5_d109e4061
wozu	w7_d109e4064
eigentlich	w9_d109e4067
diese	w11_d109e4070
Schif	w13_d109e4074
fe	w1_d109e4079
gewiedmet	w3_d109e4082
seynd.	w5_d109e4085
Man	w7_d109e4088
hat	w9_d109e4091
Recruten	w11_d109e4094
zu	w1_d109e4099
werben	w3_d109e4102
angefangen,	w5_d109e4105
um	w7_d109e4108
die	w9_d109e4111
5.	w11_d109e4114
Regimen	w13_d109e4118
ter,	w1_d109e4124
welche	w3_d109e4127
im	w5_d109e4130
Fort	w7_d109e4133
von	w9_d109e4136
St.	w11_d109e4139
Philipp	w13_d109e4143
in	w15_d109e4146
Gar	w17_d109e4149
nison	w1_d109e4154
gelegen,	w3_d109e4157
zu	w5_d109e4160
completiren.	w7_d109e4163
So	w9_d109e4166
eben	w11_d109e4169
vernimmt	w1_d109e4174
man,	w3_d109e4177
daß	w5_d109e4180
der	w7_d109e4183
Admiral	w9_d109e4186
Mostyn	w11_d109e4189
am	w1_d109e4194
Samstag	w3_d109e4197
zu	w5_d109e4200
Portsmuth	w7_d109e4203
angelanget	w9_d109e4206
seye.	w1_d109e4212
</p>
<p id="p6_d109e4215">
Am	w1_d109e4219
Montag	w3_d109e4222
kame	w5_d109e4225
der	w7_d109e4228
