<doc id="wr_1757-01-29" attrs="word" year="1757" month="01" day="29" corpus="2">
<head id="h2_d113e2714">
Tripoli	w1_d113e2718
27.	w3_d113e2721
Dec.	w5_d113e2724
1756.	w7_d113e2727
</head>
<p id="p4_d113e2730">
DJr	w1_d113e2734
haben	w3_d113e2737
hier	w5_d113e2740
einen	w7_d113e2743
Ambasadenr	w9_d113e2746
vom	w11_d113e2749
neuen	w1_d113e2754
Pacha	w3_d113e2757
von	w5_d113e2760
Tunis	w7_d113e2763
gehabt	w9_d113e2766
um	w1_d113e2771
dieses	w3_d113e2774
seine	w5_d113e2777
Gelangung	w7_d113e2780
zur	w9_d113e2783
Re	w11_d113e2786
gierung	w1_d113e2792
bekannt	w3_d113e2795
zu	w5_d113e2798
machen.	w7_d113e2801
Es	w9_d113e2804
ist	w11_d113e2807
auch	w13_d113e2811
ein	w15_d113e2814
Gesandter	w1_d113e2819
von	w3_d113e2822
Algier	w5_d113e2825
mit	w7_d113e2828
geheimen	w9_d113e2831
Commißio	w11_d113e2834
nen	w1_d113e2839
hier	w3_d113e2842
angekommen.	w5_d113e2845
Nachdem	w7_d113e2848
sie	w9_d113e2851
nun	w11_d113e2854
wieder	w1_d113e2859
von	w3_d113e2862
hier	w5_d113e2865
abgereiset,	w7_d113e2868
so	w9_d113e2871
hat	w11_d113e2874
unser	w13_d113e2878
Dey	w1_d113e2884
eine	w3_d113e2887
Gesandschaft	w5_d113e2890
nach	w7_d113e2893
Tunis	w9_d113e2896
abge	w11_d113e2899
sandt,	w1_d113e2904
um	w3_d113e2907
die	w5_d113e2910
gewöhnliche	w7_d113e2913
Complimenten	w9_d113e2916
abzustatten,	w1_d113e2921
auch	w3_d113e2924
ist	w5_d113e2927
eine	w7_d113e2930
nach	w9_d113e2933
Algier	w11_d113e2936
ab	w13_d113e2940
geschicket	w1_d113e2945
worden,	w3_d113e2948
um	w5_d113e2951
alda	w7_d113e2954
über	w9_d113e2957
die	w11_d113e2960
Assai	w13_d113e2964
ren,	w1_d113e2970
welcherhalben	w3_d113e2973
der	w5_d113e2976
Algierische	w7_d113e2979
Gesandte	w9_d113e2982
hier	w1_d113e2987
gewesen,	w3_d113e2990
zu	w5_d113e2993
tractiren.	w7_d113e2996
Es	w9_d113e2999
ist	w11_d113e3002
auch	w13_d113e3006
ein	w15_d113e3009
Gesandter	w1_d113e3014
von	w3_d113e3017
hier	w5_d113e3020
nach	w7_d113e3023
Koppenhagen,	w9_d113e3026
und	w11_d113e3029
Stockholm	w1_d113e3034
abgeschicket	w3_d113e3037
worden,	w5_d113e3040
welcher	w7_d113e3043
an	w9_d113e3046
dasigen	w1_d113e3052
Höfen	w3_d113e3055
eine	w5_d113e3058
dergleichen	w7_d113e3061
Commißion,	w9_d113e3064
wie	w1_d113e3069
der	w3_d113e3072
Ali	w5_d113e3075
Effendi	w7_d113e3078
zu	w9_d113e3081
Wien,	w11_d113e3084
und	w13_d113e3088
im	w15_d113e3091
Haa	w17_d113e3094
würklich	w1_d113e3099
verrichtet,	w3_d113e3102
nämlich	w5_d113e3105
die	w7_d113e3108
Notifica	w9_d113e3111
tion	w1_d113e3116
des	w3_d113e3119
Pacha	w5_d113e3122
zur	w7_d113e3125
Regierung,	w9_d113e3128
die	w11_d113e3131
Confir	w13_d113e3135
mation	w1_d113e3141
des	w3_d113e3144
Groß=sultans,	w5_d113e3147
und	w7_d113e3150
die	w9_d113e3153
Er	w11_d113e3156
neuerung	w1_d113e3161
der	w3_d113e3164
Friedens=tractaten,	w5_d113e3167
verrie	w7_d113e3170
ten	w1_d113e3175
solle.	w3_d113e3178
</p>
<head id="h2_d113e3184">
Petersburg	w1_d113e3188
27.	w3_d113e3191
Dec.	w5_d113e3194
1756.	w7_d113e3197
</head>
<p id="p4_d113e3200">
Jn	w1_d113e3204
hiesiges	w3_d113e3207
Zeug=haus	w5_d113e3210
seynd	w7_d113e3213
6000.	w9_d113e3216
Pud	w11_d113e3219
Bley	w1_d113e3224
gebracht,	w3_d113e3227
und	w5_d113e3230
eben	w7_d113e3233
so	w9_d113e3236
viel	w11_d113e3239
nach	w13_d113e3243
Riga	w15_d113e3246
transportirt	w1_d113e3251
worden.	w3_d113e3254
</p>
<head id="h2_d113e3260">
Londen	w1_d113e3264
3.	w3_d113e3267
Jan.	w5_d113e3270
</head>
