<doc id="wr_1757-02-12" attrs="word" year="1757" month="02" day="12" corpus="2">
<head id="h2_d117e3051">
Port=louis	w1_d117e3055
12.	w3_d117e3058
Jan.	w5_d117e3061
</head>
<p id="p4_d117e3064">
Echs	w1_d117e3068
hier	w3_d117e3071
ligende	w5_d117e3074
Schiffe	w7_d117e3077
von	w9_d117e3080
64.	w11_d117e3083
34.	w1_d117e3088
30.	w3_d117e3091
und	w5_d117e3094
26.	w7_d117e3097
Canonen	w9_d117e3100
machen	w11_d117e3103
sich	w13_d117e3107
S0fertig,	w1_d117e3112
nach	w3_d117e3115
Jndien	w5_d117e3118
abzugehen,	w7_d117e3121
5.	w9_d117e3124
andere	w1_d117e3130
Schiffe	w3_d117e3133
aber,	w5_d117e3136
so	w7_d117e3139
sich	w9_d117e3142
ebenfalls	w11_d117e3145
hier	w13_d117e3149
befinden,	w1_d117e3154
werden	w3_d117e3157
sich	w5_d117e3160
nächstens	w7_d117e3163
nach	w9_d117e3166
Brest	w11_d117e3169
begeben.	w1_d117e3174
</p>
<head id="h2_d117e3180">
Londen	w1_d117e3184
18.	w3_d117e3187
Jan.	w5_d117e3190
</head>
<p id="p4_d117e3193">
Das	w1_d117e3197
Französische	w3_d117e3200
Schif,	w5_d117e3203
die	w7_d117e3206
Renommee,	w9_d117e3209
wel	w11_d117e3212
ches	w1_d117e3217
im	w3_d117e3220
letztern	w5_d117e3223
Nov.	w7_d117e3226
384.	w9_d117e3229
Mann	w11_d117e3232
der	w13_d117e3236
Garnison	w15_d117e3239
von	w1_d117e3244
Oswego,	w3_d117e3247
von	w5_d117e3250
Quebec	w7_d117e3253
nach	w9_d117e3256
Pleymout	w11_d117e3259
überbracht,	w1_d117e3265
ist	w3_d117e3268
den	w5_d117e3271
8ten	w7_d117e3274
dieses	w9_d117e3277
wieder	w11_d117e3280
unter	w13_d117e3284
Segel	w1_d117e3289
gegangen,	w3_d117e3292
eine	w5_d117e3295
gleiche	w7_d117e3298
Anzahl	w9_d117e3301
Eng	w11_d117e3304
kändischer	w1_d117e3309
Kriegs=gefangenen	w3_d117e3312
aufhabend,	w5_d117e3315
so	w1_d117e3320
die	w3_d117e3323
hiesige	w5_d117e3326
Regierung	w7_d117e3329
dargegen	w9_d117e3332
ausge	w11_d117e3335
wechselt.	w1_d117e3341
Eines	w3_d117e3344
von	w5_d117e3347
unsern	w7_d117e3350
Alleges,	w9_d117e3353
be	w11_d117e3356
gleitet	w1_d117e3361
dieses	w3_d117e3364
Schif	w5_d117e3367
nach	w7_d117e3370
Bourdeaux,	w9_d117e3373
und	w11_d117e3376
hat	w1_d117e3381
ebenfalls	w3_d117e3384
Französische	w5_d117e3387
Kriegs=gefangene	w7_d117e3390
am	w1_d117e3395
