<doc id="wr_1757-04-06" attrs="word" year="1757" month="04" day="06" corpus="2">
<head id="h2_d132e3822">
Neapel	w1_d132e3826
20.	w3_d132e3829
Marti.	w5_d132e3832
</head>
<p id="p4_d132e3835">
AUf	w1_d132e3839
Königl.	w3_d132e3842
Verordnung	w5_d132e3845
ist	w7_d132e3848
von	w9_d132e3851
dem	w11_d132e3854
alhiesigen	w1_d132e3859
See=directorio	w3_d132e3862
die	w5_d132e3865
scharfe	w7_d132e3868
Contumatz,	w1_d132e3873
dero	w3_d132e3876
die	w5_d132e3879
aus	w7_d132e3882
Levante	w9_d132e3885
kom	w11_d132e3888
mende	w1_d132e3894
Schiffe	w3_d132e3897
unterworfen	w5_d132e3900
waren,	w7_d132e3903
aufgeho	w9_d132e3906
ben	w1_d132e3911
worden,	w3_d132e3914
aldieweilen	w5_d132e3917
man	w7_d132e3920
von	w9_d132e3923
dasigen	w11_d132e3926
Gegenden	w1_d132e3931
bessere	w3_d132e3934
Nachrichten	w5_d132e3937
überkommen	w7_d132e3940
batz.	w1_d132e3945
</p>
<p id="p6_d132e3948">
Jhre	w1_d132e3952
Majestät	w3_d132e3955
unsere	w5_d132e3958
Königin	w7_d132e3961
befindet	w9_d132e3964
sich	w11_d132e3967
samt	w1_d132e3972
dem	w3_d132e3975
neu	w5_d132e3978
gebornen	w7_d132e3981
Prinzen,	w9_d132e3984
zum	w11_d132e3987
grö	w13_d132e3991
sten	w1_d132e3996
Trost	w3_d132e3999
dero	w5_d132e4002
Unterthanen	w7_d132e4005
bey	w9_d132e4008
erwünschtem	w11_d132e4011
Wolseyn.	w1_d132e4017
</p>
<head id="h2_d132e4023">
Paris	w1_d132e4027
20.	w3_d132e4030
Martii.	w5_d132e4033
</head>
<p id="p4_d132e4036">
Wegen	w1_d132e4040
des	w3_d132e4043
Todes=falls	w5_d132e4046
Jhrer	w7_d132e4049
Majestät	w9_d132e4052
der	w11_d132e4055
verwittibten	w1_d132e4060
Königin	w3_d132e4063
von	w5_d132e4066
Spannien,	w7_d132e4069
wird	w9_d132e4072
der	w1_d132e4077
hiesige	w3_d132e4080
Hof	w5_d132e4083
ehestens	w7_d132e4086
auf	w9_d132e4089
3.	w11_d132e4092
Monate	w13_d132e4096
die	w15_d132e4099
Trauer	w1_d132e4105
anlegen.	w3_d132e4108
Den	w5_d132e4111
Herzog	w7_d132e4114
von	w9_d132e4117
Burgund	w11_d132e4120
haben	w1_d132e4125
Se.	w3_d132e4128
Majestät	w5_d132e4131
aus	w7_d132e4134
den	w9_d132e4137
Händen	w11_d132e4140
des	w13_d132e4144
Frauenzimmers	w1_d132e4149
genommen,	w3_d132e4152
und	w5_d132e4155
ihme	w7_d132e4158
der	w9_d132e4161
Herzog	w1_d132e4166
von	w3_d132e4169
Mirepoix	w5_d132e4172
zum	w7_d132e4175
