<doc id="wr_1757-04-13" attrs="word" year="1757" month="04" day="13" corpus="2">
<head id="h2_d134e3550">
Genua,	w1_d134e3554
3.	w3_d134e3557
April.	w5_d134e3560
</head>
<p id="p4_d134e3563">
DUrch	w1_d134e3567
ein	w3_d134e3570
innerhalb	w5_d134e3573
13.	w7_d134e3576
Tägen	w9_d134e3579
aus	w11_d134e3582
Gibraltar	w1_d134e3587
hier	w3_d134e3590
eingeloffenes	w5_d134e3593
Engli	w7_d134e3596
sches	w1_d134e3601
Schif	w3_d134e3604
hat	w5_d134e3607
man	w7_d134e3610
zu	w9_d134e3613
vernehmen	w11_d134e3616
gehabt,	w1_d134e3622
daß	w3_d134e3625
man	w5_d134e3628
alldort	w7_d134e3631
solche	w9_d134e3634
grosse	w11_d134e3637
An	w13_d134e3641
stalten	w1_d134e3646
noch	w3_d134e3649
immerzu	w5_d134e3652
vorkehre,	w7_d134e3655
als	w9_d134e3658
wann	w11_d134e3661
man	w1_d134e3666
auf	w3_d134e3669
dem	w5_d134e3672
Punct	w7_d134e3675
stünde,	w9_d134e3678
belagert	w11_d134e3681
zu	w13_d134e3685
wer	w15_d134e3688
den,	w1_d134e3693
und	w3_d134e3696
dieses	w5_d134e3699
aus	w7_d134e3702
der	w9_d134e3705
Ursache,	w11_d134e3708
weil	w13_d134e3712
Spa	w15_d134e3715
nien	w1_d134e3721
sich	w3_d134e3724
sowol	w5_d134e3727
zu	w7_d134e3730
Wasser	w9_d134e3733
als	w11_d134e3736
zu	w13_d134e3740
Land	w15_d134e3743
un	w17_d134e3746
gemein	w1_d134e3751
stark	w3_d134e3754
rüstet,	w5_d134e3757
und	w7_d134e3760
auch	w9_d134e3763
zu	w11_d134e3766
Toulon	w13_d134e3770
an	w15_d134e3773
Herstellung	w1_d134e3778
einer	w3_d134e3781
grossen	w5_d134e3784
See=macht	w7_d134e3787
mit	w9_d134e3790
sol	w11_d134e3793
chem	w1_d134e3798
Eifer	w3_d134e3801
gearbeitet	w5_d134e3804
wird,	w7_d134e3807
daß	w9_d134e3810
mehr	w11_d134e3813
als	w13_d134e3817
6000.	w1_d134e3823
Mann	w3_d134e3826
täglich	w5_d134e3829
dabey	w7_d134e3832
zu	w9_d134e3835
thun	w11_d134e3838
