<doc id="wr_1757-04-30" attrs="word" year="1757" month="04" day="30" corpus="2">
<head id="h2_d139e3473">
Philadelphia	w1_d139e3477
12.	w3_d139e3480
Martii.	w5_d139e3483
</head>
<p id="p4_d139e3486">
DEr	w1_d139e3490
Graf	w3_d139e3493
von	w5_d139e3496
Louboun	w7_d139e3499
ist	w9_d139e3502
noch	w11_d139e3505
immer	w13_d139e3509
zu	w1_d139e3514
Boston,	w3_d139e3517
und	w5_d139e3520
der	w7_d139e3523
General	w9_d139e3526
Webb	w11_d139e3529
der	w1_d139e3534
zu	w3_d139e3537
Neu=yorck	w5_d139e3540
verblieben,	w7_d139e3543
ist	w9_d139e3546
all	w11_d139e3549
dort	w1_d139e3555
sehr	w3_d139e3558
krank.	w5_d139e3561
So	w7_d139e3564
bald	w9_d139e3567
die	w11_d139e3570
Jahrs	w13_d139e3574
zeit	w15_d139e3577
es	w17_d139e3580
zuläßt,	w1_d139e3585
wird	w3_d139e3588
das	w5_d139e3591
Regiment	w7_d139e3594
O	w9_d139e3597
Farell	w11_d139e3600
nach	w13_d139e3604
Westen	w1_d139e3609
marschiren.	w3_d139e3612
Von	w5_d139e3615
denen	w7_d139e3618
neuen	w9_d139e3621
Re	w11_d139e3624
cruten,	w1_d139e3629
die	w3_d139e3632
wir	w5_d139e3635
aus	w7_d139e3638
Europa	w9_d139e3641
empfangen	w11_d139e3644
ha	w13_d139e3648
ben,	w1_d139e3654
werden	w3_d139e3657
400.	w5_d139e3660
Mann	w7_d139e3663
dem	w9_d139e3666
Königl.	w11_d139e3669
Ame	w13_d139e3673
ricanischen	w1_d139e3678
Regiment	w3_d139e3681
incorporiret,	w5_d139e3684
der	w7_d139e3687
übrige	w9_d139e3690
Rest	w1_d139e3695
aber,	w3_d139e3698
wird	w5_d139e3701
unter	w7_d139e3704
die	w9_d139e3707
andern	w11_d139e3710
Regimenter	w13_d139e3714
gestossen	w1_d139e3719
werden.	w3_d139e3722
Von	w5_d139e3725
gedachten	w7_d139e3728
Recruten	w9_d139e3731
haben	w1_d139e3737
200.	w3_d139e3740
Mann	w5_d139e3743
auf	w7_d139e3746
ihrer	w9_d139e3749
Ueberfahrt	w11_d139e3752
hie	w13_d139e3756
her,	w1_d139e3761
ein	w3_d139e3764
Complot	w5_d139e3767
gemacht,	w7_d139e3770
und	w9_d139e3773
vorgehabt,	w11_d139e3776
die	w1_d139e3781
Schifs=equipage	w3_d139e3784
umzubringen,	w5_d139e3787
um	w7_d139e3790
sich	w9_d139e3793
Meister	w1_d139e3798
davon	w3_d139e3801
zu	w5_d139e3804
machen:	w7_d139e3807
zu	w9_d139e3810
allem	w11_d139e3813
Glück	w13_d139e3817
wurde	w1_d139e3823
die	w3_d139e3826
Sache	w5_d139e3829
noch	w7_d139e3832
eher	w9_d139e3835
entdeckt,	w11_d139e3838
als	w13_d139e3842
sie	w15_d139e3845
ihren	w1_d139e3850
Anschlag	w3_d139e3853
haben	w5_d139e3856
ausführen	w7_d139e3859
können,	w9_d139e3862
so	w11_d139e3865
daß	w1_d139e3870
man	w3_d139e3873
annoch	w5_d139e3876
in	w7_d139e3879
Zeiten	w9_d139e3882
die	w11_d139e3885
Vorsorge	w13_d139e3889
hat	w15_d139e3892
gebrauchen	w1_d139e3897
können,	w3_d139e3900
sie	w5_d139e3903
ausser	w7_d139e3906
Stand	w9_d139e3909
zu	w11_d139e3912
setzen	w13_d139e3916
eine	w1_d139e3922
dergleichen	w3_d139e3925
That	w5_d139e3928
zu	w7_d139e3931
unternehmen.	w9_d139e3934
</p>
<head id="h2_d139e3940">
Neu=yorck,	w1_d139e3944
den	w3_d139e3947
13.	w5_d139e3950
Martii.	w7_d139e3953
</head>
<p id="p4_d139e3956">
Der	w1_d139e3960
Graf	w3_d139e3963
von	w5_d139e3966
Loudonn	w7_d139e3969
fängt	w9_d139e3972
nunmehro	w11_d139e3975
an,	w1_d139e3980
seine	w3_d139e3983
Armee,	w5_d139e3986
so	w7_d139e3989
zu	w9_d139e3992
verschiedenen	w11_d139e3995
Corps	w13_d139e3999
</p>
<p id="p6_d139e4002">
von	w1_d139e4006
Provincial=trupen	w3_d139e4009
gestossen	w5_d139e4012
sind,	w7_d139e4015
zusam	w9_d139e4018
men	w1_d139e4023
zu	w3_d139e4026
ziehen.	w5_d139e4029
Auf	w7_d139e4032
alle	w9_d139e4035
Fahrzeuge,	w11_d139e4038
die	w13_d139e4042
in	w15_d139e4045
hiesigem	w1_d139e4050
Hafen	w3_d139e4053
sich	w5_d139e4056
befinden,	w7_d139e4059
ist	w9_d139e4062
Beschlag	w11_d139e4065
geleget	w1_d139e4071
worden,	w3_d139e4074
um	w5_d139e4077
sich	w7_d139e4080
ihrer	w9_d139e4083
zu	w11_d139e4086
Ausführung	w13_d139e4090
einer	w1_d139e4095
Expedition	w3_d139e4098
zu	w5_d139e4101
bedienen,	w7_d139e4104
die	w9_d139e4107
man	w11_d139e4110
gegen	w13_d139e4114
wärtig	w1_d139e4119
zu	w3_d139e4122
eröfnen	w5_d139e4125
noch	w7_d139e4128
Anstand	w9_d139e4131
nihmt,	w11_d139e4134
und	w13_d139e4138
wozu	w1_d139e4143
die	w3_d139e4146
2000.	w5_d139e4149
Mann,	w7_d139e4152
die	w9_d139e4155
wir	w11_d139e4158
aus	w13_d139e4162
Jrrland	w15_d139e4165
bekommen	w1_d139e4171
