<doc id="wr_1757-06-29" attrs="word" year="1757" month="06" day="29" corpus="2">
<head id="h2_d156e3893">
Stokholm	w1_d156e3897
3.	w3_d156e3900
Junii.	w5_d156e3903
</head>
<p id="p4_d156e3906">
ES	w1_d156e3910
zeigen	w3_d156e3913
sich	w5_d156e3916
hier	w7_d156e3919
solche	w9_d156e3922
Bewegungen	w11_d156e3925
woraus	w1_d156e3930
man	w3_d156e3933
sehr	w5_d156e3936
grosse	w7_d156e3939
Absichten	w9_d156e3942
schliessen	w1_d156e3947
muß,	w3_d156e3950
deren	w5_d156e3953
Erfüllung	w7_d156e3956
das	w9_d156e3959
zwischen	w1_d156e3965
der	w3_d156e3968
Französischen	w5_d156e3971
und	w7_d156e3974
hiesigen	w9_d156e3977
Cron	w11_d156e3980
der	w1_d156e3985
Teutschen	w3_d156e3988
Umstände	w5_d156e3991
halber	w7_d156e3994
getroffene,	w9_d156e3997
und	w11_d156e4000
dem	w1_d156e4005
Reichs=tage	w3_d156e4008
zu	w5_d156e4011
Regenspurg	w7_d156e4014
eröfnete	w9_d156e4017
Verband	w1_d156e4022
zur	w3_d156e4025
Garantirung	w5_d156e4028
des	w7_d156e4031
Westphälischen	w9_d156e4034
Friedens	w1_d156e4040
zu	w3_d156e4043
erheuschen	w5_d156e4046
scheinet.	w7_d156e4049
Man	w9_d156e4052
redet	w11_d156e4055
hier	w1_d156e4060
von	w3_d156e4063
der	w5_d156e4066
Vermehrung	w7_d156e4069
der	w9_d156e4072
Armee	w11_d156e4075
bis	w13_d156e4079
au	w15_d156e4082
30000.	w1_d156e4087
Mann	w3_d156e4090
National=trupen,	w5_d156e4093
um	w7_d156e4096
dieselbe	w9_d156e4099
nach	w1_d156e4104
Pommern,	w3_d156e4107
oder	w5_d156e4110
wohin	w7_d156e4113
es	w9_d156e4116
zu	w11_d156e4119
dem	w13_d156e4123
ha	w15_d156e4126
benden	w1_d156e4132
Zwecke	w3_d156e4135
der	w5_d156e4138
Kaiserin	w7_d156e4141
Königin	w9_d156e4144
zu	w11_d156e4147
Hülfe	w13_d156e4151
zu	w1_d156e4156
kommen,	w3_d156e4159
nöhtig,	w5_d156e4162
zu	w7_d156e4165
transportiren.	w9_d156e4168
Es	w11_d156e4171
haben	w1_d156e4176
daher	w3_d156e4179
alle	w5_d156e4182
Fabricanten	w7_d156e4185
von	w9_d156e4188
Segel=tuch	w11_d156e4191
Befehl,	w1_d156e4196
alles,	w3_d156e4199
was	w5_d156e4202
sie	w7_d156e4205
von	w9_d156e4208
ihrer	w11_d156e4211
Waare	w13_d156e4215
vorrätig	w1_d156e4221
haben,	w3_d156e4224
und	w5_d156e4227
bis	w7_d156e4230
zu	w9_d156e4233
Ausgang	w11_d156e4236
des	w13_d156e4240
Monats	w1_d156e4245
Julii	w3_d156e4248
noch	w5_d156e4251
fertig	w7_d156e4254
bekommen,	w9_d156e4257
le	w11_d156e4260
diglich	w1_d156e4265
an	w3_d156e4268
die	w5_d156e4271
Crone,	w7_d156e4274
zum	w9_d156e4277
Behuf	w11_d156e4280
der	w13_d156e4284
Zelter	w15_d156e4287
für	w1_d156e4292
die	w3_d156e4295
Armee	w5_d156e4298
zu	w7_d156e4301
verkauffen.	w9_d156e4304
Auch	w11_d156e4307
seynd	w13_d156e4311
80.	w15_d156e4314
bis	w1_d156e4320
90000	w3_d156e4323
Ehlen	w5_d156e4326
Tuch	w7_d156e4329
zur	w9_d156e4332
Montirung	w11_d156e4335
deren	w13_d156e4339
Trupen	w1_d156e4344
angeschaft,	w3_d156e4347
und	w5_d156e4350
die	w7_d156e4353
Schuster	w9_d156e4356
müssen	w11_d156e4359
wochentlich	w1_d156e4364
2000.	w3_d156e4367
Paar	w5_d156e4370
Schuhe	w7_d156e4373
liefern.	w9_d156e4376
Man	w1_d156e4381
übet	w3_d156e4384
die	w5_d156e4387
Trupen	w7_d156e4390
in	w9_d156e4393
Preußischen	w11_d156e4396
Exerci	w13_d156e4400
</p>
<p id="p6_d156e4403">
tien.	w1_d156e4407
Man	w3_d156e4410
completiret	w5_d156e4413
die	w7_d156e4416
Compagnien	w9_d156e4419
in	w11_d156e4422
aller	w1_d156e4427
Eile,	w3_d156e4430
und	w5_d156e4433
die	w7_d156e4436
Zurüstungen	w9_d156e4439
seynd	w11_d156e4442
ganz	w13_d156e4446
ausserordentlich.	w1_d156e4451
Aus	w3_d156e4454
Rußland	w5_d156e4457
hat	w7_d156e4460
man	w9_d156e4463
die	w11_d156e4466
Nachricht,	w1_d156e4472
daß	w3_d156e4475
die	w5_d156e4478
Rußische	w7_d156e4481
Flotte	w9_d156e4484
in	w11_d156e4487
der	w13_d156e4491
Ost=see	w1_d156e4496
kreutze,	w3_d156e4499
und	w5_d156e4502
den	w7_d156e4505
Hafen	w9_d156e4508
von	w11_d156e4511
Pillau	w13_d156e4515
schon	w1_d156e4520
bloquiret	w3_d156e4523
habe	w5_d156e4526
Es	w7_d156e4529
ist	w9_d156e4532
dieses	w11_d156e4535
eine	w13_d156e4539
Folge	w15_d156e4542
der	w1_d156e4547
durch	w3_d156e4550
den	w5_d156e4553
Rußisch=kaiserl.	w7_d156e4556
Minister	w9_d156e4559
ge	w11_d156e4562
schehenen	w1_d156e4568
Declaration,	w3_d156e4571
daß	w5_d156e4574
Jhre	w7_d156e4577
Rußisch	w9_d156e4580
kaiserliche	w1_d156e4585
Majestät	w3_d156e4588
alle	w5_d156e4591
Jhre	w7_d156e4594
Kräfte	w9_d156e4597
zum	w11_d156e4600
Nutzen	w1_d156e4605
Jhrer	w3_d156e4608
Alliirten	w5_d156e4611
gegen	w7_d156e4614
Preussen	w9_d156e4617
an	w11_d156e4620
wenden	w1_d156e4625
würden;	w3_d156e4628
wie	w5_d156e4631
dann	w7_d156e4634
auch	w9_d156e4637
die	w11_d156e4640
Rußische	w13_d156e4644
Kriegs=schiffe	w1_d156e4650
auf	w3_d156e4653
alle	w5_d156e4656
Kauffarthey=fahrer	w7_d156e4659
genaueste	w1_d156e4664
Obacht	w3_d156e4667
haben,	w5_d156e4670
und	w7_d156e4673
unter	w9_d156e4676
andern	w11_d156e4679
auf	w1_d156e4684
ein	w3_d156e4687
Holländisches	w5_d156e4690
von	w7_d156e4693
Königsberg	w9_d156e4696
mit	w11_d156e4699
Holz	w1_d156e4704
geladenes	w3_d156e4707
Schif	w5_d156e4710
geschossen,	w7_d156e4713
selbiges	w9_d156e4716
aber,	w1_d156e4722
nachdem	w3_d156e4725
der	w5_d156e4728
Schiffer	w7_d156e4731
bewiesen,	w9_d156e4734
daß	w11_d156e4737
