<doc id="wr_1757-07-27" attrs="word" year="1757" month="07" day="27" corpus="2">
<head id="h2_d164e3680">
London	w4_d164e3683
9.	w6_d164e3687
Julii.	w8_d164e3690
</head>
<p id="p4_d164e3693">
Unmehr	w4_d164e3696
versammeln	w6_d164e3700
sich	w8_d164e3703
unsere	w10_d164e3706
neue	w12_d164e3709
Ministri	w15_d164e3714
täglich,	w17_d164e3718
und	w19_d164e3721
noch	w21_d164e3724
gestern	w23_d164e3727
wa	w25_d164e3731
Ee	w28_d164e3735
/ren	w30_d164e3739
sie	w32_d164e3742
alle	w34_d164e3745
zu	w36_d164e3749
Kensington	w38_d164e3752
bey	w40_d164e3755
sammen.	w43_d164e3759
Nun	w45_d164e3763
heißt	w47_d164e3767
es	w49_d164e3770
auch	w51_d164e3773
in	w53_d164e3776
ganzem	w55_d164e3779
Ernst	w57_d164e3782
daß	w60_d164e3787
ein	w62_d164e3791
Corps	w64_d164e3794
unsrer	w66_d164e3797
Trupen	w68_d164e3800
nach	w70_d164e3804
Teutsch	w72_d164e3807
land	w75_d164e3811
gehen	w77_d164e3815
soll;	w79_d164e3818
wenigstens	w81_d164e3822
ist	w83_d164e3825
eine	w85_d164e3828
Menge	w87_d164e3831
Transport=schiffe	w90_d164e3835
in	w92_d164e3840
Dienst	w94_d164e3843
genommen	w96_d164e3846
wor	w98_d164e3849
den.	w101_d164e3853
Es	w103_d164e3858
sind	w105_d164e3861
aber	w107_d164e3864
viele	w109_d164e3867
der	w111_d164e3870
Meinung,	w113_d164e3873
daß	w115_d164e3877
wann	w118_d164e3881
wir	w120_d164e3885
noch	w122_d164e3888
lange	w124_d164e3891
deliberiren,	w126_d164e3895
wir	w128_d164e3898
uns	w130_d164e3901
ge	w132_d164e3904
nöhtiget	w135_d164e3908
sehen	w137_d164e3913
werden,	w139_d164e3916
die	w141_d164e3919
Observations	w143_d164e3922
armee	w146_d164e3926
auf	w148_d164e3931
unsern	w150_d164e3934
Transport=schiffen	w152_d164e3937
nach	w154_d164e3940
England	w157_d164e3944
zu	w159_d164e3949
holen,	w161_d164e3952
daß	w163_d164e3955
sie	w165_d164e3958
sich	w167_d164e3961
nicht	w169_d164e3964
an	w171_d164e3968
die	w174_d164e3972
Franzosen	w176_d164e3976
zu	w178_d164e3979
ergeben	w180_d164e3982
genöhtiget	w182_d164e3986
werde.	w184_d164e3989
</p>
<head id="h2_d164e3995">
Paris,	w4_d164e3998
den	w6_d164e4002
11.	w8_d164e4005
Julii.	w10_d164e4008
</head>
<p id="p4_d164e4011">
Vor	w4_d164e4014
Toulon	w6_d164e4018
ligt	w8_d164e4021
eine	w10_d164e4024
Engländische	w12_d164e4027
Flotte	w14_d164e4031
von	w17_d164e4035
18.	w19_d164e4039
Kriegs=schiffen;	w21_d164e4042
wir	w23_d164e4045
schmeicheln	w25_d164e4049
und	w27_d164e4052
aber	w30_d164e4056
derselben	w32_d164e4060
bald	w34_d164e4063
den	w36_d164e4067
Weg	w38_d164e4070
nach	w40_d164e4073
Hause	w42_d164e4076
zu	w44_d164e4079
weisen,	w47_d164e4084
so,	w49_d164e4088
daß	w51_d164e4091
man	w53_d164e4094
also	w55_d164e4097
nächstens	w57_d164e4100
wichtige	w59_d164e4104
See=zeitungen	w62_d164e4108
zu	w64_d164e4112
erwarten	w66_d164e4115
hat.	w68_d164e4118
Eine	w70_d164e4122
ist	w72_d164e4125
schon	w75_d164e4129
hier.	w77_d164e4133
Der	w79_d164e4136
Herr	w81_d164e4140
du	w83_d164e4143
Bois	w85_d164e4146
dela	w87_d164e4149
Mothe	w89_d164e4152
der	w92_d164e4157
Ritter	w94_d164e4161
Beaufremont	w96_d164e4164
und	w98_d164e4167
Mr.	w100_d164e4170
du	w102_d164e4173
Revest	w104_d164e4177
sollen	w107_d164e4181
eine	w109_d164e4185
Engländische	w111_d164e4188
Escadre	w113_d164e4191
von	w115_d164e4195
8.	w117_d164e4198
Schif	w119_d164e4201
fen	w122_d164e4205
von	w124_d164e4209
der	w126_d164e4213
Linie,	w128_d164e4216
5.	w130_d164e4219
Fregatten	w132_d164e4222
und	w134_d164e4225
40.	w136_d164e4228
Kauf	w138_d164e4232
</p>
<p id="p6_d164e4235">
fardey=schiffe	w4_d164e4238
angetroffen,	w6_d164e4242
die	w8_d164e4245
Escorte	w10_d164e4248
ge	w12_d164e4251
schlagen	w15_d164e4256
und	w17_d164e4260
alle	w19_d164e4263
40	w21_d164e4266
Schiffe	w23_d164e4269
weggenommen	w25_d164e4273
haben,	w28_d164e4277
daß	w30_d164e4281
auch	w32_d164e4284
nicht	w34_d164e4287
eines	w36_d164e4291
ihren	w38_d164e4294
Händen	w40_d164e4297
entronnen	w43_d164e4301
ist.	w45_d164e4305
Man	w47_d164e4309
kan	w49_d164e4312
sich	w51_d164e4315
einbilden,	w53_d164e4318
wie	w55_d164e4321
begierig	w58_d164e4326
jedermann	w60_d164e4330
seyn	w62_d164e4333
müsse,	w64_d164e4336
die	w66_d164e4339
Beschrei	w68_d164e4342
bung	w71_d164e4347
einer	w73_d164e4351
so	w75_d164e4354
ausserordentlichen	w77_d164e4357
Begeben	w79_d164e4360
heit	w82_d164e4365
zu	w84_d164e4369
lesen,	w86_d164e4372
an	w88_d164e4375
deren	w90_d164e4378
Richtigkeit	w92_d164e4382
niemand	w94_d164e4385
hier	w97_d164e4389
zu	w99_d164e4393
zweiflen	w101_d164e4396
begehret.	w103_d164e4400
</p>
<head id="h2_d164e4406">
Brackel	w4_d164e4409
8.	w6_d164e4413
Julii.	w8_d164e4416
</head>
<p id="p4_d164e4419">
Der	w4_d164e4422
Marquis	w6_d164e4426
de	w8_d164e4429
Souvre	w10_d164e4432
hat	w12_d164e4435
den	w14_d164e4439
Comman	w16_d164e4442
danten	w19_d164e4446
in	w21_d164e4450
dem	w23_d164e4453
Fort	w25_d164e4457
zu	w27_d164e4460
Rinteln	w29_d164e4463
auffordern	w31_d164e4466
lassen.	w34_d164e4470
Dieser	w36_d164e4475
capitulirte	w38_d164e4478
auch	w40_d164e4481
alsobald	w42_d164e4484
und	w44_d164e4487
ergab	w47_d164e4492
sich	w49_d164e4496
mit	w51_d164e4499
300.	w53_d164e4502
Hessen,	w55_d164e4505
unter	w57_d164e4508
denen	w59_d164e4512
Be	w61_d164e4515
dingungen,	w64_d164e4519
daß	w66_d164e4523
seine	w68_d164e4526
Leute	w70_d164e4530
entwafnet,	w72_d164e4533
und	w74_d164e4536
die	w76_d164e4539
Waffen	w79_d164e4543
und	w81_d164e4548
Kriegs=vorrat,	w83_d164e4551
die	w85_d164e4554
im	w87_d164e4557
Zeughause	w89_d164e4560
anzutreffen,	w92_d164e4565
nebst	w94_d164e4569
der	w96_d164e4572
sämmtlichen	w98_d164e4575
Artillerie	w100_d164e4578
dem	w103_d164e4583
Gut=befinden	w105_d164e4587
der	w107_d164e4590
Franzosen	w109_d164e4593
überlassen	w111_d164e4596
seyn	w114_d164e4601
sollen.	w116_d164e4605
Die	w118_d164e4608
Flinten,	w120_d164e4611
Bajonette	w122_d164e4614
und	w124_d164e4617
Pistolen,	w127_d164e4622
die	w129_d164e4626
brauchbar	w131_d164e4629
waren,	w133_d164e4632
führte	w135_d164e4635
man	w137_d164e4639
gleich	w140_d164e4643
nach	w142_d164e4647
Lemgaw.	w144_d164e4650
Zwölf	w146_d164e4653
eiserne	w148_d164e4657
Stücke,	w150_d164e4660
2.	w153_d164e4664
Feldschlangen	w155_d164e4668
und	w157_d164e4671
2.	w159_d164e4675
Mörser	w161_d164e4678
schmiß	w163_d164e4681
man	w165_d164e4684
in	w168_d164e4688
die	w170_d164e4693
Weser;	w172_d164e4696
weil	w174_d164e4699
der	w176_d164e4702
Marschall	w178_d164e4705
dieses	w180_d164e4708
Fort	w183_d164e4713
nicht	w185_d164e4717
besetzen	w187_d164e4720
will.	w189_d164e4723
Heute	w191_d164e4726
um	w193_d164e4730
11.	w195_d164e4733
Uhr	w197_d164e4736
bekam	w200_d164e4740
man	w202_d164e4744
die	w204_d164e4748
uns	w206_d164e4751
erfreuliche	w208_d164e4754
Nachricht,	w210_d164e4757
</p>
<p id="p16_d164e4875">
daß	w1_d164e4879
Mr.	w3_d164e4882
d'Armentieres,	w5_d164e4885
mit	w7_d164e4888
allen	w9_d164e4891
Grenadiers	w11_d164e4894
und	w1_d164e4899
Pickets	w3_d164e4902
von	w5_d164e4905
16.	w7_d164e4908
Bataillonen,	w9_d164e4911
2.	w11_d164e4914
Brü	w13_d164e4918
cken	w1_d164e4923
bey	w3_d164e4926
Blankenhofen,	w5_d164e4929
gegen	w7_d164e4932
Forstenberg	w9_d164e4935
über,	w1_d164e4941
und	w3_d164e4944
zwar	w5_d164e4947
in	w7_d164e4950
weniger	w9_d164e4953
als	w11_d164e4956
3.	w13_d164e4960
Stunden	w15_d164e4963
Zeit,	w1_d164e4968
geschlagen	w3_d164e4971
habe.	w5_d164e4974
Es	w7_d164e4977
sind	w9_d164e4980
also	w11_d164e4983
die	w13_d164e4987
Fran	w15_d164e4990
zosen	w1_d164e4995
auf	w3_d164e4998
Hannöverischen	w5_d164e5001
Grund	w7_d164e5004
und	w9_d164e5007
Boden,	w11_d164e5010
und	w1_d164e5015
die	w3_d164e5018
Weser=passage	w5_d164e5021
ist	w7_d164e5024
geschehen.	w9_d164e5027
Man	w1_d164e5033
wird	w3_d164e5036
underzüglich	w5_d164e5039
die	w7_d164e5042
Bewegungen	w9_d164e5045
nä	w11_d164e5048
her	w1_d164e5053
beschreiben,	w3_d164e5056
welche	w5_d164e5059
der	w7_d164e5062
Herr	w9_d164e5065
Mar	w11_d164e5068
schall	w1_d164e5073
gemacht	w3_d164e5076
hat,	w5_d164e5079
um	w7_d164e5082
den	w9_d164e5085
Herzog	w11_d164e5088
von	w13_d164e5092
Cumberland	w1_d164e5097
irre	w3_d164e5100
zu	w5_d164e5103
machen.	w7_d164e5106
So	w9_d164e5109
eben	w11_d164e5112
prä	w13_d164e5116
sentiret	w1_d164e5122
man	w3_d164e5125
dem	w5_d164e5128
Herrn	w7_d164e5131
Marschall	w9_d164e5134
3.	w11_d164e5137
Preus	w13_d164e5141
sische	w1_d164e5146
Fahnen	w3_d164e5149
von	w5_d164e5152
der	w7_d164e5155
Garnison	w9_d164e5158
von	w11_d164e5161
Emden.	w13_d164e5165
Sie	w1_d164e5170
führen	w3_d164e5173
einen	w5_d164e5176
gegen	w7_d164e5179
die	w9_d164e5182
Sonne	w11_d164e5185
fliegenden	w13_d164e5189
Adler,	w1_d164e5194
mit	w3_d164e5197
der	w5_d164e5200
Aufschrift:	w7_d164e5203
Non	w9_d164e5206
cedit	w11_d164e5209
Soli;	w13_d164e5213
d.i.	w1_d164e5219
Auch	w3_d164e5222
der	w5_d164e5225
Sonne	w7_d164e5228
weicht	w9_d164e5231
er	w11_d164e5234
nicht.	w13_d164e5238
</p>
<head id="h2_d164e5244">
Aus	w1_d164e5248
dem	w3_d164e5251
Königl.	w5_d164e5254
Französ.	w7_d164e5257
Haupt	w9_d164e5260
quartier	w1_d164e5265
bey	w3_d164e5268
Corvey	w5_d164e5271
13.	w7_d164e5274
Julii.	w9_d164e5277
</head>
<p id="p4_d164e5280">
Nachdem	w1_d164e5284
der	w3_d164e5287
Herr	w5_d164e5290
Feld=marschall	w7_d164e5293
d'Etrees	w9_d164e5296
beschlossen,	w1_d164e5301
in	w3_d164e5304
eigener	w5_d164e5307
Person	w7_d164e5310
sich	w9_d164e5313
an	w11_d164e5316
jene	w13_d164e5320
Orte	w1_d164e5325
zu	w3_d164e5328
begeben,	w5_d164e5331
allwo	w7_d164e5334
man	w9_d164e5337
Brücken	w11_d164e5340
über	w13_d164e5344
die	w1_d164e5350
Weser	w3_d164e5353
zu	w5_d164e5356
schlagen,	w7_d164e5359
die	w9_d164e5362
Absicht	w11_d164e5365
hatte,	w13_d164e5369
ist	w15_d164e5372
selber	w1_d164e5377
den	w3_d164e5380
7.	w5_d164e5383
dieses	w7_d164e5386
von	w9_d164e5389
Bielefeld	w11_d164e5392
abgegan	w13_d164e5396
gen,	w1_d164e5401
und	w3_d164e5404
hat	w5_d164e5407
sich	w7_d164e5410
den	w9_d164e5413
8.	w11_d164e5416
zu	w13_d164e5420
Brackem	w15_d164e5423
ein	w17_d164e5426
gefunden,	w1_d164e5431
da	w3_d164e5434
er	w5_d164e5437
indessen	w7_d164e5440
das	w9_d164e5443
Commando	w11_d164e5446
über	w1_d164e5452
seine	w3_d164e5455
Armee	w5_d164e5458
dem	w7_d164e5461
Herrn	w9_d164e5464
von	w11_d164e5467
Berechigni	w13_d164e5471
gelassen	w1_d164e5476
hatte.	w3_d164e5479
</p>
<p id="p6_d164e5482">
Der	w1_d164e5486
Herr	w3_d164e5489
d'Armentieres,	w5_d164e5492
welcher	w7_d164e5495
mit	w9_d164e5498
seinem	w1_d164e5503
Corps	w3_d164e5506
de	w5_d164e5509
Reserve	w7_d164e5512
zu	w9_d164e5515
Erken	w11_d164e5518
sich	w13_d164e5522
be	w15_d164e5525
fande,	w1_d164e5530
ruckete	w3_d164e5533
den	w5_d164e5536
7.	w7_d164e5539
Abends	w9_d164e5542
auf	w11_d164e5545
die	w13_d164e5549
Anhö	w15_d164e5552
hen	w1_d164e5558
bey	w3_d164e5561
Beverungen	w5_d164e5564
mit	w7_d164e5567
25.	w9_d164e5570
Granadier	w11_d164e5573
compagnien,	w1_d164e5578
und	w3_d164e5581
400.	w5_d164e5584
Carabiniers,	w7_d164e5587
um	w9_d164e5590
die	w1_d164e5595
Gegend,	w3_d164e5598
allwo	w5_d164e5601
er	w7_d164e5604
zwischen	w9_d164e5607
diesem	w11_d164e5610
Ort,	w13_d164e5614
und	w1_d164e5619
dem	w3_d164e5622
Dorf	w5_d164e5625
Blankenau	w7_d164e5628
seine	w9_d164e5631
Brücke	w11_d164e5634
zu	w13_d164e5638
schlagen	w1_d164e5644
vorhatte,	w3_d164e5647
in	w5_d164e5650
Augenschein	w7_d164e5653
zu	w9_d164e5656
nehmen.	w11_d164e5659
</p>
<p id="p8_d164e5662">
Jenseits	w1_d164e5666
der	w3_d164e5669
Weser	w5_d164e5672
in	w7_d164e5675
dem	w9_d164e5678
Dorf	w11_d164e5681
Emför	w13_d164e5685
de	w1_d164e5690
von	w3_d164e5693
Beverungen	w5_d164e5696
gerad	w7_d164e5699
gegen	w9_d164e5702
über	w11_d164e5705
lagen	w13_d164e5709
200.	w1_d164e5714
Mann	w3_d164e5717
Hannoveranisches	w5_d164e5720
Fuß=volk,	w7_d164e5723
und	w1_d164e5729
40.	w3_d164e5732
deto	w5_d164e5735
Reiter,	w7_d164e5738
welche	w9_d164e5741
sich	w11_d164e5744
aber	w13_d164e5748
gleich	w15_d164e5751
retirirten,	w1_d164e5756
so	w3_d164e5759
bald	w5_d164e5762
der	w7_d164e5765
Herr	w9_d164e5768
d'Armentieres	w11_d164e5771
die	w1_d164e5776
Anstalten	w3_d164e5779
vorkehrete,	w5_d164e5782
das	w7_d164e5785
Ort	w9_d164e5788
Beverun	w11_d164e5791
gen	w1_d164e5796
durch	w3_d164e5799
einige	w5_d164e5802
Grenadiers	w7_d164e5805
und	w9_d164e5808
Hussaren	w11_d164e5811
besetzen	w1_d164e5817
zu	w3_d164e5820
lassen;	w5_d164e5823
und	w7_d164e5826
da	w9_d164e5829
dieser	w11_d164e5832
Herr	w13_d164e5836
noch	w15_d164e5839
in	w1_d164e5844
selbiger	w3_d164e5847
Nacht,	w5_d164e5850
mit	w7_d164e5853
dem	w9_d164e5856
übrigen	w11_d164e5859
Theil	w13_d164e5863
seines	w1_d164e5868
Detaschements	w3_d164e5871
nacher	w5_d164e5874
Blankenau	w7_d164e5877
sich	w9_d164e5880
verfügt	w1_d164e5885
hatte,	w3_d164e5888
brachte	w5_d164e5891
er	w7_d164e5894
sogleich	w9_d164e5897
allda	w11_d164e5900
bis	w13_d164e5904
um	w1_d164e5910
4.	w3_d164e5913
Uhr	w5_d164e5916
fruhe	w7_d164e5919
des	w9_d164e5922
achten	w11_d164e5925
die	w13_d164e5929
Brücke	w15_d164e5932
ohne	w17_d164e5935
mindester	w1_d164e5940
Hindernuß	w3_d164e5943
zu	w5_d164e5946
Stande.	w7_d164e5949
</p>
<p id="p10_d164e5952">
Den	w1_d164e5956
nämlichen	w3_d164e5959
Tag	w5_d164e5962
gegen	w7_d164e5965
Mittag	w9_d164e5968
gienge	w11_d164e5971
er	w1_d164e5976
allda	w3_d164e5979
mit	w5_d164e5982
15	w7_d164e5985
Grenadier=compagnien	w9_d164e5988
über	w1_d164e5993
die	w3_d164e5996
Weser,	w5_d164e5999
um	w7_d164e6002
das	w9_d164e6005
jenseitige	w11_d164e6008
Land	w13_d164e6012
in	w15_d164e6015
</p>
<p id="p12_d164e6019">
Contribution	w1_d164e6023
zu	w3_d164e6026
setzen,	w5_d164e6029
er	w7_d164e6032
ruckte	w9_d164e6035
auch	w11_d164e6038
bis	w13_d164e6042
Bofsheim	w1_d164e6047
vor,	w3_d164e6050
und	w5_d164e6053
liesse	w7_d164e6056
unter	w9_d164e6059
Weegs	w11_d164e6062
das	w13_d164e6066
Dorf	w1_d164e6071
Forstenberg	w3_d164e6074
occupiren,	w5_d164e6077
von	w7_d164e6080
wannen	w9_d164e6083
die	w11_d164e6086
Feinde	w1_d164e6092
mit	w3_d164e6095
solcher	w5_d164e6098
Eilfertigkeit	w7_d164e6101
sich	w9_d164e6104
retinn	w11_d164e6107
hatten,	w1_d164e6112
daß	w3_d164e6115
sie	w5_d164e6118
sogar	w7_d164e6121
200.	w9_d164e6124
Säcke	w11_d164e6127
Half	w13_d164e6131
allda	w1_d164e6136
im	w3_d164e6139
Stich	w5_d164e6142
liessen.	w7_d164e6145
</p>
<p id="p14_d164e6148">
Der	w1_d164e6152
Herr	w3_d164e6155
d'Armentieres	w5_d164e6158
schickte	w7_d164e6161
die	w9_d164e6164
Hey	w11_d164e6167
ren	w1_d164e6172
Ennery	w3_d164e6175
und	w5_d164e6178
Beaudouin	w7_d164e6181
mi	w9_d164e6184
einem	w11_d164e6187
Det	w13_d164e6191
schement	w1_d164e6196
von	w3_d164e6199
300.	w5_d164e6202
Freywilligen	w7_d164e6205
von	w9_d164e6208
Los	w11_d164e6211
heim	w1_d164e6217
ab,	w3_d164e6220
um	w5_d164e6223
das	w7_d164e6226
rechte	w9_d164e6229
Ufer	w11_d164e6232
der	w13_d164e6236
Weserbie	w15_d164e6239
Bevern,	w1_d164e6244
und	w3_d164e6247
Forst=ferners	w5_d164e6250
zu	w7_d164e6253
recognoscire	w9_d164e6256
sie	w1_d164e6261
haben	w3_d164e6264
aber	w5_d164e6267
von	w7_d164e6270
dem	w9_d164e6273
Feind	w11_d164e6276
nichtes	w13_d164e6280
an	w15_d164e6283
ders	w1_d164e6288
als	w3_d164e6291
einige	w5_d164e6294
Trupen	w7_d164e6297
Jäger,	w9_d164e6300
welche	w11_d164e6303
sich	w13_d164e6307
bey	w1_d164e6313
ihrer	w3_d164e6316
Annäherung	w5_d164e6319
jedesmal	w7_d164e6322
sogleich	w9_d164e6325
in	w11_d164e6328
die	w1_d164e6333
Wälder	w3_d164e6336
zurück	w5_d164e6339
gezogen,	w7_d164e6342
angetroffen.	w9_d164e6345
E.	w11_d164e6348
viel	w1_d164e6353
man	w3_d164e6356
verläßlich	w5_d164e6359
weiß,	w7_d164e6362
stehet	w9_d164e6365
der	w11_d164e6368
Feind	w13_d164e6372
annoch	w1_d164e6377
in	w3_d164e6380
seiner	w5_d164e6383
vorigen	w7_d164e6386
Position	w9_d164e6389
bey	w11_d164e6392
Münden.	w13_d164e6396
</p>
<p id="p16_d164e6399">
Der	w1_d164e6403
