<doc id="wr_1757-08-13" attrs="word" year="1757" month="08" day="13" corpus="2">
<head id="h2_d169e3058">
Ragusa,	w1_d169e3062
den	w3_d169e3065
1.	w5_d169e3068
Julii.	w7_d169e3071
</head>
<p id="p4_d169e3074">
Je	w1_d169e3078
Ottomannische	w3_d169e3081
Pforte	w5_d169e3084
hat	w7_d169e3087
einen	w9_d169e3090
Dervis	w1_d169e3095
und	w3_d169e3098
verschiedene	w5_d169e3101
andere	w7_d169e3104
Mi	w9_d169e3107
Snistros	w1_d169e3112
hieher	w3_d169e3115
gesendet,	w5_d169e3118
um	w7_d169e3121
für	w9_d169e3124
die	w11_d169e3127
Mahometaner	w1_d169e3133
eine	w3_d169e3136
Türkische	w5_d169e3139
Moschee	w7_d169e3142
erbauen	w9_d169e3145
zu	w1_d169e3150
lassen.	w3_d169e3153
Da	w5_d169e3156
dieses	w7_d169e3159
eine	w9_d169e3162
unerhörte	w11_d169e3165
Sache	w13_d169e3169
ist,	w1_d169e3174
und	w3_d169e3177
mit	w5_d169e3180
denen	w7_d169e3183
Freyheiten	w9_d169e3186
dieser	w11_d169e3189
Republic	w13_d169e3193
streitet,	w1_d169e3198
so	w3_d169e3201
hat	w5_d169e3204
unser	w7_d169e3207
Senat	w9_d169e3210
für	w11_d169e3213
gut	w13_d169e3217
befun	w15_d169e3220
den,	w1_d169e3226
2.	w3_d169e3229
Deputirte	w5_d169e3232
nach	w7_d169e3235
Constantinopel	w9_d169e3238
zu	w11_d169e3241
schicken,	w1_d169e3246
bey	w3_d169e3249
dem	w5_d169e3252
Groß=sultan	w7_d169e3255
Gegenvor	w9_d169e3258
stellungen	w1_d169e3263
zu	w3_d169e3266
thun,	w5_d169e3269
diesen	w7_d169e3272
Bau	w9_d169e3275
zu	w11_d169e3278
verhin	w13_d169e3282
dern:	w1_d169e3287
doch	w3_d169e3290
der	w5_d169e3293
Pacha	w7_d169e3296
von	w9_d169e3299
Bosnien	w11_d169e3302
hat,	w13_d169e3306
so	w15_d169e3309
bald	w1_d169e3315
er	w3_d169e3318
davon	w5_d169e3321
benachrichtiget	w7_d169e3324
worden,	w9_d169e3327
un	w11_d169e3330
sern	w1_d169e3335
Hafen	w3_d169e3338
eingeschlossen,	w5_d169e3341
daß	w7_d169e3344
nichts	w9_d169e3347
aus	w11_d169e3350
und	w1_d169e3355
einkommen	w3_d169e3358
kan.	w5_d169e3361
Die	w7_d169e3364
hiesigen	w9_d169e3367
Einwoh	w11_d169e3370
ner	w1_d169e3375
haben	w3_d169e3378
daher	w5_d169e3381
noch	w7_d169e3384
einen	w9_d169e3387
Gesandten	w11_d169e3390
nach	w13_d169e3394
Constantinopel	w1_d169e3400
zu	w3_d169e3403
Abwendung	w5_d169e3406
der	w7_d169e3409
Kränkung	w9_d169e3412
ihrer	w1_d169e3417
Freyheit	w3_d169e3420
gesendet	w5_d169e3423
</p>
<head id="h2_d169e3429">
Nice,	w1_d169e3433
den	w3_d169e3436
28.	w5_d169e3439
Julii.	w7_d169e3442
</head>
<p id="p4_d169e3445">
Wir	w1_d169e3449
haben	w3_d169e3452
hier	w5_d169e3455
würklich	w7_d169e3458
8.	w9_d169e3461
Engländische	w11_d169e3464
Kriegs=schiffe	w1_d169e3469
und	w3_d169e3472
Fregatten	w5_d169e3475
v	w7_d169e3478
derjenigen	w9_d169e3481
Flot	w11_d169e3484
te,	w1_d169e3489
welche	w3_d169e3492
sich	w5_d169e3495
seit	w7_d169e3498
einiger	w9_d169e3501
Zeiti	w11_d169e3504
den	w13_d169e3508
Gewässer	w15_d169e3511
v.	w1_d169e3517
Toulon	w3_d169e3520
befi	w5_d169e3523
det;	w7_d169e3526
und	w9_d169e3529
wie	w11_d169e3532
das	w13_d169e3536
Gerücht	w15_d169e3539
erge	w17_d169e3542
het,	w1_d169e3547
werden	w3_d169e3550
dieselben	w5_d169e3553
ihren	w7_d169e3556
Weeg	w9_d169e3559
weiters	w11_d169e3562
gegen	w13_d169e3566
</p>
<p id="p6_d169e3569">
der	w1_d169e3573
Levante	w3_d169e3576
fortsetzen,	w5_d169e3579
um	w7_d169e3582
die	w9_d169e3585
Französische	w11_d169e3588
Flotte	w1_d169e3593
des	w3_d169e3596
Herrn	w5_d169e3599
von	w7_d169e3602
Grammont	w9_d169e3605
(welche	w11_d169e3608
in	w1_d169e3613
der	w3_d169e3616
Gegend	w5_d169e3619
von	w7_d169e3622
Maltha	w9_d169e3625
stehet,	w11_d169e3628
um	w13_d169e3632
die	w15_d169e3635
Handlung	w1_d169e3641
der	w3_d169e3644
Franzosen	w5_d169e3647
in	w7_d169e3650
dasigen	w9_d169e3653
Landen	w11_d169e3656
zu	w1_d169e3661
bedecken)	w3_d169e3664
aufzusuchen.	w5_d169e3667
</p>
<head id="h2_d169e3673">
Hannover,	w1_d169e3677
1.	w3_d169e3680
August.	w5_d169e3683
</head>
<p id="p4_d169e3686">
Von	w1_d169e3690
Göttingen	w3_d169e3693
hat	w5_d169e3696
man	w7_d169e3699
seit	w9_d169e3702
etlichen	w11_d169e3705
Post=tägen	w1_d169e3710
keine	w3_d169e3713
Briefe	w5_d169e3716
erhalten.	w7_d169e3719
Man	w9_d169e3722
weiß	w11_d169e3725
aber,	w1_d169e3730
daß	w3_d169e3733
bey	w5_d169e3736
300.	w7_d169e3739
Studenten	w9_d169e3742
Französische	w11_d169e3745
Pässe	w1_d169e3751
genommen,	w3_d169e3754
wovon	w5_d169e3757
verschiedene	w7_d169e3760
hier	w9_d169e3763
durch	w1_d169e3768
gereiset	w3_d169e3771
sind;	w5_d169e3774
daß	w7_d169e3777
bey	w9_d169e3780
5000.	w11_d169e3783
Mann	w13_d169e3787
in	w15_d169e3790
der	w1_d169e3795
Stadt	w3_d169e3798
ligen,	w5_d169e3801
wovon	w7_d169e3804
einige	w9_d169e3807
Häuser	w11_d169e3810
18.	w13_d169e3814
Mann	w1_d169e3819
zur	w3_d169e3822
Einquartierung	w5_d169e3825
haben;	w7_d169e3828
daß	w9_d169e3831
sie	w11_d169e3834
übrigens	w1_d169e3840
daselbst	w3_d169e3843
eine	w5_d169e3846
gute	w7_d169e3849
Manns=zucht	w9_d169e3852
hal	w11_d169e3855
ten,	w1_d169e3860
und	w3_d169e3863
keinen	w5_d169e3866
beunruhigen,	w7_d169e3869
und	w9_d169e3872
daß	w11_d169e3875
der	w13_d169e3879
Herr	w1_d169e3884
Amtmann	w3_d169e3887
Breithaupt,	w5_d169e3890
der	w7_d169e3893
Herr	w9_d169e3896
As	w11_d169e3899
sessor	w1_d169e3904
und	w3_d169e3907
Burgermeister	w5_d169e3910
Jnsinger,	w7_d169e3913
der	w9_d169e3916
Herr	w11_d169e3919
Syndicus	w1_d169e3925
Willig,	w3_d169e3928
und	w5_d169e3931
der	w7_d169e3934
Herr	w9_d169e3937
Appuhn,	w11_d169e3940
als	w1_d169e3945
Geiseln	w3_d169e3948
sich	w5_d169e3951
wegen	w7_d169e3954
der	w9_d169e3957
geforderten	w11_d169e3960
Con	w13_d169e3964
tribution	w1_d169e3969
haben	w3_d169e3972
stellen	w5_d169e3975
müssen.	w7_d169e3978
Von	w9_d169e3981
der	w11_d169e3984
Stadt	w1_d169e3989
Mohringen	w3_d169e3992
haben	w5_d169e3995
sie	w7_d169e3998
nur	w9_d169e4001
etwas	w11_d169e4004
leid	w13_d169e4008
liches	w1_d169e4014
gefordert,	w3_d169e4017
nämlich	w5_d169e4020
15.	w7_d169e4023
Malter	w9_d169e4026
Haber	w11_d169e4029
300.	w1_d169e4034
Fuder	w3_d169e4037
Heu,	w5_d169e4040
und	w7_d169e4043
etliche	w9_d169e4046
Stücke	w11_d169e4049
Horn	w13_d169e4053
vieh.	w1_d169e4058
Die	w3_d169e4061
Reichs=stadt	w5_d169e4064
Nord=hausen	w7_d169e4067
hat	w9_d169e4070
</p>
<p id="p10_d169e4083">
ebenfalls	w1_d169e4087
viele	w3_d169e4090
Mannschaft	w5_d169e4093
einnehmen	w7_d169e4096
müs	w9_d169e4099
sen.	w1_d169e4104
</p>
<head id="h2_d169e4110">
Erlang,	w1_d169e4114
den	w3_d169e4117
1.	w5_d169e4120
August.	w7_d169e4123
</head>
<p id="p4_d169e4126">
Das	w1_d169e4130
Contingent	w3_d169e4133
des	w5_d169e4136
