<doc id="wr_1757-09-03" attrs="word" year="1757" month="09" day="03" corpus="2">
<head id="h2_d175e2874">
Alicante	w1_d175e2878
den	w3_d175e2881
29.	w5_d175e2884
Junii.	w7_d175e2887
</head>
<p id="p4_d175e2890">
Jn	w1_d175e2894
Engländischer	w3_d175e2897
Schifs=haupt=mann	w5_d175e2900
Namens	w1_d175e2905
Sir	w3_d175e2908
Strahaan,	w5_d175e2911
welcher	w7_d175e2914
die	w9_d175e2917
Erfahrung	w1_d175e2922
führte,	w3_d175e2925
hat	w5_d175e2928
den	w7_d175e2931
19.	w9_d175e2934
die	w11_d175e2937
ses	w1_d175e2943
unter	w3_d175e2946
denen	w5_d175e2949
Canonen	w7_d175e2952
des	w9_d175e2955
Schlosses	w11_d175e2958
Mo	w13_d175e2962
rayra,	w1_d175e2967
den	w3_d175e2970
Telemaque,	w5_d175e2973
ein	w7_d175e2976
Marsellianisches	w9_d175e2979
Schif	w1_d175e2984
angegriffen,	w3_d175e2987
und	w5_d175e2990
erobert.	w7_d175e2993
Das	w9_d175e2996
Ge	w11_d175e2999
fecht	w1_d175e3004
war	w3_d175e3007
kurz,	w5_d175e3010
aber	w7_d175e3013
blutig.	w9_d175e3016
Auf	w11_d175e3019
Seiten	w13_d175e3023
der	w15_d175e3026
Franzosen	w1_d175e3032
waren	w3_d175e3035
35.	w5_d175e3038
Todte,	w7_d175e3041
und	w9_d175e3044
123.	w11_d175e3047
Ver	w13_d175e3051
wundete.	w1_d175e3056
Er	w3_d175e3059
packte	w5_d175e3062
sie	w7_d175e3065
auf	w9_d175e3068
ein	w11_d175e3071
hieher	w13_d175e3075
ge	w15_d175e3078
höriges	w1_d175e3083
Fahrzeug	w3_d175e3086
Die	w5_d175e3089
Elenden	w7_d175e3092
kamen	w9_d175e3095
Abends	w11_d175e3098
den	w1_d175e3103
24sten	w3_d175e3106
allhier	w5_d175e3109
an	w7_d175e3112
Der	w9_d175e3115
Anblick	w11_d175e3118
war	w13_d175e3122
jäm	w15_d175e3125
merlich,	w1_d175e3131
er	w3_d175e3134
erweckte	w5_d175e3137
ein	w7_d175e3140
allgemeines	w9_d175e3143
Grauen	w11_d175e3146
und	w1_d175e3151
Mitleiden.	w3_d175e3154
Keiner	w5_d175e3157
war	w7_d175e3160
verbunden,	w9_d175e3163
alle	w11_d175e3166
waren	w1_d175e3171
völlig	w3_d175e3174
ausgezogen;	w5_d175e3177
und	w7_d175e3180
auch	w9_d175e3183
sogan	w11_d175e3186
der	w1_d175e3191
Haupt=mann,	w3_d175e3194
dessen	w5_d175e3197
Mut	w7_d175e3200
doch	w9_d175e3203
ein	w11_d175e3206
wei	w13_d175e3210
anderes	w1_d175e3216
Betragen	w3_d175e3219
verdienet	w5_d175e3222
hätte.	w7_d175e3225
Was	w9_d175e3228
von	w1_d175e3233
diesen	w3_d175e3236
Unglückseeligen	w5_d175e3239
denen	w7_d175e3242
Waffen	w9_d175e3245
ent	w11_d175e3248
gieng,	w1_d175e3253
muste	w3_d175e3256
doch	w5_d175e3259
vor	w7_d175e3262
Durst	w9_d175e3265
und	w11_d175e3268
Hunger	w13_d175e3272
verschmachten;	w1_d175e3277
dann	w3_d175e3280
man	w5_d175e3283
weiß,	w7_d175e3286
daß	w9_d175e3289
diese	w11_d175e3292
Leute	w1_d175e3298
24.	w3_d175e3301
ganzer	w5_d175e3304
Stunden	w7_d175e3307
nichts	w9_d175e3310
zu	w11_d175e3313
sich	w13_d175e3317
ge	w15_d175e3320
nommen.	w1_d175e3325
Der	w3_d175e3328
Spanische	w5_d175e3331
Schif=capitan	w7_d175e3334
welchen	w1_d175e3339
der	w3_d175e3342
Engländer	w5_d175e3345
zwang,	w7_d175e3348
diese	w9_d175e3351
Men	w11_d175e3354
schen	w1_d175e3359
auf	w3_d175e3362
sein	w5_d175e3365
Fahrzeug	w7_d175e3368
zu	w9_d175e3371
nehmen,	w11_d175e3374
hatte	w13_d175e3378
</p>
<p id="p6_d175e3381">
selbst	w1_d175e3385
fast	w3_d175e3388
keinen	w5_d175e3391
Nahrungs=vorrat	w7_d175e3394
mehr:	w9_d175e3397
und	w1_d175e3402
die	w3_d175e3405
Engländer	w5_d175e3408
gaben	w7_d175e3411
ihme	w9_d175e3414
auch	w11_d175e3417
nichts,	w13_d175e3421
diese	w1_d175e3426
Gefangene	w3_d175e3429
zu	w5_d175e3432
laben.	w7_d175e3435
</p>
