<doc id="wr_1757-10-26" attrs="word" year="1757" month="10" day="26" corpus="2">
<head id="h2_d190e3644">
Zarskoje=Selo	w1_d190e3648
22.	w3_d190e3651
Sept.	w5_d190e3654
</head>
<p id="p4_d190e3657">
Jorgestern	w1_d190e3661
geruheten	w3_d190e3664
Jhre	w5_d190e3667
Rußisch	w7_d190e3670
Kais.	w9_d190e3673
Majest.	w1_d190e3678
unsere	w3_d190e3681
allergnädigste	w5_d190e3684
Monarchin,	w7_d190e3687
den	w1_d190e3692
von	w3_d190e3695
der	w5_d190e3698
Armee	w7_d190e3701
neulich	w9_d190e3704
als	w11_d190e3707
Currier	w13_d190e3711
mit	w15_d190e3714
der	w1_d190e3720
Nachricht	w3_d190e3723
angelangten	w5_d190e3726
Herrn	w7_d190e3729
General	w9_d190e3732
major	w1_d190e3737
Panin	w3_d190e3740
von	w5_d190e3743
dem	w7_d190e3746
über	w9_d190e3749
die	w11_d190e3752
Preußische	w13_d190e3756
Armee	w1_d190e3761
erfochtenen	w3_d190e3764
Siege	w5_d190e3767
zum	w7_d190e3770
Ritter	w9_d190e3773
des	w11_d190e3776
hei	w13_d190e3780
ligen	w1_d190e3785
Alexander=Newsky=ordens	w3_d190e3788
allergnä	w5_d190e3791
digst	w1_d190e3797
zu	w3_d190e3800
ernennen,	w5_d190e3803
und	w7_d190e3806
ihn	w9_d190e3809
dabey	w11_d190e3812
mit	w13_d190e3816
einer	w15_d190e3819
Summe	w1_d190e3824
von	w3_d190e3827
10000.	w5_d190e3830
Rubeln	w7_d190e3833
zu	w9_d190e3836
begnädi	w11_d190e3839
gen.	w1_d190e3844
</p>
<head id="h2_d190e3850">
Amsterdam	w1_d190e3854
10.	w3_d190e3857
October.	w5_d190e3860
</head>
<p id="p4_d190e3863">
Briefe	w1_d190e3867
von	w3_d190e3870
Londen	w5_d190e3873
geben,	w7_d190e3876
daß	w9_d190e3879
den	w11_d190e3882
6.	w13_d190e3886
dieses	w15_d190e3889
ein	w1_d190e3894
Currier	w3_d190e3897
aus	w5_d190e3900
Teutschland	w7_d190e3903
alda	w9_d190e3906
mit	w11_d190e3909
wich	w13_d190e3913
tigen	w1_d190e3918
Depischen	w3_d190e3921
für	w5_d190e3924
den	w7_d190e3927
Groß=brittanischen	w9_d190e3930
Hof	w1_d190e3936
angekommen	w3_d190e3939
seye,	w5_d190e3942
welche	w7_d190e3945
des	w9_d190e3948
Abends	w11_d190e3951
in	w1_d190e3956
einem	w3_d190e3959
zu	w5_d190e3962
Kensington	w7_d190e3965
gehaltenen	w9_d190e3968
grossen	w11_d190e3971
Raht	w1_d190e3976
untersuchet	w3_d190e3979
worden;	w5_d190e3982
auch	w7_d190e3985
gehet	w9_d190e3988
das	w11_d190e3991
Gerücht,	w1_d190e3996
daß	w3_d190e3999
der	w5_d190e4002
Admiral	w7_d190e4005
Hawke	w9_d190e4008
den	w11_d190e4011
6.	w13_d190e4015
mit	w1_d190e4021
seiner	w3_d190e4024
ganzen	w5_d190e4027
Flotte	w7_d190e4030
nacher	w9_d190e4033
Spithead	w11_d190e4036
zurück	w1_d190e4041
angelangt	w3_d190e4044
seye;	w5_d190e4047
es	w7_d190e4050
wird	w9_d190e4053
versichert,	w11_d190e4056
daß,	w1_d190e4061
wann	w3_d190e4064
der	w5_d190e4067
Lord	w7_d190e4070
Loudon	w9_d190e4073
und	w11_d190e4076
der	w13_d190e4080
