<doc id="wr_1757-11-05" attrs="word" year="1757" month="11" day="05" corpus="2">
<head id="h2_d193e3132">
Marseille	w1_d193e3136
20.	w3_d193e3139
October.	w5_d193e3142
</head>
<p id="p4_d193e3145">
Je	w1_d193e3149
Flotte	w3_d193e3152
des	w5_d193e3155
Herrn	w7_d193e3158
de	w9_d193e3161
la	w11_d193e3164
Clue	w13_d193e3168
ist	w15_d193e3171
end	w17_d193e3174
lich	w1_d193e3179
auf	w3_d193e3182
der	w5_d193e3185
grossen	w7_d193e3188
Rhede	w9_d193e3191
von	w11_d193e3194
Tou	w13_d193e3198
lon	w1_d193e3203
erschienen,	w3_d193e3206
und	w5_d193e3209
zum	w7_d193e3212
Auslauffen	w9_d193e3215
in	w1_d193e3221
vollkommener	w3_d193e3224
Bereitschaft.	w5_d193e3227
Die	w7_d193e3230
Englän	w9_d193e3233
dische	w1_d193e3238
Transport=schiffe	w3_d193e3241
seynd	w5_d193e3244
zwar	w7_d193e3247
alle	w9_d193e3250
wieder	w1_d193e3255
in	w3_d193e3258
ihren	w5_d193e3261
Se=häfen	w7_d193e3264
eingeloffen,	w9_d193e3267
man	w11_d193e3270
beförchtet	w1_d193e3275
aber,	w3_d193e3278
daß	w5_d193e3281
einige	w7_d193e3284
Kriegs=schiffe	w9_d193e3287
sich	w11_d193e3290
dürften	w1_d193e3296
so	w3_d193e3299
vertheilet	w5_d193e3302
haben,	w7_d193e3305
daß	w9_d193e3308
sie	w11_d193e3311
sich	w13_d193e3315
der	w15_d193e3318
Rück=kunft	w1_d193e3323
des	w3_d193e3326
Herrn	w5_d193e3329
du	w7_d193e3332
Bois	w9_d193e3335
de	w11_d193e3338
la	w13_d193e3342
Mothe	w15_d193e3345
aus	w1_d193e3350
America	w3_d193e3353
entgegen	w5_d193e3356
setzen	w7_d193e3359
können.	w9_d193e3362
</p>
<head id="h2_d193e3368">
Petersburg	w1_d193e3372
3.	w3_d193e3375
Oct.	w5_d193e3378
</head>
<p id="p4_d193e3381">
Jhre	w1_d193e3385
Rußisch=Kais.	w3_d193e3388
Majest.	w5_d193e3391
unsere	w7_d193e3394
allergnä	w9_d193e3397
digste	w1_d193e3402
Souveraine,	w3_d193e3405
seynd	w5_d193e3408
vor	w7_d193e3411
einigen	w9_d193e3414
Tägen	w11_d193e3417
von	w13_d193e3421
Zarskoe=zelo	w1_d193e3426
wiederum	w3_d193e3429
in	w5_d193e3432
hiesige	w7_d193e3435
Residenz	w9_d193e3438
angelanget.	w1_d193e3444
Höchst=dieselbe	w3_d193e3447
sowol,	w5_d193e3450
als	w7_d193e3453
al	w9_d193e3456
lerseits	w1_d193e3461
Kaiserl.	w3_d193e3464
Hoheiten	w5_d193e3467
befinden	w7_d193e3470
sich	w9_d193e3473
im	w11_d193e3476
erwünschten	w1_d193e3481
hohen	w3_d193e3484
Wolseyn	w5_d193e3487
</p>
<head id="h2_d193e3493">
Paris	w1_d193e3497
14.	w3_d193e3500
October.	w5_d193e3503
</head>
<p id="p4_d193e3506">
Am	w1_d193e3510
10.	w3_d193e3513
dieses	w5_d193e3516
Monats	w7_d193e3519
ist	w9_d193e3522
wegen	w11_d193e3525
der	w13_d193e3529
Ge	w15_d193e3532
burt	w1_d193e3537
des	w3_d193e3540
Grafens	w5_d193e3543
von	w7_d193e3546
Artois	w9_d193e3549
mit	w11_d193e3552
denen	w13_d193e3556
Freuden=bezeugungen	w1_d193e3561
der	w3_d193e3564
Anfang	w5_d193e3567
gemacht	w7_d193e3570
worden.	w1_d193e3576
Gegen	w3_d193e3579
6.	w5_d193e3582
Uhr	w7_d193e3585
Abends	w9_d193e3588
liesse	w11_d193e3591
man	w13_d193e3595
an	w1_d193e3600
denen	w3_d193e3603
4.	w5_d193e3606
Ecken	w7_d193e3609
des	w9_d193e3612
Platzes	w11_d193e3615
Greve	w13_d193e3619
aus	w15_d193e3622
</p>
<p id="p6_d193e3625">
zwey	w1_d193e3629
Fontainen	w3_d193e3632
Wein	w5_d193e3635
springen,	w7_d193e3638
und	w9_d193e3641
theilte	w11_d193e3644
Brod	w1_d193e3649
und	w3_d193e3652
Fleisch	w5_d193e3655
unter	w7_d193e3658
das	w9_d193e3661
Volk	w11_d193e3664
aus,	w13_d193e3668
auch	w15_d193e3671
waren	w1_d193e3676
die	w3_d193e3679
Fassaden	w5_d193e3682
des	w7_d193e3685
Raht=hauses	w9_d193e3688
des	w11_d193e3691
Ho	w13_d193e3695
tels	w1_d193e3701
von	w3_d193e3704
dem	w5_d193e3707
Vorsteher	w7_d193e3710
