<doc id="wr_1757-12-17" attrs="word" year="1757" month="12" day="17" corpus="2">
<head id="h2_d203e3207">
Nieder=elbe	w1_d203e3211
1.	w3_d203e3214
Decemb.	w5_d203e3217
</head>
<p id="p4_d203e3220">
die	w1_d203e3224
Feindseligkeiten	w3_d203e3227
jenseits	w5_d203e3230
der	w7_d203e3233
Elbe	w9_d203e3236
ha	w11_d203e3239
/	w1_d203e3244
ben	w3_d203e3247
nunmehr	w5_d203e3250
ihren	w7_d203e3253
Anfang	w9_d203e3256
genom	w11_d203e3259
Smen.	w1_d203e3264
Gestern	w3_d203e3267
Morgens	w5_d203e3270
gegen	w7_d203e3273
8	w9_d203e3276
Uhr	w11_d203e3279
gieng	w1_d203e3285
die	w3_d203e3288
Canonade	w5_d203e3291
auf	w7_d203e3294
das	w9_d203e3297
Schloß	w11_d203e3300
zu	w13_d203e3304
Har	w15_d203e3307
burg	w1_d203e3312
vom	w3_d203e3315
schwarzen	w5_d203e3318
Berge	w7_d203e3321
an.	w9_d203e3324
Man	w11_d203e3327
ant	w13_d203e3331
wortete	w1_d203e3336
aus	w3_d203e3339
dem	w5_d203e3342
Schlosse,	w7_d203e3345
und	w9_d203e3348
von	w11_d203e3351
beyden	w13_d203e3355
Seiten	w1_d203e3360
ward	w3_d203e3363
bis	w5_d203e3366
um	w7_d203e3369
10	w9_d203e3372
Uhr,	w11_d203e3375
wie	w13_d203e3379
man	w15_d203e3382
dies	w17_d203e3385
seits	w1_d203e3391
des	w3_d203e3394
Ufers	w5_d203e3397
der	w7_d203e3400
Elbe	w9_d203e3403
deutlich	w11_d203e3406
vernehmen	w13_d203e3410
kennte,	w1_d203e3415
mit	w3_d203e3418
Schießen	w5_d203e3421
fortgefahren.	w7_d203e3424
Um	w9_d203e3427
die	w11_d203e3430
se	w1_d203e3435
Zeit	w3_d203e3438
ward	w5_d203e3441
abermals	w7_d203e3444
ein	w9_d203e3447
Trompeter	w11_d203e3450
an	w13_d203e3454
den	w15_d203e3457
Französischen	w1_d203e3462
Commendanten	w3_d203e3465
mit	w5_d203e3468
einer	w7_d203e3471
wie	w9_d203e3474
derholten	w1_d203e3480
Aufforderung	w3_d203e3483
des	w5_d203e3486
Schlosses	w7_d203e3489
ab	w9_d203e3492
geschickt.	w1_d203e3497
Die	w3_d203e3500
Antwort	w5_d203e3503
war	w7_d203e3506
der	w9_d203e3509
vorigen	w11_d203e3512
gleich,	w1_d203e3517
nämlich,	w3_d203e3520
daß	w5_d203e3523
der	w7_d203e3526
Commandant	w9_d203e3529
ent	w11_d203e3532
schlossen	w1_d203e3537
bliebe,	w3_d203e3540
sich	w5_d203e3543
ferner	w7_d203e3546
zu	w9_d203e3549
wehren,	w11_d203e3552
und	w13_d203e3556
des	w1_d203e3562
Vertrauens	w3_d203e3565
sich	w5_d203e3568
würdig	w7_d203e3571
zu	w9_d203e3574
machen,	w11_d203e3577
wel	w13_d203e3581
ches	w1_d203e3586
sein	w3_d203e3589
Herr	w5_d203e3592
in	w7_d203e3595
ihn	w9_d203e3598
gesetzet.	w11_d203e3601
Nach	w13_d203e3605
11.	w15_d203e3608
Uhr	w17_d203e3611
nahm	w1_d203e3616
also	w3_d203e3619
die	w5_d203e3622
Cononade	w7_d203e3625
von	w9_d203e3628
beyden	w11_d203e3631
Seiten	w13_d203e3635
wiederum	w1_d203e3640
ihren	w3_d203e3643
Anfang,	w5_d203e3646
und	w7_d203e3649
daurete	w9_d203e3652
bis	w11_d203e3655
ge	w13_d203e3659
gen	w1_d203e3665
5.	w3_d203e3668
Uhr.	w5_d203e3671
Bis	w7_d203e3674
dahin	w9_d203e3677
hat	w11_d203e3680
das	w13_d203e3684
Feuren	w15_d203e3687
noch	w1_d203e3692
keinen	w3_d203e3695
sonderlichen	w5_d203e3698
Schaden	w7_d203e3701
gethan.	w9_d203e3704
Jn	w1_d203e3709
der	w3_d203e3712
abgewichenen	w5_d203e3715
Nacht	w7_d203e3718
von	w9_d203e3721
18.	w11_d203e3724
bis	w13_d203e3728
12.	w1_d203e3733
Uhr	w3_d203e3736
sind	w5_d203e3739
nur	w7_d203e3742
sehr	w9_d203e3745
wenige	w11_d203e3748
Schüssegesche	w13_d203e3752
</p>
<p id="p6_d203e3755">
hen;	w1_d203e3759
und	w3_d203e3762
heute,	w5_d203e3765
als	w7_d203e3768
den	w9_d203e3771
1.	w11_d203e3774
December,	w13_d203e3778
ist	w15_d203e3781
von	w1_d203e3786
beyden	w3_d203e3789
Seiten	w5_d203e3792
damit	w7_d203e3795
eingehalten	w9_d203e3798
wor	w11_d203e3801
