<doc id="wr_1757-12-21" attrs="word" year="1757" month="12" day="21" corpus="2">
<head id="h2_d204e2824">
Burtehude,	w1_d204e2828
4.	w3_d204e2831
December.	w5_d204e2834
</head>
<p id="p4_d204e2837">
Jm	w1_d204e2841
vorigen	w3_d204e2844
Mittwochen	w5_d204e2847
wurde	w7_d204e2850
aus	w9_d204e2853
den	w11_d204e2856
Lager	w1_d204e2861
vor	w3_d204e2864
Harburg	w5_d204e2867
ein	w7_d204e2870
Französischen	w9_d204e2873
Capitain	w1_d204e2878
mit	w3_d204e2881
seinen	w5_d204e2884
2.	w7_d204e2887
Bedienten	w9_d204e2890
und	w11_d204e2893
88	w1_d204e2899
5.	w1_d204e2904
Gemeinen,	w3_d204e2907
die	w5_d204e2910
man	w7_d204e2913
zum	w9_d204e2916
Lauenbrock	w11_d204e2919
in	w13_d204e2923
einem	w1_d204e2928
Ever	w3_d204e2931
aufgehoben	w5_d204e2934
hatte,	w7_d204e2937
anhero	w9_d204e2940
gebracht.	w11_d204e2943
Am	w1_d204e2948
Donnerstag	w3_d204e2951
Morgens	w5_d204e2954
wurden	w7_d204e2957
dieselben	w9_d204e2960
unter	w1_d204e2966
einer	w3_d204e2969
Escorte	w5_d204e2972
von	w7_d204e2975
hiesiger	w9_d204e2978
Besatzung	w11_d204e2981
wei	w13_d204e2985
ter	w1_d204e2990
nach	w3_d204e2993
Stade	w5_d204e2996
transportiret.	w7_d204e2999
Am	w9_d204e3002
Frey	w11_d204e3005
tag	w1_d204e3010
Abends	w3_d204e3013
spät	w5_d204e3016
kam	w7_d204e3019
ein	w9_d204e3022
Harburger=ever	w11_d204e3025
mit	w1_d204e3030
11.	w3_d204e3033
Tonnen	w5_d204e3036
Pulfer,	w7_d204e3039
3.	w9_d204e3042
Französischen	w11_d204e3045
Officiers	w1_d204e3051
und	w3_d204e3054
4	w5_d204e3057
Gemeinen	w7_d204e3060
hieselbst	w9_d204e3063
an.	w11_d204e3066
Die	w13_d204e3070
selben	w1_d204e3075
haben	w3_d204e3078
nach	w5_d204e3081
Harburg	w7_d204e3084
gewollt,	w9_d204e3087
sind	w11_d204e3090
abe	w13_d204e3094
auf	w1_d204e3099
der	w3_d204e3102
Elbe	w5_d204e3105
beym	w7_d204e3108
Reiherstieg	w9_d204e3111
aufgefangen	w11_d204e3114
worden	w1_d204e3119
Zu	w3_d204e3122
Rotenburg	w5_d204e3125
und	w7_d204e3128
Ottersberg	w9_d204e3131
sollen	w1_d204e3137
sich	w3_d204e3140
die	w5_d204e3143
Franzosen	w7_d204e3146
sehr	w9_d204e3149
stark	w11_d204e3152
zusammen	w13_d204e3156
ziehen;	w1_d204e3161
und	w3_d204e3164
wie	w5_d204e3167
das	w7_d204e3170
Gerüchte	w9_d204e3173
gehet,	w11_d204e3176
so	w13_d204e3180
ma	w15_d204e3183
chen	w1_d204e3188
dieselben	w3_d204e3191
Bewegung,	w5_d204e3194
sich	w7_d204e3197
nach	w9_d204e3200
Stadt	w11_d204e3203
herunter	w1_d204e3208
zu	w3_d204e3211
begehen.	w5_d204e3214
Um	w7_d204e3217
sich	w9_d204e3220
nun	w11_d204e3223
alhier	w13_d204e3227
vor	w1_d204e3233
einem	w3_d204e3236
unvermuteten	w5_d204e3239
Ueberfall	w7_d204e3242
in	w9_d204e3245
Sicher	w11_d204e3248
heit	w1_d204e3253
zu	w3_d204e3256
stellen,	w5_d204e3259
wird	w7_d204e3262
hiesige	w9_d204e3265
Stadt	w11_d204e3268
eini	w13_d204e3272
ger=maßen	w1_d204e3277
in	w3_d204e3280
einen	w5_d204e3283
guten	w7_d204e3286
Vertheidigungs	w9_d204e3289
stand	w1_d204e3294
gesetzet.	w3_d204e3297
Zu	w5_d204e3300
dem	w7_d204e3303
Ende	w9_d204e3306
werden	w11_d204e3309
die	w13_d204e3313
bey	w15_d204e3316
de	w1_d204e3322
Zwinger	w3_d204e3325
oder	w5_d204e3328
Thürne	w7_d204e3331
der	w9_d204e3334
Stadt=maner	w11_d204e3337
</p>
<p id="p6_d204e3340">
an	w1_d204e3344
der	w3_d204e3347
Seite	w5_d204e3350
des	w7_d204e3353
Geest=thores	w9_d204e3356
zurechte	w11_d204e3359
ge	w13_d204e3363
macht,	w1_d204e3368
und	w3_d204e3371
mit	w5_d204e3374
Canonen	w7_d204e3377
bepflanzet,	w9_d204e3380
und	w11_d204e3383
in	w13_d204e3387
der	w1_d204e3392
Krumholz=schanze	w3_d204e3395
vor	w5_d204e3398
dem	w7_d204e3401
Geest=thore	w9_d204e3404
soll	w1_d204e3410
eine	w3_d204e3413
Batterie	w5_d204e3416
aufgeworfen	w7_d204e3419
werden.	w9_d204e3422
Die	w11_d204e3425
Vorposten	w1_d204e3430
von	w3_d204e3433
hiesiger	w5_d204e3436
Besatzung	w7_d204e3439
sind	w9_d204e3442
bis	w11_d204e3445
oberhalb	w1_d204e3450
der	w3_d204e3453
Lüneburger=schanze	w5_d204e3456
(ein	w7_d204e3459
soge	w9_d204e3462
nanntes	w1_d204e3467
Wirts=haus	w3_d204e3470
nahe	w5_d204e3473
beym	w7_d204e3476
Altenklo	w9_d204e3479
ster)	w1_d204e3485
ausgestellet.	w3_d204e3488
Das	w5_d204e3491
Fahren	w7_d204e3494
der	w9_d204e3497
Pro	w11_d204e3500
viant=wägen	w1_d204e3505
dauret	w3_d204e3508
Tag	w5_d204e3511
und	w7_d204e3514
Nacht	w9_d204e3517
fort,	w11_d204e3520
und	w1_d204e3525
man	w3_d204e3528
rechnet	w5_d204e3531
bereits	w7_d204e3534
über	w9_d204e3537
1000.	w11_d204e3540
Wägen,	w13_d204e3544
so	w1_d204e3549
diese	w3_d204e3552
Woche	w5_d204e3555
mit	w7_d204e3558
Proviant,	w9_d204e3561
Haber,	w11_d204e3564
Heur	w13_d204e3568
und	w1_d204e3574
Stroh	w3_d204e3577
der	w5_d204e3580
Armee	w7_d204e3583
von	w9_d204e3586
hier	w11_d204e3589
nachgefah	w13_d204e3593
ren	w1_d204e3598
sind.	w3_d204e3601
</p>
<head id="h2_d204e3607">
Nieder	w1_d204e3611
/	w3_d204e3614
elbe,	w5_d204e3617
5.	w7_d204e3620
December	w9_d204e3623
</head>
<p id="p4_d204e3626">
Seit	w1_d204e3630
vorigem	w3_d204e3633
Sonn=abend,	w5_d204e3636
als	w7_d204e3639
den	w9_d204e3642
3ten	w11_d204e3645
dieses,	w1_d204e3650
hat	w3_d204e3653
man	w5_d204e3656
wieder	w7_d204e3659
angefangen,	w9_d204e3662
das	w11_d204e3665
Schloß	w1_d204e3670
von	w3_d204e3673
Harburg	w5_d204e3676
zu	w7_d204e3679
beschießen,	w9_d204e3682
und	w11_d204e3685
es	w13_d204e3689
ist	w1_d204e3695
bis	w3_d204e3698
diesen	w5_d204e3701
Nachmittag	w7_d204e3704
damit	w9_d204e3707
fortgefah	w11_d204e3710
ren	w1_d204e3715
worden,	w3_d204e3718
Man	w5_d204e3721
siehet	w7_d204e3724
aus	w9_d204e3727
allen	w11_d204e3730
Umstän	w13_d204e3734
den,	w1_d204e3739
daß	w3_d204e3742
man	w5_d204e3745
das	w7_d204e3748
Schloß	w9_d204e3751
schonet,	w11_d204e3754
und	w13_d204e3758
nur	w1_d204e3763
bloß,	w3_d204e3766
wiewol	w5_d204e3769
vergeblich,	w7_d204e3772
in	w9_d204e3775
die	w11_d204e3778
Festungs	w13_d204e3782
werke	w1_d204e3788
schießet.	w3_d204e3791
Auf	w5_d204e3794
die	w7_d204e3797
gelinde	w9_d204e3800
Art,	w11_d204e3803
wie	w13_d204e3807
es	w15_d204e3810
angegriffen	w1_d204e3815
wird,	w3_d204e3818
kan	w5_d204e3821
es	w7_d204e3824
sich	w9_d204e3827
noch	w11_d204e3830
14.	w13_d204e3834
Täge	w15_d204e3837
halten,	w1_d204e3842
wann	w3_d204e3845
der	w5_d204e3848
Herr	w7_d204e3851
von	w9_d204e3854
Pereuse	w11_d204e3857
Lehne	w13_d204e3861
</p>
<p id="p8_d204e3866">
mittel	w1_d204e3870
hatb	w3_d204e3873
Aller	w5_d204e3876
Zufahren	w7_d204e3879
sind	w9_d204e3882
ihm	w11_d204e3885
abge	w13_d204e3889
schäitlin,	w1_d204e3894
und	w3_d204e3897
die	w5_d204e3900
Hannöverischen	w7_d204e3903
und	w9_d204e3906
Bü	w11_d204e3909
ckeburgischen	w1_d204e3914
Jäger	w3_d204e3917
haben	w5_d204e3920
die	w7_d204e3923
Elbe=insul	w9_d204e3926
und	w1_d204e3932
Teiche	w3_d204e3935
besetzt,	w5_d204e3938
und	w7_d204e3941
unte	w9_d204e3944
suchen	w11_d204e3947
sehr	w13_d204e3951
auf	w15_d204e3954
merksam,	w1_d204e3959
was	w3_d204e3962
v.	w5_d204e3965
denen	w7_d204e3968
neutralen	w9_d204e3971
Jnsuln	w11_d204e3974
pas	w13_d204e3978
siret.	w1_d204e3983
Von	w3_d204e3986
