<doc id="wr_1758-01-11" attrs="word" year="1758" month="01" day="11" corpus="2">
<head id="h2_d209e2714">
Paderborn,	w1_d209e2718
30.	w3_d209e2721
Decemb.	w5_d209e2724
1757.	w7_d209e2727
</head>
<p id="p4_d209e2730">
Gleich	w1_d209e2734
nach	w3_d209e2737
Abbrennung	w5_d209e2740
der	w7_d209e2743
Vorstädte	w9_d209e2746
von	w1_d209e2751
Zelle	w3_d209e2754
zog	w5_d209e2757
sich	w7_d209e2760
die	w9_d209e2763
ganze	w11_d209e2766
Franzö	w13_d209e2770
sische	w1_d209e2775
Armee	w3_d209e2778
an	w5_d209e2781
das	w7_d209e2784
rechte	w9_d209e2787
Ufer	w11_d209e2790
der	w13_d209e2794
Aller.	w1_d209e2800
Die	w3_d209e2803
Besatzung	w5_d209e2806
der	w7_d209e2809
Stadt,	w9_d209e2812
welche	w11_d209e2815
sich	w1_d209e2820
bereits	w3_d209e2823
auf	w5_d209e2826
6000.	w7_d209e2829
Mann	w9_d209e2832
erstreckte,	w11_d209e2835
wur	w13_d209e2839
de	w1_d209e2844
mit	w3_d209e2847
2000.	w5_d209e2850
Mann	w7_d209e2853
von	w9_d209e2856
denen	w11_d209e2859
Regimentern	w13_d209e2863
Champagne	w1_d209e2868
und	w3_d209e2871
Piemont	w5_d209e2874
verstärkt,	w7_d209e2877
und	w9_d209e2880
um	w11_d209e2883
der	w1_d209e2889
Hanöverischen	w3_d209e2892
Armee	w5_d209e2895
alle	w7_d209e2898
Communica	w9_d209e2901
tion	w1_d209e2906
abzuschneiden,	w3_d209e2909
wurden	w5_d209e2912
alle	w7_d209e2915
Brücken	w9_d209e2918
zbis	w1_d209e2923
Gyfhorn	w3_d209e2926
abgebrannt,	w5_d209e2929
und	w7_d209e2932
die	w9_d209e2935
Fahrzeu	w11_d209e2938
ge	w1_d209e2943
versenkt.	w3_d209e2946
Die	w5_d209e2949
Hanöverische	w7_d209e2952
Trupen,	w9_d209e2955
welche	w1_d209e2961
bey	w3_d209e2964
Winsen	w5_d209e2967
diesen	w7_d209e2970
Strom	w9_d209e2973
paßiret	w11_d209e2976
hatten,	w1_d209e2981
zogen	w3_d209e2984
sich	w5_d209e2987
mit	w7_d209e2990
vieler	w9_d209e2993
Mühe	w11_d209e2996
und	w13_d209e3000
un	w15_d209e3003
ter	w1_d209e3008
beständigen	w3_d209e3011
Scharmuziren	w5_d209e3014
wieder	w7_d209e3017
über	w9_d209e3020
die	w1_d209e3025
Aller,	w3_d209e3028
und	w5_d209e3031
beyde	w7_d209e3034
Armeen	w9_d209e3037
stunden	w11_d209e3040
den	w13_d209e3044
20.	w1_d209e3050
einander	w3_d209e3053
im	w5_d209e3056
Gesichte.	w7_d209e3059
Die	w9_d209e3062
Französi	w11_d209e3065
sche	w1_d209e3070
Jnfanterie	w3_d209e3073
machte	w5_d209e3076
die	w7_d209e3079
Fronte,	w9_d209e3082
und	w11_d209e3085
die	w13_d209e3089
Cavallerie	w1_d209e3094
stund	w3_d209e3097
hinter	w5_d209e3100
ihr,	w7_d209e3103
und	w9_d209e3106
nur	w11_d209e3109
einige	w13_d209e3113
Regimenter	w1_d209e3118
bedeckten	w3_d209e3121
die	w5_d209e3124
Zellischen	w7_d209e3127
Vorstäd	w9_d209e3130
te.	w1_d209e3136
Der	w3_d209e3139
Graf	w5_d209e3142
von	w7_d209e3145
Andlau	w9_d209e3148
stund	w11_d209e3151
rechter	w13_d209e3155
Hand,	w1_d209e3160
undfließ	w3_d209e3163
eine	w5_d209e3166
hölzerne	w7_d209e3169
Brücke	w9_d209e3172
wieder	w11_d209e3175
repariren,	w1_d209e3180
die	w3_d209e3183
man	w5_d209e3186
vorher	w7_d209e3189
demolirt	w9_d209e3192
hatte.	w11_d209e3195
Von	w1_d209e3200
Bremen	w3_d209e3203
aus,	w5_d209e3206
bis	w7_d209e3209
gegen	w9_d209e3212
Zelle	w11_d209e3215
hatte	w13_d209e3219
der	w15_d209e3222
</p>
<p id="p6_d209e3225">
Herr	w1_d209e3229
Marschall,	w3_d209e3232
Herzog	w5_d209e3235
von	w7_d209e3238
Richelieu,	w9_d209e3241
11.	w11_d209e3244
Bataillons	w1_d209e3249
und	w3_d209e3252
3.	w5_d209e3255
Regimenter	w7_d209e3258
Jnfanterie	w9_d209e3261
un	w11_d209e3264
ter	w1_d209e3269
des	w3_d209e3272
Prinzen	w5_d209e3275
von	w7_d209e3278
Beaufremont	w9_d209e3281
Comman	w11_d209e3284
do	w1_d209e3290
postirt,	w3_d209e3293
um	w5_d209e3296
die	w7_d209e3299
rechte	w9_d209e3302
Seite	w11_d209e3305
der	w13_d209e3309
Aller	w15_d209e3312
zu	w1_d209e3317
bedecken,	w3_d209e3320
und	w5_d209e3323
folglich	w7_d209e3326
konnte	w9_d209e3329
die	w11_d209e3332
Fran	w13_d209e3336
zösische	w1_d209e3341
Armee	w3_d209e3344
diesen	w5_d209e3347
Strom	w7_d209e3350
den	w9_d209e3353
100.	w11_d209e3356
sehr	w13_d209e3360
ruhig	w1_d209e3365
paßiren.	w3_d209e3368
Die	w5_d209e3371
Hanöverische	w7_d209e3374
Armee	w9_d209e3377
hatte	w1_d209e3383
sich	w3_d209e3386
auf	w5_d209e3389
dem	w7_d209e3392
Gebürge	w9_d209e3395
postirk,	w11_d209e3398
blieb	w13_d209e3402
ste	w15_d209e3405
hen,	w1_d209e3410
und	w3_d209e3413
fieng	w5_d209e3416
an	w7_d209e3419
stark	w9_d209e3422
zu	w11_d209e3425
canoniren,	w13_d209e3429
Fran	w15_d209e3432
zösischer	w1_d209e3437
Seits	w3_d209e3440
geschahe	w5_d209e3443
ein	w7_d209e3446
gleiches,	w9_d209e3449
und	w11_d209e3452
der	w13_d209e3456
Herzog	w1_d209e3461
von	w3_d209e3464
Richelieu	w5_d209e3467
war	w7_d209e3470
entschlossen,	w9_d209e3473
sie	w11_d209e3476
anzugreiffen.	w1_d209e3482
Die	w3_d209e3485
Canonade	w5_d209e3488
daurete	w7_d209e3491
ganzer	w9_d209e3494
18.	w1_d209e3499
Stunden,	w3_d209e3502
und	w5_d209e3505
die	w7_d209e3508
Kälte	w9_d209e3511
war	w11_d209e3514
denen	w13_d209e3518
Tru	w15_d209e3521
pen,	w1_d209e3526
welche	w3_d209e3529
die	w5_d209e3532
gamze	w7_d209e3535
Nacht	w9_d209e3538
im	w11_d209e3541
Felde	w13_d209e3545
stehen	w15_d209e3548
musten,	w1_d209e3553
ungemein	w3_d209e3556
beschwerlich.	w5_d209e3559
Den	w7_d209e3562
21.	w9_d209e3565
verließ	w1_d209e3571
die	w3_d209e3574
Hanöverische	w5_d209e3577
Armee	w7_d209e3580
ihr	w9_d209e3583
Lager.	w11_d209e3586
Der	w1_d209e3591
Prinz	w3_d209e3594
Ferdinand,	w5_d209e3597
zoge	w7_d209e3600
sich	w9_d209e3603
längs	w11_d209e3606
der	w13_d209e3610
linken	w1_d209e3615
Seite	w3_d209e3618
der	w5_d209e3621
Aller	w7_d209e3624
bis	w9_d209e3627
gegen	w11_d209e3630
Grfborn	w13_d209e3634
und	w1_d209e3639
der	w3_d209e3642
Herr	w5_d209e3645
Marschall,	w7_d209e3648
Herzog	w9_d209e3651
von	w11_d209e3654
Richa	w13_d209e3658
lieu,	w1_d209e3664
setzte	w3_d209e3667
sich	w5_d209e3670
gleichfalls	w7_d209e3673
mit	w9_d209e3676
der	w11_d209e3679
Armee	w13_d209e3683
in	w15_d209e3686
Bewegung,	w1_d209e3691
um	w3_d209e3694
ihm	w5_d209e3697
nachzufolgen.	w7_d209e3700
</p>
<head id="h2_d209e3706">
Leipzig,	w1_d209e3710
31.	w3_d209e3713
Decemb.	w5_d209e3716
1757.	w7_d209e3719
</head>
<p id="p4_d209e3722">
Das	w1_d209e3726
Keithische	w3_d209e3729
Corpo	w5_d209e3732
ist	w7_d209e3735
gröstentheils	w9_d209e3738
in	w11_d209e3741
8	w1_d209e3746
</p>
<p id="p8_d209e3751">
die	w1_d209e3755
Winter=quartiere	w3_d209e3758
gegangen.	w5_d209e3761
Ein	w7_d209e3764
Theil	w9_d209e3767
desselben	w1_d209e3772
ist	w3_d209e3775
zu	w5_d209e3778
dem	w7_d209e3781
General	w9_d209e3784
Meyer	w11_d209e3787
gestossen,	w13_d209e3791
welcher	w1_d209e3796
