<doc id="wr_1758-01-21" attrs="word" year="1758" month="01" day="21" corpus="2">
<head id="h2_d212e3556">
Lüneburg,	w1_d212e3560
3.	w3_d212e3563
Januarii.	w5_d212e3566
</head>
<p id="p4_d212e3569">
Lorgen	w1_d212e3573
kommen	w3_d212e3576
2.	w5_d212e3579
Bataillons	w7_d212e3582
von	w9_d212e3585
dem	w11_d212e3588
Wolfenbüttelischen	w1_d212e3593
Leib=regiment,	w3_d212e3596
und	w1_d212e3601
2.	w3_d212e3604
Bataillons	w5_d212e3607
von	w7_d212e3610
unserer	w9_d212e3613
Gar	w11_d212e3616
ur	w1_d212e3622
Besatzung	w3_d212e3625
hieselbst	w5_d212e3628
an,	w7_d212e3631
und	w9_d212e3634
am	w11_d212e3637
Don	w13_d212e3641
lage	w1_d212e3646
oder	w3_d212e3649
Freytage	w5_d212e3652
wird	w7_d212e3655
das	w9_d212e3658
Hauptquar	w11_d212e3661
alhier	w1_d212e3666
erwartet.	w3_d212e3669
Gestern	w5_d212e3672
marschirte	w7_d212e3675
das	w9_d212e3678
fallerie=regiment	w1_d212e3683
von	w3_d212e3686
Dachenhausen	w5_d212e3689
hier	w7_d212e3692
bnach	w1_d212e3698
ihren	w3_d212e3701
in	w5_d212e3704
die	w7_d212e3707
Masch	w9_d212e3710
ihnen	w11_d212e3713
bestimm	w13_d212e3717
Lantonuirungs=quartieren	w1_d212e3722
Man	w3_d212e3725
brin	w5_d212e3728
fast	w1_d212e3733
alle	w3_d212e3736
Tage	w5_d212e3739
Französische	w7_d212e3742
Gefangene	w9_d212e3745
Die	w1_d212e3750
Französischen	w3_d212e3753
Officiers	w5_d212e3756
sind	w7_d212e3759
heute	w9_d212e3762
Natzeburg	w1_d212e3768
gebracht.	w3_d212e3771
Die	w5_d212e3774
Regimenter	w7_d212e3777
sind	w1_d212e3782
auf	w3_d212e3785
folgende	w5_d212e3788
Art	w7_d212e3791
vertheilet:	w9_d212e3794
Das	w11_d212e3797
Regi	w13_d212e3801
menk	w1_d212e3806
von	w3_d212e3809
Kielmannseck	w5_d212e3812
zu	w7_d212e3815
Wrestebt,	w9_d212e3818
von	w11_d212e3821
Hberg	w1_d212e3826
zu	w3_d212e3829
Kaimbroick,	w5_d212e3832
von	w7_d212e3835
Zandre	w9_d212e3838
und	w11_d212e3841
von	w13_d212e3845
Scheiter	w1_d212e3851
zu	w3_d212e3854
Bodenteich,	w5_d212e3857
von	w7_d212e3860
Behr	w9_d212e3863
zu	w11_d212e3866
Staden	w13_d212e3870
sint,	w1_d212e3875
von	w3_d212e3878
Stolzenberg	w5_d212e3881
und	w7_d212e3884
von	w9_d212e3887
Haus	w11_d212e3890
zu	w13_d212e3894
Reb	w15_d212e3897
sen,	w1_d212e3902
von	w3_d212e3905
Wangenheim	w5_d212e3908
zu	w7_d212e3911
Holdenstedt,	w9_d212e3914
von	w11_d212e3917
gesebeck	w1_d212e3922
und	w3_d212e3925
von	w5_d212e3928
Diepenbroick	w7_d212e3931
zu	w9_d212e3934
Gerdau,	w11_d212e3937
in	w1_d212e3943
Dreves	w3_d212e3946
und	w5_d212e3949
Bückeburg	w7_d212e3952
zu	w9_d212e3955
Grossen	w11_d212e3958
und	w13_d212e3962
jen	w1_d212e3967
Süste,	w3_d212e3970
von	w5_d212e3973
Ledebur	w7_d212e3976
zu	w9_d212e3979
Born,	w11_d212e3982
von	w13_d212e3986
bck	w1_d212e3991
und	w3_d212e3994
Prinz	w5_d212e3997
von	w7_d212e4000
Anhalt	w9_d212e4003
zu	w11_d212e4006
Alten	w13_d212e4010
El	w15_d212e4013
f.	w1_d212e4018
Hessen	w3_d212e4021
Garde	w5_d212e4024
und	w7_d212e4027
Grenadier	w9_d212e4030
zu	w11_d212e4033
Ret	w13_d212e4037
</p>
<p id="p6_d212e4040">
telkamp,	w1_d212e4044
Mansbach,	w3_d212e4047
von	w5_d212e4050
Brunk,	w7_d212e4053
und	w9_d212e4056
das	w11_d212e4059
erste	w1_d212e4064
Bataillon	w3_d212e4067
Jmhof	w5_d212e4070
zu	w7_d212e4073
Ebstorf,	w9_d212e4076
das	w11_d212e4079
2s	w13_d212e4083
Bataillon	w1_d212e4088
Jmhof	w1_d212e4094
zu	w3_d212e4097
Hanste	w5_d212e4100
und	w7_d212e4103
Brauel,	w9_d212e4106
das	w1_d212e4111
Regiment	w3_d212e4114
Kanitz	w5_d212e4117
und	w7_d212e4120
Fürstenberge	w9_d212e4123
in	w11_d212e4126
grossen	w1_d212e4131
Bollensen,	w3_d212e4134
Prinz	w5_d212e4137
Carl	w7_d212e4140
in	w9_d212e4143
Melzingen,	w11_d212e4146
2.	w1_d212e4151
Bataillons	w3_d212e4154
Behr	w5_d212e4157
in	w7_d212e4160
Holksen,	w9_d212e4163
2.	w11_d212e4166
Batail	w13_d212e4170
lons	w1_d212e4176
Leib=regiment	w3_d212e4179
in	w5_d212e4182
Oldenstadt,	w7_d212e4185
das	w9_d212e4188
Re	w11_d212e4191
giment	w1_d212e4196
von	w3_d212e4199
Druchtleben	w5_d212e4202
in	w7_d212e4205
Wiersen,	w9_d212e4208
von	w11_d212e4211
Fa	w13_d212e4215
brice	w1_d212e4220
in	w3_d212e4223
Lühr,	w5_d212e4226
Erb=prinz	w7_d212e4229
und	w9_d212e4232
Prinz	w11_d212e4235
Jsen	w13_d212e4239
burg	w1_d212e4244
in	w3_d212e4247
Sonterburg,	w5_d212e4250
Hanau,	w7_d212e4253
und	w9_d212e4256
Caplan	w11_d212e4259
in	w13_d212e4263
Granken,	w1_d212e4269
Leib=regiment	w3_d212e4272
Hessen	w5_d212e4275
in	w7_d212e4278
Lütjen	w9_d212e4281
Bollensen,	w1_d212e4286
Zastrow	w3_d212e4289
und	w5_d212e4292
Braurs	w7_d212e4295
in	w9_d212e4298
Ham	w11_d212e4301
merstorf.	w1_d212e4306
</p>
<head id="h2_d212e4312">
Londen,	w1_d212e4316
3.	w3_d212e4319
Januarii.	w5_d212e4322
</head>
<p id="p4_d212e4325">
Der	w1_d212e4329
König	w3_d212e4332
hat	w5_d212e4335
den	w7_d212e4338
General=major,	w9_d212e4341
Lord	w11_d212e4344
Georg	w1_d212e4349
Sackville,	w3_d212e4352
zum	w5_d212e4355
General=leutenant	w7_d212e4358
der	w1_d212e4363
Artillerie	w3_d212e4366
ernannt.	w5_d212e4369
Das	w7_d212e4372
Kriegsschif,	w9_d212e4375
der	w1_d212e4381
Admiral	w3_d212e4384
Watson,	w5_d212e4387
von	w7_d212e4390
50.	w9_d212e4393
Canonen,	w11_d212e4396
ist	w1_d212e4401
vom	w3_d212e4404
Stappel	w5_d212e4407
ins	w7_d212e4410
Wasser	w9_d212e4413
gelassen	w11_d212e4416
wor	w13_d212e4420
den,	w1_d212e4425
und	w3_d212e4428
wird	w5_d212e4431
nebst	w7_d212e4434
dem	w9_d212e4437
Kriegs=schif	w11_d212e4440
Aqui	w13_d212e4444
taine	w1_d212e4449
denen	w3_d212e4452
Ostindischen	w5_d212e4455
Schiffen	w7_d212e4458
zur	w9_d212e4461
Convon	w11_d212e4464
dienen.	w1_d212e4470
Der	w3_d212e4473
Schoutbynacht	w5_d212e4476
Smith	w7_d212e4479
hat	w9_d212e4482
ei	w11_d212e4485
nige	w1_d212e4490
