<doc id="wr_1758-01-28" attrs="word" year="1758" month="01" day="28" corpus="2">
<head id="h2_d214e2819">
Altona,	w1_d214e2823
17.	w3_d214e2826
Januarii.	w5_d214e2829
</head>
<p id="p4_d214e2832">
gen	w1_d214e2836
10ten	w3_d214e2839
dieses	w5_d214e2842
ist	w7_d214e2845
zu	w9_d214e2848
Harburg	w11_d214e2851
die	w13_d214e2855
Bo	w15_d214e2858
denteichische	w1_d214e2863
Compagnie	w3_d214e2866
Landmilitz	w5_d214e2869
/	w1_d214e2874
des	w3_d214e2877
Capitains	w5_d214e2880
Hotzen,	w7_d214e2883
von	w9_d214e2886
ungefähr	w11_d214e2889
200.	w1_d214e2895
Mann,	w3_d214e2898
eingerükt,	w5_d214e2901
und	w7_d214e2904
in	w9_d214e2907
die	w11_d214e2910
Französi	w13_d214e2914
sche	w1_d214e2919
Cosarnen	w3_d214e2922
in	w5_d214e2925
der	w7_d214e2928
Stadt	w9_d214e2931
quartiert	w11_d214e2934
wor	w13_d214e2938
den.	w1_d214e2943
Das	w3_d214e2946
daselbst	w5_d214e2949
gelegene	w7_d214e2952
Füstlierregi	w9_d214e2955
ment	w1_d214e2960
hat	w3_d214e2963
hierauf	w5_d214e2966
am	w7_d214e2969
11ten	w9_d214e2972
des	w11_d214e2975
Abends	w13_d214e2979
von	w15_d214e2982
des	w1_d214e2988
Prinzen	w3_d214e2991
Ferdinands	w5_d214e2994
Durchl.	w7_d214e2997
unvermu	w9_d214e3000
tete	w1_d214e3005
Ordre	w3_d214e3008
zum	w5_d214e3011
Aufbruch	w7_d214e3014
erhalten	w9_d214e3017
und	w11_d214e3020
den	w13_d214e3024
12ten	w1_d214e3029
des	w3_d214e3032
Morgens	w5_d214e3035
den	w7_d214e3038
Marsch	w9_d214e3041
nach	w11_d214e3044
Buxte	w13_d214e3048
hude	w1_d214e3053
angetreten,	w3_d214e3056
woselbst	w5_d214e3059
es	w7_d214e3062
die	w9_d214e3065
weitere	w11_d214e3068
Befehle	w1_d214e3074
erwarten	w3_d214e3077
soll.	w5_d214e3080
Zur	w7_d214e3083
Bewachung	w9_d214e3086
des	w11_d214e3089
Harburger=schlosses	w1_d214e3094
ist	w3_d214e3097
ein	w5_d214e3100
starkes	w7_d214e3103
Deta	w9_d214e3106
schement	w1_d214e3111
von	w3_d214e3114
gedachtem	w5_d214e3117
Regimente,	w7_d214e3120
unter	w9_d214e3123
Commando	w1_d214e3128
des	w3_d214e3131
Capitains	w5_d214e3134
von	w7_d214e3137
Hadensdorf,	w9_d214e3140
zurük	w1_d214e3146
geblieben.	w3_d214e3149
Es	w5_d214e3152
werden	w7_d214e3155
daselbst	w9_d214e3158
auch	w11_d214e3161
noch	w1_d214e3166
mehrere	w3_d214e3169
Compagnien	w5_d214e3172
von	w7_d214e3175
der	w9_d214e3178
Landmi	w11_d214e3181
litz	w1_d214e3186
eintreffen.	w3_d214e3189
</p>
<head id="h2_d214e3195">
Dreßden,	w1_d214e3199
17.	w3_d214e3202
Januarii.	w5_d214e3205
</head>
<p id="p4_d214e3208">
Am	w1_d214e3212
Mittwoch	w3_d214e3215
voriger	w5_d214e3218
Woche	w7_d214e3221
kam	w9_d214e3224
der	w11_d214e3227
Säch	w13_d214e3231
sische	w1_d214e3236
Feld=marschal,	w3_d214e3239
Graf	w5_d214e3242
von	w7_d214e3245
Rutowsky,	w9_d214e3248
von	w1_d214e3253
seinem	w3_d214e3256
bey	w5_d214e3259
Leipzig	w7_d214e3262
gelegenen	w9_d214e3265
Gute	w11_d214e3268
Klein	w13_d214e3272
wölke,	w1_d214e3278
woselbst	w3_d214e3281
er	w5_d214e3284
seit	w7_d214e3287
dem	w9_d214e3290
Ubergange	w11_d214e3293
des	w13_d214e3297
</p>
<p id="p6_d214e3300">
Sächsischen	w1_d214e3304
Lagers	w3_d214e3307
bey	w5_d214e3310
Pirna,	w7_d214e3313
seinen	w9_d214e3316
Aufent	w11_d214e3319
halt	w1_d214e3324
genommen,	w3_d214e3327
in	w5_d214e3330
seinem	w7_d214e3333
Pallaste	w9_d214e3336
an	w11_d214e3339
der	w13_d214e3343
Kreuz=kirche	w1_d214e3348
hieselbst	w3_d214e3351
an.	w5_d214e3354
Er	w7_d214e3357
empfieng	w9_d214e3360
so	w11_d214e3363
fort	w13_d214e3367
von	w1_d214e3373
dem	w3_d214e3376
hiesigen	w5_d214e3379
Commandanten,	w7_d214e3382
dem	w9_d214e3385
Preu	w11_d214e3388
