<doc id="wr_1758-02-08" attrs="word" year="1758" month="02" day="08" corpus="2">
<head id="h2_d217e3160">
Rom,	w1_d217e3164
14.	w3_d217e3167
Januarii.	w5_d217e3170
</head>
<p id="p4_d217e3173">
bgleich	w1_d217e3177
der	w3_d217e3180
Herr	w5_d217e3183
Cardinal	w7_d217e3186
Mattei	w9_d217e3189
nach	w11_d217e3192
einer	w1_d217e3197
sechsmahl	w3_d217e3200
wiederholten	w5_d217e3203
Aderlaß	w7_d217e3206
Hofnung	w1_d217e3211
zur	w3_d217e3214
Besserung	w5_d217e3217
von	w7_d217e3220
sich	w9_d217e3223
ge	w11_d217e3226
geben,	w1_d217e3232
so	w3_d217e3235
hat	w5_d217e3238
sich	w7_d217e3241
doch	w9_d217e3244
kurz	w11_d217e3247
darauf	w13_d217e3251
sein	w15_d217e3254
Zu	w17_d217e3257
stand	w1_d217e3262
wiederum	w3_d217e3265
so	w5_d217e3268
verschlimmert,	w7_d217e3271
daß	w9_d217e3274
man	w11_d217e3277
am	w1_d217e3282
Dienstag	w3_d217e3285
Vormittag	w5_d217e3288
ihme	w7_d217e3291
abermahl	w9_d217e3294
eine	w11_d217e3297
Aderlaß	w1_d217e3302
verordnen	w3_d217e3305
müssen,	w5_d217e3308
die	w7_d217e3311
jedoch	w9_d217e3314
von	w11_d217e3317
so	w13_d217e3321
weniger	w1_d217e3327
Würkung	w3_d217e3330
gewesen,	w5_d217e3333
daß	w7_d217e3336
er	w9_d217e3339
gegen	w11_d217e3342
20.	w13_d217e3346
Uhr	w1_d217e3351
mit	w3_d217e3354
denen	w5_d217e3357
Heil.	w7_d217e3360
Sacramenten	w9_d217e3363
ist	w11_d217e3366
versehen	w13_d217e3370
worden,	w1_d217e3375
und	w3_d217e3378
man	w5_d217e3381
am	w7_d217e3384
Mittwochen	w9_d217e3387
eine	w11_d217e3390
noch	w13_d217e3394
mahlige	w1_d217e3399
Consultation	w3_d217e3402
derer	w5_d217e3405
Aerzte	w7_d217e3408
zu	w9_d217e3411
veran	w11_d217e3414
stalten	w1_d217e3420
sich	w3_d217e3423
bemüßiget	w5_d217e3426
gesehen,	w7_d217e3429
auch	w9_d217e3432
Donner	w11_d217e3435
llags	w1_d217e3440
darauf,	w3_d217e3443
weilen	w5_d217e3446
kein	w7_d217e3449
Anschein	w9_d217e3452
zur	w11_d217e3455
Bes	w13_d217e3459
serung	w1_d217e3464
sich	w3_d217e3467
hervorgethan,	w5_d217e3470
für	w7_d217e3473
gut	w9_d217e3476
befunden	w11_d217e3479
hat,	w1_d217e3484
das	w3_d217e3487
Venerabile	w5_d217e3490
in	w7_d217e3493
der	w9_d217e3496
Kirche	w11_d217e3499
des	w13_d217e3503
Heil.	w15_d217e3506
Jgnatii	w1_d217e3512
für	w3_d217e3515
Se.	w5_d217e3518
Eminenz	w7_d217e3521
auszusetzen.	w9_d217e3524
</p>
<head id="h2_d217e3530">
Sustri	w1_d217e3534
und	w3_d217e3537
Negri	w5_d217e3540
hiehergekommen,	w7_d217e3543
um	w9_d217e3546
einig	w11_d217e3549
Täge	w1_d217e3554
in	w3_d217e3557
hiesiger	w5_d217e3560
Stadt	w7_d217e3563
zuzubringen.	w9_d217e3566
</head>
<p id="p4_d217e3569">
Es	w1_d217e3573
ist	w3_d217e3576
der	w5_d217e3579
Herr	w7_d217e3582
Mornati,	w9_d217e3585
Bischof	w11_d217e3588
zu	w13_d217e3592
</p>
<head id="h2_d217e3598">
Liou,	w1_d217e3602
29.	w3_d217e3605
Januarii.	w5_d217e3608
</head>
<p id="p4_d217e3611">
Von	w1_d217e3615
Toulon	w3_d217e3618
wird	w5_d217e3621
