<doc id="wr_1758-03-01" attrs="word" year="1758" month="03" day="01" corpus="2">
<head id="h2_d222e2673">
Lüneburg	w1_d222e2677
12.	w3_d222e2680
Februarii.	w5_d222e2683
</head>
<p id="p4_d222e2686">
das	w1_d222e2690
Haupt=quartier	w3_d222e2693
unserer	w5_d222e2696
Armee	w7_d222e2699
be	w9_d222e2702
findet	w1_d222e2707
sich	w3_d222e2710
noch	w5_d222e2713
alhier.	w7_d222e2716
Obschon	w9_d222e2719
der	w11_d222e2722
Herr	w1_d222e2727
Ober=land=director	w3_d222e2730
von	w5_d222e2733
Lüne	w7_d222e2736
burg	w1_d222e2742
für	w3_d222e2745
jetzo	w5_d222e2748
hier	w7_d222e2751
ist,	w9_d222e2754
so	w11_d222e2757
wird	w13_d222e2761
selber	w15_d222e2764
sich	w17_d222e2767
doch	w19_d222e2770
zur	w1_d222e2775
bestimmten	w3_d222e2778
Zeit	w5_d222e2781
wieder	w7_d222e2784
bey	w9_d222e2787
der	w11_d222e2790
Franzö	w13_d222e2794
sischen	w1_d222e2799
Armee,	w3_d222e2802
nach	w5_d222e2805
gegebener	w7_d222e2808
Cavalierspa	w9_d222e2811
role,	w1_d222e2816
einstellen.	w3_d222e2819
Unsere	w5_d222e2822
Jäger	w7_d222e2825
bringen	w9_d222e2828
hie	w11_d222e2831
selbst	w1_d222e2837
täglich	w3_d222e2840
Kriegs=gefangene	w5_d222e2843
ein.	w7_d222e2846
Die	w9_d222e2849
mehreste	w1_d222e2854
sind	w3_d222e2857
Französische	w5_d222e2860
Hussaren.	w7_d222e2863
Unter	w9_d222e2866
andern	w1_d222e2871
haben	w3_d222e2874
bemeldete	w5_d222e2877
Jäger	w7_d222e2880
neulich	w9_d222e2883
den	w11_d222e2886
jenigen	w1_d222e2891
Obristen	w3_d222e2894
hieselbst	w5_d222e2897
eingebracht,	w7_d222e2900
welcher	w9_d222e2903
zu	w1_d222e2909
der	w3_d222e2912
Zeit	w5_d222e2915
des	w7_d222e2918
ersten	w9_d222e2921
Französischen	w11_d222e2924
Durch	w13_d222e2928
marsches	w1_d222e2933
durch	w3_d222e2936
hiesige	w5_d222e2939
Stadt	w7_d222e2942
bey	w9_d222e2945
dem	w11_d222e2948
Corps	w1_d222e2953
commandirte.	w3_d222e2956
Er	w5_d222e2959
befand	w7_d222e2962
sich	w9_d222e2965
jetzt	w11_d222e2968
unweit	w1_d222e2973
Uelzen	w3_d222e2976
mit	w5_d222e2979
seinem	w7_d222e2982
unterhabenden	w9_d222e2985
Commando	w1_d222e2991
von	w3_d222e2994
einigen	w5_d222e2997
100.	w7_d222e3000
Mann,	w9_d222e3003
und	w11_d222e3006
fouragirte	w1_d222e3011
daselbst.	w3_d222e3014
Unsere	w5_d222e3017
Jäger,	w7_d222e3020
welche	w9_d222e3023
davon	w1_d222e3028
benachrichtiget	w3_d222e3031
waren,	w5_d222e3034
umzingelten	w7_d222e3037
ihn,	w1_d222e3042
so,	w3_d222e3045
daß	w5_d222e3048
er	w7_d222e3051
mit	w9_d222e3054
seinem	w11_d222e3057
Commando	w13_d222e3061
das	w15_d222e3064
Gewehr	w1_d222e3070
strecken	w3_d222e3073
muste.	w5_d222e3076
Hieselbst	w7_d222e3079
befinden	w9_d222e3082
sich	w1_d222e3087
das	w3_d222e3090
Braunschweinische	w5_d222e3093
Leib=regiment	w7_d222e3096
und	w1_d222e3101
unsere	w3_d222e3104
Hannöverische	w5_d222e3107
Garde	w7_d222e3110
zur	w9_d222e3113
Besatzung;	w11_d222e3116
wann	w1_d222e3121
aber	w3_d222e3124
der	w5_d222e3127
Aufbruch	w7_d222e3130
unserer	w9_d222e3133
Armee	w11_d222e3136
erfol	w13_d222e3140
</p>
<p id="p6_d222e3143">
gleich	w1_d222e3147
meinet,	w3_d222e3150
daß	w5_d222e3153
es	w7_d222e3156
bald	w9_d222e3159
geschehen	w11_d222e3162
dörfte.	w13_d222e3166
Auszug	w1_d222e3171
eines	w3_d222e3174
Schreibens	w5_d222e3177
aus	w7_d222e3180
Ro	w9_d222e3183
</p>
<head id="h2_d222e3189">
gen	w1_d222e3193
werde,	w3_d222e3196
ist	w5_d222e3199
nicht	w7_d222e3202
gewiß	w9_d222e3205
bekannt,	w11_d222e3208
ob	w13_d222e3212
man	w15_d222e3215
stock	w1_d222e3220
den	w3_d222e3223
7.	w5_d222e3226
Februarii.	w7_d222e3229
</head>
<p id="p4_d222e3232">
Vorgestern	w1_d222e3236
Nachmittag	w3_d222e3239
sind	w5_d222e3242
alhier	w7_d222e3245
unter	w9_d222e3248
An	w11_d222e3251
führung	w1_d222e3256
Sr.	w3_d222e3259
Durchl.	w5_d222e3262
des	w7_d222e3265
Prinzen	w9_d222e3268
Georg	w11_d222e3271
von	w1_d222e3276
Holstein,	w3_d222e3279
2000.	w5_d222e3282
Mann	w7_d222e3285
Preußen,	w9_d222e3288
theils	w11_d222e3291
Hussaren,	w1_d222e3297
theils	w3_d222e3300
Dragoner	w5_d222e3303
nach	w7_d222e3306
langer	w9_d222e3309
