<doc id="wr_1758-03-22" attrs="word" year="1758" month="03" day="22" corpus="2">
<head id="h2_d228e3161">
Aleppo	w1_d228e3165
20.	w3_d228e3168
Januarii.	w5_d228e3171
</head>
<p id="p4_d228e3174">
Fan	w1_d228e3178
rechnet,	w3_d228e3181
daß	w5_d228e3184
die	w7_d228e3187
Caravane	w9_d228e3190
von	w11_d228e3193
Mecca,	w1_d228e3198
welche	w3_d228e3201
vorigen	w5_d228e3204
Jahrs	w7_d228e3207
von	w9_d228e3210
denen	w1_d228e3215
Arabern	w3_d228e3218
geplündert	w5_d228e3221
und	w7_d228e3224
an	w9_d228e3227
gegriffen	w1_d228e3233
worden,	w3_d228e3236
60.	w5_d228e3239
bis	w7_d228e3242
70000.	w9_d228e3245
Personen	w11_d228e3248
beyderley	w1_d228e3253
Geschlechts	w3_d228e3256
starck	w5_d228e3259
gewesen	w7_d228e3262
sey.	w9_d228e3265
Ein	w11_d228e3268
Theil	w1_d228e3273
von	w3_d228e3276
ihr	w5_d228e3279
ist,	w7_d228e3282
als	w9_d228e3285
sie	w11_d228e3288
durch	w13_d228e3292
die	w15_d228e3295
Wüste	w17_d228e3298
neyen	w1_d228e3303
gezogen,	w3_d228e3306
von	w5_d228e3309
denen	w7_d228e3312
Arabern	w9_d228e3315
ums	w11_d228e3318
Leben	w13_d228e3322
gebracht,	w1_d228e3328
und	w3_d228e3331
der	w5_d228e3334
Ueberrest	w7_d228e3337
zerstreuet	w9_d228e3340
wor	w11_d228e3343
den.	w1_d228e3348
Der	w3_d228e3351
Verlust,	w5_d228e3354
den	w7_d228e3357
die	w9_d228e3360
Handlung	w11_d228e3363
da	w13_d228e3367
durch	w1_d228e3372
erlitten	w3_d228e3375
hat,	w5_d228e3378
wird,	w7_d228e3381
wann	w9_d228e3384
man	w11_d228e3387
die	w13_d228e3391
Güter	w1_d228e3396
der	w3_d228e3399
Personen,	w5_d228e3402
aus	w7_d228e3405
denen	w9_d228e3408
die	w11_d228e3411
Carava	w13_d228e3415
ne	w1_d228e3421
bestanden	w3_d228e3424
hat,	w5_d228e3427
zusammen	w7_d228e3430
rechnet,	w9_d228e3433
auf	w11_d228e3436
un	w13_d228e3440
gefehr	w1_d228e3445
5000.	w3_d228e3448
Piastres	w5_d228e3451
für	w7_d228e3454
jede	w9_d228e3457
Person	w11_d228e3460
ge	w13_d228e3464
schätzet.	w1_d228e3469
Das	w3_d228e3472
Gefechte	w5_d228e3475
zwischen	w7_d228e3478
ihr	w9_d228e3481
und	w11_d228e3484
denen	w13_d228e3488
Arabern	w1_d228e3493
hat	w3_d228e3496
16.	w5_d228e3499
Stunden	w7_d228e3502
gedauret.	w9_d228e3505
Der	w11_d228e3508
erste	w1_d228e3514
Vortheil,	w3_d228e3517
den	w5_d228e3520
die	w7_d228e3523
Araber	w9_d228e3526
dabey	w11_d228e3529
erhal	w13_d228e3533
ten,	w1_d228e3538
ist	w3_d228e3541
gewesen,	w5_d228e3544
daß	w7_d228e3547
sie	w9_d228e3550
den	w11_d228e3553
Bassa	w13_d228e3557
von	w15_d228e3560
Si	w17_d228e3563
von,	w1_d228e3568
der	w3_d228e3571
gewöhnlicher=massen	w5_d228e3574
mit	w7_d228e3577
Lebens	w9_d228e3580
vor	w11_d228e3583
rat	w1_d228e3588
zum	w3_d228e3591
Dienst	w5_d228e3594
der	w7_d228e3597
Pilgrimme	w9_d228e3600
im	w11_d228e3603
Anzuge	w13_d228e3607
war,	w1_d228e3613
von	w3_d228e3616
ihnen	w5_d228e3619
abgeschnitten	w7_d228e3622
und	w9_d228e3625
getödtet.	w11_d228e3628
Hierauf	w1_d228e3633
sind	w3_d228e3636
denen	w5_d228e3639
Arabern	w7_d228e3642
durch	w9_d228e3645
den	w11_d228e3648
Emir	w13_d228e3652
Hudge	w1_d228e3657
ober	w3_d228e3660
commandirenden	w5_d228e3663
Bassen	w7_d228e3666
1000.	w9_d228e3669
Beutel	w1_d228e3674
angebotten	w3_d228e3677
worden,	w5_d228e3680
um	w7_d228e3683
von	w9_d228e3686
ihren	w11_d228e3689
</p>
<p id="p6_d228e3692">
fernern	w1_d228e3696
Unternehmungen	w3_d228e3699
abzustehen;	w5_d228e3702
allein	w7_d228e3705
sie	w1_d228e3710
haben	w3_d228e3713
weder	w5_d228e3716
diesen	w7_d228e3719
noch	w9_d228e3722
andern	w11_d228e3725
Anerbie	w13_d228e3729
tungen	w1_d228e3734
Gehör	w3_d228e3737
geben	w5_d228e3740
wollen.	w7_d228e3743
Ein	w9_d228e3746
derglei	w11_d228e3749
chen	w1_d228e3755
Zufall	w3_d228e3758
mit	w5_d228e3761
der	w7_d228e3764
Caravane	w9_d228e3767
hat	w11_d228e3770
sich	w13_d228e3774
auch	w15_d228e3777
schon	w1_d228e3782
im	w3_d228e3785
Jahr	w5_d228e3788
1694	w7_d228e3791
zugetragen.	w9_d228e3794
</p>
<head id="h2_d228e3800">
Danzig	w1_d228e3804
28.	w3_d228e3807
Februarii.	w5_d228e3810
</head>
<p id="p4_d228e3813">
Den	w1_d228e3817
25	w3_d228e3820
dieses	w5_d228e3823
langte	w7_d228e3826
der	w9_d228e3829
Herr	w11_d228e3832
Graf	w13_d228e3836
von	w15_d228e3839
Brühl,	w1_d228e3844
Staroste	w3_d228e3847
von	w5_d228e3850
Warschau,	w7_d228e3853
ein	w9_d228e3856
Sohn	w11_d228e3859
des	w1_d228e3864
Chur=sächsischen	w3_d228e3867
ersten	w5_d228e3870
Ministers,	w7_d228e3873
alhier	w9_d228e3876
mit	w1_d228e3882
2.	w3_d228e3885
unbekannten	w5_d228e3888
Herren	w7_d228e3891
an,	w9_d228e3894
die	w11_d228e3897
man	w13_d228e3901
für	w15_d228e3904
sehr	w1_d228e3909
vornehm	w3_d228e3912
hält.	w5_d228e3915
Dem	w7_d228e3918
Verlaute	w9_d228e3921
nach	w11_d228e3924
gehet	w1_d228e3929
die	w3_d228e3932
weitere	w5_d228e3935
Reise	w7_d228e3938
nach	w9_d228e3941
Petersburg.	w11_d228e3944
</p>
<head id="h2_d228e3950">
Hanover	w1_d228e3954
7.	w3_d228e3957
Martii.	w5_d228e3960
</head>
<p id="p4_d228e3963">
Bey	w1_d228e3967
dem	w3_d228e3970
Abmarsch	w5_d228e3973
der	w7_d228e3976
Franzosen	w9_d228e3979
von	w11_d228e3982
hier	w1_d228e3987
nach	w3_d228e3990
Hammeln,	w5_d228e3993
wurde	w7_d228e3996
der	w9_d228e3999
Land	w11_d228e4002
und	w13_d228e4006
Schatz=raht	w1_d228e4011
von	w3_d228e4014
Münchhausen	w5_d228e4017
und	w7_d228e4020
der	w9_d228e4023
Cam	w11_d228e4026
mer=junker	w1_d228e4032
von	w3_d228e4035
Hardenberg,	w5_d228e4038
Deputirte	w7_d228e4041
der	w9_d228e4044
Calenbergischen	w1_d228e4049
Landschaft,	w3_d228e4052
als	w5_d228e4055
Geiseln,	w7_d228e4058
we	w9_d228e4061
gen	w1_d228e4066
der	w3_d228e4069
rückständigen	w5_d228e4072
Contribution,	w7_d228e4075
mitger	w9_d228e4078
nommen.	w1_d228e4083
Die	w3_d228e4086
Französische	w5_d228e4089
Canoniers,	w7_d228e4092
wel	w9_d228e4095
che	w1_d228e4101
erst	w3_d228e4104
den	w5_d228e4107
28	w7_d228e4110
Februarii	w9_d228e4113
abmarschirten,	w11_d228e4116
zer	w13_d228e4120
schlugen	w1_d228e4125
vorhero	w3_d228e4128
alle	w5_d228e4131
im	w7_d228e4134
Zeughause	w9_d228e4137
befindli	w11_d228e4140
che	w1_d228e4145
Flinten	w3_d228e4148
und	w5_d228e4151
Kriegs=geräte,	w7_d228e4154
und	w9_d228e4157
war	w11_d228e4160
sen	w1_d228e4165
den	w3_d228e4168
Uberrest	w5_d228e4171
ins	w7_d228e4174
Wasser.	w9_d228e4177
Die	w11_d228e4180
Canon	w13_d228e4184
</p>
<p id="p10_d228e4197">
wurden	w1_d228e4201
theils	w3_d228e4204
weggeführt,	w5_d228e4207
theils	w7_d228e4210
vernagelt,	w9_d228e4213
und	w1_d228e4218
in	w3_d228e4221
die	w5_d228e4224
Leine	w7_d228e4227
geworfen,	w9_d228e4230
weil	w11_d228e4233
es	w13_d228e4237
an	w15_d228e4240
denen	w17_d228e4243
hinlänglichen	w1_d228e4248
Fuhren	w3_d228e4251
fehlte.	w5_d228e4254
Man	w7_d228e4257
rühmt	w9_d228e4260
indessen	w1_d228e4266
vorzüglich	w3_d228e4269
das	w5_d228e4272
Bezeigen	w7_d228e4275
des	w9_d228e4278
Herzogs	w11_d228e4281
von	w1_d228e4286
Randan	w3_d228e4289
und	w5_d228e4292
die	w7_d228e4295
Großmut,	w9_d228e4298
welche	w11_d228e4301
er	w13_d228e4305
gegen	w1_d228e4310
die	w3_d228e4313
Einwohner	w5_d228e4316
geäussert.	w7_d228e4319
Nach	w9_d228e4322
dem	w11_d228e4325
Abmarsch	w1_d228e4330
der	w3_d228e4333
Französischen	w5_d228e4336
Trupen,	w7_d228e4339
wurden	w9_d228e4342
sogleich	w1_d228e4348
die	w3_d228e4351
Thöre	w5_d228e4354
von	w7_d228e4357
denen	w9_d228e4360
Bürger=soldaten	w11_d228e4363
besetzt,	w1_d228e4368
und	w3_d228e4371
den	w5_d228e4374
1.	w7_d228e4377
kamen	w9_d228e4380
6.	w11_d228e4383
Escadrons	w13_d228e4387
Preus	w15_d228e4390
sische	w1_d228e4395
Hussaren	w3_d228e4398
