<doc id="wr_1758-06-03" attrs="word" year="1758" month="06" day="03" corpus="2">
<head id="h2_d249e4298">
Hamburg	w1_d249e4302
16	w3_d249e4305
May.	w5_d249e4308
</head>
<p id="p4_d249e4311">
Die	w1_d249e4315
Nachrichten	w3_d249e4318
aus	w5_d249e4321
Pommern	w7_d249e4324
und	w9_d249e4327
vor	w11_d249e4330
nämlich	w1_d249e4335
aus	w3_d249e4338
der	w5_d249e4341
Gegend	w7_d249e4344
von	w9_d249e4347
Stralsund,	w11_d249e4350
enthalten	w1_d249e4355
nichts	w3_d249e4358
veränderliches.	w5_d249e4361
Die	w7_d249e4364
Schwe	w9_d249e4367
dische	w1_d249e4373
Armee	w3_d249e4376
beobachtet	w5_d249e4379
noch	w7_d249e4382
ihre	w9_d249e4385
bisherige	w11_d249e4388
Stellung,	w1_d249e4393
und	w3_d249e4396
die	w5_d249e4399
Preußen	w7_d249e4402
stehen	w9_d249e4405
gleichfals	w11_d249e4408
noch	w1_d249e4413
vor	w3_d249e4416
dieser	w5_d249e4419
Festung.	w7_d249e4422
Der	w9_d249e4425
Ankunft	w11_d249e4428
der	w13_d249e4432
Schwedischen	w1_d249e4437
Reuforts,	w3_d249e4440
wird	w5_d249e4443
stark	w7_d249e4446
entgegen	w9_d249e4449
gesehen.	w1_d249e4455
Man	w3_d249e4458
erwartet	w5_d249e4461
die	w7_d249e4464
Transport=schiffe	w9_d249e4467
alltäglich,	w1_d249e4472
und	w3_d249e4475
man	w5_d249e4478
versichert,	w7_d249e4481
daß	w9_d249e4484
gleich	w11_d249e4487
nach	w1_d249e4492
ihrer	w3_d249e4495
Ankunft,	w5_d249e4498
der	w7_d249e4501
Herr	w9_d249e4504
General	w11_d249e4507
Ro	w13_d249e4511
sen	w1_d249e4516
mit	w3_d249e4519
denen	w5_d249e4522
Operationen	w7_d249e4525
den	w9_d249e4528
Anfang	w11_d249e4531
ma	w13_d249e4535
chen	w1_d249e4541
werde.	w3_d249e4544
Jm	w5_d249e4547
Hinter=pommerischen	w7_d249e4550
setzt	w9_d249e4553
die	w1_d249e4558
Annäherung	w3_d249e4561
der	w5_d249e4564
Russen	w7_d249e4567
alles	w9_d249e4570
in	w11_d249e4573
Bewe	w13_d249e4577
gung.	w1_d249e4582
Aus	w3_d249e4585
dem	w5_d249e4588
Löwenbergischen	w7_d249e4591
und	w9_d249e4594
Buto	w11_d249e4597
wischen	w1_d249e4602
wird	w3_d249e4605
stark	w5_d249e4608
nach	w7_d249e4611
Stettin	w9_d249e4614
geflüchtet.	w11_d249e4617
</p>
<p id="p6_d249e4620">
Jn	w1_d249e4624
dem	w3_d249e4627
Westphälischen	w5_d249e4630
ist	w7_d249e4633
noch	w9_d249e4636
alles	w11_d249e4639
rubig,	w13_d249e4643
die	w1_d249e4648
beyderseitigen	w3_d249e4651
Armeen	w5_d249e4654
stehen	w7_d249e4657
noch	w9_d249e4660
in	w11_d249e4663
ihren	w13_d249e4667
bisherigen	w1_d249e4672
Quartieren,	w3_d249e4675
und	w5_d249e4678
blos	w7_d249e4681
die	w9_d249e4684
leich	w11_d249e4687
ten	w1_d249e4693
Trupen	w3_d249e4696
der	w5_d249e4699
Hanoveraner	w7_d249e4702
setzen	w9_d249e4705
zuweilen	w11_d249e4708
das	w1_d249e4713
jenseitige	w3_d249e4716
Ufer	w5_d249e4719
des	w7_d249e4722
Rheins	w9_d249e4725
in	w11_d249e4728
Bewegung	w13_d249e4732
Die	w1_d249e4737
Französische	w3_d249e4740
Armee	w5_d249e4743
macht	w7_d249e4746
indessen	w9_d249e4749
so	w11_d249e4752
wie	w1_d249e4757
die	w3_d249e4760
Hanöverische	w5_d249e4763
alle	w7_d249e4766
Anstalten	w9_d249e4769
zum	w11_d249e4772
Auf	w13_d249e4776
bruch,	w1_d249e4782
alleine	w3_d249e4785
wann	w5_d249e4788
derselbe	w7_d249e4791
vor	w9_d249e4794
sich	w11_d249e4797
gehen	w13_d249e4801
werde,	w1_d249e4806
und	w3_d249e4809
wohin	w5_d249e4812
die	w7_d249e4815
Bewegungen	w9_d249e4818
gerich	w11_d249e4821
</p>
<p id="p12_d249e4835">
tet	w1_d249e4839
sind,	w3_d249e4842
ist	w5_d249e4845
noch	w7_d249e4848
unbekannt.	w9_d249e4851
Von	w11_d249e4854
Münster	w13_d249e4858
ist	w1_d249e4863
den	w3_d249e4866
10.	w5_d249e4869
dieses	w7_d249e4872
das	w9_d249e4875
Hanöverische=regiment	w11_d249e4878
Diepenbrock	w1_d249e4883
ausmarschirt,	w3_d249e4886
und	w5_d249e4889
man	w7_d249e4892
vermu	w9_d249e4895
tet,	w1_d249e4901
daß	w3_d249e4904
es	w5_d249e4907
denen	w7_d249e4910
2.	w9_d249e4913
Heßischen	w11_d249e4916
Jnfanterie	w13_d249e4920
regimentern,	w1_d249e4925
welche	w3_d249e4928
nebst	w5_d249e4931
einigen	w7_d249e4934
Regimen	w9_d249e4937
tern	w1_d249e4942
Cavalerie,	w3_d249e4945
unter	w5_d249e4948
des	w7_d249e4951
Prinzen	w9_d249e4954
von	w11_d249e4957
Jsen	w13_d249e4961
burg	w1_d249e4966
Camando	w3_d249e4969
nach	w5_d249e4972
Cassel	w7_d249e4975
aufgebrochen	w9_d249e4978
fogen	w1_d249e4984
wirge.	w3_d249e4987
Verschiedne	w5_d249e4990
Regimenter	w7_d249e4993
sind	w9_d249e4996
bereits	w1_d249e5001
in	w3_d249e5004
das	w5_d249e5007
Lager	w7_d249e5010
bey	w9_d249e5013
Notteln	w11_d249e5016
5.	w13_d249e5020
Stun	w15_d249e5023
den	w1_d249e5028
von	w3_d249e5031
Münster	w5_d249e5034
eingerückt,	w7_d249e5037
alleine	w9_d249e5040
wann	w11_d249e5043
die	w1_d249e5048
ganze	w3_d249e5051
Armee	w5_d249e5054
in	w7_d249e5057
demselben	w9_d249e5060
eintreffen	w11_d249e5063
wird,	w13_d249e5067
ist	w1_d249e5073
noch	w3_d249e5076
nicht	w5_d249e5079
bekannt.	w7_d249e5082
</p>
<head id="h2_d249e5088">
Neuport	w1_d249e5092
21.	w3_d249e5095
May.	w5_d249e5098
</head>
<p id="p4_d249e5101">
Das	w1_d249e5105
Französische	w3_d249e5108
Lager	w5_d249e5111
welches	w7_d249e5114
bey	w9_d249e5117
Dün	w11_d249e5120
kirchen	w1_d249e5125
versammelt	w3_d249e5128
wird,	w5_d249e5131
soll	w7_d249e5134
sich	w9_d249e5137
auf	w11_d249e5140
30000.	w13_d249e5144
Mann	w1_d249e5149
erstrecken,	w3_d249e5152
und	w5_d249e5155
diese	w7_d249e5158
sämmtlichen	w9_d249e5161
Tru	w11_d249e5164
pen	w1_d249e5170
von	w3_d249e5173
den	w5_d249e5176
Grafen	w7_d249e5179
von	w9_d249e5182
Maillebois	w11_d249e5185
com	w13_d249e5189
mandirt	w1_d249e5194
werden.	w3_d249e5197
</p>
<head id="h2_d249e5203">
Frankfort	w1_d249e5207
22.	w3_d249e5210
May.	w5_d249e5213
</head>
<p id="p4_d249e5216">
Jm	w1_d249e5220
Heßischen	w3_d249e5223
wird	w5_d249e5226
die	w7_d249e5229
Anzahl	w9_d249e5232
der	w11_d249e5235
Trupen,	w13_d249e5239
welche	w1_d249e5244
sich	w3_d249e5247
in	w5_d249e5250
der	w7_d249e5253
Gegend	w9_d249e5256
Marburg	w11_d249e5259
und	w13_d249e5263
Vach	w15_d249e5266
versammeln,	w1_d249e5271
immer	w3_d249e5274
zahlreicher,	w5_d249e5277
und	w7_d249e5280
man	w9_d249e5283
versichert,	w1_d249e5289
daß	w3_d249e5292
dieselben	w5_d249e5295
eine	w7_d249e5298
Unternehmung	w9_d249e5301
auf	w1_d249e5306
das	w3_d249e5309
Hanauische	w5_d249e5312
zur	w7_d249e5315
Absicht	w9_d249e5318
hätten	w11_d249e5321
Der	w1_d249e5326
Herzog	w3_d249e5329
von	w5_d249e5332
Broglio	w7_d249e5335
hat	w9_d249e5338
indessen	w11_d249e5341
aussen	w13_d249e5345
der	w1_d249e5350
Befestigung	w3_d249e5353
von	w5_d249e5356
Hanau	w7_d249e5359
solche	w9_d249e5362
Anstalten	w11_d249e5365
genommen,	w1_d249e5371
welche	w3_d249e5374
ihn	w5_d249e5377
gegen	w7_d249e5380
jede	w9_d249e5383
Attaque	w11_d249e5386
sicher	w1_d249e5391
stellen.	w3_d249e5394
Diesen	w5_d249e5397
zufolge,	w7_d249e5400
können	w9_d249e5403
bin	w11_d249e5406
nen	w1_d249e5411
3.	w3_d249e5414
mal	w5_d249e5417
24.	w7_d249e5420
Stunden	w9_d249e5423
40.	w11_d249e5426
Bataillons	w13_d249e5430
und	w15_d249e5433
28.	w1_d249e5438
Escadrons	w3_d249e5441
am	w5_d249e5444
Maynstrom	w7_d249e5447
versammelt	w9_d249e5450
seyn,	w1_d249e5456
und	w3_d249e5459
von	w5_d249e5462
Oppenheim	w7_d249e5465
die	w9_d249e5468
schwere	w11_d249e5471
Ar	w13_d249e5475
tillerie	w1_d249e5480
nach	w3_d249e5483
Hanau	w5_d249e5486
gebracht	w7_d249e5489
