<doc id="wr_1758-06-21" attrs="word" year="1758" month="06" day="21" corpus="2">
<head id="h2_d254e3304">
Cöln	w1_d254e3308
9.	w3_d254e3311
Junii.	w5_d254e3314
</head>
<p id="p4_d254e3317">
das	w1_d254e3321
Haupt=quartier	w3_d254e3324
der	w5_d254e3327
Hanöverischen	w7_d254e3330
armee,	w1_d254e3335
welches	w3_d254e3338
sich	w5_d254e3341
den	w7_d254e3344
2.	w9_d254e3347
noch	w11_d254e3350
zu	w13_d254e3354
Cle	w15_d254e3357
ve	w1_d254e3364
befand,	w3_d254e3367
ist	w5_d254e3370
nunmehro	w7_d254e3373
seit	w9_d254e3376
den	w11_d254e3379
6.	w13_d254e3383
dieses	w1_d254e3389
in	w3_d254e3392
Goch,	w5_d254e3395
so,	w7_d254e3398
daß	w9_d254e3401
sie	w11_d254e3404
von	w13_d254e3408
der	w15_d254e3411
Fran	w17_d254e3414
zösischen	w1_d254e3419
Avant	w3_d254e3422
garde,	w5_d254e3425
welche	w7_d254e3428
unter	w9_d254e3431
dem	w11_d254e3434
Gra	w13_d254e3438
fen	w1_d254e3443
von	w3_d254e3446
St.	w5_d254e3449
Germain,	w7_d254e3452
bey	w9_d254e3455
20000.	w11_d254e3458
Mann	w13_d254e3462
ausmnacht,	w1_d254e3467
und	w3_d254e3470
zu	w5_d254e3473
Calcar	w7_d254e3476
stehet,	w9_d254e3479
nur	w11_d254e3482
einige	w13_d254e3486
Meilen	w1_d254e3492
entfernet	w3_d254e3495
ist.	w5_d254e3498
Der	w7_d254e3501
Prinz	w9_d254e3504
Ferdinand	w11_d254e3507
ware	w1_d254e3512
bereits	w3_d254e3515
den	w5_d254e3518
1.	w7_d254e3521
dieses	w9_d254e3524
willens	w11_d254e3527
bey	w13_d254e3531
Lo	w15_d254e3534
witz	w1_d254e3539
den	w3_d254e3542
Rhein	w5_d254e3545
zu	w7_d254e3548
paßiren,	w9_d254e3551
alleine	w11_d254e3554
es	w13_d254e3558
glückte	w15_d254e3561
dieses	w1_d254e3566
Vorhaben	w3_d254e3569
nicht	w5_d254e3572
eher	w7_d254e3575
als	w9_d254e3578
in	w11_d254e3581
der	w13_d254e3585
Nacht	w15_d254e3588
auf	w1_d254e3594
den	w3_d254e3597
2ten,	w5_d254e3600
und	w7_d254e3603
der	w9_d254e3606
ganze	w11_d254e3609
Transport	w13_d254e3613
geschaht	w15_d254e3616
auf	w1_d254e3621
Schiffen.	w3_d254e3624
Der	w5_d254e3627
Erb=prinz	w7_d254e3630
von	w9_d254e3633
Braun	w11_d254e3636
schweig	w1_d254e3641
liesse	w3_d254e3644
sich	w5_d254e3647
schon	w7_d254e3650
im	w9_d254e3653
2.	w11_d254e3656
Schif	w13_d254e3660
über	w15_d254e3663
setzen,	w1_d254e3668
und	w3_d254e3671
Nachmittags	w5_d254e3674
paßirte	w7_d254e3677
der	w9_d254e3680
Prin	w11_d254e3683
Ferdinand	w1_d254e3689
den	w3_d254e3692
Strom	w5_d254e3695
gleichfalls.	w7_d254e3698
Da	w9_d254e3701
die	w11_d254e3704
Franzosen	w1_d254e3709
sich	w3_d254e3712
aller	w5_d254e3715
Fahr=zeuge	w7_d254e3718
auf	w9_d254e3721
den	w11_d254e3724
Rhein	w13_d254e3728
bemächtiget,	w1_d254e3733
