<doc id="wr_1758-07-05" attrs="word" year="1758" month="07" day="05" corpus="2">
<head id="h2_d258e3225">
Dünkirchen	w1_d258e3229
18.	w3_d258e3232
Junii.	w5_d258e3235
</head>
<p id="p4_d258e3238">
die	w1_d258e3242
grosse	w3_d258e3245
Engländische	w5_d258e3248
Flotte	w7_d258e3251
ist	w9_d258e3254
den	w11_d258e3257
2.	w1_d258e3262
dieses	w3_d258e3265
12.	w5_d258e3268
Stunde	w7_d258e3271
von	w9_d258e3274
Cherburg	w11_d258e3277
wahrgenomen	w1_d258e3284
worden.	w3_d258e3287
Zehen	w5_d258e3290
Kriegs	w7_d258e3293
schiffe	w1_d258e3299
segelten	w3_d258e3302
davon	w5_d258e3305
nach	w7_d258e3308
dem	w9_d258e3311
Sund	w11_d258e3314
von	w13_d258e3318
Beauville,	w1_d258e3323
und	w3_d258e3326
der	w5_d258e3329
übrige	w7_d258e3332
Theil	w9_d258e3335
nach	w11_d258e3338
Can	w13_d258e3342
cale,	w1_d258e3347
wo	w3_d258e3350
die	w5_d258e3353
Trupen	w7_d258e3356
bereits	w9_d258e3359
den	w11_d258e3362
6.	w13_d258e3366
ans	w15_d258e3369
Land	w17_d258e3372
gestiegen	w1_d258e3377
und	w3_d258e3380
nach	w5_d258e3383
St.	w7_d258e3386
Malo	w9_d258e3389
gegangen	w11_d258e3392
un	w13_d258e3396
die	w1_d258e3402
1695	w3_d258e3405
gegen	w5_d258e3408
diesen	w7_d258e3411
Ort	w9_d258e3414
vergeblich	w11_d258e3417
unternomene	w1_d258e3422
Belagerung	w3_d258e3425
nochmalen	w5_d258e3428
zu	w7_d258e3431
wa	w9_d258e3434
gen.	w1_d258e3439
Der	w3_d258e3442
General=leutenant	w5_d258e3445
von	w7_d258e3448
Harcourt,	w9_d258e3451
hat	w1_d258e3456
die	w3_d258e3459
in	w5_d258e3462
dieser	w7_d258e3465
Gegend	w9_d258e3468
vertheilt	w11_d258e3471
gelegen	w13_d258e3475
Französische	w1_d258e3481
Trupen	w3_d258e3484
versammeln	w5_d258e3487
lassen,	w7_d258e3490
um	w9_d258e3493
diesen	w1_d258e3498
feindlichen	w3_d258e3501
