<doc id="wr_1758-07-19" attrs="word" year="1758" month="07" day="19" corpus="2">
<head id="h2_d262e3122">
Wißmayr	w1_d262e3126
26.	w3_d262e3129
Junii.	w5_d262e3132
</head>
<p id="p4_d262e3135">
sen	w1_d262e3139
17.	w3_d262e3142
dieses,	w5_d262e3145
Abends,	w7_d262e3148
nachdem	w9_d262e3151
der	w11_d262e3154
Brief,	w1_d262e3159
dessen	w3_d262e3162
mit	w5_d262e3165
letzter	w7_d262e3168
Post	w9_d262e3171
über	w11_d262e3174
Schwerin	w1_d262e3181
von	w3_d262e3184
hieraus	w5_d262e3187
gedacht	w7_d262e3190
wor	w9_d262e3193
den,	w1_d262e3199
zu	w3_d262e3202
Greifswalde	w5_d262e3205
schon	w7_d262e3208
zur	w9_d262e3211
Post	w11_d262e3214
gegeben	w13_d262e3218
gewesen,	w1_d262e3223
hat	w3_d262e3226
sich	w5_d262e3229
daselbst,	w7_d262e3232
wider	w9_d262e3235
Vermuten	w11_d262e3238
und	w1_d262e3243
Erwarten	w3_d262e3246
geäussert,	w5_d262e3249
daß	w7_d262e3252
der	w9_d262e3255
Aufbruch	w11_d262e3258
der	w1_d262e3263
Preußischen	w3_d262e3266
Armee	w5_d262e3269
angeordnet	w7_d262e3272
worden,	w9_d262e3275
um	w1_d262e3281
sich	w3_d262e3284
zurück,	w5_d262e3287
und	w7_d262e3290
aus	w9_d262e3293
dem	w11_d262e3296
Schwedischen	w13_d262e3300
Pommern	w1_d262e3305
zu	w3_d262e3308
ziehen.	w5_d262e3311
Den	w7_d262e3314
18.	w9_d262e3317
ganz	w11_d262e3320
frühe,	w13_d262e3324
ist	w1_d262e3329
das	w3_d262e3332
Lager	w5_d262e3335
bey	w7_d262e3338
Falkenhagen	w9_d262e3341
aufgebrochen,	w11_d262e3344
durch	w1_d262e3349
Greifswalde	w3_d262e3352
gezogen,	w5_d262e3355
und	w7_d262e3358
hat	w9_d262e3361
sich	w11_d262e3364
zu	w13_d262e3368
Heinrichshagen	w1_d262e3374
wieder	w3_d262e3377
gesetzt.	w5_d262e3380
Den	w7_d262e3383
19.	w9_d262e3386
Mor	w11_d262e3389
nens,	w1_d262e3394
ist	w3_d262e3397
dasselbe	w5_d262e3400
wieder	w7_d262e3403
aufgebrochen,	w9_d262e3406
und	w11_d262e3409
bis	w13_d262e3413
Loitz	w1_d262e3418
marschiret,	w3_d262e3421
woselbst	w5_d262e3424
auch	w7_d262e3427
selben	w9_d262e3430
Tages	w11_d262e3433
das	w1_d262e3438
bey	w3_d262e3441
Putte	w5_d262e3444
gestandene	w7_d262e3447
Corps	w9_d262e3450
hat	w11_d262e3453
eintref	w13_d262e3457
ren,	w1_d262e3463
und	w3_d262e3466
sodann	w5_d262e3469
die	w7_d262e3472
ganze	w9_d262e3475
Armee	w11_d262e3478
weiter	w13_d262e3482
aus	w15_d262e3485
dem	w1_d262e3490
Lande	w3_d262e3493
wegmarschiren	w5_d262e3496
sollen,	w7_d262e3499
welches	w9_d262e3502
auch	w1_d262e3507
wird	w3_d262e3510
geschihen	w5_d262e3513
seyn.	w7_d262e3516
Den	w9_d262e3519
20.	w11_d262e3522
des	w13_d262e3526
Morgens,	w1_d262e3531
aufs	w3_d262e3534
früheste,	w5_d262e3537
haben	w7_d262e3540
die	w9_d262e3543
Kriegs	w11_d262e3546
kasse	w1_d262e3552
und	w3_d262e3555
das	w5_d262e3558
Feld=commissariat,	w7_d262e3561
unter	w9_d262e3564
Be	w11_d262e3567
beckung	w1_d262e3572
von	w3_d262e3575
einem	w5_d262e3578
Bataillon	w7_d262e3581
der	w9_d262e3584
Armee	w11_d262e3587
nachfolgen,	w1_d262e3592
und	w3_d262e3595
hierbey	w5_d262e3598
zugleich	w7_d262e3601
die	w9_d262e3604
Mecklen	w11_d262e3607
dingische	w1_d262e3612
und	w3_d262e3615
Wißmarische	w5_d262e3618
Deputirte,	w7_d262e3621
auch	w9_d262e3624
</p>
<p id="p6_d262e3627">
verschiedene	w1_d262e3631
Personen	w3_d262e3634
aus	w5_d262e3637
dem	w7_d262e3640
Schwedischen	w9_d262e3643
Pommern,	w1_d262e3648
alle	w3_d262e3651
als	w5_d262e3654
Geisel,	w7_d262e3657
so	w9_d262e3660
lange,	w11_d262e3663
bis	w13_d262e3667
al	w15_d262e3670
les	w1_d262e3675
Geforderte	w3_d262e3678
und	w5_d262e3681
Ausgeschriebene	w7_d262e3684
vollends	w9_d262e3687
würde	w1_d262e3693
entrichtet	w3_d262e3696
seyn,	w5_d262e3699
mit	w7_d262e3702
weggeführet	w9_d262e3705
wer	w11_d262e3708
den	w1_d262e3713
sollen.	w3_d262e3716
</p>
<head id="h2_d262e3722">
Brief	w1_d262e3726
eines	w3_d262e3729
Französischen	w5_d262e3732
Officiers	w7_d262e3735
von	w1_d262e3740
St.	w3_d262e3743
Malo,	w5_d262e3746
25.	w7_d262e3749
Jun.	w9_d262e3752
</head>
<p id="p4_d262e3755">
Es	w1_d262e3759
thut	w3_d262e3762
mir	w5_d262e3765
sehr	w7_d262e3768
leid,	w9_d262e3771
mein	w11_d262e3774
Herr	w13_d262e3778
daß	w15_d262e3781
ich	w17_d262e3784
es	w1_d262e3789
so	w3_d262e3792
lange	w5_d262e3795
verschieben	w7_d262e3798
müssen,	w9_d262e3801
Jhnen	w11_d262e3804
mit	w13_d262e3808
meinen	w1_d262e3813
Nachrichten	w3_d262e3816
aufzuwarten:	w5_d262e3819
allein	w7_d262e3822
der	w9_d262e3825
kleine	w1_d262e3831
Spaß,	w3_d262e3834
den	w5_d262e3837
die	w7_d262e3840
Engländer	w9_d262e3843
hier	w11_d262e3846
trei	w13_d262e3850
ben,	w1_d262e3855
hat	w3_d262e3858
uns	w5_d262e3861
so	w7_d262e3864
viel	w9_d262e3867
zu	w11_d262e3870
thun	w13_d262e3874
gemacht,	w15_d262e3877
daß	w17_d262e3880
nicht	w1_d262e3885
ein	w3_d262e3888
Augenblick	w5_d262e3891
für	w7_d262e3894
mich	w9_d262e3897
übrig	w11_d262e3900
geblie	w13_d262e3904
ben.	w1_d262e3909
Wir	w3_d262e3912
konnten	w5_d262e3915
uns	w7_d262e3918
nicht	w9_d262e3921
vorstellen,	w11_d262e3924
daß	w13_d262e3928
der	w1_d262e3934
Endzweck	w3_d262e3937
der	w5_d262e3940
ungeheuren	w7_d262e3943
Rüstung,	w9_d262e3946
die	w11_d262e3949
man	w1_d262e3954
schon	w3_d262e3957
so	w5_d262e3960
lang	w7_d262e3963
vorher	w9_d262e3966
verkündigt	w11_d262e3969
hatte,	w13_d262e3973
kein	w1_d262e3978
anderer	w3_d262e3981
seyn	w5_d262e3984
solte,	w7_d262e3987
als	w9_d262e3990
15.	w11_d262e3993
bis	w13_d262e3997
20.	w15_d262e4000
alte	w17_d262e4003
Gerippe	w1_d262e4008
von	w3_d262e4011
Schiffen	w5_d262e4014
zu	w7_d262e4017
verbrennen,	w9_d262e4020
und	w11_d262e4023
daß	w13_d262e4027
15000.	w1_d262e4033
Mann,	w3_d262e4036
die	w5_d262e4039
sich	w7_d262e4042
bis	w9_d262e4045
an	w11_d262e4048
die	w13_d262e4052
Zähne	w15_d262e4055
ver	w17_d262e4058
schanzt,	w1_d262e4063
und	w3_d262e4066
in	w5_d262e4069
einen	w7_d262e4072
unbezwinglichen	w9_d262e4075
Posten	w11_d262e4078
gesetzt,	w1_d262e4083
auch	w3_d262e4086
alle	w5_d262e4089
Anstalten	w7_d262e4092
zu	w9_d262e4095
einer	w11_d262e4098
Belage	w13_d262e4102
rung	w1_d262e4107
gemacht	w3_d262e4110
hätten,	w5_d262e4113
sich	w7_d262e4116
von	w9_d262e4119
7.	w11_d262e4122
bis	w13_d262e4126
800.	w15_d262e4129
Mann	w1_d262e4135
würden	w3_d262e4138
fortjagen	w5_d262e4141
lassen.	w7_d262e4144
Sie	w9_d262e4147
sind	w11_d262e4150
schon	w1_d262e4155
seit	w3_d262e4158
3.	w5_d262e4161
Tagen	w7_d262e4164
wieder	w9_d262e4167
auf	w11_d262e4170
ihren	w13_d262e4174
Schif	w15_d262e4177
</p>
<p id="p10_d262e4190">
fen,	w1_d262e4194
aber	w3_d262e4197
ihre	w5_d262e4200
Flotte	w7_d262e4203
ist	w9_d262e4206
noch	w11_d262e4209
in	w13_d262e4213
der	w15_d262e4216
Baye	w17_d262e4219
von	w1_d262e4224
Cancale.	w3_d262e4227
Wir	w5_d262e4230
können	w7_d262e4233
noch	w9_d262e4236
nicht	w11_d262e4239
ab	w13_d262e4243
sehen,	w1_d262e4248
ob	w3_d262e4251
sie	w5_d262e4254
auf	w7_d262e4257
Wind	w9_d262e4260
zu	w11_d262e4263
einer	w13_d262e4267
neuen	w15_d262e4270
Unter	w17_d262e4273
nehmung	w1_d262e4279
auf	w3_d262e4282
denen	w5_d262e4285
Küsten	w7_d262e4288
des	w9_d262e4291
Oceans,	w11_d262e4294
oder,	w13_d262e4298
auf	w1_d262e4303
Nachrichten	w3_d262e4306
aus	w5_d262e4309
England	w7_d262e4312
wartet.	w9_d262e4315
Jch	w11_d262e4318
hoffe,	w1_d262e4323
daß	w3_d262e4326
eins	w5_d262e4329
oder	w7_d262e4332
das	w9_d262e4335
andere	w11_d262e4338
sich	w13_d262e4342
bald	w15_d262e4345
äussern,	w1_d262e4350
und	w3_d262e4353
wir	w5_d262e4356
aller	w7_d262e4359
Beschwerlichkeit	w9_d262e4362
bald	w11_d262e4365
los	w1_d262e4371
seyn	w3_d262e4374
werden.	w5_d262e4377
Jch	w7_d262e4380
verharre	w9_d262e4383
rc.	w11_d262e4386
</p>
<head id="h2_d262e4392">
Bayreuth	w1_d262e4396
26.	w3_d262e4399
Junii.	w5_d262e4402
</head>
<p id="p4_d262e4405">
Die	w1_d262e4409
Regimenter	w3_d262e4412
Varell	w5_d262e4415
und	w7_d262e4418
Ferntheil	w9_d262e4421
ha	w11_d262e4424
ben	w1_d262e4429
nebst	w3_d262e4432
denen	w5_d262e4435
Trupen	w7_d262e4438
des	w9_d262e4441
Herrn	w11_d262e4444
Generals	w13_d262e4448
von	w1_d262e4453
Dombale	w3_d262e4456
von	w5_d262e4459
Bamberg	w7_d262e4462
ihren	w9_d262e4465
Marsch	w11_d262e4468
nach	w1_d262e4474
Böhmen	w3_d262e4477
weiters	w5_d262e4480
fortgesetzet,	w7_d262e4483
und	w9_d262e4486
sind	w11_d262e4489
gestern	w1_d262e4494
nach	w3_d262e4497
Melkendorf	w5_d262e4500
zu	w7_d262e4503
stehen	w9_d262e4506
gekommen,	w11_d262e4509
alwo	w1_d262e4514
sie	w3_d262e4517
heute	w5_d262e4520
Raststag	w7_d262e4523
gehalten;	w9_d262e4526
morgen	w11_d262e4529
treffen	w1_d262e4534
sie	w3_d262e4537
zu	w5_d262e4540
Markschorgaß	w7_d262e4543
ein,	w9_d262e4546
und	w11_d262e4549
über	w13_d262e4553
worgen	w1_d262e4559
kommen	w3_d262e4562
sie	w5_d262e4565
