<doc id="wr_1758-07-22" attrs="word" year="1758" month="07" day="22" corpus="2">
<head id="h2_d263e3557">
Utrecht	w1_d263e3561
7.	w3_d263e3564
Julii.	w5_d263e3567
</head>
<p id="p4_d263e3570">
dann	w1_d263e3574
die	w3_d263e3577
letztern	w5_d263e3580
Nachrichten	w7_d263e3583
vom	w9_d263e3586
Nie	w11_d263e3589
der=rhein	w1_d263e3594
das	w3_d263e3597
Haupt=quartier	w5_d263e3600
der	w7_d263e3603
Hanöverischen	w1_d263e3608
Armee	w3_d263e3611
zu	w5_d263e3614
Wohrin	w7_d263e3617
gen	w1_d263e3623
bestimmten,	w3_d263e3626
so	w5_d263e3629
ist	w7_d263e3632
dieses	w9_d263e3635
blos	w11_d263e3638
aus	w13_d263e3642
einem	w15_d263e3645
Versehen	w1_d263e3650
geschehen.	w3_d263e3653
Besagte	w5_d263e3656
Armee	w7_d263e3659
stund	w9_d263e3662
den	w1_d263e3667
2ten	w3_d263e3670
zu	w5_d263e3673
Gladebach,	w7_d263e3676
und	w9_d263e3679
von	w11_d263e3682
da	w13_d263e3686
wurde	w15_d263e3689
erst	w1_d263e3694
den	w3_d263e3697
4.	w5_d263e3700
das	w7_d263e3703
Haupt=quartier	w9_d263e3706
nach	w11_d263e3709
Zuredick	w13_d263e3713
verlegt.	w1_d263e3719
Die	w3_d263e3722
Armee	w5_d263e3725
selbst	w7_d263e3728
stehet	w9_d263e3731
zwischen	w11_d263e3734
Geevenbroick	w1_d263e3739
und	w3_d263e3742
Bedburg,	w5_d263e3745
die	w7_d263e3748
Vor=posten	w9_d263e3751
aber	w1_d263e3756
sind	w3_d263e3759
zu	w5_d263e3762
Gladbach,	w7_d263e3765
Dohlen,	w9_d263e3768
Vierssen,	w11_d263e3771
Dul	w13_d263e3775
ren	w1_d263e3780
und	w3_d263e3783
Schwalmen	w5_d263e3786
vertheilt.	w7_d263e3789
Von	w9_d263e3792
dem	w11_d263e3795
Verlust,	w1_d263e3801
den	w3_d263e3804
die	w5_d263e3807
Hanöverische	w7_d263e3810
Armee	w9_d263e3813
am	w11_d263e3816
23.	w13_d263e3820
Junii	w1_d263e3825
erlitten,	w3_d263e3828
sihet	w5_d263e3831
man	w7_d263e3834
nunmehro	w9_d263e3837
auch	w11_d263e3840
eine	w1_d263e3845
Liste,	w3_d263e3848
nach	w5_d263e3851
welcher	w7_d263e3854
29.	w9_d263e3857
Ober=officiers	w11_d263e3860
39.	w1_d263e3865
Unter=officiers,	w3_d263e3868
und	w5_d263e3871
976.	w7_d263e3874
Gemeine	w9_d263e3877
ge	w11_d263e3880
blieben.	w1_d263e3886
Vom	w3_d263e3889
Blockischen	w5_d263e3892
Regiment	w7_d263e3895
ist	w9_d263e3898
der	w11_d263e3901
Major	w1_d263e3906
Wittendort	w3_d263e3909
todt,	w5_d263e3912
der	w7_d263e3915
Capitain	w9_d263e3918
Po	w11_d263e3921
felldorf,	w1_d263e3926
Leutenant	w3_d263e3929
König,	w5_d263e3932
und	w7_d263e3935
Adjutant	w9_d263e3938
Jon	w11_d263e3941
von	w1_d263e3946
sind	w3_d263e3949
bleßirt;	w5_d263e3952
Von	w7_d263e3955
Spörke:	w9_d263e3958
der	w11_d263e3961
Major	w13_d263e3965
ia	w1_d263e3971
Motte	w3_d263e3974
und	w5_d263e3977
Capitain	w7_d263e3980
Buning	w9_d263e3983
verwundet;	w11_d263e3986
von	w1_d263e3991
Hardenberg:	w3_d263e3994
Capitain	w5_d263e3997
Behen	w7_d263e4000
bleßirt,	w9_d263e4003
die	w1_d263e4008
Leutenants	w3_d263e4011
Mühlefeld,	w5_d263e4014
Linnemann	w7_d263e4017
und	w9_d263e4020
Schlow	w1_d263e4025
in,	w3_d263e4028
todt.	w5_d263e4031
Von	w7_d263e4034
Zastrow.	w9_d263e4037
der	w11_d263e4040
Ad	w13_d263e4044
</p>
<p id="p6_d263e4047">
jutant	w1_d263e4051
Sattel	w3_d263e4054
todt;	w5_d263e4057
von	w7_d263e4060
Dreves:	w9_d263e4063
Capitain	w11_d263e4066
Radecy	w1_d263e4071
todt;	w3_d263e4074
von	w5_d263e4077
Scecle:	w7_d263e4080
Capitain	w9_d263e4083
Roden	w11_d263e4086
leicht	w1_d263e4091
bleßirt,	w3_d263e4094
ein	w5_d263e4097
Capitain,	w7_d263e4100
und	w9_d263e4103
der	w11_d263e4106
Fähndrich	w13_d263e4110
Zander	w1_d263e4116
todt.	w3_d263e4119
Bey	w5_d263e4122
der	w7_d263e4125
Cavallerie	w9_d263e4128
sollen	w11_d263e4131
nm	w13_d263e4135
2.	w1_d263e4140
Officiers,	w3_d263e4143
nämlich	w5_d263e4146
der	w7_d263e4149
Maror	w9_d263e4152
