<doc id="wr_1758-08-09" attrs="word" year="1758" month="08" day="09" corpus="2">
<head id="h2_d268e3404">
Aachen	w1_d268e3408
31.	w3_d268e3411
Julii.	w5_d268e3414
</head>
<p id="p4_d268e3417">
Die	w1_d268e3421
Hanöverische	w3_d268e3424
Armee	w5_d268e3427
ist	w7_d268e3430
in	w9_d268e3433
der	w11_d268e3436
Nacht	w13_d268e3440
vom	w1_d268e3447
24.	w3_d268e3450
auf	w5_d268e3453
den	w7_d268e3456
25.	w9_d268e3459
aufgebrochen.	w11_d268e3462
Der	w1_d268e3467
Ritter	w3_d268e3470
von	w5_d268e3473
Montfort,	w7_d268e3476
der	w9_d268e3479
sich	w11_d268e3482
mit	w1_d268e3488
einem	w3_d268e3491
Corpo	w5_d268e3494
Volontairs	w7_d268e3497
zu	w9_d268e3500
Welming	w11_d268e3503
hausen	w1_d268e3508
befand,	w3_d268e3511
bemerkte	w5_d268e3514
am	w7_d268e3517
ersten	w9_d268e3520
die	w11_d268e3523
zum	w13_d268e3527
Aufbruch	w1_d268e3532
abzielende	w3_d268e3535
Bewegungen	w5_d268e3538
der	w7_d268e3541
Hano	w9_d268e3544
veraner.	w1_d268e3549
Er	w3_d268e3552
berichtete	w5_d268e3555
seine	w7_d268e3558
Entdeckungen	w9_d268e3561
dem	w1_d268e3567
Grafen	w3_d268e3570
von	w5_d268e3573
Chabo,	w7_d268e3576
und	w9_d268e3579
dieser	w11_d268e3582
dem	w13_d268e3586
Herrn	w1_d268e3591
Marquis	w3_d268e3594
de	w5_d268e3597
Contades	w7_d268e3600
welcher	w9_d268e3603
dem	w11_d268e3606
Grafen	w1_d268e3611
von	w3_d268e3614
Montfort	w5_d268e3617
sogleich	w7_d268e3620
Befehl	w9_d268e3623
gab,	w11_d268e3626
die	w1_d268e3631
Hanoveraner	w3_d268e3634
aufs	w5_d268e3637
genau=ste	w7_d268e3640
zu	w9_d268e3643
beobach	w11_d268e3646
len.	w1_d268e3652
Nachdem	w3_d268e3655
letzterer	w5_d268e3658
sein	w7_d268e3661
Schloß	w9_d268e3664
hinläng	w11_d268e3667
lich	w1_d268e3672
bedeckt,	w3_d268e3675
und	w5_d268e3678
die	w7_d268e3681
Brücke	w9_d268e3684
abgeworfen	w11_d268e3687
hatte,	w1_d268e3692
ließ	w3_d268e3695
er	w5_d268e3698
einen	w7_d268e3701
Theil	w9_d268e3704
seiner	w11_d268e3707
Trupen	w13_d268e3711
über	w15_d268e3714
Bretter	w1_d268e3719
die	w3_d268e3722
Erft	w5_d268e3725
paßiren,	w7_d268e3728
welche	w9_d268e3731
auf	w11_d268e3734
eine	w13_d268e3738
starke	w1_d268e3744
Heßische	w3_d268e3747
Wache	w5_d268e3750
stiessen,	w7_d268e3753
und	w9_d268e3756
selbige,	w11_d268e3759
ungeachtet	w1_d268e3764
ihres	w3_d268e3767
Widerstandes,	w5_d268e3770
bis	w7_d268e3773
auf	w9_d268e3776
4.	w11_d268e3779
Mann	w1_d268e3784
mit	w3_d268e3787
dem	w5_d268e3790
Baionette	w7_d268e3793
tödteten.	w9_d268e3796
Mit	w11_d268e3799
dem	w1_d268e3804
anbrechenden	w3_d268e3807
Tage	w5_d268e3810
wurde	w7_d268e3813
die	w9_d268e3816
Nach	w11_d268e3819
licht	w1_d268e3825
vom	w3_d268e3828
Abzug	w5_d268e3831
der	w7_d268e3834
Honöverischen	w9_d268e3837
Armer	w11_d268e3840
gewisser,	w1_d268e3845
folglich	w3_d268e3848
ließ	w5_d268e3851
der	w7_d268e3854
Herr	w9_d268e3857
Graf	w11_d268e3860
von	w13_d268e3864
Mon	w1_d268e3869
fort	w3_d268e3872
ihre	w5_d268e3875
Arrier=garde	w7_d268e3878
verfolgen,	w9_d268e3881
und	w11_d268e3884
die	w1_d268e3889
Französisch	w3_d268e3892
Trupen	w5_d268e3895
erbeuteten	w7_d268e3898
einige	w9_d268e3901
Ba	w11_d268e3904
gage=wägen,	w1_d268e3910
und	w3_d268e3913
kamen	w5_d268e3916
mit	w7_d268e3919
selbiger	w9_d268e3922
nach	w11_d268e3925
</p>
<p id="p6_d268e3928">
dem	w1_d268e3932
Schlosse	w3_d268e3935
Welminghausen	w5_d268e3938
zurücke.	w7_d268e3941
Den	w9_d268e3944
26.	w1_d268e3949
brach	w3_d268e3952
die	w5_d268e3955
Französische	w7_d268e3958
Armee	w9_d268e3961
gleichfals	w11_d268e3964
von	w1_d268e3969
Anderade	w3_d268e3972
auf,	w5_d268e3975
sie	w7_d268e3978
machte	w9_d268e3981
einen	w11_d268e3984
Marsch	w13_d268e3988
von	w1_d268e3994
5.	w3_d268e3997
Stunden	w5_d268e4000
bis	w7_d268e4003
Garzweiller,	w9_d268e4006
und	w11_d268e4009
von	w13_d268e4013
