<doc id="wr_1758-09-06" attrs="word" year="1758" month="09" day="06" corpus="2">
<head id="h2_d276e3771">
Leipzig	w1_d276e3775
27.	w3_d276e3778
Augusti.	w5_d276e3781
</head>
<p id="p4_d276e3784">
as	w1_d276e3788
Preußische	w3_d276e3791
Lager	w5_d276e3794
unter	w7_d276e3797
dem	w9_d276e3800
Com	w11_d276e3803
mando	w1_d276e3808
Sr.	w3_d276e3811
Königl.	w5_d276e3814
Hoheit	w7_d276e3817
des	w9_d276e3820
Prin	w11_d276e3823
zen	w1_d276e3828
Heinrichs	w3_d276e3831
stund	w5_d276e3834
zwar	w7_d276e3837
noch	w9_d276e3840
den	w11_d276e3843
21.	w1_d276e3849
bey	w3_d276e3852
Dippoldswalde;	w5_d276e3855
alleine	w7_d276e3858
es	w9_d276e3861
ist	w11_d276e3864
von	w13_d276e3868
da	w1_d276e3873
den	w3_d276e3876
23.	w5_d276e3879
in	w7_d276e3882
die	w9_d276e3885
Gegend	w11_d276e3888
von	w13_d276e3892
Pirna	w15_d276e3895
und	w17_d276e3898
Dresden	w1_d276e3903
verlegt,	w3_d276e3906
und	w5_d276e3909
durch	w7_d276e3912
detaschirte	w9_d276e3915
Mann	w11_d276e3918
schaft	w1_d276e3923
von	w3_d276e3926
denen	w5_d276e3929
Garnisonen	w7_d276e3932
verstärket	w9_d276e3935
wor	w11_d276e3938
den.	w1_d276e3944
Der	w3_d276e3947
rechte	w5_d276e3950
Flügel	w7_d276e3953
lehnet	w9_d276e3956
sich	w11_d276e3959
fast	w13_d276e3963
an	w15_d276e3966
Dresden,	w1_d276e3971
der	w3_d276e3974
linke	w5_d276e3977
aber	w7_d276e3980
erstrecket	w9_d276e3983
sich	w11_d276e3986
bis	w13_d276e3990
Maxen.	w1_d276e3995
Den	w3_d276e3998
15.	w5_d276e4001
Augusti	w7_d276e4004
attaquirte	w9_d276e4007
ein	w11_d276e4010
Commando	w1_d276e4015
Kaiserl.	w3_d276e4018
Königl.	w5_d276e4021
Trupen	w7_d276e4024
das	w9_d276e4027
Preußische	w1_d276e4033
Corpo	w3_d276e4036
auf	w5_d276e4039
dem	w7_d276e4042
Sedlitzerberg,	w9_d276e4045
und	w11_d276e4048
delogirte	w1_d276e4053
dasselbe	w3_d276e4056
mit	w5_d276e4059
einem	w7_d276e4062
sehr	w9_d276e4065
namhaften	w11_d276e4068
Verlust,	w1_d276e4073
den	w3_d276e4076
die	w5_d276e4079
Preußen	w7_d276e4082
selbst	w9_d276e4085
auf	w11_d276e4088
600.	w13_d276e4092
Mann	w1_d276e4097
rechnen.	w3_d276e4100
Da	w5_d276e4103
dieser	w7_d276e4106
Posten	w9_d276e4109
die	w11_d276e4112
Pas	w13_d276e4116
sage	w1_d276e4122
bis	w3_d276e4125
hieher	w5_d276e4128
längs	w7_d276e4131
dem	w9_d276e4134
Gebürge	w11_d276e4137
ver	w13_d276e4141
sichert,	w1_d276e4146
so	w3_d276e4149
ist	w5_d276e4152
er	w7_d276e4155
um	w9_d276e4158
desto	w11_d276e4161
vortheilhafter.	w13_d276e4165
Der	w1_d276e4170
Herr	w3_d276e4173
General	w5_d276e4176
Haddick	w7_d276e4179
steht	w9_d276e4182
noch	w11_d276e4185
in	w13_d276e4189
der	w1_d276e4194
Gegend	w3_d276e4197
von	w5_d276e4200
Pirna,	w7_d276e4203
die	w9_d276e4206
Kaiserl.	w11_d276e4209
Königl.	w13_d276e4213
</p>
<p id="p6_d276e4216">
und	w1_d276e4220
Reichs	w3_d276e4223
Armee	w5_d276e4226
aber,	w7_d276e4229
hat	w9_d276e4232
ihr	w11_d276e4235
