<doc id="wr_1758-10-04" attrs="word" year="1758" month="10" day="04" corpus="2">
<head id="h2_d284e3507">
Smirna	w1_d284e3511
3.	w3_d284e3514
September.	w5_d284e3517
</head>
<p id="p4_d284e3520">
ie	w1_d284e3524
ansteckende	w3_d284e3527
Seuche,	w5_d284e3530
die	w7_d284e3533
von	w9_d284e3536
Tag	w11_d284e3539
zu	w1_d284e3546
Tag	w3_d284e3549
stärker	w5_d284e3552
wird,	w7_d284e3555
reist	w9_d284e3558
nicht	w11_d284e3561
we	w13_d284e3565
niger	w1_d284e3570
Menschen	w3_d284e3573
in	w5_d284e3576
denen	w7_d284e3579
benachbar	w9_d284e3582
ten	w1_d284e3588
Plätzen,	w3_d284e3591
als	w5_d284e3594
alhier	w7_d284e3597
weg,	w9_d284e3600
ja	w11_d284e3603
sie	w13_d284e3607
hat	w15_d284e3610
in	w17_d284e3613
denen	w19_d284e3616
Orten	w1_d284e3621
von	w3_d284e3624
Magaesia	w5_d284e3627
und	w7_d284e3630
Nenamien,	w9_d284e3633
so	w11_d284e3636
viele	w1_d284e3641
Menschen	w3_d284e3644
weggeraft,	w5_d284e3647
daß	w7_d284e3650
bey	w9_d284e3653
nahe	w11_d284e3656
kei	w13_d284e3660
ne	w1_d284e3665
übrig	w3_d284e3668
geblieben	w5_d284e3671
seynd,	w7_d284e3674
um	w9_d284e3677
das	w11_d284e3680
Land	w13_d284e3684
zu	w15_d284e3687
bauen,	w1_d284e3693
weswegen	w3_d284e3696
durch	w5_d284e3699
diese	w7_d284e3702
Stadt	w9_d284e3705
offent	w11_d284e3708
lich	w1_d284e3713
ist	w3_d284e3716
ausgeruffen	w5_d284e3719
worden,	w7_d284e3722
daß	w9_d284e3725
diejenige,	w11_d284e3728
welche	w1_d284e3733
Korn	w3_d284e3736
säen	w5_d284e3739
wolten,	w7_d284e3742
die	w9_d284e3745
Helfte	w11_d284e3748
davon	w13_d284e3752
für	w1_d284e3757
sich	w3_d284e3760
haben	w5_d284e3763
solten.	w7_d284e3766
</p>
<head id="h2_d284e3772">
Hanover	w1_d284e3776
17.	w3_d284e3779
September.	w5_d284e3782
</head>
<p id="p4_d284e3785">
Am	w1_d284e3789
14.	w3_d284e3792
dieses	w5_d284e3795
des	w7_d284e3798
Vormittags	w9_d284e3801
lief	w11_d284e3804
die	w13_d284e3808
Nachricht	w1_d284e3813
ein,	w3_d284e3816
daß	w5_d284e3819
die	w7_d284e3822
Fischerischen	w9_d284e3825
Hussa	w11_d284e3828
ren	w1_d284e3833
in	w3_d284e3836
der	w5_d284e3839
Nacht	w7_d284e3842
zuvor	w9_d284e3845
sich	w11_d284e3848
zu	w13_d284e3852
Alfeld,	w15_d284e3855
5.	w17_d284e3858
Meilen	w1_d284e3864
von	w3_d284e3867
hier,	w5_d284e3870
eingestellet	w7_d284e3873
hatten.	w9_d284e3876
Mann	w11_d284e3879
konnte	w1_d284e3884
hieraus	w3_d284e3887
leicht	w5_d284e3890
abnehmen,	w7_d284e3893
daß	w9_d284e3896
es	w11_d284e3899
auf	w13_d284e3903
unsere	w1_d284e3908
Stadt	w3_d284e3911
angesehen	w5_d284e3914
war,	w7_d284e3917
wie	w9_d284e3920
dann	w11_d284e3923
auch	w13_d284e3927
würklich	w1_d284e3932
noch	w3_d284e3935
desselbigen	w5_d284e3938
Tages	w7_d284e3941
ihrer	w9_d284e3944
300	w11_d284e3947
</p>
<p id="p6_d284e3950">
vor	w1_d284e3954
den	w3_d284e3957
Aegidien=thore	w5_d284e3960
hieselbst	w7_d284e3963
erschienen.	w9_d284e3966
jedoch	w1_d284e3971
die	w3_d284e3974
Stadt	w5_d284e3977
gesperret	w7_d284e3980
fanden.	w9_d284e3983
Der	w11_d284e3986
Oberste	w1_d284e3991
Fischer	w3_d284e3994
forderte	w5_d284e3997
hierauf	w7_d284e4000
den	w9_d284e4003
Herrn	w11_d284e4006
Geheimren	w1_d284e4012
Raht	w3_d284e4015
von	w5_d284e4018
Hardenberg,	w7_d284e4021
den	w9_d284e4024
Herrn	w11_d284e4027
Hof=marschall	w1_d284e4032
von	w3_d284e4035
Wangenheim,	w5_d284e4038
und	w7_d284e4041
den	w9_d284e4044
regierenden	w1_d284e4049
Burger=meister	w3_d284e4052
vor	w5_d284e4055
das	w7_d284e4058
Thor,	w9_d284e4061
welche	w1_d284e4066
dann	w3_d284e4069
auch	w5_d284e4072
erschienen,	w7_d284e4075
worauf	w9_d284e4078
ihnen	w11_d284e4081
eine	w1_d284e4087
Ordre	w3_d284e4090
zugestellet	w5_d284e4093
wurde,	w7_d284e4096
welche	w9_d284e4099
die	w11_d284e4102
Auf	w13_d284e4106
bringung	w1_d284e4111
einer	w3_d284e4114
Million	w5_d284e4117
Reichs=thaler	w7_d284e4120
und	w9_d284e4123
300.	w1_d284e4128
gesattelter	w3_d284e4131
Pferde	w5_d284e4134
enthielt.	w7_d284e4137
Die	w9_d284e4140
Thöre	w11_d284e4143
wurden	w1_d284e4148
aber	w3_d284e4151
nicht	w5_d284e4154
eröfnet,	w7_d284e4157
und	w9_d284e4160
gedachter	w11_d284e4163
Oberster	w1_d284e4169
Fischer	w3_d284e4172
zog	w5_d284e4175
nach	w7_d284e4178
Verlauf	w9_d284e4181
zweyer	w11_d284e4184
Stunden	w1_d284e4189
wieder	w3_d284e4192
ab	w5_d284e4195
nach	w7_d284e4198
Latzen,	w9_d284e4201
nahm	w11_d284e4204
da	w13_d284e4208
selbst	w1_d284e4213
das	w3_d284e4216
Nacht=quartier,	w5_d284e4219
brach	w7_d284e4222
des	w9_d284e4225
andern	w11_d284e4228
Morgens	w1_d284e4233
früh	w3_d284e4236
um	w5_d284e4239
2.	w7_d284e4242
Uhr	w9_d284e4245
wieder	w11_d284e4248
auf,	w13_d284e4252
und	w15_d284e4255
marschirte	w1_d284e4261
nach	w3_d284e4264
Hildesheim,	w5_d284e4267
