<doc id="wr_1758-12-09" attrs="word" year="1758" month="12" day="09" corpus="2">
<head id="h2_d303e2449">
Berlin	w1_d303e2453
27.	w3_d303e2456
November.	w5_d303e2459
</head>
<p id="p4_d303e2462">
bestern	w1_d303e2466
traffen	w3_d303e2469
Jhre	w5_d303e2472
Königl.	w7_d303e2475
Hoheiten,	w9_d303e2478
die	w1_d303e2483
beyden	w3_d303e2486
Prinzen	w5_d303e2489
von	w7_d303e2492
Preußen,	w9_d303e2495
aus	w1_d303e2500
Potsdam,	w3_d303e2503
auf	w5_d303e2506
dem	w7_d303e2509
Königl.	w9_d303e2512
Schlosse,	w1_d303e2518
alhier	w3_d303e2521
ein.	w5_d303e2524
</p>
<p id="p6_d303e2527">
Aus	w1_d303e2531
Magdeburg	w3_d303e2534
vernihmt	w5_d303e2537
man,	w7_d303e2540
daß	w9_d303e2543
da	w11_d303e2546
selbst	w1_d303e2551
den	w3_d303e2554
19.	w5_d303e2557
dieses	w7_d303e2560
Monats,	w9_d303e2563
der	w11_d303e2566
feyerli	w13_d303e2570
che	w1_d303e2575
Tanf=actus	w3_d303e2578
des	w5_d303e2581
jungen	w7_d303e2584
Prinzen,	w9_d303e2587
wovon	w11_d303e2590
unlängst	w1_d303e2596
Jhre	w3_d303e2599
Königl.	w5_d303e2602
Hoheit,	w7_d303e2605
die	w9_d303e2608
verwitt	w11_d303e2611
wete	w1_d303e2616
Prinzeßin	w3_d303e2619
von	w5_d303e2622
Preußen	w7_d303e2625
entbunden	w9_d303e2628
wor	w11_d303e2631
den,	w1_d303e2636
vor	w3_d303e2639
sich	w5_d303e2642
gegangen	w7_d303e2645
seye.	w9_d303e2648
Die	w11_d303e2651
hohe	w13_d303e2655
Tauf	w15_d303e2658
paten	w1_d303e2663
waren	w3_d303e2666
Sr.	w5_d303e2669
Majestät	w7_d303e2672
der	w9_d303e2675
König	w11_d303e2678
von	w13_d303e2682
England.	w1_d303e2688
ihre	w3_d303e2691
Königl.	w5_d303e2694
Hoheit	w7_d303e2697
die	w9_d303e2700
verwittwete	w11_d303e2703
Prinzeßin	w1_d303e2708
von	w3_d303e2711
Nassau=oranien,	w5_d303e2714
und	w7_d303e2717
Statt	w9_d303e2720
halterin	w1_d303e2725
der	w3_d303e2728
vereinigten	w5_d303e2731
Niederlande,	w7_d303e2734
der	w9_d303e2737
Prinz	w1_d303e2742
von	w3_d303e2745
Wallis,	w5_d303e2748
und	w7_d303e2751
der	w9_d303e2754
Prinz	w11_d303e2757
Heinrich,	w13_d303e2761
deren	w1_d303e2767
Stellen	w3_d303e2770
durch	w5_d303e2773
verschiedene	w7_d303e2776
Stau	w9_d303e2779
des=personen	w1_d303e2784
vertretten	w3_d303e2787
wurden.	w5_d303e2790
Se.	w7_d303e2793
Kö	w9_d303e2796
nigl.	w1_d303e2801
Hoheit,	w3_d303e2804
der	w5_d303e2807
junge	w7_d303e2810
Prinz,	w9_d303e2813
empfiengen	w11_d303e2816
die	w1_d303e2821
Namen:	w3_d303e2824
George	w5_d303e2827
Carl	w7_d303e2830
Aemilius.	w9_d303e2833
</p>
<head id="h2_d303e2839">
Cöln	w1_d303e2843
1.	w3_d303e2846
December.	w5_d303e2849
</head>
<p id="p4_d303e2852">
Das	w1_d303e2856
Haupt=quartier	w3_d303e2859
des	w5_d303e2862
Herrn	w7_d303e2865
Mar	w9_d303e2868
schalls	w1_d303e2873
von	w3_d303e2876
Condates	w5_d303e2879
ist	w7_d303e2882
nunmehro	w9_d303e2885
seit	w11_d303e2888
dem	w13_d303e2892
24.	w1_d303e2897
November	w3_d303e2900
zu	w5_d303e2903
Crevelt.	w7_d303e2906
Die	w9_d303e2909
zur	w11_d303e2912
Be	w13_d303e2916
deckung	w1_d303e2922
desselben	w3_d303e2925
bestimmte	w5_d303e2928
Regimenter	w7_d303e2931
sind	w9_d303e2934
meistens	w1_d303e2939
angelangt,	w3_d303e2942
und	w5_d303e2945
eine	w7_d303e2948
grosse	w9_d303e2951
Anzahl	w11_d303e2954
Zimmer=leute	w1_d303e2959
muß	w3_d303e2962
täglich	w5_d303e2965
an	w7_d303e2968
Erbauung	w9_d303e2971
der	w11_d303e2974
Carsernen	w1_d303e2979
und	w3_d303e2982
Ställen	w5_d303e2985
für	w7_d303e2988
die	w9_d303e2991
Pferde	w11_d303e2994
arbei	w13_d303e2998
ten.	w1_d303e3004
Obgleich	w3_d303e3007
die	w5_d303e3010
meiste	w7_d303e3013
Trupen	w9_d303e3016
schon	w11_d303e3019
in	w13_d303e3023
ihren	w1_d303e3028
bestimmten	w3_d303e3031
Quartiern	w5_d303e3034
eingetroffen,	w7_d303e3037
so	w9_d303e3040
sind	w1_d303e3045
doch	w3_d303e3048
die	w5_d303e3051
Wege	w7_d303e3054
noch	w9_d303e3057
immer	w11_d303e3060
mit	w13_d303e3064
Ba	w15_d303e3067
gage,	w1_d303e3072
Munitions	w3_d303e3075
und	w5_d303e3078
Fourage=wägen	w7_d303e3081
an	w9_d303e3084
gefüllt,	w1_d303e3090
und	w3_d303e3093
in	w5_d303e3096
denen	w7_d303e3099
Plätzen	w9_d303e3102
längs	w11_d303e3105
dem	w13_d303e3109
Rhein	w1_d303e3114
von	w3_d303e3117
Wesel	w5_d303e3120
herunter,	w7_d303e3123
wimmelt	w9_d303e3126
alles	w11_d303e3129
von	w1_d303e3134
Soldaten.	w3_d303e3137
Die	w5_d303e3140
Chur=pfälzische	w7_d303e3143
Tru	w9_d303e3146
pen,	w1_d303e3151
welche	w3_d303e3154
den	w5_d303e3157
18.	w7_d303e3160
zu	w9_d303e3163
Hardenberg	w11_d303e3166
anka	w13_d303e3170
men,	w1_d303e3176
sind	w3_d303e3179
den	w5_d303e3182
20.	w7_d303e3185
von	w9_d303e3188
da	w11_d303e3191
weiter	w13_d303e3195
ins	w15_d303e3198
Jüli	w17_d303e3201
chische,	w1_d303e3206
und	w3_d303e3209
die	w5_d303e3212
Französische	w7_d303e3215
Cavallerie,	w9_d303e3218
welche	w1_d303e3223
zur	w3_d303e3226
Soubisischen	w5_d303e3229
Armee	w7_d303e3232
stößt,	w9_d303e3235
durchs	w11_d303e3238
Paderbornische	w1_d303e3243
gegen	w3_d303e3246
Marburg	w5_d303e3249
marschirt.	w7_d303e3252
</p>
<p id="p10_d303e3265">
Jm	w1_d303e3269
Münsterischen	w3_d303e3272
ist	w5_d303e3275
gleichfalls	w7_d303e3278
alles	w9_d303e3281
in	w1_d303e3286
Bewegung.	w3_d303e3289
Die	w5_d303e3292
Hanöverische	w7_d303e3295
Armee	w9_d303e3298
ist	w1_d303e3303
jetzo	w3_d303e3306
völlig	w5_d303e3309
auseinander,	w7_d303e3312
und	w9_d303e3315
die	w11_d303e3318
Regi	w13_d303e3322
meuter	w1_d303e3328
marschiren	w3_d303e3331
nach	w5_d303e3334
der	w7_d303e3337
von	w9_d303e3340
denen	w11_d303e3343
Her	w13_d303e3347
ren	w1_d303e3352
Generalen	w3_d303e3355
Jmhof	w5_d303e3358
und	w7_d303e3361
Zastrow	w9_d303e3364
mit	w11_d303e3367
denen	w13_d303e3371
Deputirten	w1_d303e3376
der	w3_d303e3379
Bistümer	w5_d303e3382
getroffenen	w7_d303e3385
Re	w9_d303e3388
partition,	w1_d303e3393
an	w3_d303e3396
die	w5_d303e3399
im	w7_d303e3402
Münsterischen,	w9_d303e3405
Os	w11_d303e3408
nabrück=Paderborn=Hildesheimischen,	w1_d303e3414
und	w3_d303e3417
im	w1_d303e3422
Herzogtum	w3_d303e3425
Westphalen,	w5_d303e3428
bestimmte	w7_d303e3431
Quar	w9_d303e3434
tiere.	w1_d303e3439
Zur	w3_d303e3442
Sicherheit	w5_d303e3445
derselben	w7_d303e3448
ist	w9_d303e3451
eine	w11_d303e3454
Postirung	w1_d303e3459
von	w3_d303e3462
der	w5_d303e3465
Holländischen	w7_d303e3468
Gränze	w9_d303e3471
bis	w1_d303e3477
Lippstadt	w3_d303e3480
angeordnet,	w5_d303e3483
welche	w7_d303e3486
ausser	w9_d303e3489
de	w11_d303e3492
nen	w1_d303e3497
leichten	w3_d303e3500
Trupen	w5_d303e3503
aus	w7_d303e3506
10.	w9_d303e3509
Escadrons	w11_d303e3512
und	w13_d303e3516
eben	w1_d303e3521
so	w3_d303e3524
vielen	w5_d303e3527
Bataillons	w7_d303e3530
besteht.	w9_d303e3533
Diese	w11_d303e3536
com	w13_d303e3540
mandiren	w1_d303e3545
Se.	w3_d303e3548
Durchleucht	w5_d303e3551
der	w7_d303e3554
Herr	w9_d303e3557
Erb	w11_d303e3560
prinz	w1_d303e3566
von	w3_d303e3569
Braunschweig,	w5_d303e3572
und	w7_d303e3575
haben	w9_d303e3578
die	w11_d303e3581
General=majors	w1_d303e3586
von	w3_d303e3589
Diepenbroick,	w5_d303e3592
von	w7_d303e3595
Wangenheim	w1_d303e3600
und	w3_d303e3603
von	w5_d303e3606
Bock	w7_d303e3609
unter	w9_d303e3612
sich.	w11_d303e3615
Zur	w13_d303e3619
Herbeyschaffung	w1_d303e3624
der	w3_d303e3627
den	w5_d303e3630
Weuter	w7_d303e3633
über	w9_d303e3636
nöh	w11_d303e3639
tigen	w1_d303e3645
Fourage	w3_d303e3648
und	w5_d303e3651
Provision	w7_d303e3654
müssen	w9_d303e3657
aus	w11_d303e3660
denen	w1_d303e3665
Bistümern	w3_d303e3668
starke	w5_d303e3671
Lieferungen	w7_d303e3674
gesche	w9_d303e3677
hen;	w1_d303e3682
für	w3_d303e3685
die	w5_d303e3688
Engländische	w7_d303e3691
Trupen	w9_d303e3694
aber	w11_d303e3697
ist	w13_d303e3701
in	w1_d303e3706
Bremen	w3_d303e3709
ein	w5_d303e3712
ansehnliches	w7_d303e3715
Magazin	w9_d303e3718
ange	w11_d303e3721
legt	w1_d303e3727
worden.	w3_d303e3730
Die	w5_d303e3733
schwere	w7_d303e3736
Artillerie	w9_d303e3739
der	w11_d303e3742
Armee,	w1_d303e3747
ist	w3_d303e3750
in	w5_d303e3753
das	w7_d303e3756
Hanauische	w9_d303e3759
abgeführt,	w11_d303e3762
dagegen	w1_d303e3767
aber	w3_d303e3770
sind	w5_d303e3773
lauter	w7_d303e3776
Canonen	w9_d303e3779
von	w11_d303e3782
ge	w13_d303e3786
ringem	w1_d303e3791
Calibre	w3_d303e3794
zurück	w5_d303e3797
gebracht	w7_d303e3800
worden.	w9_d303e3803
</p>
<p id="p12_d303e3807">
Das	w1_d303e3811
Jsenburgische	w3_d303e3814
Haupt=quartier,	w5_d303e3817
ist	w7_d303e3820
zwar	w1_d303e3825
noch	w3_d303e3828
zu	w5_d303e3831
Göttingen,	w7_d303e3834
alleine	w9_d303e3837
nach	w11_d303e3840
Brie	w13_d303e3844
fen	w1_d303e3849
vom	w3_d303e3852
26.	w5_d303e3855
November	w7_d303e3858
dörfte	w9_d303e3861
es	w11_d303e3864
von	w13_d303e3868
da	w15_d303e3871
thestens	w1_d303e3877
weiter	w3_d303e3880
gebracht	w5_d303e3883
werden.	w7_d303e3886
Den	w9_d303e3889
16.	w11_d303e3892
und	w1_d303e3897
18.	w3_d303e3900
sollen	w5_d303e3903
die	w7_d303e3906
Städte	w9_d303e3909
Münden	w11_d303e3912
und	w13_d303e3916
Wi	w15_d303e3919
tzenhausen,	w1_d303e3924
nachdem	w3_d303e3927
der	w5_d303e3930
Heßische	w7_d303e3933
Hussaren	w9_d303e3936
obrist	w1_d303e3941
von	w3_d303e3944
Schlottheim	w5_d303e3947
mit	w7_d303e3950
seinem	w9_d303e3953
Corpo	w11_d303e3956
und	w1_d303e3962
einer	w3_d303e3965
kleinen	w5_d303e3968
Anzahl	w7_d303e3971
Jnfanterie	w9_d303e3974
und	w11_d303e3977
Cavallerie	w1_d303e3982
davor	w3_d303e3985
gerücket,	w5_d303e3988
von	w7_d303e3991
denen	w9_d303e3994
Fran	w11_d303e3997
zosen	w1_d303e4002
evacuirt	w3_d303e4005
worden	w5_d303e4008
seyn.	w7_d303e4011
Die	w9_d303e4014
Strassen	w11_d303e4017
und	w1_d303e4022
Plätze	w3_d303e4025
von	w5_d303e4028
Göttingen,	w7_d303e4031
sind,	w9_d303e4034
seitdem	w11_d303e4037
das	w1_d303e4043
Haupt=quartier	w3_d303e4046
allda	w5_d303e4049
ist,	w7_d303e4052
mit	w9_d303e4055
Bauer	w11_d303e4058
wägen	w1_d303e4063
angesüllt,	w3_d303e4066
