<doc id="wr_1759-01-10" attrs="word" year="1759" month="01" day="10" corpus="2">
<head id="h2_d312e2914">
Culmbach	w1_d312e2918
24.	w3_d312e2921
December	w5_d312e2924
1758.	w7_d312e2927
</head>
<p id="p4_d312e2930">
Die	w1_d312e2934
Französische	w3_d312e2937
Trupen	w5_d312e2940
haben	w7_d312e2943
seyn.	w1_d312e2948
zwar	w1_d312e2953
die	w3_d312e2956
Stadt	w5_d312e2959
Marburg	w7_d312e2962
evacuirt;	w9_d312e2965
allein	w11_d312e2968
auf	w1_d312e2974
dem	w3_d312e2977
Schloße	w5_d312e2980
eine	w7_d312e2983
hinlängliche	w9_d312e2986
Besa	w11_d312e2989
tzung	w1_d312e2994
zurück	w3_d312e2997
gelassen.	w5_d312e3000
Diese	w7_d312e3003
Stadt	w9_d312e3006
muste	w11_d312e3009
ausser	w1_d312e3014
dene	w3_d312e3017
bereits	w5_d312e3020
bezahlten	w7_d312e3023
50000.	w9_d312e3026
Rthlrn.	w11_d312e3029
vor	w1_d312e3034
dem	w3_d312e3037
Abzug	w5_d312e3040
noch	w7_d312e3043
12000.	w9_d312e3046
entrichten,	w11_d312e3049
und	w1_d312e3055
soll	w3_d312e3058
der	w5_d312e3061
sogenannte	w7_d312e3064
Ebsdorfer	w9_d312e3067
Grund	w11_d312e3070
Hessen=caßlischen	w1_d312e3075
Gebiets	w3_d312e3078
vieles	w5_d312e3081
gelitten	w7_d312e3084
ha	w9_d312e3087
ben.	w1_d312e3092
Aus	w3_d312e3095
Mangel	w5_d312e3098
des	w7_d312e3101
Viehes	w9_d312e3104
und	w11_d312e3107
Fou	w13_d312e3111
rage	w1_d312e3116
bleiben	w3_d312e3119
viele	w5_d312e3122
Aecker	w7_d312e3125
ungebaut.	w9_d312e3128
Jm	w11_d312e3131
Hanöverischen	w1_d312e3137
werden	w3_d312e3140
die	w5_d312e3143
Werbungen	w7_d312e3146
im	w9_d312e3149
mer	w1_d312e3154
fortgesetzet,	w3_d312e3157
und	w5_d312e3160
erst	w7_d312e3163
kürzlich	w9_d312e3166
sind	w11_d312e3169
200.	w13_d312e3173
zum	w1_d312e3178
Lücknerischen	w3_d312e3181
und	w5_d312e3184
100.	w7_d312e3187
Mann	w9_d312e3190
zum	w11_d312e3193
Freytägischen	w1_d312e3198
Jäger	w3_d312e3201
und	w5_d312e3204
Hussaren=corps	w7_d312e3207
abgegangen.	w1_d312e3213
</p>
<p id="p6_d312e3216">
Der	w1_d312e3220
Herzoglich=mecklenburgische	w3_d312e3223
Gesand	w5_d312e3226
te,	w1_d312e3231
Herr	w3_d312e3234
Baron	w5_d312e3237
von	w7_d312e3240
Teufel,	w9_d312e3243
hat	w11_d312e3246
eine	w13_d312e3250
in	w15_d312e3253
5.	w17_d312e3256
Bögen	w1_d312e3261
bestehende,	w3_d312e3264
beglaubte	w5_d312e3267
Antwort	w7_d312e3270
auf	w9_d312e3273
das,	w1_d312e3279
von	w3_d312e3282
der	w5_d312e3285
Chur=brandenburgischen	w7_d312e3288
Co	w9_d312e3291
</p>
<head id="h2_d312e3297">
Regenspurg	w1_d312e3301
21.	w3_d312e3304
December	w5_d312e3307
1758.	w7_d312e3310
</head>
<p id="p8_d312e3323">
mitial=gesandtschaft	w1_d312e3327
unterm	w3_d312e3330
19.	w5_d312e3333
Oct.	w7_d312e3336
c.	w9_d312e3339
a.	w11_d312e3342
bekannt	w1_d312e3347
gemachte	w3_d312e3350
Pro	w5_d312e3353
Memoria,	w7_d312e3356
die	w9_d312e3359
Kö	w11_d312e3362
nigl.	w1_d312e3367
Preußische	w3_d312e3370
Ueberziehung	w5_d312e3373
der	w7_d312e3376
Herzoglich	w9_d312e3379
Mecklenburgischen	w1_d312e3385
Lande	w3_d312e3388
betreffend	w5_d312e3391
mit	w1_d312e3396
Beylagen	w1_d312e3401
von	w3_d312e3404
Nro.	w5_d312e3407
1.	w7_d312e3410
bis	w9_d312e3413
Nro.	w11_d312e3416
10.,	w13_d312e3420
ad	w15_d312e3423
ædes	w1_d312e3428
Legatorum	w3_d312e3431
austheilen	w5_d312e3434
lassen.	w7_d312e3437
Die	w1_d312e3443
in	w1_d312e3448
diesem	w3_d312e3451
Chur=brandenburgischen	w5_d312e3454
Gesandt	w7_d312e3457
schafts	w1_d312e3462
Pro	w3_d312e3465
Memoria,	w5_d312e3468
dem	w7_d312e3471
Herrn	w9_d312e3474
Herzo	w11_d312e3477
gen	w1_d312e3482
zu	w3_d312e3485
Mecklenburg	w5_d312e3488
gemachte	w7_d312e3491
Vorwürfe:	w9_d312e3494
1)	w1_d312e3500
Daß	w3_d312e3503
Se.	w5_d312e3506
Durchl.	w7_d312e3509
der	w9_d312e3512
Herzog	w11_d312e3515
zu	w13_d312e3519
Meck	w15_d312e3522
lenburg,	w1_d312e3527
ein	w3_d312e3530
feindseliges	w5_d312e3533
und	w7_d312e3536
Hausvertrag	w9_d312e3539
widriges	w1_d312e3544
Betragen	w3_d312e3547
gegen	w5_d312e3550
Se.	w7_d312e3553
Majestät	w9_d312e3556
dem	w1_d312e3561
König	w3_d312e3564
erwiesen.	w5_d312e3567
2.)	w7_d312e3570
Daß	w9_d312e3573
die	w11_d312e3576
Herzo	w13_d312e3580
gliche	w1_d312e3586
Ratification	w3_d312e3589
über	w5_d312e3592
den	w7_d312e3595
unterm	w9_d312e3598
1.	w11_d312e3601
Aug.	w13_d312e3605
1756.	w1_d312e3610
zwischen	w3_d312e3613
beyderseits	w5_d312e3616
bevollmächtig	w7_d312e3619
ten	w1_d312e3624
Comitial=gesandten	w3_d312e3627
der	w5_d312e3630
WerbungsJr	w7_d312e3633
ringen	w1_d312e3638
halber,	w3_d312e3641
getroffenen	w5_d312e3644
Vergleich,	w7_d312e3647
er	w9_d312e3650
mangle.	w1_d312e3656
3.)	w3_d312e3659
Daß	w5_d312e3662
die	w7_d312e3665
Königlicher	w9_d312e3668
Seits	w11_d312e3671
gesuchte	w1_d312e3676
Freyheit	w3_d312e3679
der	w5_d312e3682
Korn=ausfuhr	w7_d312e3685
aus	w9_d312e3688
dem	w11_d312e3691
Mecklenburgischen,	w1_d312e3696
auf	w3_d312e3699
die	w5_d312e3702
unfreundlichste	w7_d312e3705
Art	w1_d312e3710
abgeschlagen	w3_d312e3713
worden.	w5_d312e3716
4)	w7_d312e3719
Daß	w9_d312e3722
man	w11_d312e3725
hingegen	w1_d312e3731
der	w3_d312e3734
Königl.	w5_d312e3737
Schwedischen	w7_d312e3740
Armee	w9_d312e3743
Mecklenburgischer	w1_d312e3748
Seits,	w3_d312e3751
besonders	w5_d312e3754
mit	w7_d312e3757
Korn,	w1_d312e3762
allen	w3_d312e3765
Vorschub	w5_d312e3768
geleistet.	w7_d312e3771
5)	w9_d312e3774
Daß	w11_d312e3777
Se.	w1_d312e3782
Durchleucht	w3_d312e3785
der	w5_d312e3788
Herzog,	w7_d312e3791
Jhre	w9_d312e3794
Reichs	w11_d312e3797
fürstliche	w1_d312e3803
Stimmen	w3_d312e3806
bey	w5_d312e3809
der	w7_d312e3812
Reichsversamm	w9_d312e3815
lung	w1_d312e3820
gegen	w3_d312e3823
die	w5_d312e3826
Königliche	w7_d312e3829
Absicht	w9_d312e3832
ausfal	w11_d312e3835
len	w1_d312e3840
lassen,	w3_d312e3843
und	w5_d312e3846
6)	w7_d312e3849
Daß	w9_d312e3852
Sie	w11_d312e3855
mit	w13_d312e3859
der	w15_d312e3862
Crone	w17_d312e3865
Frankreich	w1_d312e3870
gegen	w3_d312e3873
Se.	w5_d312e3876
Majestät,	w7_d312e3879
dem	w9_d312e3882
König	w11_d312e3885
in	w1_d312e3891
Preußen,	w3_d312e3894
feindliche	w5_d312e3897
Verbindungen	w7_d312e3900
getrof	w9_d312e3903
fen;	w1_d312e3908
hat	w3_d312e3911
man	w5_d312e3914
kürzlich,	w7_d312e3917
doch	w9_d312e3920
überzeugend	w11_d312e3923
beantwortet,	w1_d312e3928
und	w3_d312e3931
gezeiget,	w5_d312e3934
daß	w7_d312e3937
jenes	w9_d312e3940
Pro	w11_d312e3943
Memoria	w1_d312e3948
nicht	w3_d312e3951
die	w5_d312e3954
geringste	w7_d312e3957
widrige	w9_d312e3960
Wür	w11_d312e3963
kung	w1_d312e3969
gegen	w3_d312e3972
Se.	w5_d312e3975
Durchleucht,	w7_d312e3978
den	w9_d312e3981
Herzog	w11_d312e3984
zu	w1_d312e3989
Mecklenburg	w3_d312e3992
nach	w5_d312e3995
sich	w7_d312e3998
zu	w9_d312e4001
ziehen	w11_d312e4004
fähig;	w13_d312e4008
daß	w1_d312e4013
es	w3_d312e4016
Sr.	w5_d312e4019
Majestät	w7_d312e4022
des	w9_d312e4025
Königs	w11_d312e4028
eigenem	w13_d312e4032
Ruhm,	w1_d312e4037
und	w3_d312e4040
gar	w5_d312e4043
Jhren	w7_d312e4046
eigenen	w9_d312e4049
Grundsä	w11_d312e4052
tzen	w1_d312e4058
entgegen	w3_d312e4061
seye;	w5_d312e4064
daß	w7_d312e4067
Se.	w9_d312e4070
Majestät	w11_d312e4073
der	w13_d312e4077
König,	w1_d312e4082
des	w3_d312e4085
an	w5_d312e4088
Mecklenburg	w7_d312e4091
gebrochenen	w9_d312e4094
Land=friedens,	w1_d312e4099
sich	w3_d312e4102
selbst	w5_d312e4105
schuldig	w7_d312e4108
erkennet,	w9_d312e4111
und	w1_d312e4116
daß	w3_d312e4119
es	w5_d312e4122
vielleicht	w7_d312e4125
die	w9_d312e4128
ganze	w11_d312e4131
Reichsver	w13_d312e4135
sammlung	w1_d312e4141
auf	w3_d312e4144
das	w5_d312e4147
unveranlassete	w7_d312e4150
harte	w9_d312e4153
.	w1_d312e4158
</p>
<p id="p10_d312e4161">
Schicksal	w1_d312e4165
des	w3_d312e4168
Herzogs	w5_d312e4171
von	w7_d312e4174
Mecklenburg,	w9_d312e4177
desto	w1_d312e4182
aufmerksamer	w3_d312e4185
machen	w5_d312e4188
werde.	w7_d312e4191
</p>
<head id="h2_d312e4199">
Warschau	w1_d312e4203
22.	w3_d312e4206
December	w5_d312e4209
1758.	w7_d312e4212
</head>
<p id="p4_d312e4215">
Von	w1_d312e4219
denen	w3_d312e4222
Königl.	w5_d312e4225
Pohlnischen	w7_d312e4228
und	w9_d312e4231
Chur	w11_d312e4234
fürstl.	w1_d312e4239
Sächsischen	w3_d312e4242
Herren	w5_d312e4245
Ministern,	w7_d312e4248
wel	w9_d312e4251
che	w1_d312e4256
auf	w3_d312e4259
Befehl	w5_d312e4262
Sr.	w7_d312e4265
Königl.	w9_d312e4268
Majestät	w11_d312e4271
von	w13_d312e4275
