<doc id="wr_1759-01-20" attrs="word" year="1759" month="01" day="20" corpus="2">
<head id="h2_d315e2754">
Prag	w1_d315e2758
13.	w3_d315e2761
Januarii.	w5_d315e2764
</head>
<p id="p4_d315e2767">
ie	w1_d315e2771
Kaiserl.	w3_d315e2774
Königl.	w5_d315e2777
Armee	w7_d315e2780
erhält	w9_d315e2783
in	w11_d315e2786
ihren	w1_d315e2791
Quartieren	w3_d315e2794
im	w5_d315e2797
Königreich	w7_d315e2800
Böhmen	w1_d315e2807
von	w3_d315e2810
Zeit	w5_d315e2813
zu	w7_d315e2816
Zeit,	w9_d315e2819
die	w11_d315e2822
an	w13_d315e2826
sehnlichsten	w1_d315e2832
Recruten=transports	w3_d315e2835
und	w5_d315e2838
so	w7_d315e2841
wol	w1_d315e2846
hier,	w3_d315e2849
als	w5_d315e2852
in	w7_d315e2855
anderen	w9_d315e2858
Städten	w11_d315e2861
wird	w13_d315e2865
an	w15_d315e2868
Montirungs=stücken	w1_d315e2873
unverändert	w3_d315e2876
gearbei	w5_d315e2879
tet.	w1_d315e2884
Der	w3_d315e2887
Herr	w5_d315e2890
General=feld=marschall=leutenant	w7_d315e2893
v.	w1_d315e2899
Beck	w3_d315e2902
hat	w5_d315e2905
den	w7_d315e2908
Postirungs=cordon	w9_d315e2911
zwischen	w11_d315e2914
dem	w1_d315e2919
Riesen	w3_d315e2922
Gebürge	w5_d315e2925
und	w7_d315e2928
Namburg,	w9_d315e2931
er	w11_d315e2934
selbst	w13_d315e2938
aber	w1_d315e2943
stehet	w3_d315e2946
zu	w5_d315e2949
Gabel.	w7_d315e2952
Das	w9_d315e2955
Corpo,	w11_d315e2958
welches	w13_d315e2962
dieser	w1_d315e2967
General	w3_d315e2970
commandirt,	w5_d315e2973
ist	w7_d315e2976
18000.	w9_d315e2979
Mann	w1_d315e2985
stark,	w3_d315e2988
und	w5_d315e2991
es	w7_d315e2994
befinden	w9_d315e2997
sich	w11_d315e3000
bey	w13_d315e3004
dem	w15_d315e3007
selben,	w1_d315e3012
die	w3_d315e3015
Jnfanterie=regimenter	w5_d315e3018
Platz,	w7_d315e3021
Teutschmeister,	w1_d315e3026
Pallavicini	w3_d315e3029
und	w5_d315e3032
Bayreuth	w7_d315e3035
von	w1_d315e3040
der	w3_d315e3043
Cavallerie	w5_d315e3046
aber	w7_d315e3049
Portugal	w9_d315e3052
und	w11_d315e3055
Al	w13_d315e3059
than,	w1_d315e3065
auch	w3_d315e3068
stehen	w5_d315e3071
in	w7_d315e3074
dieser	w9_d315e3077
Gegend	w11_d315e3080
noch	w13_d315e3084
2.	w15_d315e3087
Sclavonische	w1_d315e3092
Jnfanterie	w3_d315e3095
und	w5_d315e3098
2.	w7_d315e3101
Hussaren	w9_d315e3104
regimenter.	w1_d315e3109
Des	w1_d315e3114
Herrn	w3_d315e3117
Generals	w5_d315e3120
von	w7_d315e3123
Beck,	w1_d315e3129
5.	w3_d315e3132
Posten	w5_d315e3135
erstreken	w7_d315e3138
sich	w9_d315e3141
vorwärts	w11_d315e3144
bis	w13_d315e3148
</p>
<p id="p6_d315e3151">
