<doc id="wr_1759-02-10" attrs="word" year="1759" month="02" day="10" corpus="2">
<head id="h2_d321e3155">
Haag	w1_d321e3159
22.	w3_d321e3162
Januarii.	w5_d321e3165
</head>
<p id="p4_d321e3168">
Vorgestern	w1_d321e3172
legten	w3_d321e3175
die	w5_d321e3178
Staaten	w7_d321e3181
von	w9_d321e3184
Utrecht	w1_d321e3189
durch	w3_d321e3192
eigends	w5_d321e3195
hieher	w7_d321e3198
gesandte	w9_d321e3201
Deputirte	w1_d321e3206
die	w3_d321e3209
Condolenz	w5_d321e3212
bey	w7_d321e3215
dem	w9_d321e3218
Herrn	w1_d321e3224
Statthalter	w3_d321e3227
und	w5_d321e3230
der	w7_d321e3233
Prinzeßin	w9_d321e3236
Ca	w11_d321e3239
rolina	w1_d321e3244
ab,	w3_d321e3247
und	w5_d321e3250
begaben	w7_d321e3253
sich	w9_d321e3256
die	w11_d321e3259
Herren	w13_d321e3263
De	w15_d321e3266
putirten	w1_d321e3271
sodann	w3_d321e3274
in	w5_d321e3277
das	w7_d321e3280
Hotel	w9_d321e3283
des	w11_d321e3286
Prinzen	w13_d321e3290
von	w1_d321e3295
Braunschweig,	w3_d321e3298
um	w5_d321e3301
von	w7_d321e3304
Sr.	w9_d321e3307
Durchl.	w11_d321e3310
den	w1_d321e3316
Eid	w3_d321e3319
als	w5_d321e3322
Repräsentant	w7_d321e3325
des	w9_d321e3328
Herrn	w11_d321e3331
Statt	w13_d321e3335
halters,	w1_d321e3340
in	w3_d321e3343
seiner	w5_d321e3346
Würde	w7_d321e3349
als	w9_d321e3352
Generalca	w11_d321e3355
pitain,	w1_d321e3360
abzunehmen.	w3_d321e3363
Die	w5_d321e3366
Acte	w7_d321e3369
der	w9_d321e3372
jüngst	w11_d321e3375
verstorbenen	w1_d321e3380
Frau	w3_d321e3383
Gouvernantin	w5_d321e3386
ist	w7_d321e3389
nicht	w9_d321e3392
kürzlich,	w1_d321e3398
sondern	w3_d321e3401
bereits	w5_d321e3404
den	w7_d321e3407
12.	w9_d321e3410
May	w11_d321e3413
1755.	w13_d321e3417
gezeichnet,	w1_d321e3422
aber	w3_d321e3425
erst	w5_d321e3428
den	w7_d321e3431
Tag	w9_d321e3434
nach	w11_d321e3437
Dero	w13_d321e3441
Hintritt	w1_d321e3446
eröfnet	w3_d321e3449
worden.	w5_d321e3452
</p>
<p id="p6_d321e3455">
Seit	w1_d321e3459
kurzem	w3_d321e3462
ist	w5_d321e3465
alhier	w7_d321e3468
folgendes	w9_d321e3471
Schrei	w11_d321e3474
ben	w1_d321e3479
von	w3_d321e3482
Londen	w5_d321e3485
nicht	w7_d321e3488
ohne	w9_d321e3491
grosser	w11_d321e3494
Absicht	w13_d321e3498
ausgebreitet	w1_d321e3503
worden:	w3_d321e3506
</p>
<p id="p8_d321e3509">
Jch	w1_d321e3513
schmeichle	w3_d321e3516
mit,	w5_d321e3519
daß	w7_d321e3522
die	w9_d321e3525
Nachricht,	w11_d321e3528
die	w1_d321e3533
ich	w3_d321e3536
ihnen	w5_d321e3539
heute	w7_d321e3542
anzukündigen	w9_d321e3545
habe,	w11_d321e3548
ih	w13_d321e3552
</p>
<p id="p10_d321e3555">
nen	w1_d321e3559
nicht	w3_d321e3562
unangenehm	w5_d321e3565
fallen	w7_d321e3568
werde,	w9_d321e3571
daß	w11_d321e3574
nämlich	w1_d321e3579
der	w3_d321e3582
König	w5_d321e3585
so	w7_d321e3588
eben	w9_d321e3591
Befehl	w11_d321e3594
gestellet,	w13_d321e3598
alle	w1_d321e3603
von	w3_d321e3606
Surinam,	w5_d321e3609
Berbices	w7_d321e3612
und	w9_d321e3615
Jsequebo	w11_d321e3618
gekommene	w1_d321e3624
Schiffe,	w3_d321e3627
nebst	w5_d321e3630
denenjenigen,	w7_d321e3633
wel	w9_d321e3636
che	w1_d321e3641
eben	w3_d321e3644
so	w5_d321e3647
wenigem	w7_d321e3650
Zweifel	w9_d321e3653
als	w11_d321e3656
diese	w13_d321e3660
un	w15_d321e3663
terworfen	w1_d321e3668
sind,	w3_d321e3671
nach	w5_d321e3674
gewöhnlicher	w7_d321e3677
Unter	w9_d321e3680
suchung	w1_d321e3685
frey	w3_d321e3688
zu	w5_d321e3691
lassen,	w7_d321e3694
und	w9_d321e3697
die	w11_d321e3700
Eigentümer	w13_d321e3704
dieser	w1_d321e3710
Colonien	w3_d321e3713
können	w5_d321e3716
versichert	w7_d321e3719
seyn,	w9_d321e3722
daß	w11_d321e3725
die	w1_d321e3730
ganze	w3_d321e3733
Engländische	w5_d321e3736
Nation	w7_d321e3739
die	w9_d321e3742
Zunahme	w11_d321e3745
ihrer	w1_d321e3750
Handlung	w3_d321e3753
und	w5_d321e3756
Schiffahrt	w7_d321e3759
mit	w9_d321e3762
Ver	w11_d321e3765
gnügen	w1_d321e3770
wahrnehmen	w3_d321e3773
werde;	w5_d321e3776
allein	w7_d321e3779
dieselbe	w9_d321e3782
kan	w1_d321e3788
auch	w3_d321e3791
nicht	w5_d321e3794
glauben,	w7_d321e3797
daß	w9_d321e3800
sie	w11_d321e3803
das	w13_d321e3807
Bestre	w15_d321e3810
ben	w1_d321e3815
von	w3_d321e3818
England,	w5_d321e3821
die	w7_d321e3824
allzugrosse	w9_d321e3827
Ueberle	w11_d321e3830
genheit	w1_d321e3835
der	w3_d321e3838
Französischen	w5_d321e3841
Jnsuln	w7_d321e3844
herabzu	w9_d321e3847
setzen,	w1_d321e3852
mit	w3_d321e3855
scheelen	w5_d321e3858
Augen	w7_d321e3861
ansehen	w9_d321e3864
werden.	w11_d321e3867
Man	w1_d321e3873
hält	w3_d321e3876
sich	w5_d321e3879
berechtiget,	w7_d321e3882
währendem	w9_d321e3885
Krieg	w11_d321e3888
darauf	w1_d321e3893
bedacht	w3_d321e3896
zu	w5_d321e3899
seyn,	w7_d321e3902
und	w9_d321e3905
man	w11_d321e3908
muß	w13_d321e3912
uns	w15_d321e3915
eins	w1_d321e3920
und	w3_d321e3923
das	w5_d321e3926
andere	w7_d321e3929
zu	w9_d321e3932
gut	w11_d321e3935
halten,	w13_d321e3939
wann	w15_d321e3942
wir	w1_d321e3947
uns	w3_d321e3950
nur,	w5_d321e3953
in	w7_d321e3956
Verfolgung	w9_d321e3959
dieses	w11_d321e3962
Rechtes,	w13_d321e3966
nicht	w1_d321e3972
einbilden,	w3_d321e3975
es	w5_d321e3978
jedermann	w7_d321e3981
nach	w9_d321e3984
Wunsch	w11_d321e3987
</p>
<p id="p16_d321e4001">
machen	w1_d321e4005
zu	w3_d321e4008
können;	w5_d321e4011
die	w7_d321e4014
Reitzung	w9_d321e4017
eines	w11_d321e4020
zeit	w13_d321e4024
lichen	w1_d321e4029
Gewinns	w3_d321e4032
kan	w5_d321e4035
zwar	w7_d321e4038
gewisse	w9_d321e4041
einzelne	w11_d321e4044
Personen	w1_d321e4049
an	w3_d321e4052
sich	w5_d321e4055
ziehen,	w7_d321e4058
aber	w9_d321e4061
dieselbe	w11_d321e4064
kan	w13_d321e4068
mit	w1_d321e4074
dem	w3_d321e4077
Jnteresse	w5_d321e4080
der	w7_d321e4083
Nationen	w9_d321e4086
niemals	w11_d321e4089
auf	w1_d321e4094
einer	w3_d321e4097
Waage	w5_d321e4100
zugleich	w7_d321e4103
abgewogen	w9_d321e4106
werden.	w11_d321e4109
Jch	w1_d321e4114
