<doc id="wr_1759-03-10" attrs="word" year="1759" month="03" day="10" corpus="2">
<head id="h2_d329e3434">
Münden	w1_d329e3438
22.	w3_d329e3441
Februarii.	w5_d329e3444
</head>
<p id="p4_d329e3447">
Die	w1_d329e3451
Kaiserl.	w3_d329e3454
Königl.	w5_d329e3457
und	w7_d329e3460
Reichstru	w9_d329e3463
)pen	w1_d329e3468
stehen	w3_d329e3471
kaum	w5_d329e3474
6.	w7_d329e3477
bis	w9_d329e3480
7.	w11_d329e3483
Meilen	w13_d329e3487
von	w1_d329e3492
Cassel	w3_d329e3495
entfernet,	w5_d329e3498
und	w7_d329e3501
ausser	w9_d329e3504
der	w11_d329e3507
Herrschaft	w1_d329e3513
Schmalkalden,	w3_d329e3516
haben	w5_d329e3519
sie	w7_d329e3522
auch	w9_d329e3525
die	w1_d329e3530
Heßischen	w3_d329e3533
Aemter	w5_d329e3536
Friedewald,	w7_d329e3539
Landeck	w9_d329e3542
und	w1_d329e3547
das	w3_d329e3550
Fürstentum	w5_d329e3553
Hersfeld	w7_d329e3556
occupirt.	w9_d329e3559
Tausend	w1_d329e3564
Grenadiers	w3_d329e3567
und	w5_d329e3570
400.	w7_d329e3573
Splenische	w9_d329e3576
Hussaren	w1_d329e3582
haben	w3_d329e3585
bereits	w5_d329e3588
am	w7_d329e3591
9.	w9_d329e3594
der	w11_d329e3597
Stadt	w13_d329e3601
Hirschfeld	w1_d329e3606
sich	w3_d329e3609
bemächtiget.	w5_d329e3612
Die	w7_d329e3615
Regimen	w9_d329e3618
ter	w1_d329e3623
Trautmansdorf,	w3_d329e3626
Bretlach,	w5_d329e3629
und	w7_d329e3632
Sa	w9_d329e3635
voyen	w1_d329e3640
stehen	w3_d329e3643
im	w5_d329e3646
Fuldischen,	w7_d329e3649
alleine	w9_d329e3652
man	w11_d329e3655
weiß	w1_d329e3661
noch	w3_d329e3664
nicht,	w5_d329e3667
ob	w7_d329e3670
sie	w9_d329e3673
gleichfals	w11_d329e3676
nach	w13_d329e3680
dem	w15_d329e3683
Heßischen	w1_d329e3688
marschiren	w3_d329e3691
werden;	w5_d329e3694
hingegen	w7_d329e3697
ver	w9_d329e3700
sichert	w1_d329e3705
man,	w3_d329e3708
daß	w5_d329e3711
2000.	w7_d329e3714
Panduren	w9_d329e3717
aus	w11_d329e3720
dem	w13_d329e3724
Coburgischen	w1_d329e3729
dahin	w3_d329e3732
auf	w5_d329e3735
dem	w7_d329e3738
Marsche	w9_d329e3741
sind.	w11_d329e3744
Da	w1_d329e3750
die	w3_d329e3753
Rede	w5_d329e3756
gehet,	w7_d329e3759
es	w9_d329e3762
wäre	w11_d329e3765
der	w13_d329e3769
Obrist	w15_d329e3772
Fi	w17_d329e3775
scher	w1_d329e3780
mit	w3_d329e3783
seinem	w5_d329e3786
Corps	w7_d329e3789
in	w9_d329e3792
Marburg	w11_d329e3795
wie	w13_d329e3799
der	w1_d329e3804
eingerückt,	w3_d329e3807
so	w5_d329e3810
ist	w7_d329e3813
zu	w9_d329e3816
Cassel	w11_d329e3819
alles	w13_d329e3823
in	w15_d329e3826
Bewegung,	w1_d329e3831
und	w3_d329e3834
den	w5_d329e3837
12.	w7_d329e3840
hat	w9_d329e3843
man	w11_d329e3846
alle	w13_d329e3850
Krauke	w1_d329e3856
und	w3_d329e3859
was	w5_d329e3862
bey	w7_d329e3865
der	w9_d329e3868
Heßischen	w11_d329e3871
Armee	w13_d329e3875
</p>
<p id="p6_d329e3878">
überflüßig	w1_d329e3882
ist,	w3_d329e3885
nach	w5_d329e3888
Carlshafen	w7_d329e3891
an	w9_d329e3894
der	w11_d329e3897
Weser	w1_d329e3902
geschaft.	w3_d329e3905
Verschiedene	w5_d329e3908
Regimenter	w7_d329e3911
von	w1_d329e3916
dem	w3_d329e3919
Prinz	w5_d329e3922
Jsenburgischen	w7_d329e3925
Corps	w9_d329e3928
ha	w11_d329e3931
ben	w1_d329e3937
sich	w3_d329e3940
nach	w5_d329e3943
Rotenburg	w7_d329e3946
um	w9_d329e3949
dem	w11_d329e3952
Werra	w13_d329e3956
strom	w1_d329e3961
gezogen,	w3_d329e3964
um	w5_d329e3967
die	w7_d329e3970
Kaiserl.	w9_d329e3973
Königl.	w11_d329e3976
und	w13_d329e3980
Reichs=trupen	w1_d329e3985
zu	w3_d329e3988
beobachten.	w5_d329e3991
Der	w7_d329e3994
Prinz	w9_d329e3997
von	w11_d329e4000
Jsenburg	w1_d329e4005
hat	w3_d329e4008
einstweilen	w5_d329e4011
von	w7_d329e4014
Fritzlar	w9_d329e4017
sein	w11_d329e4020
Haupt=quartier	w1_d329e4026
nach	w3_d329e4029
Homburg	w5_d329e4032
verlegt,	w7_d329e4035
und	w1_d329e4040
man	w3_d329e4043
versichert,	w5_d329e4046
daß	w7_d329e4049
in	w9_d329e4052
wenig	w11_d329e4055
Tagen	w13_d329e4059
Se.	w1_d329e4064
Durchl.	w3_d329e4067
der	w5_d329e4070
Herr	w7_d329e4073
Erb=prinz	w9_d329e4076
von	w11_d329e4079
Braun	w13_d329e4083
schweig	w1_d329e4088
mit	w3_d329e4091
einer	w5_d329e4094
ansehnlichen	w7_d329e4097
Verstärkung	w9_d329e4100
zu	w1_d329e4106
ihm	w3_d329e4109
stossen,	w5_d329e4112
und	w7_d329e4115
dieses	w9_d329e4118
Corps	w11_d329e4121
bis	w13_d329e4125
auf	w15_d329e4128
20000.	w1_d329e4133
Mann	w3_d329e4136
verstärken	w5_d329e4139
würden.	w7_d329e4142
Die	w9_d329e4145
ganze	w1_d329e4150
Heßische	w3_d329e4153
Armee	w5_d329e4156
wird	w7_d329e4159
ehestens	w9_d329e4162
nach	w11_d329e4165
Cassel	w1_d329e4170
zu	w3_d329e4173
stehen	w5_d329e4176
kommen,	w7_d329e4179
um	w9_d329e4182
allen	w11_d329e4185
Anse	w13_d329e4189
hen	w1_d329e4195
nach	w3_d329e4198
diese	w5_d329e4201
Residenz=stadt	w7_d329e4204
gegen	w9_d329e4207
jeden	w11_d329e4210
Uberfall	w1_d329e4215
zu	w3_d329e4218
decken.	w5_d329e4221
Zu	w7_d329e4224
diesem	w9_d329e4227
Ende	w11_d329e4230
wird	w13_d329e4234
ein	w1_d329e4239
Lager	w3_d329e4242
und	w5_d329e4245
ein	w7_d329e4248
grosses	w9_d329e4251
Magazin	w11_d329e4254
errich	w13_d329e4258
tet,	w1_d329e4263
und	w3_d329e4266
die	w5_d329e4269
von	w7_d329e4272
denen	w9_d329e4275
Franzosen	w11_d329e4278
zurück	w13_d329e4282
gelassene	w1_d329e4288
Back=öfen	w3_d329e4291
in	w5_d329e4294
brauchbaren	w7_d329e4297
Stand	w9_d329e4300
</p>
<p id="p12_d329e4314">
gesetzet.	w1_d329e4318
Den	w3_d329e4321
15.	w5_d329e4324
hat	w7_d329e4327
man	w9_d329e4330
auch	w11_d329e4333
zu	w13_d329e4337
besse	w15_d329e4340
rer	w1_d329e4345
Communication	w3_d329e4348
unterhalb	w5_d329e4351
Cassel	w7_d329e4354
eine	w9_d329e4357
Schif=brücke	w1_d329e4362
über	w3_d329e4365
die	w5_d329e4368
Fulde	w7_d329e4371
geschlagen.	w9_d329e4374
Mit	w1_d329e4380
denen	w3_d329e4383
Recrutirungen	w5_d329e4386
wird	w7_d329e4389
unermüdet	w9_d329e4392
fortgefahren,	w1_d329e4397
und	w3_d329e4400
sollen	w5_d329e4403
die	w7_d329e4406
Heßischen	w9_d329e4409
Jä	w11_d329e4412
ger	w1_d329e4417
noch	w3_d329e4420
mit	w5_d329e4423
200.	w7_d329e4426
die	w9_d329e4429
Hussaren	w11_d329e4432
aber	w13_d329e4436
mit	w15_d329e4439
120.	w1_d329e4444
Mann	w3_d329e4447
vermehret	w5_d329e4450
werden.	w7_d329e4453
</p>
<p id="p14_d329e4456">
Die	w1_d329e4460
Kreis=trupen	w3_d329e4463
haben	w5_d329e4466
Schmalkalden	w7_d329e4469
und	w1_d329e4474
die	w3_d329e4477
dasigen	w5_d329e4480
Orte	w7_d329e4483
noch	w9_d329e4486
besetzet,	w11_d329e4489
ihre	w13_d329e4493
Trupen	w15_d329e4496
verstärken	w1_d329e4501
sich	w3_d329e4504
auch	w5_d329e4507
zu	w7_d329e4510
Vacha	w9_d329e4513
und	w11_d329e4516
Hersfeld,	w13_d329e4520
und	w1_d329e4526
ihr	w3_d329e4529
Cordon	w5_d329e4532
wird	w7_d329e4535
sich	w9_d329e4538
nächstens	w11_d329e4541
mit	w13_d329e4545
dem	w15_d329e4548
Soubisischen	w1_d329e4553
vereinigen.	w3_d329e4556
Damit	w5_d329e4559
sie	w7_d329e4562
nicht	w9_d329e4565
weiter	w1_d329e4570
vordringen,	w3_d329e4573
hat	w5_d329e4576
man	w7_d329e4579
ein	w9_d329e4582
Corps	w11_d329e4585
von	w13_d329e4589
5000.	w1_d329e4594
Mann,	w3_d329e4597
nämlich	w5_d329e4600
2000.	w7_d329e4603
Mann	w9_d329e4606
Englän	w11_d329e4609
dische	w1_d329e4615
Cavallerie,	w3_d329e4618
und	w5_d329e4621
3000.	w7_d329e4624
Mann	w9_d329e4627
Heßische	w11_d329e4630
Jnfanterie,	w1_d329e4635
über	w3_d329e4638
die	w5_d329e4641
Werra	w7_d329e4644
nach	w9_d329e4647
Allen	w11_d329e4650
dorf	w1_d329e4655
geschicket.	w3_d329e4658
Die	w5_d329e4661
Regimenter,	w7_d329e4664
welche	w9_d329e4667
in	w1_d329e4672
dem	w3_d329e4675
Bißthum	w5_d329e4678
Paderborn	w7_d329e4681
geblieben,	w9_d329e4684
haben	w1_d329e4690
auch	w3_d329e4693
Ordre	w5_d329e4696
sich	w7_d329e4699
in	w9_d329e4702
Bewegung	w11_d329e4705
zu	w13_d329e4709
se	w15_d329e4712
tzen,	w1_d329e4717
um	w3_d329e4720
die	w5_d329e4723
Armee	w7_d329e4726
des	w9_d329e4729
Prinzen	w11_d329e4732
von	w13_d329e4736
Jsen	w15_d329e4739
burg	w1_d329e4744
zu	w3_d329e4747
verstärken.	w5_d329e4750
Der	w7_d329e4753
General	w9_d329e4756
von	w11_d329e4759
Für	w13_d329e4763
stenberg	w1_d329e4768
hat	w3_d329e4771
sich	w5_d329e4774
aus	w7_d329e4777
denen	w9_d329e4780
Heßischen	w11_d329e4783
Dien	w13_d329e4787
sten	w1_d329e4793
in	w3_d329e4796
die	w5_d329e4799
Pfälzische	w7_d329e4802
begeben.	w9_d329e4805
</p>
<head id="h2_d329e4811">
Aus	w1_d329e4815
Thüringen	w3_d329e4818
vom	w5_d329e4821
18.	w7_d329e4824
Febr.	w9_d329e4827
</head>
<p id="p4_d329e4830">
Die	w1_d329e4834
Königl.	w3_d329e4837
Preußische	w5_d329e4840
Mannschaft,	w7_d329e4843
so	w1_d329e4848
zeithero	w3_d329e4851
unter	w5_d329e4854
Commaado	w7_d329e4857
des	w9_d329e4860
Herrn	w11_d329e4863
Major	w1_d329e4868
von	w3_d329e4871
Kalben	w5_d329e4874
im	w7_d329e4877
Thüringischen	w9_d329e4880
Creis	w11_d329e4883
auf	w1_d329e4889
Execution	w3_d329e4892
gelegen,	w5_d329e4895
und	w7_d329e4898
sich	w9_d329e4901
zuletzt	w11_d329e4904
ei	w13_d329e4908
nige	w1_d329e4913
Zeit	w3_d329e4916
in	w5_d329e4919
der	w7_d329e4922
Gegend	w9_d329e4925
Langensalza	w11_d329e4928
wie	w13_d329e4932
derum	w1_d329e4937
aufgehalten	w3_d329e4940
hat,	w5_d329e4943
ist	w7_d329e4946
verwichenen	w9_d329e4949
Sonn=abend	w1_d329e4954
über	w3_d329e4957
Kirchheilingen,	w5_d329e4960
Kutzleben	w7_d329e4963
und	w1_d329e4969
Lotzensömmern	w3_d329e4972
wieder	w5_d329e4975
zurück	w7_d329e4978
gegangen,	w9_d329e4981
und	w1_d329e4986
gestern	w3_d329e4989
Leubingen	w5_d329e4992
und	w7_d329e4995
die	w9_d329e4998
Gegend	w11_d329e5001
Cöl	w13_d329e5005
leda	w1_d329e5010
auf	w3_d329e5013
Naumburg	w5_d329e5016
zu	w7_d329e5019
marschiret.	w9_d329e5022
Bey	w11_d329e5025
ihrem	w1_d329e5030
Marsch	w3_d329e5033
haben	w5_d329e5036
beständig	w7_d329e5039
die	w9_d329e5042
Hussaren	w11_d329e5045
nach	w1_d329e5051
dem	w3_d329e5054
Erfurtischen	w5_d329e5057
recognosciren	w7_d329e5060
reiten	w9_d329e5063
müssen.	w1_d329e5068
</p>
<head id="h2_d329e5074">
Erfurt	w1_d329e5078
22.	w3_d329e5081
Februarii.	w5_d329e5084
</head>
<p id="p4_d329e5087">
Die	w1_d329e5091
Städte	w3_d329e5094
und	w5_d329e5097
Gegenden	w7_d329e5100
von	w9_d329e5103
Eisenach,	w11_d329e5106
Ohrdruf,	w1_d329e5111
Jlmenau,	w3_d329e5114
Esfeld,	w5_d329e5117
Stadt	w7_d329e5120
Jlm,	w9_d329e5123
Demar,	w1_d329e5128
Arnstadt	w3_d329e5131
und	w5_d329e5134
mehr	w7_d329e5137
andere	w9_d329e5140
seynd	w11_d329e5143
mit	w1_d329e5149
Kaiserl.	w3_d329e5152
Königl.	w5_d329e5155
und	w7_d329e5158
Reichs=trupen	w9_d329e5161
an	w11_d329e5164
</p>
<p id="p6_d329e5167">
gefüllet.	w1_d329e5171
Jndessen	w3_d329e5174
erhalten	w5_d329e5177
wir	w7_d329e5180
die	w9_d329e5183
Nach	w11_d329e5186
richt,	w1_d329e5191
daß	w3_d329e5194
auch	w5_d329e5197
die	w7_d329e5200
Hanöverische	w9_d329e5203
Trupen	w11_d329e5206
verschiedene	w1_d329e5211
Orte	w3_d329e5214
an	w5_d329e5217
dem	w7_d329e5220
Werra=strom,	w9_d329e5223
als	w1_d329e5229
Michla,	w3_d329e5232
Crenzburg	w5_d329e5235
und	w7_d329e5238
Trefurt	w9_d329e5241
