<doc id="wr_1759-03-17" attrs="word" year="1759" month="03" day="17" corpus="2">
<head id="h2_d331e3204">
Stettin	w4_d331e3207
26.	w6_d331e3211
Februarii.	w8_d331e3214
</head>
<p id="p4_d331e3217">
Js	w4_d331e3220
ist	w6_d331e3224
ein	w8_d331e3227
starkes	w10_d331e3230
Corpo	w12_d331e3233
Königl.	w14_d331e3237
Preus	w16_d331e3240
sischer	w19_d331e3244
Trupen	w21_d331e3248
in	w23_d331e3251
Hinter=pommern	w25_d331e3255
eingerückt.	w28_d331e3259
Der	w31_d331e3264
General	w33_d331e3268
Mala	w35_d331e3271
chowsky,	w38_d331e3276
welcher	w40_d331e3280
bisher	w42_d331e3283
mit	w44_d331e3286
seinem	w46_d331e3289
Hus	w48_d331e3293
saren=regiment,	w51_d331e3297
4.	w53_d331e3301
Bataillons	w55_d331e3304
Jnfanterie	w57_d331e3307
und	w60_d331e3312
einem	w62_d331e3316
Cavallerie=regimente	w64_d331e3319
zu	w66_d331e3322
Stolpe	w68_d331e3325
bestanden,	w71_d331e3330
wird	w73_d331e3334
nach	w75_d331e3337
erhaltenen	w77_d331e3340
Verstärkun	w79_d331e3343
gen	w82_d331e3348
nunmehro	w84_d331e3352
gegen	w86_d331e3355
Lauenburg	w88_d331e3358
marschiren,	w90_d331e3361
und	w93_d331e3366
alda	w95_d331e3370
theils	w97_d331e3373
die	w99_d331e3376
Bewegungen	w101_d331e3379
der	w103_d331e3383
Rus	w105_d331e3386
sischen	w108_d331e3390
Trupen	w110_d331e3394
beobachten,	w112_d331e3397
theils	w114_d331e3401
auch	w116_d331e3404
durch	w118_d331e3407
ausgeschickte	w121_d331e3411
Detaschements	w123_d331e3415
die	w125_d331e3419
Gränzen	w127_d331e3422
gegen	w130_d331e3426
neue	w132_d331e3430
Jncursionen	w134_d331e3433
bewahren.	w136_d331e3437
Es	w139_d331e3441
geht	w142_d331e3446
noch	w144_d331e3450
immer	w146_d331e3453
die	w148_d331e3457
Rede,	w150_d331e3460
daß	w152_d331e3463
aus	w154_d331e3466
Schle	w156_d331e3469
sien	w159_d331e3474
einige	w161_d331e3478
Regimenter	w163_d331e3481
anlangen,	w165_d331e3484
und	w167_d331e3487
zu	w169_d331e3490
dem	w172_d331e3495
Observations=corpo	w174_d331e3499
stossen	w176_d331e3502
sollen,	w178_d331e3505
wel	w180_d331e3508
ches	w183_d331e3513
man	w185_d331e3517
in	w187_d331e3520
der	w189_d331e3523
Gegend	w191_d331e3526
von	w193_d331e3530
Danzig	w195_d331e3533
for	w197_d331e3536
miren	w200_d331e3540
will.	w202_d331e3544
Zu	w204_d331e3548
Neu=Stektin	w206_d331e3551
werden	w208_d331e3554
gleich	w210_d331e3557
falls	w213_d331e3561
einige	w215_d331e3566
Bataillons	w217_d331e3569
erwartet,	w219_d331e3572
um	w221_d331e3575
nebst	w223_d331e3578
einem	w226_d331e3583
