<doc id="wr_1759-04-11" attrs="word" year="1759" month="04" day="11" corpus="2">
<head id="h2_d338e3632">
Coburg	w1_d338e3636
1.	w3_d338e3639
April.	w5_d338e3642
</head>
<p id="p4_d338e3645">
Von	w1_d338e3649
dem	w3_d338e3652
letzthin	w5_d338e3655
bey	w7_d338e3658
Saalfeld	w9_d338e3661
sich	w11_d338e3664
er	w13_d338e3668
eigneten	w1_d338e3673
Vorfall,	w3_d338e3676
seynd	w5_d338e3679
folgende	w7_d338e3682
Umstände	w1_d338e3687
bekant:	w3_d338e3690
Ein	w5_d338e3693
Corps	w7_d338e3696
von	w9_d338e3699
Königl.	w1_d338e3705
Preußischer	w3_d338e3708
Trupen	w5_d338e3711
von	w7_d338e3714
5.	w9_d338e3717
bis	w11_d338e3720
6000.	w1_d338e3725
Mann	w3_d338e3728
wolte	w5_d338e3731
die	w7_d338e3734
in	w9_d338e3737
Saalfeld	w11_d338e3740
ge	w13_d338e3744
ftandene	w1_d338e3749
Kaiserl.	w3_d338e3752
Königl.	w5_d338e3755
Regimenter	w7_d338e3758
den	w9_d338e3761
27.	w1_d338e3766
Martii	w3_d338e3769
überfallen,	w5_d338e3772
und	w7_d338e3775
es	w9_d338e3778
hätten	w11_d338e3781
sich	w13_d338e3785
dieselbe	w1_d338e3791
auf	w3_d338e3794
davon	w5_d338e3797
eingekommene	w7_d338e3800
Nachricht	w9_d338e3803
raum	w1_d338e3808
aus	w3_d338e3811
der	w5_d338e3814
Stadt	w7_d338e3817
gezogen,	w9_d338e3820
als	w11_d338e3823
die	w13_d338e3827
Preussen	w1_d338e3832
Nachmittags	w3_d338e3835
um	w5_d338e3838
2.	w7_d338e3841
Uhr	w9_d338e3844
allschon	w11_d338e3847
eintraffen,	w1_d338e3852
da	w3_d338e3855
nun	w5_d338e3858
beyde	w7_d338e3861
Theile	w9_d338e3864
darauf	w11_d338e3867
ei	w13_d338e3871
nige	w1_d338e3877
Stunden	w3_d338e3880
unter	w5_d338e3883
einer	w7_d338e3886
sehr	w9_d338e3889
heftigen	w11_d338e3892
Ca	w13_d338e3896
nonade	w1_d338e3901
mit	w3_d338e3904
einander	w5_d338e3907
scharmuzirten,	w7_d338e3910
so	w9_d338e3913
ha	w11_d338e3916
ben	w1_d338e3921
die	w3_d338e3924
Preussen	w5_d338e3927
dabey	w7_d338e3930
ungleich	w9_d338e3933
mehr	w11_d338e3936
als	w13_d338e3940
die	w1_d338e3945
Kaiserl.	w3_d338e3948
verloren,	w5_d338e3951
indeme	w7_d338e3954
Letztere	w9_d338e3957
sich	w11_d338e3960
auf	w1_d338e3966
die	w3_d338e3969
Berge,	w5_d338e3972
mithin	w7_d338e3975
sehr	w9_d338e3978
vortheilhaft	w11_d338e3981
po	w13_d338e3985
stret	w1_d338e3990
hatten	w3_d338e3993
Die	w5_d338e3996
Kaiserl.	w7_d338e3999
zogen	w9_d338e4002
sich	w11_d338e4005
hier	w13_d338e4009
auf	w1_d338e4014
nach	w3_d338e4017
Grafenthal	w5_d338e4020
und	w7_d338e4023
Judenbach,	w9_d338e4026
nach	w11_d338e4029
deme	w1_d338e4034
sie	w3_d338e4037
sich	w5_d338e4040
mit	w7_d338e4043
denen	w9_d338e4046
in	w11_d338e4049
hiesigen	w13_d338e4053
Gegen	w15_d338e4056
den	w1_d338e4062
gelegenen	w3_d338e4065
Reichs=trupen	w5_d338e4068
verstärket,	w7_d338e4071
so	w9_d338e4074
</p>
<p id="p6_d338e4077">
marschirten	w1_d338e4081
sie	w3_d338e4084
wiederum	w5_d338e4087
vorwärts,	w7_d338e4090
die	w9_d338e4093
Preussen	w1_d338e4098
aber	w3_d338e4101
haben	w5_d338e4104
gestern	w7_d338e4107
Mittags	w9_d338e4110
Saal	w11_d338e4113
feld	w1_d338e4118
wieder	w3_d338e4121
verlassen,	w5_d338e4124
und	w7_d338e4127
sich	w9_d338e4130
über	w11_d338e4133
Bö	w13_d338e4137
senden	w1_d338e4143
nach	w3_d338e4146
Neustadt	w5_d338e4149
an	w7_d338e4152
der	w9_d338e4155
Orta	w11_d338e4158
retiriret.	w13_d338e4162
</p>
<head id="h2_d338e4168">
Dreßden	w1_d338e4172
3.	w3_d338e4175
April.	w5_d338e4178
</head>
<p id="p4_d338e4181">
Nach	w1_d338e4185
eingelangten	w3_d338e4188
Nachrichten	w5_d338e4191
ist	w7_d338e4194
der	w9_d338e4197
König	w1_d338e4202
von	w3_d338e4205
Preussen	w5_d338e4208
mit	w7_d338e4211
Dero	w9_d338e4214
zusammen	w11_d338e4217
gezogenen	w1_d338e4222
Armee	w3_d338e4225
60000.	w5_d338e4228
Mann	w7_d338e4231
stark	w9_d338e4234
in	w11_d338e4237
die	w13_d338e4241
Gegend	w1_d338e4247
Striegau	w3_d338e4250
in	w5_d338e4253
die	w7_d338e4256
Cantonirungsquar	w9_d338e4259
tiere	w1_d338e4264
gerucket.	w3_d338e4267
Nunmehro	w5_d338e4270
setzen	w7_d338e4273
die	w9_d338e4276
im	w11_d338e4279
Lande	w13_d338e4283
gestandene	w1_d338e4288
Preußische	w3_d338e4291
Trupen	w5_d338e4294
sich	w7_d338e4297
in	w9_d338e4300
Bewe	w11_d338e4303
gung,	w1_d338e4308
und	w3_d338e4311
ziehen	w5_d338e4314
sich	w7_d338e4317
nach	w9_d338e4320
denen	w11_d338e4323
bestimm	w13_d338e4327
ten	w1_d338e4333
Gränz=örtern	w3_d338e4336
Böhmischer	w5_d338e4339
Seite,	w7_d338e4342
so	w9_d338e4345
wol	w1_d338e4350
im	w3_d338e4353
hiesigen	w5_d338e4356
als	w7_d338e4359
in	w9_d338e4362
dem	w11_d338e4365
Erz=gebürge,	w13_d338e4369
inmassen	w1_d338e4374
vorgestern	w3_d338e4377
9.	w5_d338e4380
Regimenter	w7_d338e4383
Caval	w9_d338e4386
lerie	w1_d338e4391
von	w3_d338e4394
dem	w5_d338e4397
Wedelischen	w7_d338e4400
Corps,	w9_d338e4403
so	w11_d338e4406
in	w13_d338e4410
denen	w1_d338e4416
Gegenden	w3_d338e4419
Wittenberg,	w5_d338e4422
Eulenburg,	w7_d338e4425
und	w1_d338e4430
Torgau	w3_d338e4433
bisher	w5_d338e4436
gestanden,	w7_d338e4439
bis	w9_d338e4442
nahe	w11_d338e4445
hier	w1_d338e4450
vorbey	w3_d338e4453
in	w5_d338e4456
die	w7_d338e4459
Cantonirungs=quartiere	w9_d338e4462
auf	w1_d338e4467
eine	w3_d338e4470
Zeit=lang	w5_d338e4473
eingerucket	w7_d338e4476
sind.	w9_d338e4479
Es	w11_d338e4482
</p>
<p id="p8_d338e4490">
ist	w1_d338e4494
auch	w3_d338e4497
vorgestern	w5_d338e4500
ein	w7_d338e4503
Regiment	w9_d338e4506
Küraflers,	w11_d338e4509
nämlich	w1_d338e4514
das	w3_d338e4517
vormalig	w5_d338e4520
Kyauische,	w7_d338e4523
jetzund	w9_d338e4526
Hornische,	w1_d338e4531
über	w3_d338e4534
Neustadt	w5_d338e4537
kommend,	w7_d338e4540
al	w9_d338e4543
hier	w1_d338e4549
durch,	w3_d338e4552
und	w5_d338e4555
bis	w7_d338e4558
auf	w9_d338e4561
hiesiges	w11_d338e4564
Dorf	w13_d338e4568
Plauen	w1_d338e4573
und	w3_d338e4576
dasige	w5_d338e4579
Dorfschaften	w7_d338e4582
marschi	w9_d338e4585
ret,	w1_d338e4590
welches	w3_d338e4593
von	w5_d338e4596
Sr.	w7_d338e4599
Königl.	w9_d338e4602
Hoheit	w11_d338e4605
dem	w13_d338e4609
Prinz	w1_d338e4614
Heinrich,	w3_d338e4617
auf	w5_d338e4620
und	w7_d338e4623
durch	w9_d338e4626
die	w11_d338e4629
Stadt	w13_d338e4633
geführet	w1_d338e4639
wurde,	w3_d338e4642
welchem	w5_d338e4645
eine	w7_d338e4648
grosse	w9_d338e4651
An	w11_d338e4654
zahl	w1_d338e4659
Feld	w3_d338e4662
und	w5_d338e4665
Bagage=wägen	w7_d338e4668
nachgefol	w9_d338e4671
get	w1_d338e4676
sind.	w3_d338e4679
Jngleichen	w5_d338e4682
ist	w7_d338e4685
gestern	w9_d338e4688
die	w11_d338e4691
Feld	w13_d338e4695
bäckerey	w1_d338e4700
von	w3_d338e4703
hier	w5_d338e4706
nach	w7_d338e4709
dem	w9_d338e4712
Erz=gebürge,	w11_d338e4715
und	w1_d338e4721
wie	w3_d338e4724
es	w5_d338e4727
heisset,	w7_d338e4730
nach	w9_d338e4733
Plauen,	w11_d338e4736
nebst	w13_d338e4740
vielen	w1_d338e4745
Wägen	w3_d338e4748
abgegangen.	w5_d338e4751
Von	w7_d338e4754
der	w9_d338e4757
Kai	w11_d338e4760
serl.	w1_d338e4765
Königl.	w3_d338e4768
Armee	w5_d338e4771
vernihmt	w7_d338e4774
man	w9_d338e4777
hier	w11_d338e4780
wei	w13_d338e4784
ter	w1_d338e4789
nichts,	w3_d338e4792
als	w5_d338e4795
daß	w7_d338e4798
sich	w9_d338e4801
einige	w11_d338e4804
Trupen	w13_d338e4808
eben	w15_d338e4811
falls	w1_d338e4817
nach	w3_d338e4820
der	w5_d338e4823
Sächsischen	w7_d338e4826
Gränze	w9_d338e4829
ziehen.	w11_d338e4832
Wie	w1_d338e4837
verlautet,	w3_d338e4840
soll	w5_d338e4843
bey	w7_d338e4846
Zehista	w9_d338e4849
über	w11_d338e4852
Pir	w13_d338e4856
na,	w1_d338e4861
ein	w3_d338e4864
Preußisches	w5_d338e4867
Lager,	w7_d338e4870
6000.	w9_d338e4873
Mann	w11_d338e4876
stark	w1_d338e4881
ehestens	w3_d338e4884
errichtet	w5_d338e4887
werden,	w7_d338e4890
welches	w9_d338e4893
der	w11_d338e4896
General=leutenant	w1_d338e4902
von	w3_d338e4905
Fink,	w5_d338e4908
der	w7_d338e4911
alhier	w9_d338e4914
anwesend	w1_d338e4919
ist,	w3_d338e4922
commandiren	w5_d338e4925
wird,	w7_d338e4928
und	w9_d338e4931
müs	w11_d338e4934
sen	w1_d338e4939
an	w3_d338e4942
dessen	w5_d338e4945
Verschanzung	w7_d338e4948
600.	w9_d338e4951
Mann	w11_d338e4954
bereits	w1_d338e4959
arbeiten,	w3_d338e4962
welche	w5_d338e4965
das	w7_d338e4968
Amt	w9_d338e4971
und	w11_d338e4974
die	w13_d338e4978
Stadt	w1_d338e4984
Pirna	w3_d338e4987
zu	w5_d338e4990
schaffen	w7_d338e4993
haben.	w9_d338e4996
</p>
<head id="h2_d338e5002">
Altona	w1_d338e5006
26.	w3_d338e5009
Martii.	w5_d338e5012
</head>
<p id="p4_d338e5015">
Die	w1_d338e5019
Preussen	w3_d338e5022
halten	w5_d338e5025
die	w7_d338e5028
HerzoglichMeck	w9_d338e5031
lenburgische	w1_d338e5036
Haupt=stadt	w3_d338e5039
und	w5_d338e5042
das	w7_d338e5045
Schloß	w9_d338e5048
Schwerin	w1_d338e5053
stark	w3_d338e5056
besetzet;	w5_d338e5059
doch	w7_d338e5062
sind	w9_d338e5065
sie	w11_d338e5068
von	w13_d338e5072
dem	w1_d338e5078
Kaninchen=werder,	w3_d338e5081
wohin	w5_d338e5084
sich	w7_d338e5087
die	w9_d338e5090
Herzogliche	w1_d338e5095
Trupen	w3_d338e5098
retirirt	w5_d338e5101
haben,	w7_d338e5104
noch	w9_d338e5107
nicht	w1_d338e5112
Meister.	w3_d338e5115
</p>
<head id="h2_d338e5121">
Hamburg	w1_d338e5125
2.	w3_d338e5128
April.	w5_d338e5131
</head>
<p id="p4_d338e5134">
Die	w1_d338e5138
Operationen	w3_d338e5141
der	w5_d338e5144
Rußisch=Kaiserl.	w7_d338e5147
Armee	w1_d338e5152
werden	w3_d338e5155
nunmehro	w5_d338e5158
gegen	w7_d338e5161
die	w9_d338e5164
Pom	w11_d338e5167
merisch	w1_d338e5172
und	w3_d338e5175
Brandenburgische	w5_d338e5178
Lande	w7_d338e5181
ihren	w9_d338e5184
Anfang	w1_d338e5190
nehmen.	w3_d338e5193
Die	w5_d338e5196
Nachrichten	w7_d338e5199
vom	w9_d338e5202
Weichsel=strom	w1_d338e5207
unterm	w3_d338e5210
20.	w5_d338e5213
Martii	w7_d338e5216
melden,	w9_d338e5219
daß	w1_d338e5224
sich	w3_d338e5227
bereits	w5_d338e5230
bey	w7_d338e5233
Marienwerder	w9_d338e5236
ein	w11_d338e5239
Corps	w13_d338e5243
von	w1_d338e5248
30000.	w3_d338e5251
Mann,	w5_d338e5254
und	w7_d338e5257
ein	w9_d338e5260
anders	w11_d338e5263
von	w13_d338e5267
50000.	w1_d338e5273
bey	w3_d338e5276
Thoren	w5_d338e5279
zusammen	w7_d338e5282
gezogen	w9_d338e5285
ha	w11_d338e5288
be,	w1_d338e5293
welche	w3_d338e5296
mit	w5_d338e5299
dem	w7_d338e5302
Anfang	w9_d338e5305
dieses	w11_d338e5308
Mo	w13_d338e5312
nats	w1_d338e5317
sich	w3_d338e5320
in	w5_d338e5323
Bewegung	w7_d338e5326
setzen	w9_d338e5329
sollen.	w11_d338e5332
Nach	w13_d338e5336
denen	w1_d338e5341
Briefen	w3_d338e5344
aus	w5_d338e5347
Munster	w7_d338e5350
vom	w9_d338e5353
25.	w11_d338e5356
</p>
<p id="p6_d338e5359">
Martil,	w1_d338e5363
ziehen	w3_d338e5366
sich	w5_d338e5369
immer	w7_d338e5372
mehrere	w9_d338e5375
Regi	w11_d338e5378
menter	w1_d338e5383
gegen	w3_d338e5386
das	w5_d338e5389
Heßische,	w7_d338e5392
der	w9_d338e5395
Sammel	w11_d338e5398
platz	w1_d338e5403
ist	w3_d338e5406
zu	w5_d338e5409
Brilon,	w7_d338e5412
im	w9_d338e5415
Herzogtum	w11_d338e5418
West	w13_d338e5422
phalen,	w1_d338e5428
und	w3_d338e5431
eben	w5_d338e5434
daselbst	w7_d338e5437
befinden	w9_d338e5440
sich	w11_d338e5443
auch	w13_d338e5447
Se.	w1_d338e5452
Durchl.	w3_d338e5455
der	w5_d338e5458
Prinz	w7_d338e5461
von	w9_d338e5464
Holstein	w11_d338e5467
Gottorp.	w13_d338e5471
</p>
<head id="h2_d338e5478">
Petersburg	w1_d338e5482
2.	w3_d338e5485
Martii.	w5_d338e5488
</head>
<p id="p4_d338e5491">
Gestern	w1_d338e5495
geruheten	w3_d338e5498
Jhre	w5_d338e5501
Kaiserl.	w7_d338e5504
Maj.	w9_d338e5507
mit	w11_d338e5510
einigen	w1_d338e5515
Personen	w3_d338e5518
von	w5_d338e5521
Dero	w7_d338e5524
Hof=staat	w9_d338e5527
bey	w11_d338e5530
Sr.	w13_d338e5534
Erlaucht,	w1_d338e5539
dem	w3_d338e5542
Hrn.	w5_d338e5545
Generalfeldzeugmei	w7_d338e5548
ster,	w1_d338e5554
und	w3_d338e5557
Ritter,	w5_d338e5560
Grafen	w7_d338e5563
von	w9_d338e5566
Schuwalow,	w11_d338e5569
das	w1_d338e5574
Mittagsmahl	w3_d338e5577
einzunehmen.	w5_d338e5580
Heute	w1_d338e5585
werden	w1_d338e5590
alhier	w3_d338e5593
die	w5_d338e5596
Carnevals=lustbarkeiten	w7_d338e5599
mit	w1_d338e5605
einer	w3_d338e5608
Rußischen	w5_d338e5611
Opera	w7_d338e5614
beschlossen,	w9_d338e5617
bey	w11_d338e5620
welcher	w1_d338e5625
2.	w3_d338e5628
sehr	w5_d338e5631
schöne	w7_d338e5634
von	w9_d338e5637
dem	w11_d338e5640
angekomme	w13_d338e5644
nen	w1_d338e5649
neuen	w3_d338e5652
Ballet=meister	w5_d338e5655
Hilferding	w7_d338e5658
com	w9_d338e5661
ponirte	w1_d338e5666
Ballets	w3_d338e5669
aufgeführt	w5_d338e5672
werden.	w7_d338e5675
</p>
