<doc id="wr_1759-05-02" attrs="word" year="1759" month="05" day="02" corpus="2">
<head id="h2_d344e3775">
Maynstrom	w1_d344e3779
21.	w3_d344e3782
April.	w5_d344e3785
</head>
<p id="p4_d344e3788">
an	w1_d344e3792
hatte	w3_d344e3795
schon	w5_d344e3798
gestern	w7_d344e3801
einige	w9_d344e3804
Nach	w11_d344e3807
richt	w1_d344e3812
von	w3_d344e3815
einem	w5_d344e3818
wichtigen	w7_d344e3821
Vorfall,	w9_d344e3824
7der	w1_d344e3829
bey	w3_d344e3832
Grimberg	w5_d344e3835
geschehen;	w7_d344e3838
und	w9_d344e3841
heut	w1_d344e3847
ist	w3_d344e3850
uns	w5_d344e3853
davon	w7_d344e3856
folgende	w9_d344e3859
Relation	w11_d344e3862
zu	w13_d344e3866
Hän	w15_d344e3869
ben	w1_d344e3874
gekommen,	w3_d344e3877
die	w5_d344e3880
man	w7_d344e3883
dem	w9_d344e3886
Publico	w11_d344e3889
be	w13_d344e3893
hörig	w1_d344e3898
mittheilen	w3_d344e3901
wollen:	w5_d344e3904
</p>
<p id="p6_d344e3907">
Der	w1_d344e3911
Herr	w3_d344e3914
Baron	w5_d344e3917
von	w7_d344e3920
Blaisel,	w9_d344e3923
dessen	w11_d344e3926
seit	w13_d344e3930
einiger	w1_d344e3935
Zeit	w3_d344e3938
wegen	w5_d344e3941
seines	w7_d344e3944
obgehabten	w9_d344e3947
Auftra	w11_d344e3950
ges	w1_d344e3955
im	w3_d344e3958
Heßischen,	w5_d344e3961
wobey	w7_d344e3964
er	w9_d344e3967
sich	w11_d344e3970
aufs	w13_d344e3974
be	w15_d344e3977
ste	w1_d344e3983
betragen,	w3_d344e3986
schon	w5_d344e3989
öfters	w7_d344e3992
gedacht	w9_d344e3995
worden,	w11_d344e3998
hat	w1_d344e4003
seinem	w3_d344e4006
Ruhm	w5_d344e4009
einen	w7_d344e4012
grossen	w9_d344e4015
Zuwachs	w11_d344e4018
gegeben.	w1_d344e4023
Der	w3_d344e4026
Herzog	w5_d344e4029
von	w7_d344e4032
Broglie,	w9_d344e4035
wel	w11_d344e4038
cher	w1_d344e4043
ihm	w3_d344e4046
befohlen,	w5_d344e4049
die	w7_d344e4052
Feinde	w9_d344e4055
in	w11_d344e4058
ihrer	w13_d344e4062
Re	w15_d344e4065
tirade	w1_d344e4071
zu	w3_d344e4074
verfolgen,	w5_d344e4077
meldete	w7_d344e4080
ihme,	w9_d344e4083
daß	w11_d344e4086
er	w13_d344e4090
sich	w1_d344e4095
nach	w3_d344e4098
Friedberg	w5_d344e4101
wenden	w7_d344e4104
solle,	w9_d344e4107
wohin	w11_d344e4110
er	w1_d344e4115
sich	w3_d344e4118
auch	w5_d344e4121
am	w7_d344e4124
17.	w9_d344e4127
begab,	w11_d344e4130
