<doc id="wr_1759-05-16" attrs="word" year="1759" month="05" day="16" corpus="2">
<head id="h2_d348e3882">
Danzig	w1_d348e3886
3.	w3_d348e3889
May.	w5_d348e3892
</head>
<p id="p4_d348e3895">
As	w1_d348e3899
Haupt=quartier	w3_d348e3902
deren	w5_d348e3905
Preußischen	w7_d348e3908
Trupen	w1_d348e3913
in	w3_d348e3916
Vor=pommern	w5_d348e3919
war	w7_d348e3922
2	w1_d348e3927
zu	w1_d348e3933
Ende	w3_d348e3936
Aprils	w5_d348e3939
noch	w7_d348e3942
zu	w9_d348e3945
Greifs	w11_d348e3948
walde,	w1_d348e3953
allteo	w3_d348e3956
den	w5_d348e3959
26.	w7_d348e3962
das	w9_d348e3965
Laboratorium	w11_d348e3968
der	w1_d348e3973
Artillerie,	w3_d348e3976
nachdem	w5_d348e3979
es	w7_d348e3982
bis	w9_d348e3985
auf	w11_d348e3988
einige	w13_d348e3992
Centner	w1_d348e3997
Pulfer	w3_d348e4000
ausgerämmt	w5_d348e4003
gewesen,	w7_d348e4006
in	w9_d348e4009
der	w1_d348e4015
Luft	w3_d348e4018
geflogen.	w5_d348e4021
Es	w7_d348e4024
wurde	w9_d348e4027
hierdurch	w11_d348e4030
ein	w13_d348e4034
Haus	w1_d348e4039
eingeäschert,	w3_d348e4042
einige	w5_d348e4045
andere	w7_d348e4048
aber	w9_d348e4051
stark	w11_d348e4054
beschädigt,	w1_d348e4059
jedoch	w3_d348e4062
ist	w5_d348e4065
das	w7_d348e4068
Feuer	w9_d348e4071
durch	w11_d348e4074
die	w13_d348e4078
gemachte	w1_d348e4083
Anstalten	w3_d348e4086
bald	w5_d348e4089
gelöschet	w7_d348e4092
worden.	w9_d348e4095
Drey	w1_d348e4101
Grenadiers,	w3_d348e4104
1.	w5_d348e4107
Bombardier	w7_d348e4110
und	w9_d348e4113
1.	w11_d348e4116
Canonier	w1_d348e4121
sind	w3_d348e4124
getödtet,	w5_d348e4127
1.	w7_d348e4130
Leutenant	w9_d348e4133
aber	w11_d348e4136
nebst	w1_d348e4141
3.	w3_d348e4144
Soldaten	w5_d348e4147
verwundet	w7_d348e4150
worden.	w9_d348e4153
Jn	w11_d348e4156
Hinter=pommern	w1_d348e4161
ziehen	w3_d348e4164
sich	w5_d348e4167
die	w7_d348e4170
Preusseit	w9_d348e4173
bey	w1_d348e4179
Colberg	w3_d348e4182
zusammen.	w5_d348e4185
Die	w7_d348e4188
Rußisch	w9_d348e4191
Kai	w11_d348e4194
serl.	w1_d348e4199
Armee,	w3_d348e4202
welche	w5_d348e4205
schon	w7_d348e4208
nach	w9_d348e4211
denen	w11_d348e4214
letz	w13_d348e4218
ten	w1_d348e4223
Nachrichten	w3_d348e4226
aus	w5_d348e4229
Marienwerder	w7_d348e4232
in	w9_d348e4235
Be	w11_d348e4238
reitschaft	w1_d348e4243
stunde,	w3_d348e4246
die	w5_d348e4249
Quartiere	w7_d348e4252
zu	w9_d348e4255
verlas	w11_d348e4258
sen,	w1_d348e4264
wird,	w3_d348e4267
wie	w5_d348e4270
die	w7_d348e4273
neuere	w9_d348e4276
Briefe	w11_d348e4279
vom	w13_d348e4283
28.	w1_d348e4288
April	w3_d348e4291
zuverläßig	w5_d348e4294
versichern,	w7_d348e4297
den	w9_d348e4300
7.	w11_d348e4303
</p>
<p id="p6_d348e4308">
dieses	w1_d348e4312
würklich	w3_d348e4315
aufbrechen,	w5_d348e4318
und	w7_d348e4321
in	w9_d348e4324
3.	w11_d348e4327
Co	w13_d348e4331
lonnen	w1_d348e4336
den	w3_d348e4339
Marsch	w5_d348e4342
nach	w7_d348e4345
Schlesien	w9_d348e4348
antretten.	w11_d348e4351
Damit	w1_d348e4356
die	w3_d348e4359
Passage	w5_d348e4362
über	w7_d348e4365
die	w9_d348e4368
Weichsel	w11_d348e4371
desto	w13_d348e4375
ungehinderter	w1_d348e4381
vor	w3_d348e4384
sich	w5_d348e4387
gehen	w7_d348e4390
könne,	w9_d348e4393
hat	w11_d348e4396
man	w1_d348e4401
an	w3_d348e4404
dreyen	w5_d348e4407
Orten	w7_d348e4410
Brücken	w9_d348e4413
zu	w11_d348e4416
schlagen	w13_d348e4420
angefangen.	w1_d348e4425
Zwey	w3_d348e4428
sind	w5_d348e4431
bereits	w7_d348e4434
fertig,	w9_d348e4437
als	w11_d348e4440
die	w1_d348e4445
bey	w3_d348e4448
Thorn,	w5_d348e4451
und	w7_d348e4454
die	w9_d348e4457
bey	w11_d348e4460
Marienwer	w13_d348e4464
der,	w1_d348e4470
an	w3_d348e4473
der	w5_d348e4476
dritten	w7_d348e4479
aber	w9_d348e4482
bey	w11_d348e4485
Schwetz	w13_d348e4489
wird	w15_d348e4492
mit	w1_d348e4497
allem	w3_d348e4500
Eifer	w5_d348e4503
gearbeitet,	w7_d348e4506
um	w9_d348e4509
sie	w11_d348e4512
gleich	w13_d348e4516
falls	w1_d348e4521
in	w3_d348e4524
kurzen	w5_d348e4527
in	w7_d348e4530
Stand	w9_d348e4533
zu	w11_d348e4536
setzen.	w13_d348e4540
</p>
<p id="p8_d348e4543">
Jm	w1_d348e4547
Herzogtum	w3_d348e4550
