<doc id="wr_1759-06-06" attrs="word" year="1759" month="06" day="06" corpus="2">
<head id="h2_d354e3045">
Petersburg	w1_d354e3049
4.	w3_d354e3052
May.	w5_d354e3055
</head>
<p id="p4_d354e3058">
VEn	w1_d354e3062
1.	w3_d354e3065
dieses	w5_d354e3068
hatten	w7_d354e3071
Se.	w9_d354e3074
Königl.	w11_d354e3077
Ho	w13_d354e3081
/	w1_d354e3086
heit	w3_d354e3089
der	w5_d354e3092
den	w7_d354e3095
30.	w9_d354e3098
April	w11_d354e3101
alhier	w13_d354e3105
ange	w15_d354e3108
langte	w1_d354e3113
Prinz	w3_d354e3116
Carl,	w5_d354e3119
Herzog	w7_d354e3122
v.	w9_d354e3125
Curland.	w11_d354e3128
sowol	w1_d354e3134
bey	w3_d354e3137
Jhre	w5_d354e3140
Kaiserl.	w7_d354e3143
Majest.	w9_d354e3146
unserer	w11_d354e3149
al	w13_d354e3153
terhuldreichesten	w1_d354e3158
Monarchin,	w3_d354e3161
als	w5_d354e3164
auch	w7_d354e3167
bey	w9_d354e3170
derseits	w1_d354e3175
Kaiserl.	w3_d354e3178
Hoheiten,	w5_d354e3181
dem	w7_d354e3184
Groß	w9_d354e3187
fürsten	w1_d354e3192
und	w3_d354e3195
der	w5_d354e3198
Groß=fürstin	w7_d354e3201
Audienz.	w9_d354e3204
</p>
<p id="p6_d354e3207">
Den	w1_d354e3211
2.	w3_d354e3214
dieses,	w5_d354e3217
als	w7_d354e3220
am	w9_d354e3223
Geburts=feste	w11_d354e3226
Jhrer	w1_d354e3231
Kaiserl.	w3_d354e3234
Hoheit,	w5_d354e3237
der	w7_d354e3240
Groß=fürstin	w9_d354e3243
Catharina	w1_d354e3248
Alexesewna,	w3_d354e3251
versammleten	w5_d354e3254
sich	w7_d354e3257
Vormittags	w1_d354e3263
alle	w3_d354e3266
Standes=personen	w5_d354e3269
beyder	w7_d354e3272
ley	w1_d354e3277
Geschlechts,	w3_d354e3280
wie	w5_d354e3283
auch	w7_d354e3286
die	w9_d354e3289
ausländische	w11_d354e3292
Herren	w1_d354e3297
Ministere	w3_d354e3300
bey	w5_d354e3303
Hofe,	w7_d354e3306
und	w9_d354e3309
legten	w11_d354e3312
ihre	w1_d354e3317
Glück=wünschungen	w3_d354e3320
bey	w5_d354e3323
Jhrer	w7_d354e3326
Kaiserl.	w9_d354e3329
Hoheit	w1_d354e3335
in	w3_d354e3338
denen	w5_d354e3341
Groß=fürstlichen	w7_d354e3344
Appar	w9_d354e3347
tements	w1_d354e3352
ab.	w3_d354e3355
Vormittags	w5_d354e3358
war	w7_d354e3361
GOttes	w9_d354e3364
dienst,	w1_d354e3369
nach	w3_d354e3372
dessen	w5_d354e3375
Endigung	w7_d354e3378
die	w9_d354e3381
Canonen	w11_d354e3384
von	w1_d354e3389
der	w3_d354e3392
Festung	w5_d354e3395
und	w7_d354e3398
der	w9_d354e3401
Admiralität	w11_d354e3404
ab	w13_d354e3408
efelert	w1_d354e3414
wurden.	w3_d354e3417
Nachmittags	w5_d354e3420
statteten	w7_d354e3423
Se.	w1_d354e3428
Königl.	w3_d354e3431
Hoheit	w5_d354e3434
der	w7_d354e3437
Prinz	w9_d354e3440
Carl,	w11_d354e3443
Her	w13_d354e3447
</p>
<p id="p8_d354e3450">
zog	w1_d354e3454
von	w3_d354e3457
Curland,	w5_d354e3460
Dero	w7_d354e3463
Gratulation	w9_d354e3466
bey	w11_d354e3469
Jhrer	w1_d354e3474
Kaiserl.	w3_d354e3477
Hoheit	w5_d354e3480
ab.	w7_d354e3483
Abends	w9_d354e3486
um	w11_d354e3489
7.	w13_d354e3493
Uhr	w1_d354e3498
versammelte	w3_d354e3501
man	w5_d354e3504
sich	w7_d354e3507
wiederum	w9_d354e3510
bey	w11_d354e3513
Hofe	w1_d354e3519
zum	w3_d354e3522
Ball	w5_d354e3525
in	w7_d354e3528
der	w9_d354e3531
Gallerie,	w11_d354e3534
welchem	w13_d354e3538
beyderseits	w1_d354e3543
Kaiserl.	w3_d354e3546
Hoheiten	w5_d354e3549
und	w7_d354e3552
Se.	w9_d354e3555
Kö	w11_d354e3558
nigl.	w1_d354e3563
Hoheit,	w3_d354e3566
der	w5_d354e3569
Herzog	w7_d354e3572
von	w9_d354e3575
Curland,	w11_d354e3578
beyzuwohnen	w1_d354e3583
geruheten.	w3_d354e3586
Nach	w5_d354e3589
geendigtem	w7_d354e3592
Ball	w1_d354e3598
soupirten	w3_d354e3601
beyderseits	w5_d354e3604
Kaiserl.	w7_d354e3607
Hohei	w9_d354e3610
ten,	w1_d354e3615
und	w3_d354e3618
mit	w5_d354e3621
Höchst=denenselben	w7_d354e3624
Se.	w9_d354e3627
Kö	w11_d354e3630
nigl.	w1_d354e3635
Hoheit,	w3_d354e3638
der	w5_d354e3641
Herzog	w7_d354e3644
von	w9_d354e3647
Curland	w11_d354e3650
die	w1_d354e3655
ausländische	w3_d354e3658
Herren	w5_d354e3661
Ministere,	w7_d354e3664
und	w9_d354e3667
die	w1_d354e3673
hohen	w3_d354e3676
Standes=personen	w5_d354e3679
beyderley	w7_d354e3682
Ge	w9_d354e3685
schlechts	w1_d354e3690
deren	w3_d354e3693
4.	w5_d354e3696
ersten	w7_d354e3699
Classen	w9_d354e3702
an	w11_d354e3705
verschie	w13_d354e3709
denen	w1_d354e3714
Tafeln,	w3_d354e3717
nach	w5_d354e3720
denen	w7_d354e3723
in	w9_d354e3726
der	w11_d354e3729
Gallerie	w13_d354e3733
ausgetheilten	w1_d354e3738
Billets.	w3_d354e3741
Während	w5_d354e3744
der	w7_d354e3747
Ta	w9_d354e3750
fel	w1_d354e3756
ließ	w3_d354e3759
sich	w5_d354e3762
die	w7_d354e3765
Jnstrumental	w9_d354e3768
und	w11_d354e3771
Vocal	w13_d354e3775
Masic	w1_d354e3780
hören.	w3_d354e3783
Zu	w5_d354e3786
Nachts	w7_d354e3789
war	w9_d354e3792
die	w11_d354e3795
Fe	w13_d354e3799
stung	w1_d354e3804
und	w3_d354e3807
die	w5_d354e3810
ganze	w7_d354e3813
Stadt	w9_d354e3816
illuminiret.	w11_d354e3819
</p>
<head id="h2_d354e3825">
Ancona	w1_d354e3829
26.	w3_d354e3832
May.	w5_d354e3835
</head>
<p id="p4_d354e3838">
Wir	w1_d354e3842
haben	w3_d354e3845
hier	w5_d354e3848
Briefe	w7_d354e3851
aus	w9_d354e3854
Constanti	w11_d354e3857
nopel,	w1_d354e3862
welche	w3_d354e3865
melden,	w5_d354e3868
daß	w7_d354e3871
die	w9_d354e3874
Pforte	w11_d354e3877
</p>
<p id="p8_d354e3882">
zahlreiche	w1_d354e3886
Trupen	w3_d354e3889
gegen	w5_d354e3892
Syrien	w7_d354e3895
marschiren	w9_d354e3898
lasse,	w1_d354e3903
um	w3_d354e3906
der	w5_d354e3909
Rebellion	w7_d354e3912
derer	w9_d354e3915
Araber	w11_d354e3918
Ein	w13_d354e3922
halt	w1_d354e3927
zu	w3_d354e3930
thun,	w5_d354e3933
welche	w7_d354e3936
sich	w9_d354e3939
mit	w11_d354e3942
dem	w13_d354e3946
Egyp	w15_d354e3949
tischen	w1_d354e3955
Bassa	w3_d354e3958
wider	w5_d354e3961
den	w7_d354e3964
Groß=herrn	w9_d354e3967
ver	w11_d354e3970
einiget	w1_d354e3975
haben.	w3_d354e3978
</p>
<head id="h2_d354e3984">
Münster	w1_d354e3988
19.	w3_d354e3991
May.	w5_d354e3994
</head>
<p id="p4_d354e3997">
Die	w1_d354e4001
Franzosen	w3_d354e4004
am	w5_d354e4007
Nieder=rhein	w7_d354e4010
haben	w9_d354e4013
sich	w1_d354e4018
in	w3_d354e4021
Bewegung	w5_d354e4024
gesetzt;	w7_d354e4027
einige	w9_d354e4030
Regimen	w11_d354e4033
ter	w1_d354e4038
sind	w3_d354e4041
bereits	w5_d354e4044
bis	w7_d354e4047
Duisburg	w9_d354e4050
vorgerückt.	w11_d354e4053
Das	w1_d354e4059
Contadische	w3_d354e4062
Haupt=quartier	w5_d354e4065
ist	w7_d354e4068
von	w9_d354e4071
Crevelt	w1_d354e4076
auf	w3_d354e4079
Düsseldorf	w5_d354e4082
verlegt.	w7_d354e4085
Briefe	w9_d354e4088
aus	w1_d354e4093
Cassel	w3_d354e4096
unterm	w5_d354e4099
10ten	w7_d354e4102
berichten,	w9_d354e4105
daß	w11_d354e4108
anjetzo	w1_d354e4113
daselbst	w3_d354e4116
wenig	w5_d354e4119
Garnison	w7_d354e4122
sey,	w9_d354e4125
und	w11_d354e4128
bald	w1_d354e4134
diese,	w3_d354e4137
bald	w5_d354e4140
jene	w7_d354e4143
ankämen.	w9_d354e4146
Die	w11_d354e4149
Eng	w13_d354e4153
ländische	w1_d354e4158
Regimenter	w3_d354e4161
scheinen	w5_d354e4164
in	w7_d354e4167
hiesigen	w9_d354e4170
Landen	w1_d354e4175
bleiben	w3_d354e4178
zu	w5_d354e4181
wollen;	w7_d354e4184
die	w9_d354e4187
angelegte	w11_d354e4190
Festungs=werke	w1_d354e4195
zu	w3_d354e4198
Münster,	w5_d354e4201
Wahrendorf,	w7_d354e4204
Lippstadt,	w1_d354e4210
und	w3_d354e4213
Rheine,	w5_d354e4216
sind	w7_d354e4219
hiervon	w9_d354e4222
die	w11_d354e4225
Zeu	w13_d354e4229
gen.	w1_d354e4234
Der	w3_d354e4237
Engländische	w5_d354e4240
Zug	w7_d354e4243
Artillerie	w9_d354e4246
campitet	w1_d354e4251
hinter	w3_d354e4254
hiesiger	w5_d354e4257
Citadelle.	w7_d354e4260
Unsere	w9_d354e4263
Landschaft,	w1_d354e4268
soll	w3_d354e4271
für	w5_d354e4274
die	w7_d354e4277
Gros=brittanische	w9_d354e4280
Trupen	w1_d354e4286
alle	w3_d354e4289
Augenblicke	w5_d354e4292
14.	w7_d354e4295
hundert	w9_d354e4298
be	w11_d354e4301
spannte	w1_d354e4306
Wägen	w3_d354e4309
in	w5_d354e4312
Bereitschaft	w7_d354e4315
halten.	w9_d354e4318
Die	w1_d354e4323
Zufuhr	w3_d354e4326
in	w5_d354e4329
das	w7_d354e4332
Magazin	w9_d354e4335
hat	w11_d354e4338
kein	w13_d354e4342
Ende.	w15_d354e4345
</p>
<head id="h2_d354e4351">
Madrid	w1_d354e4355
2.	w3_d354e4358
May.	w5_d354e4361
</head>
<p id="p4_d354e4364">
Der	w1_d354e4368
König	w3_d354e4371
befindet	w5_d354e4374
sich	w7_d354e4377
noch	w9_d354e4380
immer	w11_d354e4383
im	w13_d354e4387
vorigen	w1_d354e4392
Zustande,	w3_d354e4395
im	w5_d354e4398
Grund	w7_d354e4401
aber	w9_d354e4404
ist	w11_d354e4407
gar	w13_d354e4411
keine	w1_d354e4416
Hofnung	w3_d354e4419
zu	w5_d354e4422
seinem	w7_d354e4425
Genesen	w9_d354e4428
vorhan	w11_d354e4431
den;	w1_d354e4437
die	w3_d354e4440
Aerzte	w5_d354e4443
versichern	w7_d354e4446
solches	w9_d354e4449
selbst.	w11_d354e4452
Der	w1_d354e4457
General=leutenant,	w3_d354e4460
von	w5_d354e4463
Reggio,	w7_d354e4466
und	w9_d354e4469
der	w1_d354e4474
Chef	w3_d354e4477
d'Escadre,	w5_d354e4480
von	w7_d354e4483
Viga	w9_d354e4486
Florida	w11_d354e4489
sollen	w1_d354e4494
dieses	w3_d354e4497
Jahr	w5_d354e4500
die	w7_d354e4503
Schiffe	w9_d354e4506
der	w11_d354e4509
Crone	w13_d354e4513
führen,	w1_d354e4519
deren	w3_d354e4522
eines	w5_d354e4525
sich	w7_d354e4528
kürzlich	w9_d354e4531
eines	w11_d354e4534
klei	w13_d354e4538
nen	w1_d354e4543
Türkischen	w3_d354e4546
Fahr=zeuges	w5_d354e4549
von	w7_d354e4552
70.	w9_d354e4555
M.	w11_d354e4558
bemächtiget	w1_d354e4563
hat.	w3_d354e4566
</p>
<head id="h2_d354e4573">
Toulon	w1_d354e4577
12.	w3_d354e4580
May.	w5_d354e4583
</head>
<p id="p4_d354e4586">
Wegen	w1_d354e4590
deren	w3_d354e4593
vor	w5_d354e4596
unserer	w7_d354e4599
Rhede	w9_d354e4602
sich	w11_d354e4605
be	w13_d354e4609
findlichen	w1_d354e4614
Engländischen	w3_d354e4617
Kriegs=schiffen,	w5_d354e4620
hat	w7_d354e4623
der	w1_d354e4628
Herr	w3_d354e4631
von	w5_d354e4634
Mariac,	w7_d354e4637
von	w9_d354e4640
dem	w11_d354e4643
Senat	w13_d354e4647
500.	w15_d354e4650
Mann	w1_d354e4656
verlanget,	w3_d354e4659
die	w5_d354e4662
im	w7_d354e4665
Fall	w9_d354e4668
eines	w11_d354e4671
Angrifs	w13_d354e4675
Dienste	w1_d354e4680
bey	w3_d354e4683
denen	w5_d354e4686
Canonen	w7_d354e4689
thun	w9_d354e4692
sollen.	w11_d354e4695
Zu	w1_d354e4700
Marseille	w3_d354e4703
gebraucht	w5_d354e4706
man	w7_d354e4709
die	w9_d354e4712
nämliche	w11_d354e4715
Vorsicht.	w1_d354e4720
Von	w3_d354e4723
unsern	w5_d354e4726
12.	w7_d354e4729
Kriegs=schiffen	w9_d354e4732
</p>
<p id="p6_d354e4735">
ligen	w1_d354e4739
schon	w3_d354e4742
sechs	w5_d354e4745
Seegel=fertig	w7_d354e4748
auf	w9_d354e4751
hiesiger	w11_d354e4754
Rheede.	w1_d354e4759
</p>
<head id="h2_d354e4765">
Cöln	w1_d354e4769
16.	w3_d354e4772
May.	w5_d354e4775
</head>
<p id="p4_d354e4778">
Vorgestern	w1_d354e4782
kam	w3_d354e4785
der	w5_d354e4788
Französische	w7_d354e4791
Gene	w9_d354e4794
ral=leutenant,	w1_d354e4799
Graf	w3_d354e4802
von	w5_d354e4805
Noailles,	w7_d354e4808
alhier	w9_d354e4811
an;	w1_d354e4816
er	w3_d354e4819
hat	w5_d354e4822
sein	w7_d354e4825
Haupt=quartier	w9_d354e4828
zu	w11_d354e4831
Deutz	w13_d354e4835
genommen;	w1_d354e4841
er	w3_d354e4844
empfieng	w5_d354e4847
bei	w7_d354e4850
seiner	w9_d354e4853
Ankunft	w11_d354e4856
verschiedene	w1_d354e4861
Couriers	w3_d354e4864
vom	w5_d354e4867
Marschall	w7_d354e4870
von	w9_d354e4873
Contades,	w1_d354e4878
die	w3_d354e4881
ihn	w5_d354e4884
beorderten,	w7_d354e4887
Trupen	w9_d354e4890
Seit	w11_d354e4893
wärts	w1_d354e4898
der	w3_d354e4901
Lahne	w5_d354e4904
zu	w7_d354e4907
senden.	w9_d354e4910
Jenseit	w11_d354e4913
den	w13_d354e4917
Rhein	w1_d354e4923
cantoniren	w3_d354e4926
ungefähr	w5_d354e4929
18.	w7_d354e4932
Bataillons	w9_d354e4935
und	w1_d354e4940
8.	w3_d354e4943
bis	w5_d354e4946
