<doc id="wr_1759-07-04" attrs="word" year="1759" month="07" day="04" corpus="2">
<head id="h2_d362e3837">
Cassel	w1_d362e3841
17.	w3_d362e3844
Junii.	w5_d362e3847
</head>
<p id="p4_d362e3850">
lhier	w1_d362e3854
fanden	w3_d362e3857
die	w5_d362e3860
Franzosen	w7_d362e3863
noch	w9_d362e3866
über	w11_d362e3869
2000.	w1_d362e3874
Malter	w3_d362e3877
Früchte	w5_d362e3880
und	w7_d362e3883
einige	w9_d362e3886
1000.	w1_d362e3891
Rationen	w3_d362e3894
Fourage:	w5_d362e3897
Ferner	w7_d362e3900
die	w1_d362e3906
Bäckerey	w3_d362e3909
nebst	w5_d362e3912
denen	w7_d362e3915
dazu	w9_d362e3918
gehörigen	w11_d362e3921
Resseln,	w1_d362e3926
vielem	w3_d362e3929
Brod,	w5_d362e3932
und	w7_d362e3935
rohem	w9_d362e3938
Teich	w11_d362e3941
rc.	w13_d362e3945
Das	w1_d362e3950
Broß	w3_d362e3953
und	w5_d362e3956
den	w7_d362e3959
Teich	w9_d362e3962
theilten	w11_d362e3965
sie	w13_d362e3969
sogleich	w15_d362e3972
anter	w1_d362e3977
die	w3_d362e3980
Armen	w5_d362e3983
aus.	w7_d362e3986
Jndessen	w9_d362e3989
wird	w11_d362e3992
von	w13_d362e3996
Seiten	w1_d362e4002
der	w3_d362e4005
Franzosen	w5_d362e4008
eine	w7_d362e4011
sehr	w9_d362e4014
gute	w11_d362e4017
und	w13_d362e4021
scharfe	w1_d362e4026
Manns=zucht	w3_d362e4029
beobachtet.	w5_d362e4032
Die	w7_d362e4035
mindeste	w1_d362e4040
Ausschweiffung	w3_d362e4043
wird	w5_d362e4046
mit	w7_d362e4049
dem	w9_d362e4052
Strang	w1_d362e4057
bestraft,	w3_d362e4060
und	w5_d362e4063
alles	w7_d362e4066
für	w9_d362e4069
baar	w11_d362e4072
Geld	w13_d362e4076
Rzahlet.	w1_d362e4082
Dieses	w3_d362e4085
Glück	w5_d362e4088
haben	w7_d362e4091
wir	w9_d362e4094
Hessen,	w11_d362e4097
bey	w1_d362e4102
unserenUnglücke	w3_d362e4105
abermal	w5_d362e4108
hauptschächlich	w7_d362e4111
dem	w1_d362e4116
Herzoge	w3_d362e4119
von	w5_d362e4122
Broglie	w7_d362e4125
zu	w9_d362e4128
danken.	w11_d362e4131
Die	w13_d362e4135
ser	w1_d362e4140
Herr	w3_d362e4143
(in	w5_d362e4146
welchem	w7_d362e4149
sich	w9_d362e4152
der	w11_d362e4155
ehrliche	w13_d362e4159
Mann,	w15_d362e4162
der	w1_d362e4168
Soldat,	w3_d362e4171
und	w5_d362e4174
der	w7_d362e4177
Bürger=freund	w9_d362e4180
