<doc id="wr_1759-07-07" attrs="word" year="1759" month="07" day="07" corpus="2">
<head id="h2_d363e4291">
Anrüchte	w1_d363e4295
2.	w3_d363e4298
Stunden	w5_d363e4301
von	w7_d363e4304
Lipp	w9_d363e4307
stadt,	w1_d363e4312
14.	w3_d363e4315
Junii.	w5_d363e4318
</head>
<p id="p4_d363e4321">
1Vorgestern	w1_d363e4325
Nachts	w3_d363e4328
ist	w5_d363e4331
in	w7_d363e4334
und	w9_d363e4337
bey	w11_d363e4340
Soest	w13_d363e4344
J	w1_d363e4349
sowol	w3_d363e4352
die	w5_d363e4355
bishero	w7_d363e4358
zertrennt	w9_d363e4361
geweste	w11_d363e4364
Hof=suite,	w1_d363e4369
als	w3_d363e4372
Armee,	w5_d363e4375
zusammen	w7_d363e4378
ge	w9_d363e4381
kommen,	w1_d363e4387
und	w3_d363e4390
heute	w5_d363e4393
anhero	w7_d363e4396
marschiret.	w9_d363e4399
Der	w11_d363e4402
Bortrab	w1_d363e4407
der	w3_d363e4410
feindlichen	w5_d363e4413
Armee	w7_d363e4416
stehet	w9_d363e4419
nur	w11_d363e4422
noch	w13_d363e4426
d.	w1_d363e4431
Stunden	w3_d363e4434
von	w5_d363e4437
uns.	w7_d363e4440
Jhre	w9_d363e4443
Haupt=absicht	w11_d363e4446
scheinet	w1_d363e4451
zuvorderst	w3_d363e4454
mit	w5_d363e4457
auf	w7_d363e4460
Lippstadt	w9_d363e4463
gerich	w11_d363e4466
rer	w1_d363e4472
zu	w3_d363e4475
seyn:	w5_d363e4478
es	w7_d363e4481
ist	w9_d363e4484
also	w11_d363e4487
eine	w13_d363e4491
Haupt=bataille	w15_d363e4494
allernächst	w1_d363e4499
unvermeidlich.	w3_d363e4502
Die	w5_d363e4505
schwere	w7_d363e4508
Bagage	w1_d363e4513
unserer	w3_d363e4516
Armee	w5_d363e4519
gehet	w7_d363e4522
heute	w9_d363e4525
zurück,	w11_d363e4528
und	w1_d363e4533
der	w3_d363e4536
Erb=prinz	w5_d363e4539
ist	w7_d363e4542
heute	w9_d363e4545
mit	w11_d363e4548
allen	w13_d363e4552
Gre	w15_d363e4555
nadiers	w1_d363e4561
der	w3_d363e4564
Armee	w5_d363e4567
schon	w7_d363e4570
weiter	w9_d363e4573
vorwärts	w11_d363e4576
marschiret,	w1_d363e4581
denen	w3_d363e4584
die	w5_d363e4587
ganze	w7_d363e4590
Armee	w9_d363e4593
ver	w11_d363e4596
mütlich	w1_d363e4601
instehende	w3_d363e4604
Nacht	w5_d363e4607
folgen	w7_d363e4610
wird.	w9_d363e4613
</p>
<head id="h2_d363e4619">
Dünkirchen	w1_d363e4623
2.	w3_d363e4626
Julii.	w5_d363e4629
</head>
<p id="p4_d363e4632">
Zufolge	w1_d363e4636
deren	w3_d363e4639
Königl.	w5_d363e4642
Befehlen	w7_d363e4645
arbeitet	w9_d363e4648
man	w1_d363e4653
gegenwärtig	w3_d363e4656
alhier	w5_d363e4659
aufs	w7_d363e4662
eifrigste	w9_d363e4665
an	w11_d363e4668
Erbauung	w1_d363e4673
50.	w3_d363e4676
sehr	w5_d363e4679
grosser	w7_d363e4682
platter	w9_d363e4685
Fahr	w11_d363e4688
zeugen.	w1_d363e4694
Man	w3_d363e4697
gebraucht	w5_d363e4700
hierzu	w7_d363e4703
2000.	w9_d363e4706
Zim	w11_d363e4709
</p>
<p id="p6_d363e4712">
mer=leute,	w1_d363e4716
und	w3_d363e4719
bey	w5_d363e4722
400.	w7_d363e4725
Bretter=schneider.	w9_d363e4728
Jn	w1_d363e4733
jedem	w3_d363e4736
dieser	w5_d363e4739
Schiffe	w7_d363e4742
kan	w9_d363e4745
man	w11_d363e4748
leicht	w13_d363e4752
lich	w1_d363e4757
300.	w3_d363e4760
Mann	w5_d363e4763
Fuß=volk,	w7_d363e4766
oder	w9_d363e4769
50.	w11_d363e4772
Rei	w13_d363e4776
ter	w1_d363e4782
nebst	w3_d363e4785
ihren	w5_d363e4788
Pferden	w7_d363e4791
und	w9_d363e4794
Bagage	w11_d363e4797
über	w13_d363e4801
schiffen.	w1_d363e4806
Diese	w3_d363e4809
Schiffe,	w5_d363e4812
deren	w7_d363e4815
Erfindung	w9_d363e4818
so	w1_d363e4823
sinnreich	w3_d363e4826
als	w5_d363e4829
nützlich	w7_d363e4832
ist,	w9_d363e4835
sind	w11_d363e4838
so	w13_d363e4842
erbauet,	w15_d363e4845
daß	w1_d363e4850
die	w3_d363e4853
Cavallerie	w5_d363e4856
fast	w7_d363e4859
überall	w9_d363e4862
en	w11_d363e4865
Ordre	w13_d363e4869
de	w1_d363e4875
Bataille	w3_d363e4878
an	w5_d363e4881
das	w7_d363e4884
Land	w9_d363e4887
steigen	w11_d363e4890
kan.	w13_d363e4894
</p>
<head id="h2_d363e4900">
Paderborn	w1_d363e4904
24.	w3_d363e4907
Junii.	w5_d363e4910
</head>
<p id="p4_d363e4913">
Die	w1_d363e4917
Alliirte	w3_d363e4920
ziehen	w5_d363e4923
sich	w7_d363e4926
immer	w9_d363e4929
stärker	w11_d363e4932
nach	w1_d363e4937
der	w3_d363e4940
Weser,	w5_d363e4943
Den	w7_d363e4946
20.	w9_d363e4949
hatte	w11_d363e4952
der	w13_d363e4956
Prinz	w15_d363e4959
Ferdinand	w1_d363e4964
