<doc id="wr_1759-07-18" attrs="word" year="1759" month="07" day="18" corpus="2">
<head id="h2_d365e3112">
Oldendorf	w1_d365e3116
2.	w3_d365e3119
Julii.	w5_d365e3122
</head>
<p id="p4_d365e3125">
Witberg	w1_d365e3129
war	w3_d365e3132
noch	w5_d365e3135
den	w7_d365e3138
27.	w9_d365e3141
Junii	w11_d365e3144
das	w13_d365e3148
Haupt=quartier	w1_d365e3153
der	w3_d365e3156
Alliirten	w5_d365e3159
Armee.	w7_d365e3162
)(	w1_d365e3167
Der	w1_d365e3173
rechte	w3_d365e3176
Flügel	w5_d365e3179
dehnet	w7_d365e3182
sich	w9_d365e3185
gegen	w11_d365e3188
Appstadt,	w1_d365e3193
und	w3_d365e3196
der	w5_d365e3199
linke	w7_d365e3202
extendirt	w9_d365e3205
sich	w11_d365e3208
ins	w13_d365e3212
Ra	w15_d365e3215
densbergische,	w1_d365e3220
um	w3_d365e3223
hierdurch	w5_d365e3226
nicht	w7_d365e3229
nur	w9_d365e3232
das	w11_d365e3235
Münsterische	w1_d365e3240
zu	w3_d365e3243
decke,	w5_d365e3246
sondern	w7_d365e3249
auch	w9_d365e3252
allenfalls	w11_d365e3255
das	w1_d365e3261
Wangenheimische	w3_d365e3264
Corps	w5_d365e3267
bey	w7_d365e3270
Dulmen	w9_d365e3273
unterstützen	w1_d365e3278
zu	w3_d365e3281
können.	w5_d365e3284
Der	w7_d365e3287
Herr	w9_d365e3290
Gene	w11_d365e3293
rel	w1_d365e3298
Hardenberg,	w3_d365e3301
welcher	w5_d365e3304
zu	w7_d365e3307
Lippstadt	w9_d365e3310
com	w11_d365e3313
mandirt,	w1_d365e3318
hat	w3_d365e3321
den	w5_d365e3324
22.	w7_d365e3327
einen	w9_d365e3330
Ausfall	w11_d365e3333
gethan,	w13_d365e3337
und	w1_d365e3343
hiebey	w3_d365e3346
einige	w5_d365e3349
Gefangene	w7_d365e3352
gemacht.	w9_d365e3355
Den	w11_d365e3358
1.	w1_d365e3363
hörte	w3_d365e3366
man	w5_d365e3369
ein	w7_d365e3372
starkes	w9_d365e3375
Canoniren	w11_d365e3378
aus	w13_d365e3382
dieser	w1_d365e3387
Stadt,	w3_d365e3390
und	w5_d365e3393
man	w7_d365e3396
vermutet,	w9_d365e3399
daß	w11_d365e3402
es	w13_d365e3406
auf	w1_d365e3411
die	w3_d365e3414
recognoscirende	w5_d365e3417
Französische	w7_d365e3420
Trupen	w9_d365e3423
gewesen.	w1_d365e3429
Die	w3_d365e3432
Armee	w5_d365e3435
muß	w7_d365e3438
täglich	w9_d365e3441
in	w11_d365e3444
Schlacht=ordnung	w1_d365e3449
rücken,	w3_d365e3452
alleine	w5_d365e3455
man	w7_d365e3458
schliest	w9_d365e3461
aus	w1_d365e3466
der	w3_d365e3469
bereits	w5_d365e3472
voraus	w7_d365e3475
geschickten	w9_d365e3478
schweren	w11_d365e3481
Bagage,	w1_d365e3486
und	w3_d365e3489
den	w5_d365e3492
beständig	w7_d365e3495
abgehenden	w9_d365e3498
klei	w11_d365e3501
nen	w1_d365e3507
Corps,	w3_d365e3510
daß	w5_d365e3513
es	w7_d365e3516
ehestens	w9_d365e3519
zum	w11_d365e3522
Abmarsch	w13_d365e3526
Lommen,	w1_d365e3531
und	w3_d365e3534
die	w5_d365e3537
Armee	w7_d365e3540
sich	w9_d365e3543
der	w11_d365e3546
Weser	w13_d365e3550
</p>
<p id="p6_d365e3553">
nähern	w1_d365e3557
werde.	w3_d365e3560
Das	w5_d365e3563
Hospital	w7_d365e3566
von	w9_d365e3569
Mün	w11_d365e3572
ster	w1_d365e3577
ist	w3_d365e3580
über	w5_d365e3583
Osnabrüg	w7_d365e3586
abgeführt	w9_d365e3589
worden,	w11_d365e3592
auch	w1_d365e3597
dörfte	w3_d365e3600
nach	w5_d365e3603
einigen	w7_d365e3606
Berichten	w9_d365e3609
erstere	w11_d365e3612
Stadt	w1_d365e3618
nächstens	w3_d365e3621
von	w5_d365e3624
denen	w7_d365e3627
Hanoveranern	w9_d365e3630
geräumet	w1_d365e3635
werden.	w3_d365e3638
Die	w5_d365e3641
Französische	w7_d365e3644
Armee	w9_d365e3647
steht	w1_d365e3652
noch	w3_d365e3655
zu	w5_d365e3658
Paderborn,	w7_d365e3661
und	w9_d365e3664
ihre	w11_d365e3667
Vor	w13_d365e3671
posten	w1_d365e3676
sind	w3_d365e3679
von	w5_d365e3682
denen	w7_d365e3685
Alliirten	w9_d365e3688
nur	w11_d365e3691
1.	w13_d365e3695
Stunde	w1_d365e3701
entfernet,	w3_d365e3704
auch	w5_d365e3707
ist	w7_d365e3710
das	w9_d365e3713
Corps	w11_d365e3716
de	w13_d365e3720
Reserve	w1_d365e3725
des	w3_d365e3728
Herrn	w5_d365e3731
Herzogs	w7_d365e3734
von	w9_d365e3737
Broglie	w11_d365e3740
mit	w1_d365e3745
verschiedenen	w3_d365e3748
Bataillons	w5_d365e3751
und	w7_d365e3754
allen	w9_d365e3757
Grenadiers	w1_d365e3762
verstärkt	w3_d365e3765
worden,	w5_d365e3768
so,	w7_d365e3771
daß	w9_d365e3774
es	w11_d365e3777
seyn	w1_d365e3783
scheinet.	w3_d365e3786
Nach	w5_d365e3789
denen	w7_d365e3792
Berichten	w9_d365e3795
aus	w11_d365e3798
Münster	w1_d365e3803
vom	w3_d365e3806
24.	w5_d365e3809
Junii,	w7_d365e3812
stehet	w9_d365e3815
der	w11_d365e3818
Herr	w13_d365e3822
General	w1_d365e3827
von	w3_d365e3830
Wangenheim	w5_d365e3833
noch	w7_d365e3836
in	w9_d365e3839
dem	w11_d365e3842
verretranschirten	w1_d365e3847
Lager	w3_d365e3850
bey	w5_d365e3853
Dulmen.	w7_d365e3856
Zu	w9_d365e3859
Münster	w1_d365e3865
selbst	w3_d365e3868
arbeitet	w5_d365e3871
