<doc id="wr_1759-08-08" attrs="word" year="1759" month="08" day="08" corpus="2">
<head id="h2_d371e4010">
Münster	w4_d371e4013
23.	w6_d371e4017
Julii.	w8_d371e4020
</head>
<p id="p4_d371e4023">
Jeser	w4_d371e4026
ganze	w6_d371e4030
Monat	w8_d371e4033
war	w10_d371e4036
sehr	w12_d371e4039
unru	w14_d371e4043
)hig	w17_d371e4047
für	w19_d371e4051
uns,	w21_d371e4054
und	w23_d371e4057
er	w25_d371e4061
wird	w27_d371e4064
es	w29_d371e4067
auch	w31_d371e4070
wol	w34_d371e4074
noch	w36_d371e4079
bis	w38_d371e4082
zu	w40_d371e4085
seinem	w42_d371e4088
Ende	w44_d371e4091
blei	w46_d371e4094
den.	w49_d371e4099
Bereits	w51_d371e4103
am	w53_d371e4106
7.	w55_d371e4109
dieses	w57_d371e4112
ließ	w59_d371e4116
sich	w61_d371e4119
der	w63_d371e4122
anzösische	w66_d371e4126
General	w68_d371e4130
von	w70_d371e4134
Chabot	w72_d371e4137
mit	w74_d371e4140
denen	w76_d371e4143
Königl.	w79_d371e4147
Freywilligen	w81_d371e4152
vor	w83_d371e4155
unserer	w85_d371e4158
Stadt	w87_d371e4161
se	w89_d371e4164
hen.	w92_d371e4169
Das	w94_d371e4173
Scharmutziren	w96_d371e4176
gieng	w98_d371e4179
sogleich	w100_d371e4182
an,	w102_d371e4185
man	w105_d371e4190
canonirte	w107_d371e4194
sehr	w109_d371e4197
stark,	w111_d371e4200
und	w113_d371e4203
sperrete	w115_d371e4207
die	w117_d371e4210
Thore.	w120_d371e4214
Den	w122_d371e4218
9.	w124_d371e4221
rückte	w126_d371e4225
auch	w128_d371e4228
der	w130_d371e4231
Marquis	w132_d371e4234
dArmentieres	w135_d371e4238
mit	w137_d371e4243
seinem	w139_d371e4246
Corps	w141_d371e4249
an,	w143_d371e4252
und	w145_d371e4255
lagerte	w148_d371e4260
sich	w150_d371e4264
rund	w152_d371e4267
um	w154_d371e4270
die	w156_d371e4273
Stadt.	w158_d371e4276
Vom	w160_d371e4280
kr.	w163_d371e4284
bis	w165_d371e4288
zum	w167_d371e4291
12.	w169_d371e4294
wagten	w171_d371e4298
2.	w173_d371e4301
bis	w175_d371e4304
3000.	w177_d371e4307
Freywillige	w180_d371e4311
einen	w182_d371e4316
Sturm,	w184_d371e4319
wobey	w186_d371e4322
ein	w188_d371e4325
gräß	w190_d371e4328
liches	w193_d371e4333
Feuer	w195_d371e4337
gemacht	w197_d371e4340
wurde,	w199_d371e4343
so,	w201_d371e4346
daß	w203_d371e4349
die	w205_d371e4353
Kugeln	w208_d371e4357
in	w210_d371e4361
und	w212_d371e4364
ausser	w214_d371e4367
der	w216_d371e4371
Stadt	w218_d371e4374
flogen;	w220_d371e4377
es	w223_d371e4381
hielt	w225_d371e4385
der	w227_d371e4389
Feuer=regen	w229_d371e4392
bis	w231_d371e4395
früh	w233_d371e4398
um	w235_d371e4401
3.	w237_d371e4404
Uhr	w240_d371e4409
an,	w242_d371e4413
wobey	w244_d371e4416
die	w246_d371e4419
unter	w248_d371e4422
denen	w250_d371e4426
Canonen	w252_d371e4429
stehende	w255_d371e4433
Franzosen	w257_d371e4437
einen	w259_d371e4440
ziemlichen	w261_d371e4444
Verlust	w263_d371e4447
hatten;	w266_d371e4451
sie	w268_d371e4455
zogen	w270_d371e4458
sich	w272_d371e4462
deßhalb	w274_d371e4465
zurück,	w276_d371e4468
und	w278_d371e4471
es	w281_d371e4475
geschahe	w283_d371e4480
bis	w285_d371e4483
an	w287_d371e4486
20.	w289_d371e4489
nichts,	w291_d371e4492
als	w293_d371e4495
dann	w295_d371e4499
</p>
<p id="p6_d371e4502">
und	w4_d371e4505
wann	w6_d371e4509
ein	w8_d371e4512
kleiner	w10_d371e4515
Scharmützel.	w12_d371e4518
Den	w14_d371e4522
21	w17_d371e4526
erfuhr	w19_d371e4530
man,	w21_d371e4533
daß	w23_d371e4536
hinter	w25_d371e4540
der	w27_d371e4543
Ci	w29_d371e4546
tadelle	w32_d371e4550
zwischen	w34_d371e4554
dem	w36_d371e4558
Höxter	w38_d371e4561
und	w40_d371e4564
Neubru	w42_d371e4567
cker=thore	w45_d371e4571
Französische	w47_d371e4576
Baterien	w49_d371e4579
und	w51_d371e4582
Lauf	w53_d371e4585
graben	w56_d371e4589
aufgeworfen	w58_d371e4594
würden;	w60_d371e4597
zum	w62_d371e4600
Trost	w64_d371e4603
deren	w67_d371e4607
Einwohner	w69_d371e4612
richtete	w71_d371e4615
man	w73_d371e4618
die	w75_d371e4621
Schieß	w77_d371e4624
löcher	w80_d371e4629
sämtlich	w82_d371e4633
nach	w84_d371e4636
denen	w86_d371e4639
Batterien,	w88_d371e4642
und	w90_d371e4645
in	w93_d371e4650
die	w95_d371e4654
Wälle,	w97_d371e4657
so,	w99_d371e4660
daß	w101_d371e4663
nur	w103_d371e4667
kleine	w105_d371e4670
Kugeln	w107_d371e4673
in	w110_d371e4677
die	w112_d371e4681
Stadt	w114_d371e4685
kamen.	w116_d371e4688
Den	w118_d371e4691
22.	w120_d371e4694
früh	w122_d371e4697
um	w124_d371e4700
3.	w127_d371e4705
Uhr	w129_d371e4709
fiengen	w131_d371e4712
die	w133_d371e4715
Französische	w135_d371e4718
Batterien	w137_d371e4722
schon	w140_d371e4726
an	w142_d371e4730
mit	w144_d371e4733
18	w146_d371e4736
20.	w148_d371e4740
27	w150_d371e4743
und	w152_d371e4746
30=pfündigen	w154_d371e4749
Canonen=kugeln	w157_d371e4753
zu	w159_d371e4758
spielen,	w161_d371e4761
so,	w163_d371e4764
daß	w165_d371e4767
die	w167_d371e4770
Batterien	w170_d371e4775
und	w172_d371e4779
Ravelinen	w174_d371e4782
an	w176_d371e4785
denen	w178_d371e4788
2.	w180_d371e4791
Thören	w182_d371e4795
schon	w185_d371e4799
Vormittags	w187_d371e4803
demontiret,	w189_d371e4806
und	w191_d371e4809
zernich	w193_d371e4813
tet	w196_d371e4817
waren.	w198_d371e4821
Der	w200_d371e4824
Gouverneur,	w202_d371e4827
welcher	w204_d371e4831
ei	w206_d371e4834
nen	w209_d371e4838
neuen	w211_d371e4842
Sturm	w213_d371e4845
vermutete,	w215_d371e4849
beschloß	w217_d371e4852
alles	w220_d371e4856
mögliche	w222_d371e4860
von	w224_d371e4863
Canonen	w226_d371e4867
und	w228_d371e4870
Mörsern	w230_d371e4873
auf	w233_d371e4877
die	w235_d371e4881
Citadelle	w237_d371e4885
zu	w239_d371e4888
bringen;	w241_d371e4891
er	w243_d371e4894
ließ	w245_d371e4897
das	w247_d371e4900
Heu=magazin	w250_d371e4905
anzünden,	w252_d371e4909
verließ	w254_d371e4912
gegen	w256_d371e4915
12.	w258_d371e4918
Uhr	w261_d371e4923
die	w263_d371e4927
Haupt	w265_d371e4930
und	w267_d371e4933
Thor=wachen,	w269_d371e4936
und	w271_d371e4940
begabe	w273_d371e4943
sich	w276_d371e4947
</p>
<p id="p10_d371e4953">
sich	w4_d371e4956
mit	w6_d371e4960
der	w8_d371e4963
ganzen	w10_d371e4966
Garnison	w12_d371e4969
auf	w14_d371e4973
die	w16_d371e4976
tadelle.	w19_d371e4980
Es	w21_d371e4984
bestunde	w23_d371e4987
diese	w25_d371e4991
Garnison	w27_d371e4994
in	w29_d371e4997
Commandirten	w32_d371e5001
von	w34_d371e5005
Wagenheimischen	w36_d371e5009
Corps,	w38_d371e5012
in	w41_d371e5016
denen	w43_d371e5020
Hanovrischen	w45_d371e5023
Jnvaliden,	w47_d371e5027
in	w49_d371e5030
2.	w51_d371e5033
Heßischen	w54_d371e5037
Land=regimentern,	w56_d371e5041
und	w58_d371e5045
dem	w60_d371e5048
ganzen	w63_d371e5052
Scheiterischen	w65_d371e5056
Corps,	w67_d371e5059
beyläuffig	w69_d371e5063
3000.	w72_d371e5067
Köpfe.	w74_d371e5071
Um	w76_d371e5074
Mittag	w78_d371e5077
war	w80_d371e5081
die	w82_d371e5084
Stadt	w84_d371e5087
leer,	w87_d371e5091
und	w89_d371e5095
die	w91_d371e5099
Franzosen	w93_d371e5102
müssen	w95_d371e5105
solches	w97_d371e5108
er	w99_d371e5111
fahren	w102_d371e5116
haben,	w104_d371e5120
dann	w106_d371e5123
sie	w108_d371e5126
hörten	w110_d371e5129
auf	w112_d371e5132
einmal	w114_d371e5136
mit	w117_d371e5140
dem	w119_d371e5144
angedauerten	w121_d371e5147
Canoniren	w123_d371e5150
auf.	w125_d371e5154
Et	w127_d371e5157
liche	w130_d371e5161
Franzosen	w132_d371e5165
schwommen	w134_d371e5168
durch	w136_d371e5172
den	w138_d371e5175
Gra	w140_d371e5178
ben,	w143_d371e5182
und	w145_d371e5186
haueten	w147_d371e5190
das	w149_d371e5193
Höxter=thor	w151_d371e5196
auf,	w153_d371e5199
wo	w156_d371e5203
dann	w158_d371e5208
Nachmittags	w160_d371e5211
um	w162_d371e5214
2.	w164_d371e5217
Uhr	w166_d371e5220
unter	w168_d371e5223
schiedliche	w171_d371e5228
Piqueter	w173_d371e5232
mit	w175_d371e5235
ihren	w177_d371e5238
Officiers	w179_d371e5241
ein	w181_d371e5245
rückten,	w184_d371e5249
denen	w186_d371e5253
3.	w188_d371e5256
