<doc id="wr_1759-09-01" attrs="word" year="1759" month="09" day="01" corpus="2">
<head id="h2_d378e3575">
Düsseldorf	w1_d378e3579
19.	w3_d378e3582
Augusti.	w5_d378e3585
</head>
<p id="p4_d378e3588">
Je	w1_d378e3592
Armee	w3_d378e3595
deren	w5_d378e3598
Alliirten	w7_d378e3601
(deren	w9_d378e3604
/	w1_d378e3609
Haupt=quartier	w3_d378e3612
den	w5_d378e3615
10.	w7_d378e3618
dieses	w9_d378e3621
noch	w11_d378e3624
zu	w1_d378e3629
Paderborn	w3_d378e3632
war,	w5_d378e3635
als	w7_d378e3638
wohin	w9_d378e3641
es	w11_d378e3644
den	w1_d378e3650
9.	w3_d378e3653
verlegt	w5_d378e3656
worden)	w7_d378e3659
ist	w9_d378e3662
von	w11_d378e3665
da	w13_d378e3669
den	w15_d378e3672
11.	w17_d378e3675
nach	w1_d378e3680
Stadtbergen	w3_d378e3683
aufgebrochen.	w5_d378e3686
Den	w7_d378e3689
12.	w9_d378e3692
war	w1_d378e3697
allda	w3_d378e3700
das	w5_d378e3703
Haupt=quartier	w7_d378e3706
des	w9_d378e3709
Prin	w11_d378e3712
zens	w1_d378e3717
Ferdinand,	w3_d378e3720
und	w5_d378e3723
den	w7_d378e3726
13.	w9_d378e3729
hat	w11_d378e3732
der	w13_d378e3736
Marsch	w15_d378e3739
von	w1_d378e3745
da	w3_d378e3748
weiter	w5_d378e3751
ins	w7_d378e3754
Heßische,	w9_d378e3757
und	w11_d378e3760
wie	w13_d378e3764
es	w15_d378e3767
hieß,	w1_d378e3772
gegen	w3_d378e3775
Fritzlar	w5_d378e3778
gehen	w7_d378e3781
sollen.	w9_d378e3784
Der	w11_d378e3787
Herr	w1_d378e3792
General	w3_d378e3795
von	w5_d378e3798
Wangenheim	w7_d378e3801
ist	w9_d378e3804
den	w11_d378e3807
12.	w1_d378e3812
dahin	w3_d378e3815
schon	w5_d378e3818
im	w7_d378e3821
Anmarsch	w9_d378e3824
gewesen,	w11_d378e3827
und	w1_d378e3833
den	w3_d378e3836
11.	w5_d378e3839
hat	w7_d378e3842
der	w9_d378e3845
Erb=prinz	w11_d378e3848
von	w13_d378e3852
Braun	w15_d378e3855
schweig	w1_d378e3860
Münden,	w3_d378e3863
welches	w5_d378e3866
die	w7_d378e3869
Französische	w9_d378e3872
Trupen	w1_d378e3877
verlassen,	w3_d378e3880
occupirt.	w5_d378e3883
Das	w7_d378e3886
bisher	w9_d378e3889
im	w1_d378e3894
Marsch	w3_d378e3897
über	w5_d378e3900
Einbeck,	w7_d378e3903
Nordheim,	w9_d378e3906
Göt	w11_d378e3909
lungen	w1_d378e3915
