<doc id="wr_1759-09-08" attrs="word" year="1759" month="09" day="08" corpus="2">
<head id="h2_d379e4399">
Königsberg	w1_d379e4403
22.	w3_d379e4406
Aug.	w5_d379e4409
</head>
<p id="p4_d379e4412">
En	w1_d379e4416
18.	w3_d379e4419
dieses	w5_d379e4422
gieng	w7_d379e4425
der	w9_d379e4428
Brigadier	w11_d379e4431
Fürst	w1_d379e4436
Chowänski,	w3_d379e4439
von	w5_d379e4442
der	w7_d379e4445
Armee	w9_d379e4448
kommend,	w1_d379e4453
als	w3_d379e4456
Currier	w5_d379e4459
hier	w7_d379e4462
durch	w9_d379e4465
nach	w1_d379e4471
St.	w3_d379e4474
Petersburg;	w5_d379e4477
es	w7_d379e4480
brachte	w9_d379e4483
derselbe	w11_d379e4486
die	w1_d379e4491
höchst=erfreuliche	w3_d379e4494
Nachricht	w5_d379e4497
mit,	w7_d379e4500
daß	w9_d379e4503
Jhrer	w1_d379e4508
Kaiserl.	w3_d379e4511
Majestät,	w5_d379e4514
unserer	w7_d379e4517
allergnädig	w9_d379e4520
sten	w1_d379e4525
Monarchin,	w3_d379e4528
unter	w5_d379e4531
dem	w7_d379e4534
Commando	w9_d379e4537
Nr.	w1_d379e4543
Excellenz	w3_d379e4546
des	w5_d379e4549
Hrn.	w7_d379e4552
Generals	w9_d379e4555
en	w11_d379e4558
Che	w13_d379e4562
und	w1_d379e4567
Ritters,	w3_d379e4570
Grafens	w5_d379e4573
Soltikof	w7_d379e4576
stehende	w9_d379e4579
Ar	w11_d379e4582
mie,	w1_d379e4587
den	w3_d379e4590
12.	w5_d379e4593
dieses	w7_d379e4596
bey	w9_d379e4599
Frankfort	w11_d379e4602
an	w13_d379e4606
der	w15_d379e4609
Dder	w1_d379e4614
über	w3_d379e4617
die	w5_d379e4620
Preußische	w7_d379e4623
Armee,	w9_d379e4626
unter	w11_d379e4629
Anführung	w1_d379e4635
des	w3_d379e4638
Königs,	w5_d379e4641
einen	w7_d379e4644
der	w9_d379e4647
voll	w1_d379e4652
kommnesten	w1_d379e4657
Siegen	w3_d379e4660
erfochten	w5_d379e4663
habe.	w7_d379e4666
Den	w1_d379e4671
17.	w1_d379e4677
wurde	w3_d379e4680
hierauf	w5_d379e4683
in	w7_d379e4686
der	w9_d379e4689
hiesigen	w11_d379e4692
Griechi	w13_d379e4696
schen	w1_d379e4701
Kirche,	w3_d379e4704
in	w5_d379e4707
