<doc id="wr_1759-10-27" attrs="word" year="1759" month="10" day="27" corpus="2">
<head id="h2_d392e4020">
Altona	w1_d392e4024
10.	w3_d392e4027
Oct.	w5_d392e4030
</head>
<p id="p4_d392e4033">
dEy	w1_d392e4037
der	w3_d392e4040
Königl.	w5_d392e4043
Schwedischen	w7_d392e4046
Armee,	w9_d392e4049
88)welche	w1_d392e4054
noch	w3_d392e4057
den	w5_d392e4060
6.	w7_d392e4063
dieses	w9_d392e4066
zu	w11_d392e4069
Passe	w13_d392e4073
walk	w1_d392e4078
ware,	w3_d392e4081
ist	w5_d392e4084
seit	w7_d392e4087
dem	w9_d392e4090
2.	w11_d392e4093
nichts	w13_d392e4097
weiter	w1_d392e4103
vorgefallen,	w3_d392e4106
als	w5_d392e4109
daß	w7_d392e4112
der	w9_d392e4115
Herr	w11_d392e4118
Ge	w13_d392e4122
neral	w1_d392e4127
en	w3_d392e4130
Chef	w5_d392e4133
den	w7_d392e4136
4.	w9_d392e4139
dieses	w11_d392e4142
den	w13_d392e4146
Herrn	w15_d392e4149
Ge	w17_d392e4152
neral=major	w1_d392e4157
Grafen	w3_d392e4160
von	w5_d392e4163
Hessenstein	w7_d392e4166
be	w9_d392e4169
fehligte,	w1_d392e4174
die	w3_d392e4177
Preußische	w5_d392e4180
Trupen,	w7_d392e4183
welche	w9_d392e4186
sich	w1_d392e4192
zwischen	w3_d392e4195
Passewalk	w5_d392e4198
und	w7_d392e4201
Löknitz	w9_d392e4204
aufhiel	w11_d392e4207
ten,	w1_d392e4212
und	w3_d392e4215
die	w5_d392e4218
Subsistenz	w7_d392e4221
im	w9_d392e4224
Lager	w11_d392e4227
schwer	w13_d392e4231
machten,	w1_d392e4236
von	w3_d392e4239
da	w5_d392e4242
über	w7_d392e4245
den	w9_d392e4248
Randow=strom	w11_d392e4251
zu	w1_d392e4256
vertreiben.	w3_d392e4259
Die	w5_d392e4262
Preußische	w7_d392e4265
Trupen	w9_d392e4268
konnten	w1_d392e4274
ungefähr	w3_d392e4277
2500.	w5_d392e4280
Mann	w7_d392e4283
stark	w9_d392e4286
seyn,	w11_d392e4289
und	w1_d392e4294
stelleten	w3_d392e4297
sich	w5_d392e4300
Anfangs	w7_d392e4303
als	w9_d392e4306
wolten	w11_d392e4309
sie	w13_d392e4313
Wi	w15_d392e4316
derstand	w1_d392e4321
thun;	w3_d392e4324
nachdeme	w5_d392e4327
aber	w7_d392e4330
eine	w9_d392e4333
kleine	w11_d392e4336
Weile	w1_d392e4341
scharmutzirt	w3_d392e4344
worden,	w5_d392e4347
wobey	w7_d392e4350
nichts	w9_d392e4353
sonders	w1_d392e4359
vorfiel,	w3_d392e4362
als	w5_d392e4365
daß	w7_d392e4368
einige	w9_d392e4371
Hussaren	w11_d392e4374
zu	w1_d392e4379
Kriegs=gefangenen	w3_d392e4382
gemacht,	w5_d392e4385
und	w7_d392e4388
eini	w9_d392e4391
ge	w1_d392e4396
Canonen	w3_d392e4399
beyderseits	w5_d392e4402
ohne	w7_d392e4405
Würkung	w9_d392e4408
gelöset	w11_d392e4411
wurden,	w1_d392e4416
so	w3_d392e4419
zogen	w5_d392e4422
die	w7_d392e4425
Preußen	w9_d392e4428
sich	w11_d392e4431
zurücke.	w13_d392e4435
Die	w1_d392e4441
in	w3_d392e4444
diesem	w5_d392e4447
coupirten	w7_d392e4450
Lande	w9_d392e4453
zum	w11_d392e4456
Vortheil	w13_d392e4460
