<doc id="wr_1759-12-05" attrs="word" year="1759" month="12" day="05" corpus="2">
<head id="h2_d403e4038">
Werra=strom	w1_d403e4042
23.	w3_d403e4045
Nov.	w5_d403e4048
</head>
<p id="p4_d403e4051">
Us	w1_d403e4055
dem	w3_d403e4058
Heßischen	w5_d403e4061
geben	w7_d403e4064
die	w9_d403e4067
Nach	w11_d403e4070
richten,	w1_d403e4077
daß	w3_d403e4080
die	w5_d403e4083
Würtembergische	w7_d403e4086
L.	w1_d403e4091
Hussaren	w1_d403e4097
bis	w3_d403e4100
Rotenburg,	w5_d403e4103
4.	w7_d403e4106
Stund	w9_d403e4109
über	w1_d403e4114
Hirschfeld	w3_d403e4117
vorgerucket,	w5_d403e4120
und	w7_d403e4123
dem	w9_d403e4126
Für	w11_d403e4129
stentum	w1_d403e4134
Hirschfeld	w3_d403e4137
eine	w5_d403e4140
Contribution	w7_d403e4143
von	w9_d403e4146
100000.	w1_d403e4151
fl.	w3_d403e4154
samt	w5_d403e4157
einer	w7_d403e4160
Fourage=lieferung	w9_d403e4163
von	w1_d403e4169
100000.	w3_d403e4172
Portionen	w5_d403e4175
und	w7_d403e4178
Rationen	w9_d403e4181
auf	w11_d403e4184
erleget,	w1_d403e4189
dieserhalben	w3_d403e4192
auch	w5_d403e4195
die	w7_d403e4198
Geiseln	w9_d403e4201
in	w11_d403e4204
das	w1_d403e4209
Haupt=quartier	w3_d403e4212
des	w5_d403e4215
Herrn	w7_d403e4218
Herzogens	w9_d403e4221
zu	w1_d403e4226
Würtemberg	w3_d403e4229
allschon	w5_d403e4232
gebracht	w7_d403e4235
worden.	w9_d403e4238
</p>
<head id="h2_d403e4244">
Hamburg	w1_d403e4248
20.	w3_d403e4251
Nov.	w5_d403e4254
</head>
<p id="p4_d403e4257">
Nach	w1_d403e4261
dem	w3_d403e4264
Jnnhalt	w5_d403e4267
deren	w7_d403e4270
neuesten	w9_d403e4273
Be	w11_d403e4276
richten	w1_d403e4281
aus	w3_d403e4284
Pommern	w5_d403e4287
hat	w7_d403e4290
sich	w9_d403e4293
die	w11_d403e4296
Königl.	w13_d403e4300
Schwedische	w1_d403e4305
Armee	w3_d403e4308
nunmehro	w5_d403e4311
gänzlich	w7_d403e4314
ge	w9_d403e4317
gen	w1_d403e4323
Stralsund	w3_d403e4326
gezogen.	w5_d403e4329
Der	w7_d403e4332
General	w9_d403e4335
Manntenfel	w1_d403e4340
stehet	w3_d403e4343
gegenwärtig	w5_d403e4346
mit	w7_d403e4349
seinem	w9_d403e4352
Corpo	w1_d403e4357
bey	w3_d403e4360
Anclam,	w5_d403e4363
welche	w7_d403e4366
Stadt,	w9_d403e4369
wie	w11_d403e4372
jüngsthin	w1_d403e4377
gemeldet	w3_d403e4380
worden,	w5_d403e4383
wieder	w7_d403e4386
in	w9_d403e4389
Preus	w11_d403e4392
sischen	w1_d403e4398
Händen	w3_d403e4401
ist.	w5_d403e4404
Bey	w7_d403e4407
dem	w9_d403e4410
Abmarsch	w11_d403e4413
</p>
<p id="p6_d403e4416">
deren	w1_d403e4420
Königl.	w3_d403e4423
Schwedischen	w5_d403e4426
Trupen	w7_d403e4429
sollte	w9_d403e4432
sie	w1_d403e4437
84000.	w3_d403e4440
Thaler	w5_d403e4443
an	w7_d403e4446
Contribution	w9_d403e4449
erle	w11_d403e4452
gen,	w1_d403e4457
diese	w3_d403e4460
Summe	w5_d403e4463
aber	w7_d403e4466
ist	w9_d403e4469
bis	w11_d403e4472
auf	w13_d403e4476
42000.	w15_d403e4479
Thaler	w1_d403e4485
moderirt	w3_d403e4488
worden.	w5_d403e4491
Der	w7_d403e4494
Preußische	w9_d403e4497
Ob	w1_d403e4502
iste	w1_d403e4507
von	w3_d403e4510
Belling	w5_d403e4513
ist	w7_d403e4516
mit	w9_d403e4519
denen	w11_d403e4522
Hussaren	w13_d403e4526
bey	w1_d403e4531
Stolte	w3_d403e4534
über	w5_d403e4537
die	w7_d403e4540
Peene	w9_d403e4543
gegangen.	w11_d403e4546
</p>
<head id="h2_d403e4552">
Hanau	w1_d403e4556
27.	w3_d403e4559
Nov.	w5_d403e4562
</head>
<p id="p4_d403e4565">
Den	w1_d403e4569
25.	w3_d403e4572
dieses	w5_d403e4575
kam	w7_d403e4578
alhier	w9_d403e4581
der	w11_d403e4584
zweyte	w13_d403e4588
Tragsport,	w1_d403e4593
der	w3_d403e4596
schon	w5_d403e4599
erwehnten	w7_d403e4602
zu	w9_d403e4605
Mag	w11_d403e4608
deburg	w1_d403e4613
ausgerechselten	w3_d403e4616
Kriegs=gefangenen	w5_d403e4619
an,	w1_d403e4625
und	w3_d403e4628
diese	w5_d403e4631
wurden	w7_d403e4634
so,	w9_d403e4637
wie	w11_d403e4640
die	w13_d403e4644
ersten	w15_d403e4647
bey	w1_d403e4652
denen	w3_d403e4655
Einwohnern	w5_d403e4658
einquartiert.	w7_d403e4661
</p>
<list id="l6_d403e4664">
Die	w1_d403e4668
Herzogl.	w3_d403e4671
Würtembergische	w5_d403e4674
Trupen,	w7_d403e4677
welche	w1_d403e4682
bereits	w3_d403e4685
ins	w5_d403e4688
Fuldische	w7_d403e4691
eingerückt,	w9_d403e4694
sind	w1_d403e4699
den	w3_d403e4702
18.	w5_d403e4705
zu	w7_d403e4708
Hammelburg	w9_d403e4711
an	w11_d403e4714
der	w13_d403e4718
Saale	w15_d403e4721
eingetroffen,	w1_d403e4727
alwo	w3_d403e4730
auch	w5_d403e4733
Se.	w7_d403e4736
Hochfürstl.	w9_d403e4739
Durchl.	w1_d403e4744
der	w3_d403e4747
Herr	w5_d403e4750
Herzog	w7_d403e4753
das	w9_d403e4756
Hauptquar	w11_d403e4759
tier	w1_d403e4764
genommen.	w3_d403e4767
Höchst=dieselben	w5_d403e4770
waren	w7_d403e4773
im	w1_d403e4778
Begrif	w3_d403e4781
folgenden	w5_d403e4784
Tag	w7_d403e4787
wieder	w9_d403e4790
aufzubre	w11_d403e4793
chen,	w1_d403e4799
und	w3_d403e4802
mit	w5_d403e4805
Dero	w7_d403e4808
Corps	w9_d403e4811
weiter	w11_d403e4814
vorzu	w13_d403e4818
</list>
<p id="p12_d403e4833">
3	w1_d403e4837
kückn.	w1_d403e4844
Durch	w3_d403e4847
Briefe	w5_d403e4850
aus	w7_d403e4853
Hausber	w9_d403e4856
dem	w11_d403e4859
22.	w1_d403e4864
dieses	w3_d403e4867
erhalten	w5_d403e4870
wir	w7_d403e4873
die	w9_d403e4876
Nachricht	w11_d403e4879
daß	w13_d403e4883
den	w15_d403e4886
20.	w1_d403e4892
dieses	w3_d403e4895
Monats	w5_d403e4898
Nov.	w7_d403e4901
die	w9_d403e4904
Stadt	w11_d403e4907
Münster,	w13_d403e4911
nachdem	w1_d403e4918
sie	w3_d403e4921
14.	w5_d403e4924
TLage	w7_d403e4927
berennet	w9_d403e4930
gewesen,	w11_d403e4933
und	w13_d403e4937
5.	w15_d403e4940
Tage	w1_d403e4945
bey	w3_d403e4948
eröfneten	w5_d403e4951
Treucheen	w7_d403e4954
mit	w9_d403e4957
58.	w11_d403e4960
Ca	w13_d403e4964
nonen	w1_d403e4970
und	w3_d403e4973
18.	w5_d403e4976
Mörsern	w7_d403e4979
beschossen,	w9_d403e4982
auch	w11_d403e4985
bereits	w1_d403e4990
Breche	w3_d403e4993
gemacht	w5_d403e4996
worden,	w7_d403e4999
sich	w9_d403e5002
mit	w11_d403e5005
Capitulation	w1_d403e5010
ergeben	w3_d403e5013
habe.	w5_d403e5016
</p>
<head id="h2_d403e5022">
Frankfort	w1_d403e5026
20.	w3_d403e5029
Nov.	w5_d403e5032
</head>
<p id="p4_d403e5035">
Der	w1_d403e5039
Herzog	w3_d403e5042
von	w5_d403e5045
Broglie	w7_d403e5048
nihml	w9_d403e5051
sein	w11_d403e5054
Haupt=quartier	w1_d403e5059
in	w3_d403e5062
dieser	w5_d403e5065
Stadt	w7_d403e5068
in	w9_d403e5071
dem	w11_d403e5074
Ho	w13_d403e5078
tel	w1_d403e5083
des	w3_d403e5086
Fürstens	w5_d403e5089
von	w7_d403e5092
Tour	w9_d403e5095
und	w11_d403e5098
Taxis.	w13_d403e5102
Man	w15_d403e5105
erwartet	w1_d403e5111
auch	w3_d403e5114
dessen	w5_d403e5117
Gemahlin,	w7_d403e5120
und	w9_d403e5123
einige	w11_d403e5126
andere	w1_d403e5131
nahe	w3_d403e5134
Anverwandte.	w5_d403e5137
Alle	w7_d403e5140
Commissa	w9_d403e5143
rien	w1_d403e5148
des	w3_d403e5151
Herrn	w5_d403e5154
Marschall	w7_d403e5157
von	w9_d403e5160
Contades	w11_d403e5163
ha	w13_d403e5167
ben	w1_d403e5172
ihren	w3_d403e5175
Abschied	w5_d403e5178
erhalten,	w7_d403e5181
das	w9_d403e5184
Regiment	w11_d403e5187
Royal=deuxponts	w1_d403e5193
wird	w3_d403e5196
diesen	w5_d403e5199
Winter	w7_d403e5202
all	w9_d403e5205
hier	w1_d403e5210
verbleiben.	w3_d403e5213
Alle	w5_d403e5216
Französische	w7_d403e5219
Canoniers,	w9_d403e5222
welche	w1_d403e5227
alhier	w3_d403e5230
waren,	w5_d403e5233
sind	w7_d403e5236
den	w9_d403e5239
12.	w11_d403e5242
unter	w13_d403e5246
Bede	w15_d403e5249
ckung	w1_d403e5254
v.	w3_d403e5257
Sächs.	w5_d403e5260
Trupen	w7_d403e5263
von	w9_d403e5266
hier	w11_d403e5269
abmarschirt.	w13_d403e5273
</p>
<head id="h2_d403e5280">
Leipzig	w1_d403e5284
19.	w3_d403e5287
Nov.	w5_d403e5290
</head>
<p id="p4_d403e5293">
Seit	w1_d403e5297
einigen	w3_d403e5300
Tagen	w5_d403e5303
hat	w7_d403e5306
man	w9_d403e5309
alle	w11_d403e5312
Pfer	w13_d403e5316
de,	w1_d403e5321
so	w3_d403e5324
nur	w5_d403e5327
zu	w7_d403e5330
bekommen	w9_d403e5333
gewesen,	w11_d403e5336
wegge	w13_d403e5340
nommen,	w1_d403e5345
und	w3_d403e5348
zum	w5_d403e5351
Fourage=führen	w7_d403e5354
ge	w9_d403e5357
braucht,	w1_d403e5363
auch	w3_d403e5366
sind	w5_d403e5369
aus	w7_d403e5372
denen	w9_d403e5375
Aemtern	w11_d403e5378
400.	w13_d403e5382
Wägen	w1_d403e5387
aufgeboten.	w3_d403e5390
Seit	w5_d403e5393
einigen	w7_d403e5396
Tagen	w9_d403e5399
wird	w1_d403e5404
es	w3_d403e5407
in	w5_d403e5410
unseren	w7_d403e5413
Gegenden	w9_d403e5416
zwar	w11_d403e5419
ganz	w13_d403e5423
ruhig,	w1_d403e5428
indem	w3_d403e5431
die	w5_d403e5434
gegenseitige	w7_d403e5437
Trupen,	w9_d403e5440
welche	w1_d403e5446
uns	w3_d403e5449
sehr	w5_d403e5452
nahe	w7_d403e5455
waren,	w9_d403e5458
sich	w11_d403e5461
nunmehro	w13_d403e5465
wieder	w1_d403e5470
gänzlich	w3_d403e5473
zurück	w5_d403e5476
gezogen	w7_d403e5479
haben,	w9_d403e5482
da	w11_d403e5485
gegen	w1_d403e5490
wird	w3_d403e5493
es	w5_d403e5496
in	w7_d403e5499
der	w9_d403e5502
Stadt	w11_d403e5505
täglich	w13_d403e5509
betrüb	w15_d403e5512
ter,	w1_d403e5517
weil	w3_d403e5520
die	w5_d403e5523
Executiones	w7_d403e5526
derer	w9_d403e5529
restirenden	w11_d403e5532
Contribuenten	w1_d403e5538
noch	w3_d403e5541
verdoppelt	w5_d403e5544
werden,	w7_d403e5547
wo	w9_d403e5550
durch	w1_d403e5555
dann	w3_d403e5558
bey	w5_d403e5561
vielen	w7_d403e5564
bedrängten	w9_d403e5567
Einwoh	w11_d403e5570
nern	w1_d403e5575
grosse	w3_d403e5578
Noht	w5_d403e5581
und	w7_d403e5584
Jammer	w9_d403e5587
noch	w11_d403e5590
immer	w13_d403e5594
fort	w1_d403e5599
entstehet.	w3_d403e5602
Die	w5_d403e5605
Stadt	w7_d403e5608
soll	w9_d403e5611
auf	w11_d403e5614
Königl.	w13_d403e5618
Preußische	w1_d403e5624
Ordre	w3_d403e5627
alsbald	w5_d403e5630
500.	w7_d403e5633
Rüstwä	w9_d403e5636
gen	w1_d403e5641
zur	w3_d403e5644
Armee	w5_d403e5647
liefern,	w7_d403e5650
an	w9_d403e5653
deren	w11_d403e5656
Hrrbey	w13_d403e5660
bringung	w1_d403e5665
stark	w3_d403e5668
gearbeitet	w5_d403e5671
wird,	w7_d403e5674
in	w9_d403e5677
