<doc id="wr_1759-12-12" attrs="word" year="1759" month="12" day="12" corpus="2">
<head id="h2_d405e4228">
Lahn=strom	w4_d405e4231
10.	w6_d405e4235
Nov.	w8_d405e4238
</head>
<p id="p4_d405e4241">
WOrgestern	w4_d405e4244
Nachmittag	w6_d405e4248
hat	w8_d405e4251
die	w10_d405e4254
gesam	w12_d405e4257
te	w15_d405e4262
Französische	w17_d405e4266
Armee	w19_d405e4269
wegen	w21_d405e4272
der	w23_d405e4275
von	w25_d405e4279
denen	w28_d405e4283
Kaiserl.	w30_d405e4287
Königl.	w32_d405e4290
und	w34_d405e4293
Reichs	w36_d405e4297
trupen	w39_d405e4301
über	w41_d405e4305
die	w43_d405e4308
Preußische	w45_d405e4311
Generals	w47_d405e4315
Fink,	w49_d405e4318
Wünsch,	w52_d405e4322
und	w54_d405e4326
Rebentisch	w56_d405e4329
erhaltenen	w58_d405e4333
Vor	w60_d405e4336
theilen	w63_d405e4340
ein	w65_d405e4344
dreymaliges	w67_d405e4347
Lauf	w69_d405e4351
feuer	w71_d405e4354
gemacht.	w73_d405e4357
Ein	w76_d405e4361
gleiches	w78_d405e4365
ist	w80_d405e4369
gegen	w82_d405e4372
Abend	w84_d405e4375
von	w86_d405e4378
der	w88_d405e4381
Fran	w90_d405e4384
zösischen	w93_d405e4389
Besatzung	w95_d405e4393
in	w97_d405e4396
Giessen	w99_d405e4399
auf	w101_d405e4402
dasigem	w103_d405e4406
Wall	w106_d405e4410
geschehen.	w108_d405e4414
Es	w110_d405e4417
verlautet,	w112_d405e4420
als	w114_d405e4424
ob	w116_d405e4427
in	w118_d405e4430
letzterem	w121_d405e4434
Ort	w123_d405e4438
die	w125_d405e4442
angelegt	w127_d405e4445
geweste	w129_d405e4448
Minen	w131_d405e4451
und	w134_d405e4455
Spreng=kessel	w136_d405e4460
wieder	w138_d405e4463
ausgefüllet,	w140_d405e4466
und	w142_d405e4469
alles	w145_d405e4473
in	w147_d405e4478
vorigen	w149_d405e4481
Stand	w151_d405e4484
gestellet	w153_d405e4487
worden,	w155_d405e4490
sonsten	w158_d405e4495
aber	w160_d405e4499
alles	w162_d405e4502
zu	w164_d405e4505
einer	w166_d405e4508
tapferen	w168_d405e4511
Ver	w170_d405e4515
theidigung	w173_d405e4519
eingericht	w175_d405e4523
werde.	w177_d405e4526
Mr.	w179_d405e4529
de	w181_d405e4533
Blai	w183_d405e4536
sel	w186_d405e4540
ist	w188_d405e4544
Commandant	w190_d405e4547
daselbst,	w192_d405e4551
und	w194_d405e4554
der	w196_d405e4557
Obrist	w198_d405e4560
leutenant	w201_d405e4564
