<doc id="wr_1759-12-22" attrs="word" year="1759" month="12" day="22" corpus="2">
<head id="h2_d408e3116">
Leipzig	w1_d408e3120
3.	w3_d408e3123
Der.	w5_d408e3126
</head>
<p id="p4_d408e3129">
Llhier	w1_d408e3133
auf	w3_d408e3136
dem	w5_d408e3139
Markt	w7_d408e3142
ist	w9_d408e3145
eine	w11_d408e3148
Säule	w13_d408e3152
aufgerichtet,	w1_d408e3157
und	w3_d408e3160
ein	w5_d408e3163
Königl.	w7_d408e3166
Preus	w9_d408e3169
sischer	w1_d408e3174
Befehl	w3_d408e3177
angeschlagen	w5_d408e3180
worden,	w7_d408e3183
vermöge	w1_d408e3189
dessen	w3_d408e3192
alle	w5_d408e3195
mögliche	w7_d408e3198
Victualien,	w9_d408e3201
als	w1_d408e3206
Fleisch	w3_d408e3209
und	w5_d408e3212
grüne	w7_d408e3215
Waaren,	w9_d408e3218
desglei	w11_d408e3221
chen	w1_d408e3226
Rauch	w3_d408e3229
und	w5_d408e3232
Schnupf=toback,	w7_d408e3235
Zucker,	w9_d408e3238
Caffee,	w1_d408e3243
Wein,	w3_d408e3246
Bier	w5_d408e3249
rc.	w7_d408e3252
in	w9_d408e3255
das	w11_d408e3258
Königl.	w13_d408e3262
Preußische	w1_d408e3268
Lager	w3_d408e3271
nach	w5_d408e3274
Wilsdruf	w7_d408e3277
gegen	w9_d408e3280
baare	w11_d408e3283
Bezahlung	w1_d408e3288
geschaft	w3_d408e3291
werden	w5_d408e3294
sollte.	w7_d408e3297
Der	w9_d408e3300
Mangel	w1_d408e3305
an	w3_d408e3308
Vivres	w5_d408e3311
ist	w7_d408e3314
daselbst.	w9_d408e3317
Am	w11_d408e3320
30.	w13_d408e3324
dieses	w1_d408e3329
kam	w3_d408e3332
Nachricht,	w5_d408e3335
daß	w7_d408e3338
in	w9_d408e3341
Halle	w11_d408e3344
sich	w13_d408e3348
Oesterreicher	w1_d408e3354
eingefunden,	w3_d408e3357
worauf	w5_d408e3360
von	w7_d408e3363
hier	w9_d408e3366
ein	w1_d408e3371
Commando	w3_d408e3374
von	w5_d408e3377
200.	w7_d408e3380
Mann	w9_d408e3383
dahin	w11_d408e3386
auf	w13_d408e3390
Es	w1_d408e3395
ge	w3_d408e3398
gebrochen,	w1_d408e3403
um	w3_d408e3406
jene	w5_d408e3409
zu	w7_d408e3412
delogiren.	w9_d408e3415
hit	w1_d408e3421
viele	w3_d408e3424
Bagage	w5_d408e3427
von	w7_d408e3430
denen	w9_d408e3433
Königl.	w11_d408e3436
Preus	w13_d408e3440
sischen	w1_d408e3445
Officiers	w3_d408e3448
des	w5_d408e3451
Finkischen	w7_d408e3454
Corps	w9_d408e3457
hier	w11_d408e3460
durch,	w1_d408e3465
weil	w3_d408e3468
denenselben	w5_d408e3471
solche	w7_d408e3474
bey	w9_d408e3477
der	w11_d408e3480
letz	w13_d408e3484
tern	w1_d408e3489
Affaire	w3_d408e3492
zu	w5_d408e3495
behalten,	w7_d408e3498
verstattet	w9_d408e3501
worden.	w11_d408e3504
Die	w1_d408e3510
Kaiserl.	w3_d408e3513
Königl.	w5_d408e3516
Trupen	w7_d408e3519
nähern	w9_d408e3522
sich	w11_d408e3525
nun	w1_d408e3530
schon	w3_d408e3533
wieder	w5_d408e3536
um	w7_d408e3539
und	w9_d408e3542
um.	w11_d408e3545
