<doc id="wr_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="2">
<head id="h2_d411e2925">
Erfurt	w1_d411e2929
19.	w3_d411e2932
Dec.	w5_d411e2935
1759.	w7_d411e2938
</head>
<p id="p4_d411e2941">
Orgestern	w1_d411e2945
hat	w3_d411e2948
man	w5_d411e2951
erfahren,	w7_d411e2954
daß	w9_d411e2957
Hanövrische	w1_d411e2962
Hussaren	w3_d411e2965
zu	w5_d411e2968
Wieddero	w7_d411e2971
da	w1_d411e2976
und	w3_d411e2979
Gispersleben	w5_d411e2982
angekommen	w7_d411e2985
sind,	w1_d411e2991
und	w3_d411e2994
bald	w5_d411e2997
darauf,	w7_d411e3000
daß	w9_d411e3003
ein	w11_d411e3006
ganzes	w13_d411e3010
Corps	w15_d411e3013
von	w1_d411e3018
der	w3_d411e3021
alliirten	w5_d411e3024
Armee	w7_d411e3027
im	w9_d411e3030
Anmarsch	w11_d411e3033
sey.	w13_d411e3037
Man	w15_d411e3040
ist	w1_d411e3045
durch	w3_d411e3048
diese	w5_d411e3051
Nachricht	w7_d411e3054
allhier	w9_d411e3057
sehr	w11_d411e3060
allarmirt	w13_d411e3064
worden,	w1_d411e3069
und	w3_d411e3072
hat	w5_d411e3075
sich	w7_d411e3078
die	w9_d411e3081
ganze	w11_d411e3084
Nacht	w13_d411e3088
über	w15_d411e3091
be	w17_d411e3094
schäftiget,	w1_d411e3100
Victualien	w3_d411e3103
in	w5_d411e3106
die	w7_d411e3109
Festung	w9_d411e3112
zu	w11_d411e3115
werfen.	w1_d411e3120
Die	w3_d411e3123
Maynzer=trupen,	w5_d411e3126
welche	w7_d411e3129
in	w9_d411e3132
denen	w1_d411e3137
Casernen	w3_d411e3140
waren,	w5_d411e3143
sind	w7_d411e3146
in	w9_d411e3149
gröster	w11_d411e3152
Eil	w13_d411e3156
auf	w1_d411e3161
den	w3_d411e3164
Petersberg	w5_d411e3167
geflüchtet,	w7_d411e3170
auch	w9_d411e3173
hat	w11_d411e3176
man	w1_d411e3182
die	w3_d411e3185
Soldaten	w5_d411e3188
von	w7_d411e3191
denen	w9_d411e3194
Thören	w11_d411e3197
abge	w13_d411e3201
hen	w1_d411e3206
lassen,	w3_d411e3209
und	w5_d411e3212
denen	w7_d411e3215
Bürgern	w9_d411e3218
die	w11_d411e3221
Wacht	w13_d411e3225
übergeben.	w1_d411e3230
Gestern	w3_d411e3233
früh	w5_d411e3236
um	w7_d411e3239
10.	w9_d411e3242
Uhr	w11_d411e3245
sind	w13_d411e3249
einige	w1_d411e3254
20.	w3_d411e3257
Hussaren	w5_d411e3260
von	w7_d411e3263
Ruesch	w9_d411e3266
erschienen,	w11_d411e3269
zu	w1_d411e3275
gleicher	w3_d411e3278
Zeit	w5_d411e3281
hat	w7_d411e3284
man	w9_d411e3287
4.	w11_d411e3290
Canonen=schüsse	w13_d411e3294
von	w1_d411e3299
dem	w3_d411e3302
Petersberg	w5_d411e3305
gethan,	w7_d411e3308
um	w9_d411e3311
damit	w11_d411e3314
anzudeuten,	w1_d411e3319
daß	w3_d411e3322
alles,	w5_d411e3325
was	w7_d411e3328
von	w9_d411e3331
der	w11_d411e3334
Fe	w13_d411e3338
sung	w1_d411e3343
abhange,	w3_d411e3346
sich	w5_d411e3349
dahin	w7_d411e3352
begeben	w9_d411e3355
solh	w11_d411e3358
</p>
<p id="p6_d411e3361">
Unterdessen	w1_d411e3365
sind	w3_d411e3368
besagte	w5_d411e3371
Hussaren	w7_d411e3374
vor	w9_d411e3377
dem	w11_d411e3380
St.	w1_d411e3385
Andreas=thor	w3_d411e3388
angelanget;	w5_d411e3391
und	w7_d411e3394
nach	w9_d411e3397
einigen	w1_d411e3402
Wort=wechsel	w3_d411e3405
hat	w5_d411e3408
man	w7_d411e3411
sie	w9_d411e3414
eingelas	w11_d411e3417
sen.	w1_d411e3423
Der	w3_d411e3426
Officier,	w5_d411e3429
welcher	w7_d411e3432
sie	w9_d411e3435
comman	w11_d411e3438
dirte,	w1_d411e3443
forderte	w3_d411e3446
36000.	w5_d411e3449
Rationes,	w7_d411e3452
und	w9_d411e3455
für	w11_d411e3458
12000.	w1_d411e3463
Mann	w3_d411e3466
Passage.	w5_d411e3469
Bald	w7_d411e3472
darauf	w9_d411e3475
sind	w11_d411e3478
2.	w1_d411e3483
Schwadronen	w3_d411e3486
schwarze	w5_d411e3489
Hussaren	w7_d411e3492
in	w9_d411e3495
die	w11_d411e3498
Stadt	w1_d411e3504
eingerucket,	w3_d411e3507
und	w5_d411e3510
nach	w7_d411e3513
einer	w9_d411e3516
Stund	w11_d411e3519
ein	w1_d411e3524
Jnfanterie	w3_d411e3527
und	w5_d411e3530
ein	w7_d411e3533
Cavallerieregi	w9_d411e3536
ment	w1_d411e3541
nachgefolget.	w3_d411e3544
Man	w5_d411e3547
hat	w7_d411e3550
ihnen	w9_d411e3553
die	w11_d411e3556
Quartiere	w1_d411e3561
angewiesen,	w3_d411e3564
und	w5_d411e3567
heute	w7_d411e3570
haben	w9_d411e3573
sie	w11_d411e3576
ihren	w1_d411e3582
Marsch	w3_d411e3585
nach	w5_d411e3588
Weimar	w7_d411e3591
fortgesetzet.	w9_d411e3594
Es	w11_d411e3597
folgen	w1_d411e3602
ihnen	w3_d411e3605
immer	w5_d411e3608
mehr	w7_d411e3611
nach,	w9_d411e3614
und	w11_d411e3617
man	w13_d411e3621
sagt,	w1_d411e3626
daß	w3_d411e3629
wir	w5_d411e3632
auch	w7_d411e3635
den	w9_d411e3638
Erb=prinzen	w11_d411e3641
von	w13_d411e3645
Braunschweig,	w1_d411e3650
den	w3_d411e3653
Prinzen	w5_d411e3656
von	w7_d411e3659
Bevern,	w9_d411e3662
und	w1_d411e3668
den	w3_d411e3671
Grafen	w5_d411e3674
von	w7_d411e3677
Pückenburg	w9_d411e3680
allhier	w11_d411e3683
ins	w13_d411e3687
Quartier	w1_d411e3692
bekommen	w3_d411e3695
würden.	w5_d411e3698
</p>
<head id="h2_d411e3704">
Dresden	w1_d411e3708
14.	w3_d411e3711
Dec.	w5_d411e3714
1759.	w7_d411e3717
</head>
<p id="p4_d411e3720">
Der	w1_d411e3724
Herr	w3_d411e3727
General	w5_d411e3730
von	w7_d411e3733
Beck	w9_d411e3736
hat	w11_d411e3739
nach	w13_d411e3743
der	w1_d411e3748
letzthin	w3_d411e3751
vorgefallenen	w5_d411e3754
Action,	w7_d411e3757
mit	w9_d411e3760
sei	w11_d411e3763
</p>
<p id="p10_d411e3776">
nem	w1_d411e3780
Corps	w3_d411e3783
den	w5_d411e3786
Marsch	w7_d411e3789
gegen	w9_d411e3792
Tovgau	w11_d411e3795
