<doc id="wr_1760-01-19" attrs="word" year="1760" month="01" day="19" corpus="2">
<head id="h2_d416e2465">
Friedberg	w1_d416e2469
5.	w3_d416e2472
Januarii.	w5_d416e2475
</head>
<p id="p4_d416e2478">
O	w1_d416e2482
sicher	w3_d416e2485
als	w5_d416e2488
der	w7_d416e2491
Abzug	w9_d416e2494
der	w11_d416e2497
Hano	w13_d416e2501
veraner	w1_d416e2506
geglaubt	w3_d416e2509
wird,	w5_d416e2512
zumalen	w7_d416e2515
der	w9_d416e2518
Herr	w1_d416e2523
Marschall,	w3_d416e2526
Herzog	w5_d416e2529
von	w7_d416e2532
Bro	w9_d416e2535
glie,	w1_d416e2541
heute	w3_d416e2544
Abend	w5_d416e2547
nacher	w7_d416e2550
Giessen	w9_d416e2553
von	w11_d416e2556
hier	w13_d416e2560
abgegangen	w1_d416e2565
seynd,	w3_d416e2568
so	w5_d416e2571
zuverläßig	w7_d416e2574
bringen	w9_d416e2577
alle	w1_d416e2582
Nachrichten	w3_d416e2585
mit,	w5_d416e2588
daß	w7_d416e2591
der	w9_d416e2594
General	w11_d416e2597
Voyer	w1_d416e2602
die	w3_d416e2605
Stadt	w5_d416e2608
Dillenburg	w7_d416e2611
bereits	w9_d416e2614
besetzt	w11_d416e2617
habe,	w1_d416e2623
auch	w3_d416e2626
des	w5_d416e2629
dasigen	w7_d416e2632
Schlosses	w9_d416e2635
sich	w11_d416e2638
be	w13_d416e2642
mächtigen	w1_d416e2647
dürfte,	w3_d416e2650
falls	w5_d416e2653
nicht	w7_d416e2656
der	w9_d416e2659
Prinz	w11_d416e2662
Ferdinand	w1_d416e2667
der	w3_d416e2670
Besatzung	w5_d416e2673
mit	w7_d416e2676
überlegener	w9_d416e2679
Macht	w1_d416e2684
zu	w3_d416e2687
Hülf	w5_d416e2690
eile.	w7_d416e2693
Dem	w9_d416e2696
weitern	w11_d416e2699
Ver	w13_d416e2703
nehmen	w1_d416e2709
nach,	w3_d416e2712
hat	w5_d416e2715
