<doc id="wr_1760-01-26" attrs="word" year="1760" month="01" day="26" corpus="2">
<head id="h2_d418e2999">
Coblenz	w1_d418e3003
9.	w3_d418e3006
Jan.	w5_d418e3009
</head>
<p id="p4_d418e3012">
Er	w1_d418e3016
Herr	w3_d418e3019
Marquis	w5_d418e3022
Voyer,	w7_d418e3025
so	w9_d418e3028
den	w11_d418e3031
3.	w13_d418e3035
die	w1_d418e3040
Cantonirungen	w3_d418e3043
seiner	w5_d418e3046
unterha	w7_d418e3049
benden	w1_d418e3054
Trupen	w3_d418e3057
an	w5_d418e3060
der	w7_d418e3063
Dille	w9_d418e3066
angeleget	w11_d418e3069
hatte,	w1_d418e3075
hat	w3_d418e3078
sich	w5_d418e3081
entschlossen	w7_d418e3084
den	w9_d418e3087
7.	w11_d418e3090
diese	w13_d418e3094
Can	w15_d418e3097
tonnirungen	w1_d418e3102
aufzuheben.	w3_d418e3105
Die	w5_d418e3108
Bewegur	w7_d418e3111
sach,	w1_d418e3116
die	w3_d418e3119
ihn	w5_d418e3122
bewogen	w7_d418e3125
nach	w9_d418e3128
Mingerskirchen	w11_d418e3131
und	w1_d418e3136
Elsoff	w3_d418e3139
zurückzugehen,	w5_d418e3142
ist	w7_d418e3145
gewesen,	w9_d418e3148
wei	w11_d418e3151
len	w1_d418e3157
den	w3_d418e3160
7.	w5_d418e3163
zwischen	w7_d418e3166
4.	w9_d418e3169
und	w11_d418e3172
5.	w13_d418e3176
Uhren	w15_d418e3179
Nach	w17_d418e3182
mittags	w1_d418e3187
die	w3_d418e3190
Stadt	w5_d418e3193
Dillenburg,	w7_d418e3196
worin	w9_d418e3199
das	w11_d418e3202
Schweitzer=regiment	w1_d418e3207
Waldner	w3_d418e3210
unterm	w5_d418e3213
Bri	w7_d418e3216
gadier	w1_d418e3221
deren	w3_d418e3224
Armeen	w5_d418e3227
des	w7_d418e3230
Allerchristlichsten	w9_d418e3233
Königs	w1_d418e3239
und	w3_d418e3242
Obrist=leutenant	w5_d418e3245
dieses	w7_d418e3248
Regi	w9_d418e3251
ments	w1_d418e3256
Herrn	w3_d418e3259
Parravicini	w5_d418e3262
cantonirete,	w7_d418e3265
von	w9_d418e3268
dem	w1_d418e3273
Wangenheimischen	w3_d418e3276
Corps,	w5_d418e3279
denen	w7_d418e3282
neu	w9_d418e3285
lich	w1_d418e3290
