<doc id="wr_1760-02-27" attrs="word" year="1760" month="02" day="27" corpus="2">
<head id="h2_d427e2506">
Venedig	w1_d427e2510
16.	w3_d427e2513
Febr.	w5_d427e2516
</head>
<p id="p4_d427e2519">
Jeser	w1_d427e2523
Tagen	w3_d427e2526
starbe	w5_d427e2529
alhier	w7_d427e2532
nach	w9_d427e2535
einer	w11_d427e2538
kurz=ausgestandenen	w1_d427e2543
Krankheit	w3_d427e2546
ein	w5_d427e2549
gewisser	w1_d427e2554
Giovanni	w3_d427e2557
da	w5_d427e2560
Riva	w7_d427e2563
in	w9_d427e2566
ei	w11_d427e2569
nem	w1_d427e2575
Alter	w3_d427e2578
von	w5_d427e2581
116.	w7_d427e2584
Jahren,	w9_d427e2587
welcher	w11_d427e2590
sei	w13_d427e2594
ne	w1_d427e2599
ganze	w3_d427e2602
Lebens=frist	w5_d427e2605
bis	w7_d427e2608
auf	w9_d427e2611
etwelche	w11_d427e2614
Ta	w13_d427e2618
ge	w1_d427e2623
vor	w3_d427e2626
seinem	w5_d427e2629
Hintritt	w7_d427e2632
in	w9_d427e2635
einer	w11_d427e2638
unverruck	w13_d427e2642
ten	w1_d427e2647
Gesundheit	w1_d427e2653
zugebracht,	w3_d427e2656
wobey	w5_d427e2659
er	w7_d427e2662
auch	w9_d427e2665
täglich	w1_d427e2670
auf	w3_d427e2673
dem	w5_d427e2676
alhiesigen	w7_d427e2679
Marcus=platz	w9_d427e2682
mit	w1_d427e2687
öfters	w3_d427e2690
wiederholten	w5_d427e2693
Spatzier=gängen	w7_d427e2696
sich	w9_d427e2699
zu	w1_d427e2704
erquicken	w3_d427e2707
pfiegte.	w5_d427e2710
Dieser	w7_d427e2713
Mann	w9_d427e2716
ware	w11_d427e2719
aus	w1_d427e2725
Türkey	w3_d427e2728
gebürtig,	w5_d427e2731
und	w7_d427e2734
nachdem	w9_d427e2737
er	w11_d427e2740
schon	w13_d427e2744
ein	w1_d427e2749
ziemliches	w3_d427e2752
Alter	w5_d427e2755
erreichet,	w7_d427e2758
hatte	w9_d427e2761
er	w11_d427e2764
erst	w13_d427e2768
das	w1_d427e2773
Glücke	w3_d427e2776
unserem	w5_d427e2779
heiligen	w7_d427e2782
Glauben	w9_d427e2785
ein	w11_d427e2788
verleibet	w1_d427e2793
zu	w3_d427e2796
werden,	w5_d427e2799
so	w7_d427e2802
eben	w9_d427e2805
zur	w11_d427e2808
Zeit	w13_d427e2812
als	w15_d427e2815
der	w1_d427e2821
Krieg	w3_d427e2824
wegen	w5_d427e2827
Morea	w7_d427e2830
am	w9_d427e2833
heftigsten	w11_d427e2836
wa	w13_d427e2840
re,	w1_d427e2845
in	w3_d427e2848
dem	w5_d427e2851
alhier	w7_d427e2854
für	w9_d427e2857
die	w11_d427e2860
Convertiten	w13_d427e2864
be	w15_d427e2867
stimmten	w1_d427e2872
Haus	w3_d427e2875
de	w5_d427e2878
Catecumeni	w7_d427e2881
genannt,	w9_d427e2884
beschehen,	w1_d427e2889
allwo	w3_d427e2892
er	w5_d427e2895
auch	w7_d427e2898
mit	w9_d427e2901
dem	w11_d427e2904
gewöhn	w13_d427e2908
lichen	w1_d427e2914
Convertiten=gehalt	w3_d427e2917
bis	w5_d427e2920
an	w7_d427e2923
das	w9_d427e2926
End	w11_d427e2929
seines	w1_d427e2934
Lebens	w3_d427e2937
verpfleget	w5_d427e2940
worden.	w7_d427e2943
Er	w9_d427e2946
er	w11_d427e2949
</p>
<p id="p6_d427e2952">
götzete	w1_d427e2956
sich	w3_d427e2959
auf	w5_d427e2962
alle	w7_d427e2965
mögliche	w9_d427e2968
Weise,	w11_d427e2971
nur	w13_d427e2975
dieses	w1_d427e2980
bemerkte	w3_d427e2983
man	w5_d427e2986
bey	w7_d427e2989
ihme,	w9_d427e2992
daß	w11_d427e2995
er	w13_d427e2999
stäts	w15_d427e3002
Citronen	w1_d427e3007
oder	w3_d427e3010
anderer	w5_d427e3013
sauerer	w7_d427e3016
Fruchte	w9_d427e3019
Scha	w11_d427e3022
len	w1_d427e3028
käuete.	w3_d427e3031
So	w5_d427e3034
lang	w7_d427e3037
er	w9_d427e3040
lebte,	w11_d427e3043
wurde	w13_d427e3047
an	w15_d427e3050
der	w1_d427e3055
gewissen	w3_d427e3058
Zahl	w5_d427e3061
seiner	w7_d427e3064
Jahre	w9_d427e3067
gezweifelt,	w11_d427e3070
anjetzo	w1_d427e3075
aber	w3_d427e3078
wurde	w5_d427e3081
mit	w7_d427e3084
untrüglichen	w9_d427e3087
Zeug	w11_d427e3090
nussen	w1_d427e3095
bewiesen,	w3_d427e3098
daß	w5_d427e3101
dieser	w7_d427e3104
Mann	w9_d427e3107
Anno	w11_d427e3110
1644.	w1_d427e3116
schon	w3_d427e3119
das	w5_d427e3122
Licht	w7_d427e3125
der	w9_d427e3128
Welt	w11_d427e3131
erblicket.	w13_d427e3135
Er	w1_d427e3140
ware	w3_d427e3143
der	w5_d427e3146
Aelteste,	w7_d427e3149
so	w9_d427e3152
jemalen	w11_d427e3155
in	w13_d427e3159
dieser	w15_d427e3162
Stadt	w1_d427e3167
gestorben.	w3_d427e3170
</p>
<head id="h2_d427e3176">
Neapel	w1_d427e3180
7.	w3_d427e3183
Febr.	w5_d427e3186
</head>
<p id="p4_d427e3189">
Da	w1_d427e3193
nun	w3_d427e3196
wiederum	w5_d427e3199
das	w7_d427e3202
Meer	w9_d427e3205
einiger	w11_d427e3208
massen	w1_d427e3213
stille	w3_d427e3216
und	w5_d427e3219
ruhig	w7_d427e3222
geworden,	w9_d427e3225
so	w11_d427e3228
seynd	w13_d427e3232
zwischen	w1_d427e3237
gestern	w3_d427e3240
und	w5_d427e3243
heut	w7_d427e3246
Morgens	w9_d427e3249
in	w11_d427e3252
hie	w13_d427e3256
sigem	w1_d427e3262
Hafen	w3_d427e3265
von	w5_d427e3268
Sieilien	w7_d427e3271
5.	w9_d427e3274
mit	w11_d427e3277
Korn	w13_d427e3281
be	w15_d427e3284
ladene	w1_d427e3289
Bastimente	w3_d427e3292
angelanget,	w5_d427e3295
welche	w7_d427e3298
uns	w9_d427e3301
bey	w1_d427e3306
eingerissenen	w3_d427e3309
Korn=mangel	w5_d427e3312
treflich	w7_d427e3315
zu	w9_d427e3318
statten	w1_d427e3323
kamen.	w3_d427e3326
</p>
<p id="p6_d427e3329">
Verflossenen	w1_d427e3333
Donnerstags,	w3_d427e3336
und	w5_d427e3339
darauf	w7_d427e3342
fol	w9_d427e3345
genden	w1_d427e3350
Freytags	w3_d427e3353
fienge	w5_d427e3356
unser	w7_d427e3359
Vesuvius	w9_d427e3362
an	w11_d427e3365
</p>
<p id="p12_d427e3379">
mit	w1_d427e3383
Auswerfung	w3_d427e3386
einer	w5_d427e3389
ausserordentlichen	w7_d427e3392
Menge	w1_d427e3397
Laven	w3_d427e3400
der	w5_d427e3403
Stadt	w7_d427e3406
einen	w9_d427e3409
nicht	w11_d427e3412
gerin	w13_d427e3416
gen	w1_d427e3421
Schröcken	w3_d427e3424
zu	w5_d427e3427
verursachen,	w7_d427e3430
welcher	w9_d427e3433
aber	w1_d427e3439
Samstags,	w3_d427e3442
da	w5_d427e3445
sich	w7_d427e3448
desselben	w9_d427e3451
Toben	w11_d427e3454
geleget,	w1_d427e3459
wiederum	w3_d427e3462
verschwunden.	w5_d427e3465
Eine	w7_d427e3468
Ge	w9_d427e3471
sellschaft	w1_d427e3476
zweyer	w3_d427e3479
Engländischen,	w5_d427e3482
und	w7_d427e3485
eben	w9_d427e3488
so	w1_d427e3493
vieler	w3_d427e3496
Flammändischer	w5_d427e3499
Cavallieren	w7_d427e3502
lies	w9_d427e3505
se	w1_d427e3511
sich	w3_d427e3514
von	w5_d427e3517
ihrem	w7_d427e3520
Vorwitze	w9_d427e3523
verleiten,	w11_d427e3526
gleich	w13_d427e3530
als	w1_d427e3535
der	w3_d427e3538
Berg	w5_d427e3541
aufgehöret	w7_d427e3544
so	w9_d427e3547
ausserordentlich	w11_d427e3550
zu	w1_d427e3555
wülten,	w3_d427e3558
denselben	w5_d427e3561
so	w7_d427e3564
viel	w9_d427e3567
möglich	w11_d427e3570
ware	w13_d427e3574
gegen	w1_d427e3579
die	w3_d427e3582
Bocca	w5_d427e3585
zu	w7_d427e3588
besteigen,	w9_d427e3591
allein	w11_d427e3594
sie	w13_d427e3598
wurden	w1_d427e3604
in	w3_d427e3607
denen	w5_d427e3610
Füssen	w7_d427e3613
übel	w9_d427e3616
zugerichtet,	w11_d427e3619
besonders	w1_d427e3624
aber	w3_d427e3627
einer	w5_d427e3630
derselben,	w7_d427e3633
welcher	w9_d427e3636
das	w11_d427e3639
Unglück	w1_d427e3644
hatte	w3_d427e3647
aus	w5_d427e3650
dem	w7_d427e3653
practicablen	w9_d427e3656
Weege	w11_d427e3659
zu	w1_d427e3664
kommen,	w3_d427e3667
und	w5_d427e3670
in	w7_d427e3673
eine	w9_d427e3676
dieser	w11_d427e3679
glüenden	w13_d427e3683
Laven	w1_d427e3689
zu	w3_d427e3692
gerahten,	w5_d427e3695
worinnen	w7_d427e3698
er	w9_d427e3701
sich	w11_d427e3704
auch	w13_d427e3708
dergestalten	w1_d427e3713
die	w3_d427e3716
Füsse	w5_d427e3719
verbrannt,	w7_d427e3722
daß	w9_d427e3725
er	w11_d427e3728
gewiß	w1_d427e3733
sein	w3_d427e3736
Leben	w5_d427e3739
eingebüsset	w7_d427e3742
hätte,	w9_d427e3745
wann	w11_d427e3748
man	w1_d427e3753
ihme	w3_d427e3756
nicht	w5_d427e3759
