<doc id="wr_1760-03-05" attrs="word" year="1760" month="03" day="05" corpus="2">
<head id="h2_d429e3121">
Aus	w1_d429e3125
dem	w3_d429e3128
Haupt=quartier	w5_d429e3131
der	w7_d429e3134
K.	w9_d429e3137
K.	w1_d429e3142
Reichs	w3_d429e3145
und	w5_d429e3148
Erecutions=armee	w7_d429e3151
Bamberg	w1_d429e3156
20	w3_d429e3159
Febr.	w5_d429e3162
</head>
<p id="p4_d429e3165">
S	w1_d429e3169
ist	w3_d429e3172
vom	w5_d429e3175
Herrn	w7_d429e3178
Generalfeldmar	w9_d429e3181
schall=leutenant,	w1_d429e3186
Baron	w3_d429e3189
von	w5_d429e3192
Luzins	w7_d429e3195
ky,	w1_d429e3200
die	w3_d429e3203
Nachricht	w5_d429e3206
alhier	w7_d429e3209
eingeloffen.	w9_d429e3212
daß	w1_d429e3218
der	w3_d429e3221
mit	w5_d429e3224
40.	w7_d429e3227
Pferden	w9_d429e3230
in	w11_d429e3233
die	w13_d429e3237
Gegend	w15_d429e3240
von	w17_d429e3243
Jena	w1_d429e3248
und	w3_d429e3251
Naumburg,	w5_d429e3254
um	w7_d429e3257
den	w9_d429e3260
Feind	w11_d429e3263
allda	w13_d429e3267
zu	w1_d429e3272
beobachten,	w3_d429e3275
und,	w5_d429e3278
wo	w7_d429e3281
möglich,	w9_d429e3284
dem	w11_d429e3287
selben	w1_d429e3292
einen	w3_d429e3295
Abbruch	w5_d429e3298
zu	w7_d429e3301
thun,	w9_d429e3304
abgeschickt	w11_d429e3307
geweste	w1_d429e3313
Leutenant,	w3_d429e3316
Baron	w5_d429e3319
von	w7_d429e3322
Wenz,	w9_d429e3325
wie	w11_d429e3328
er	w1_d429e3333
vernommen,	w3_d429e3336
daß	w5_d429e3339
zu	w7_d429e3342
Naumburg	w9_d429e3345
nur	w11_d429e3348
ein	w13_d429e3352
Preußisches	w1_d429e3357
Commando	w3_d429e3360
mit	w5_d429e3363
40.	w7_d429e3366
Pferden	w9_d429e3369
von	w1_d429e3374
denen	w3_d429e3377
Carabiniers	w5_d429e3380
auf	w7_d429e3383
Execution	w9_d429e3386
ste	w11_d429e3389
hen	w1_d429e3395
geblieben,	w3_d429e3398
indem	w5_d429e3401
die	w7_d429e3404
übrige	w9_d429e3407
feindliche	w11_d429e3410
Trupen	w1_d429e3415
ihren	w3_d429e3418
Marsch	w5_d429e3421
gegen	w7_d429e3424
Erfurt	w9_d429e3427
und	w11_d429e3430
Cöl	w13_d429e3434
leda	w1_d429e3439
den	w3_d429e3442
13.	w5_d429e3445
dieses	w7_d429e3448
fortgesetzet;	w9_d429e3451
sich	w11_d429e3454
den	w13_d429e3458
Tag	w1_d429e3463
darauf	w3_d429e3466
nach	w5_d429e3469
Naumburg	w7_d429e3472
gewaget,	w9_d429e3475
die	w11_d429e3478
von	w1_d429e3484
dannen	w3_d429e3487
abgeschickte	w5_d429e3490
feindliche	w7_d429e3493
Patrouil	w9_d429e3496
len	w1_d429e3501
aufgehoben,	w3_d429e3504
zwischen	w5_d429e3507
10.	w7_d429e3510
und	w9_d429e3513
11.	w11_d429e3516
Uhr	w13_d429e3520
Mittags,	w1_d429e3525
ohne	w3_d429e3528
daß	w5_d429e3531
es	w7_d429e3534
jemand	w9_d429e3537
erfahren,	w11_d429e3540
</p>
<p id="p6_d429e3543">
an	w1_d429e3547
die	w3_d429e3550
Thore	w5_d429e3553
gekommen,	w7_d429e3556
die	w9_d429e3559
Wache	w11_d429e3562
allda	w13_d429e3566
entwafnet,	w1_d429e3571
den	w3_d429e3574
Feind	w5_d429e3577
in	w7_d429e3580
der	w9_d429e3583
Stadt	w11_d429e3586
unver	w13_d429e3590
mutet	w1_d429e3595
überfallen,	w3_d429e3598
und	w5_d429e3601
seine	w7_d429e3604
Unternehmung	w9_d429e3607
dergestalt	w1_d429e3613
glücklich	w3_d429e3616
ausgeführet	w5_d429e3619
habe,	w7_d429e3622
daß	w9_d429e3625
bey	w1_d429e3630
dieser	w3_d429e3633
Gelegenheit	w5_d429e3636
von	w7_d429e3639
demselben	w9_d429e3642
der	w11_d429e3645
Leutenant	w1_d429e3650
