<doc id="wr_1760-03-19" attrs="word" year="1760" month="03" day="19" corpus="2">
<head id="h2_d433e3251">
Lissaben	w1_d433e3255
28.	w3_d433e3258
Jan	w5_d433e3261
</head>
<p id="p4_d433e3264">
Je	w1_d433e3268
jüngsthin	w3_d433e3271
angekommene	w5_d433e3274
Flotte	w7_d433e3277
von	w9_d433e3280
Rio=janciro,	w1_d433e3285
brachte	w3_d433e3288
eine	w5_d433e3291
grosse	w7_d433e3294
Menge	w1_d433e3299
von	w3_d433e3302
Diamanten	w5_d433e3305
für	w7_d433e3308
die	w9_d433e3311
Rechnung	w1_d433e3317
des	w3_d433e3320
Königs	w5_d433e3323
und	w7_d433e3326
der	w9_d433e3329
Kaufleute	w11_d433e3332
mit.	w1_d433e3337
Würklich	w3_d433e3340
ligen	w5_d433e3343
123.	w7_d433e3346
fremde	w9_d433e3349
Schiffe	w11_d433e3352
in	w1_d433e3357
unserem	w3_d433e3360
Hafen	w5_d433e3363
vor	w7_d433e3366
Anker:	w9_d433e3369
nämlich	w11_d433e3372
57.	w13_d433e3376
Engländische,	w1_d433e3381
26.	w3_d433e3384
Holländische,	w5_d433e3387
21.	w7_d433e3390
Dä	w9_d433e3393
nische	w1_d433e3399
und	w3_d433e3402
Hamburgische,	w5_d433e3405
10.	w7_d433e3408
Schwedi	w9_d433e3411
sche,	w1_d433e3416
1.	w3_d433e3419
Maltheser,	w5_d433e3422
3.	w7_d433e3425
Genuesiche	w9_d433e3428
und	w11_d433e3431
5	w1_d433e3436
Spanische.	w3_d433e3439
Man	w5_d433e3442
erwartet	w7_d433e3445
hier	w9_d433e3448
täglich	w11_d433e3451
den	w1_d433e3456
Herrn	w3_d433e3459
von	w5_d433e3462
Kreischmar,	w7_d433e3465
der	w9_d433e3468
den	w11_d433e3471
Herrn	w13_d433e3475
von	w1_d433e3481
Calmette,	w3_d433e3484
Holländischen	w5_d433e3487
Envoy	w7_d433e3490
an	w9_d433e3493
dem	w11_d433e3496
hiesigen	w1_d433e3501
Hofe	w3_d433e3504
ablösen	w5_d433e3507
wird.	w7_d433e3510
Das	w9_d433e3513
Hollän	w11_d433e3516
dische	w1_d433e3521
Kriegs=schif	w3_d433e3524
Batavig,	w5_d433e3527
welches	w7_d433e3530
der	w9_d433e3533
Hauptmann	w1_d433e3538
Hönft	w3_d433e3541
führet,	w5_d433e3544
und	w7_d433e3547
nach	w9_d433e3550
West	w11_d433e3553
indien	w1_d433e3559
bestimmet	w3_d433e3562
ist,	w5_d433e3565
ligt	w7_d433e3568
seit	w9_d433e3571
den	w11_d433e3574
10.	w13_d433e3578
Jan.	w1_d433e3583
auf	w3_d433e3586
dem	w5_d433e3589
Tagus,	w7_d433e3592
und	w9_d433e3595
wird	w11_d433e3598
ausgebes	w13_d433e3602
sect,	w1_d433e3607
weilen	w3_d433e3610
solches	w5_d433e3613
durch	w7_d433e3616
den	w9_d433e3619
letztern	w11_d433e3622
so	w13_d433e3626
heftigen	w1_d433e3631
See=sturm	w3_d433e3634
sehr	w5_d433e3637
beschädiget,	w7_d433e3640
und	w9_d433e3643
zum	w1_d433e3649
Einlauffen	w3_d433e3652
gezwungen	w5_d433e3655
worden.	w7_d433e3658
</p>
<head id="h2_d433e3664">
Giessen	w1_d433e3668
3.	w3_d433e3671
Martii.	w5_d433e3674
</head>
<p id="p4_d433e3677">
Den	w1_d433e3681
1.	w3_d433e3684
dieses	w5_d433e3687
setzte	w7_d433e3690
sich	w9_d433e3693
unser	w11_d433e3696
Comman	w13_d433e3700
dant	w1_d433e3705
mit	w3_d433e3708
einem	w5_d433e3711
Corps	w7_d433e3714
von	w9_d433e3717
2400.	w11_d433e3720
Mann	w13_d433e3724
in	w1_d433e3729
Marsch,	w3_d433e3732
welches	w5_d433e3735
er	w7_d433e3738
von	w9_d433e3741
Homburg	w11_d433e3744
bis	w13_d433e3748
Marburg	w1_d433e3754
ausbreitete.	w3_d433e3757
Er	w5_d433e3760
rückte	w7_d433e3763
in	w9_d433e3766
die	w11_d433e3769
ser	w1_d433e3774
letzten	w3_d433e3777
Stadt,	w5_d433e3780
deren	w7_d433e3783
Thore	w9_d433e3786
nach	w11_d433e3789
einer	w13_d433e3793
schwachen	w1_d433e3798
Vertheidigung	w3_d433e3801
eingesprenget	w5_d433e3804
wor	w7_d433e3807
den,	w1_d433e3812
ein,	w3_d433e3815
auch	w5_d433e3818
wurde	w7_d433e3821
das	w9_d433e3824
Schloß,	w11_d433e3827
in	w13_d433e3831
welches	w1_d433e3837
sich	w3_d433e3840
alles	w5_d433e3843
flüchtete	w7_d433e3846
aufgefordert.	w9_d433e3849
Man	w1_d433e3854
beantwortete	w3_d433e3857
darauf	w5_d433e3860
bloß	w7_d433e3863
mit	w9_d433e3866
Cano	w11_d433e3869
nen=schüssen,	w1_d433e3874
gleichwie	w3_d433e3877
sich	w5_d433e3880
solches	w7_d433e3883
der	w9_d433e3886
Französische	w1_d433e3891
General	w3_d433e3894
vorgestellet	w5_d433e3897
hatte.	w7_d433e3900
Er	w9_d433e3903
tarirte	w1_d433e3909
die	w3_d433e3912
Stadt	w5_d433e3915
auf	w7_d433e3918
100000.	w9_d433e3921
Franken	w11_d433e3924
Repressalien=weise	w1_d433e3929
gegen	w3_d433e3932
die	w5_d433e3935
exorbitanten	w7_d433e3938
Forderungen,	w1_d433e3943
die	w3_d433e3946
der	w5_d433e3949
Herr	w7_d433e3952
von	w9_d433e3955
Luckner	w11_d433e3958
in	w1_d433e3963
denen	w3_d433e3966
Darmstädtischen,	w5_d433e3969
Maynzischen	w7_d433e3972
und	w1_d433e3978
Fuldischen	w3_d433e3981
Landen	w5_d433e3984
gethan.	w7_d433e3987
Man	w9_d433e3990
hat	w11_d433e3993
Gefangene,	w1_d433e3998
worunter	w3_d433e4001
einige	w5_d433e4004
Hussaren,	w7_d433e4007
gemacht,	w1_d433e4012
und	w3_d433e4015
verschiedene	w5_d433e4018
Pferde	w7_d433e4021
erbeu	w9_d433e4024
tet.	w1_d433e4029
Nachdem	w3_d433e4032
die	w5_d433e4035
Absicht,	w7_d433e4038
die	w9_d433e4041
sich	w11_d433e4044
der	w13_d433e4048
</p>
<p id="p10_d433e4061">
Herr	w1_d433e4065
Baron	w3_d433e4068
du	w5_d433e4071
Blaisel	w7_d433e4074
vorgesetzt	w9_d433e4077
hatte,	w11_d433e4080
er	w13_d433e4084
füllet	w1_d433e4089
worden,	w3_d433e4092
ließ	w5_d433e4095
er	w7_d433e4098
seine	w9_d433e4101
Trupen	w11_d433e4104
aus	w13_d433e4108
dem	w15_d433e4111
ganzen	w1_d433e4116
Bezirk,	w3_d433e4119
den	w5_d433e4122
sie	w7_d433e4125
occupirten,	w9_d433e4128
zurück	w11_d433e4131
ziehen,	w1_d433e4137
dieser	w3_d433e4140
Rückzug	w5_d433e4143
gieng	w7_d433e4146
ganz	w9_d433e4149
ruhig	w11_d433e4152
vor	w1_d433e4157
sich,	w3_d433e4160
und	w5_d433e4163
man	w7_d433e4166
rückte	w9_d433e4169
wider	w11_d433e4172
in	w13_d433e4176
Giessen	w15_d433e4179
vor,	w1_d433e4184
wohin	w3_d433e4187
auch	w5_d433e4190
die	w7_d433e4193
Geisseln	w9_d433e4196
von	w11_d433e4199
der	w13_d433e4203
Stadt	w15_d433e4206
Marburg	w1_d433e4211
in	w3_d433e4214
Erwartung	w5_d433e4217
der	w7_d433e4220
Ordres	w9_d433e4223
des	w11_d433e4226
Herrn	w1_d433e4232
Marschalls	w3_d433e4235
Herzogs	w5_d433e4238
von	w7_d433e4241
Broglie	w9_d433e4244
ge	w11_d433e4247
bracht	w1_d433e4252
worden.	w3_d433e4255
</p>
<head id="h2_d433e4261">
Rostock	w1_d433e4265
1.	w3_d433e4268
Martii.	w5_d433e4271
</head>
<p id="p4_d433e4274">
Man	w1_d433e4278
versichert,	w3_d433e4281
daß	w5_d433e4284
der	w7_d433e4287
commandiren	w9_d433e4290
de	w1_d433e4295
General	w3_d433e4298
der	w5_d433e4301
Schwedischen	w7_d433e4304
Armee	w9_d433e4307
sich	w11_d433e4310
anheischig	w1_d433e4315
gemacht	w3_d433e4318
hat,	w5_d433e4321
unser	w7_d433e4324
Land	w9_d433e4327
gegen	w11_d433e4330
die	w1_d433e4336
Einfälle	w3_d433e4339
und	w5_d433e4342
andere	w7_d433e4345
Feindseeligkeiten,	w9_d433e4348
womit	w1_d433e4353
wir	w3_d433e4356
den	w5_d433e4359
ganzen	w7_d433e4362
Winter	w9_d433e4365
von	w11_d433e4368
dem	w13_d433e4372
Preußischen	w1_d433e4377
Corps,	w3_d433e4380
welches	w5_d433e4383
an	w7_d433e4386
der	w9_d433e4389
Peene	w11_d433e4392
campiret,	w1_d433e4397
bedrohet	w3_d433e4400
worden	w5_d433e4403
sind,	w7_d433e4406
zu	w9_d433e4409
be	w11_d433e4412
decken.	w1_d433e4418
Verschiedene	w3_d433e4421
Schwedische	w5_d433e4424
Deta	w7_d433e4427
schements	w1_d433e4432
sind	w3_d433e4435
durch	w5_d433e4438
Mecklenburg	w7_d433e4441
marschi	w9_d433e4444
ret,	w1_d433e4449
und	w3_d433e4452
haben	w5_d433e4455
denen	w7_d433e4458
Einwohnern	w9_d433e4461
verbot	w11_d433e4464
ten,	w1_d433e4469
denen	w3_d433e4472
Befehlen	w5_d433e4475
des	w7_d433e4478
Preußischen	w9_d433e4481
Com	w11_d433e4484
missariats	w1_d433e4490
zu	w3_d433e4493
gehorchen,	w5_d433e4496
nach	w7_d433e4499
welchen	w9_d433e4502
sie	w11_d433e4505
Lieferungen	w1_d433e4510
von	w3_d433e4513
allerhand	w5_d433e4516
Art,	w7_d433e4519
wie	w9_d433e4522
auch	w11_d433e4525
von	w1_d433e4530
einer	w3_d433e4533
gewissen	w5_d433e4536
Anzahl	w7_d433e4539
Leute,	w9_d433e4542
die	w11_d433e4545
zur	w13_d433e4549
Beckerey	w1_d433e4554
bestimmt	w3_d433e4557
waren,	w5_d433e4560
thun	w7_d433e4563
sollten.	w9_d433e4566
Eben	w1_d433e4572
diese	w3_d433e4575
Detaschements	w5_d433e4578
haben	w7_d433e4581
denen	w9_d433e4584
Ein	w11_d433e4587
wohnern	w1_d433e4592
die	w3_d433e4595
Versicherung	w5_d433e4598
gegeben,	w7_d433e4601
daß	w9_d433e4604
die	w1_d433e4609
Schweden	w3_d433e4612
die	w5_d433e4615
Execution,	w7_d433e4618
womit	w9_d433e4621
wir	w11_d433e4624
bedrohet	w1_d433e4629
sind,	w3_d433e4632
sie	w5_d433e4635
