<doc id="wr_1760-04-02" attrs="word" year="1760" month="04" day="02" corpus="2">
<head id="h2_d437e3044">
Civitavechia	w1_d437e3048
8.	w3_d437e3051
März.	w5_d437e3054
</head>
<p id="p4_d437e3057">
S	w1_d437e3061
hat	w3_d437e3064
sich	w5_d437e3067
dieser	w7_d437e3070
Tagen	w9_d437e3073
in	w11_d437e3076
unserem	w13_d437e3080
Hafen	w1_d437e3085
eine	w3_d437e3088
feindseilige	w5_d437e3091
Begebenheit	w7_d437e3094
zwischen	w1_d437e3099
einem	w3_d437e3102
Französischen	w5_d437e3105
und	w7_d437e3108
Engländischen	w1_d437e3114
Schifs=capitain	w3_d437e3117
zugetragen,	w5_d437e3120
welche	w1_d437e3125
bald	w3_d437e3128
ein	w5_d437e3131
anderes	w7_d437e3134
Ansehen	w9_d437e3137
gewonnen	w11_d437e3140
haben	w1_d437e3145
würde,	w3_d437e3148
sofern	w5_d437e3151
demselben	w7_d437e3154
nicht	w9_d437e3157
in	w11_d437e3160
Zeiten	w1_d437e3165
wäre	w3_d437e3168
abgeholfen	w5_d437e3171
worden;	w7_d437e3174
es	w9_d437e3177
langte	w11_d437e3180
nämlichen	w1_d437e3186
ein	w3_d437e3189
Französisches	w5_d437e3192
Bastiment,	w7_d437e3195
so	w9_d437e3198
von	w1_d437e3203
Smirna	w3_d437e3206
mit	w5_d437e3209
reicher	w7_d437e3212
Ladung	w9_d437e3215
zurück	w11_d437e3218
ge	w13_d437e3222
kommen,	w1_d437e3227
allhier	w3_d437e3230
an,	w5_d437e3233
und	w7_d437e3236
da	w9_d437e3239
sich	w11_d437e3242
eben	w13_d437e3246
ein	w15_d437e3249
Engländischer	w1_d437e3254
Caper	w3_d437e3257
in	w5_d437e3260
hiesigem	w7_d437e3263
Hafen	w9_d437e3266
be	w11_d437e3269
fande,	w1_d437e3275
so	w3_d437e3278
entzündete	w5_d437e3281
sich	w7_d437e3284
zwischen	w9_d437e3287
beyden	w11_d437e3290
der	w1_d437e3295
dermalen	w3_d437e3298
obwaltende	w5_d437e3301
Kriegs=eifer	w7_d437e3304
der	w9_d437e3307
gestalten,	w1_d437e3312
daß	w3_d437e3315
der	w5_d437e3318
Engländische	w7_d437e3321
Comman	w9_d437e3324
dant	w1_d437e3329
den	w3_d437e3332
Franzosischen	w5_d437e3335
Capitain	w7_d437e3338
alsobalt	w9_d437e3341
aufforderte,	w1_d437e3347
verlangend,	w3_d437e3350
der	w5_d437e3353
Französisch	w7_d437e3356
Capitain	w1_d437e3361
solle	w3_d437e3364
mit	w5_d437e3367
seinem	w7_d437e3370
Bastimente	w9_d437e3373
aus	w11_d437e3376
dem	w1_d437e3381
Hafen	w3_d437e3384
hinaus,	w5_d437e3387
und	w7_d437e3390
in	w9_d437e3393
die	w11_d437e3396
weitere	w13_d437e3400
See	w1_d437e3405
fahren,	w3_d437e3408
allwo	w5_d437e3411
er	w7_d437e3414
sich	w9_d437e3417
mit	w11_d437e3420
selbem	w13_d437e3424
schla	w15_d437e3427
gen	w1_d437e3433
wollte;	w3_d437e3436
sie	w5_d437e3439
würden	w7_d437e3442
auch	w9_d437e3445
in	w11_d437e3448
der	w13_d437e3452
That	w15_d437e3455
</p>
<p id="p6_d437e3458">
miteinander	w1_d437e3462
hinaus	w3_d437e3465
gefahren	w5_d437e3468
seyn,	w7_d437e3471
und	w9_d437e3474
auf	w11_d437e3477
einander	w1_d437e3482
Jagd	w3_d437e3485
gemacht	w5_d437e3488
haben,	w7_d437e3491
wann	w9_d437e3494
sich	w11_d437e3497
nicht	w1_d437e3502
alle	w3_d437e3505
allhier	w5_d437e3508
anwesende	w7_d437e3511
Consuls	w9_d437e3514
in	w11_d437e3517
