<doc id="wr_1760-04-05" attrs="word" year="1760" month="04" day="05" corpus="2">
<head id="h2_d438e2535">
Frankfort	w1_d438e2539
22.	w3_d438e2542
März.	w5_d438e2545
</head>
<p id="p4_d438e2548">
Er	w1_d438e2552
Herr	w3_d438e2555
Marschall	w5_d438e2558
Herzog	w7_d438e2561
von	w9_d438e2564
Bro	w11_d438e2567
glie	w1_d438e2572
nihmt,	w3_d438e2575
und	w5_d438e2578
hat	w7_d438e2581
seine	w9_d438e2584
Maaßre	w11_d438e2587
guln	w1_d438e2592
genommen,	w3_d438e2595
um	w5_d438e2598
seinen	w7_d438e2601
Fein	w9_d438e2604
den	w1_d438e2610
zu	w3_d438e2613
zeigen,	w5_d438e2616
daß	w7_d438e2619
er	w9_d438e2622
auf	w11_d438e2625
guter	w13_d438e2629
Hut	w15_d438e2632
seye,	w17_d438e2635
und	w1_d438e2640
daß	w3_d438e2643
es	w5_d438e2646
schwer	w7_d438e2649
seyn	w9_d438e2652
werde,	w11_d438e2655
ihn	w13_d438e2659
unver	w15_d438e2662
sehens	w1_d438e2667
zu	w3_d438e2670
überfallen.	w5_d438e2673
Er	w7_d438e2676
ziehet	w9_d438e2679
einen	w11_d438e2682
Theil	w13_d438e2686
seiner	w1_d438e2691
Armee	w3_d438e2694
zusammen.	w5_d438e2697
Den	w7_d438e2700
20.	w9_d438e2703
Abends	w11_d438e2706
um	w1_d438e2712
8.	w3_d438e2715
Uhr	w5_d438e2718
setzten	w7_d438e2721
sich	w9_d438e2724
die	w11_d438e2727
Grenadiers	w13_d438e2731
von	w15_d438e2734
Frankreich	w1_d438e2739
in	w3_d438e2742
Marsch.	w5_d438e2745
Das	w7_d438e2748
Regiment	w9_d438e2751
Kö	w11_d438e2754
nizl.	w1_d438e2759
Zweybrücken,	w3_d438e2762
welches	w5_d438e2765
seine	w7_d438e2768
Quartiere	w9_d438e2771
wegen	w1_d438e2776
der	w3_d438e2779
bevorstehenden	w5_d438e2782
Messe	w7_d438e2785
verändern	w9_d438e2788
sollte,	w1_d438e2794
erhielt	w3_d438e2797
Contre=ordre.	w5_d438e2800
Das	w7_d438e2803
Re	w9_d438e2806
giment	w1_d438e2811
Navahre,	w3_d438e2814
welches	w5_d438e2817
zu	w7_d438e2820
Aschaffenburg	w9_d438e2823
war,	w1_d438e2828
ist	w3_d438e2831
eben	w5_d438e2834
des	w7_d438e2837
Tags	w9_d438e2840
von	w11_d438e2843
dar	w13_d438e2847
nach	w15_d438e2850
Dey	w17_d438e2853
ckerhayn	w1_d438e2858
aufgebrochen,	w3_d438e2861
doch	w5_d438e2864
hat	w7_d438e2867
es	w9_d438e2870
nicht	w11_d438e2873
nur	w1_d438e2879
die	w3_d438e2882
Recruten	w5_d438e2885
und	w7_d438e2888
Equipagen	w9_d438e2891
zurücke	w11_d438e2894
gelassen,	w1_d438e2899
sondern	w3_d438e2902
es	w5_d438e2905
ist	w7_d438e2908
auch	w9_d438e2911
der	w11_d438e2914
Comman	w13_d438e2918
dant	w1_d438e2923
de	w3_d438e2926
Bataillon,	w5_d438e2929
Herr	w7_d438e2932
von	w9_d438e2935
Coppenne	w11_d438e2938
zu	w13_d438e2942
rück	w1_d438e2947
geblieben,	w3_d438e2950
um	w5_d438e2953
die	w7_d438e2956
dasige	w9_d438e2959
Brücke	w11_d438e2962
zu	w13_d438e2966
bewahren.	w1_d438e2972
Ein	w3_d438e2975
anders	w5_d438e2978
Regiment,	w7_d438e2981
wel	w9_d438e2984
</p>
<p id="p6_d438e2987">
ches	w1_d438e2991
zu	w3_d438e2994
Wertheim	w5_d438e2997
war,	w7_d438e3000
hat	w9_d438e3003
zu	w11_d438e3006
gleicher	w13_d438e3010
Zeit	w15_d438e3013
in	w1_d438e3018
einem	w3_d438e3021
Tage	w5_d438e3024
8.	w7_d438e3027
starke	w9_d438e3030
Stunden	w11_d438e3033
gemacht,	w13_d438e3037
um	w1_d438e3042
sich	w3_d438e3045
bis	w5_d438e3048
auf	w7_d438e3051
2.	w9_d438e3054
Stunden	w11_d438e3057
hieher	w13_d438e3061
zu	w15_d438e3064
bege	w17_d438e3067
ben.	w1_d438e3073
Das	w3_d438e3076
Jnfanterie=regiment	w5_d438e3079
Conde,	w7_d438e3082
welches	w1_d438e3087
seine	w3_d438e3090
Quartiere	w5_d438e3093
zu	w7_d438e3096
Bingen	w9_d438e3099
hatte,	w11_d438e3102
ist	w1_d438e3107
den	w3_d438e3110
21.	w5_d438e3113
über	w7_d438e3116
die	w9_d438e3119
Maynzer=brücke	w11_d438e3122
über	w13_d438e3126
den	w1_d438e3131
Rhein	w3_d438e3134
gegangen,	w5_d438e3137
welchem	w7_d438e3140
zu	w9_d438e3143
Mitter	w11_d438e3146
nacht	w1_d438e3152
andere	w3_d438e3155
Trupen,	w5_d438e3158
und	w7_d438e3161
kurz	w9_d438e3164
darauf	w11_d438e3167
Hus	w13_d438e3171
saren,	w1_d438e3176
und	w3_d438e3179
des	w5_d438e3182
Morgens	w7_d438e3185
2.	w9_d438e3188
Cavallerie	w11_d438e3191
re	w13_d438e3195
gimenter	w1_d438e3200
gefolget.	w3_d438e3203
Jn	w5_d438e3206
der	w7_d438e3209
Nacht	w9_d438e3212
vom	w11_d438e3215
20.	w13_d438e3219
auf	w1_d438e3224
den	w3_d438e3227
21.	w5_d438e3230
ist	w7_d438e3233
das	w9_d438e3236
Regiment	w11_d438e3239
Vanbecourt	w13_d438e3243
von	w1_d438e3249
Ober	w3_d438e3252
und	w5_d438e3255
Nieder=lahnstein	w7_d438e3258
aufgebro	w9_d438e3261
chen,	w1_d438e3266
um	w3_d438e3269
sich	w5_d438e3272
in	w7_d438e3275
die	w9_d438e3278
Gegenden	w11_d438e3281
von	w13_d438e3285
Maynz	w15_d438e3288
zu	w1_d438e3293
begeben.	w3_d438e3296
Die	w5_d438e3299
Artillerie	w7_d438e3302
ist	w9_d438e3305
auch	w11_d438e3308
wieder	w13_d438e3312
versammelt,	w1_d438e3317
und	w3_d438e3320
mit	w5_d438e3323
einem	w7_d438e3326
Worte,	w9_d438e3329
alles	w11_d438e3332
in	w1_d438e3338
hiesiger	w3_d438e3341
Nachbarschaft	w5_d438e3344
in	w7_d438e3347
Bewegung.	w9_d438e3350
</p>
<head id="h2_d438e3356">
Petersburg	w1_d438e3360
4.	w3_d438e3363
März.	w5_d438e3366
</head>
<p id="p4_d438e3369">
Am	w1_d438e3373
verwichenen	w3_d438e3376
Sonn=abend	w5_d438e3379
gegen	w7_d438e3382
Abend	w1_d438e3387
kam	w3_d438e3390
unser	w5_d438e3393
tapfere	w7_d438e3396
und	w9_d438e3399
glückliche	w11_d438e3402
Feld	w13_d438e3406
marschall,	w1_d438e3411
der	w3_d438e3414
Herr	w5_d438e3417
Graf	w7_d438e3420
von	w9_d438e3423
Soltikof,	w11_d438e3426
</p>
<p id="p10_d438e3439">
von	w1_d438e3443
der	w3_d438e3446
Armee	w5_d438e3449
hier	w7_d438e3452
an.	w9_d438e3455
Er	w11_d438e3458
trat	w13_d438e3462
in	w15_d438e3465
dem	w17_d438e3468
prächtigen	w1_d438e3473
Hotel	w3_d438e3476
des	w5_d438e3479
vormaligen	w7_d438e3482
Kanzlers	w9_d438e3485
Bestuchef	w1_d438e3490
ab,	w3_d438e3493
woselbst	w5_d438e3496
er	w7_d438e3499
bereits	w9_d438e3502
Küche,	w11_d438e3505
Keller,	w1_d438e3511
Stall,	w3_d438e3514
Bedienung,	w5_d438e3517
mit	w7_d438e3520
einem	w9_d438e3523
Worte,	w1_d438e3528
alles	w3_d438e3531
für	w5_d438e3534
sich	w7_d438e3537
fand,	w9_d438e3540
was	w11_d438e3543
seinen	w13_d438e3547
Aufenthalt	w1_d438e3552
angenehm,	w3_d438e3555
bequem	w5_d438e3558
und	w7_d438e3561
reitzend	w9_d438e3564
machen	w1_d438e3569
kan.	w3_d438e3572
Gestern	w5_d438e3575
Vormittags	w7_d438e3578
begab	w9_d438e3581
er	w1_d438e3587
sich	w3_d438e3590
nach	w5_d438e3593
Hofe	w7_d438e3596
zum	w9_d438e3599
Hand=kuß.	w11_d438e3602
Es	w13_d438e3606
ist	w15_d438e3609
nicht	w1_d438e3614
zu	w3_d438e3617
beschreiben,	w5_d438e3620
mit	w7_d438e3623
wie	w9_d438e3626
vieler	w11_d438e3629
Gnade	w13_d438e3633
und	w1_d438e3638
Leutseligkeit	w3_d438e3641
Jhre	w5_d438e3644
Kaiserl.	w7_d438e3647
Majest.	w9_d438e3650
ihn	w11_d438e3653
empfiengen.	w1_d438e3658
Höchst=dieselben	w3_d438e3661
geruheten	w5_d438e3664
nicht	w1_d438e3670
nur	w3_d438e3673
sich	w5_d438e3676
mit	w7_d438e3679
ihme	w9_d438e3682
geraume	w11_d438e3685
Zeit	w13_d438e3689
zu	w15_d438e3692
unterhalten,	w1_d438e3697
sondern	w3_d438e3700
erwiesen	w5_d438e3703
ihm	w7_d438e3706
auch	w9_d438e3709
die	w11_d438e3712
Ehre,	w1_d438e3717
ihn	w3_d438e3720
an	w5_d438e3723
die	w7_d438e3726
Mittags=tafel	w9_d438e3729
zu	w11_d438e3732
ziehen.	w13_d438e3736
Sein	w1_d438e3741
Hin	w3_d438e3744
und	w5_d438e3747
Zurückzug	w7_d438e3750
gliech	w9_d438e3753
einem	w11_d438e3756
Trium	w13_d438e3760
phe.	w1_d438e3766
Gestern	w3_d438e3769
und	w5_d438e3772
heute	w7_d438e3775
ist	w9_d438e3778
er	w11_d438e3781
mit	w13_d438e3785
Anneh	w15_d438e3788
mung	w1_d438e3793
der	w3_d438e3796
Complimente	w5_d438e3799
beschäftiget.	w7_d438e3802
Die	w9_d438e3805
Krieges=berahtschlagungen	w1_d438e3810
dürften	w3_d438e3813
nun	w5_d438e3816
in	w7_d438e3819
wenig	w1_d438e3824
Tagen	w3_d438e3827
den	w5_d438e3830
Anfang	w7_d438e3833
nehmen,	w9_d438e3836
und	w11_d438e3839
es	w13_d438e3843
ist	w1_d438e3849
sehr	w3_d438e3852
wahrscheinlich,	w5_d438e3855
daß	w7_d438e3858
wir	w9_d438e3861
eben	w11_d438e3864
nicht	w13_d438e3868
lange	w1_d438e3873
die	w3_d438e3876
Gegenwart	w5_d438e3879
dieses	w7_d438e3882
von	w9_d438e3885
Hohen	w11_d438e3888
und	w13_d438e3892
Niedrigen	w1_d438e3897
geliebten	w3_d438e3900
Herrn	w5_d438e3903
geniessen	w7_d438e3906
werden.	w9_d438e3909
</p>
<p id="p12_d438e3913">
Aus	w1_d438e3917
denen	w3_d438e3920
Juneren	w5_d438e3923
des	w7_d438e3926
Reichs	w9_d438e3929
sind	w11_d438e3932
9000.	w13_d438e3936
Recruten,	w1_d438e3941
lauter	w3_d438e3944
junge	w5_d438e3947
und	w7_d438e3950
ausgesuchte	w9_d438e3953
Leute	w1_d438e3958
auf	w3_d438e3961
dem	w5_d438e3964
Weege	w7_d438e3967
nach	w9_d438e3970
hiesiger	w11_d438e3973
Residen	w13_d438e3977
begriffen.	w1_d438e3983
Ein	w3_d438e3986
Theil	w5_d438e3989
von	w7_d438e3992
ihnen	w9_d438e3995
ist	w11_d438e3998
bereits	w13_d438e4002
angekommen,	w1_d438e4007
und	w3_d438e4010
der	w5_d438e4013
Rest	w7_d438e4016
wird	w9_d438e4019
täglich	w11_d438e4022
erwartet.	w1_d438e4027
Sie	w3_d438e4030
werden	w5_d438e4033
so	w7_d438e4036
gleich	w9_d438e4039
in	w11_d438e4042
denen	w13_d438e4046
Waffen	w1_d438e4051
geübt,	w3_d438e4054
und	w5_d438e4057
sollen	w7_d438e4060
hier	w9_d438e4063
in	w11_d438e4066
Garni	w13_d438e4070
son	w1_d438e4076
ligen	w3_d438e4079
bleiben,	w5_d438e4082
indem	w7_d438e4085
man	w9_d438e4088
von	w11_d438e4091
der	w13_d438e4095
je	w15_d438e4098
tzigen	w1_d438e4103
Besatzung	w3_d438e4106
